,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,Turnover by K. Towns (out of bounds lost ball),0,0
1,1,11:25.0,N. Jokić misses 2-pt layup from 6 ft,,0,0
2,1,11:22.0,Offensive rebound by J. Murray,,0,0
3,1,11:22.0,J. Murray misses 2-pt jump shot from 2 ft,,0,0
4,1,11:20.0,,Defensive rebound by K. Towns,0,0
5,1,11:01.0,,A. Wiggins makes 2-pt jump shot from 12 ft (assist by J. Teague),0,2
6,1,10:45.0,G. Harris makes 2-pt layup from 1 ft,,2,2
7,1,10:24.0,,K. Towns misses 3-pt jump shot from 25 ft,2,2
8,1,10:22.0,Defensive rebound by J. Hernangómez,,2,2
9,1,10:06.0,J. Murray misses 2-pt jump shot from 13 ft,,2,2
10,1,10:03.0,Offensive rebound by N. Jokić,,2,2
11,1,10:00.0,G. Harris misses 3-pt jump shot from 23 ft,,2,2
12,1,9:55.0,,Defensive rebound by A. Wiggins,2,2
13,1,9:43.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),2,4
14,1,9:28.0,G. Harris misses 3-pt jump shot from 25 ft,,2,4
15,1,9:24.0,,Defensive rebound by A. Wiggins,2,4
16,1,9:13.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Teague),2,6
17,1,8:53.0,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),,4,6
18,1,8:27.0,,A. Wiggins misses 2-pt jump shot from 16 ft,4,6
19,1,8:25.0,Defensive rebound by N. Jokić,,4,6
20,1,8:16.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by N. Jokić),,7,6
21,1,8:05.0,,Offensive foul by K. Towns (drawn by P. Millsap),7,6
22,1,8:05.0,,Turnover by K. Towns (offensive foul),7,6
23,1,7:53.0,G. Harris misses 3-pt jump shot from 26 ft,,7,6
24,1,7:49.0,,Defensive rebound by A. Wiggins,7,6
25,1,7:43.0,,J. Teague makes 2-pt jump shot from 12 ft,7,8
26,1,7:27.0,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by J. Murray),,10,8
27,1,7:16.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by J. Teague),10,11
28,1,6:59.0,G. Harris misses 3-pt jump shot from 25 ft,,10,11
29,1,6:56.0,Offensive rebound by J. Hernangómez,,10,11
30,1,6:55.0,J. Hernangómez misses 2-pt layup from 3 ft,,10,11
31,1,6:55.0,,Defensive rebound by K. Towns,10,11
32,1,6:50.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),10,13
33,1,6:22.0,Turnover by Team (shot clock),,10,13
34,1,6:22.0,,Minnesota full timeout,10,13
35,1,6:09.0,,A. Wiggins makes 2-pt dunk at rim (assist by T. Gibson),10,15
36,1,5:56.0,Personal foul by A. Wiggins (drawn by N. Jokić),,10,15
37,1,5:51.0,N. Jokić makes 2-pt layup from 1 ft,,12,15
38,1,5:48.0,,A. Wiggins misses 3-pt jump shot from 24 ft,12,15
39,1,5:48.0,Defensive rebound by J. Murray,,12,15
40,1,5:27.0,Personal foul by K. Towns (drawn by P. Millsap),,12,15
41,1,5:27.0,M. Morris enters the game for J. Murray,,12,15
42,1,5:27.0,,G. Dieng enters the game for R. Covington,12,15
43,1,5:27.0,,D. Rose enters the game for T. Gibson,12,15
44,1,5:27.0,,D. Šarić enters the game for K. Towns,12,15
45,1,5:17.0,Turnover by N. Jokić (bad pass; steal by J. Teague),,12,15
46,1,5:01.0,,Turnover by A. Wiggins (bad pass; steal by P. Millsap),12,15
47,1,4:55.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,12,15
48,1,4:51.0,,Defensive rebound by D. Rose,12,15
49,1,4:43.0,,Turnover by G. Dieng (lost ball; steal by P. Millsap),12,15
50,1,4:39.0,M. Morris misses 2-pt layup from 2 ft,,12,15
51,1,4:28.0,Offensive rebound by P. Millsap,,12,15
52,1,4:28.0,P. Millsap makes 2-pt layup from 1 ft,,14,15
53,1,4:10.0,,D. Šarić misses 2-pt jump shot from 19 ft,14,15
54,1,4:08.0,Defensive rebound by N. Jokić,,14,15
55,1,4:05.0,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),,16,15
56,1,3:58.0,,Minnesota full timeout,16,15
57,1,3:46.0,,A. Wiggins makes 2-pt layup from 2 ft,16,17
58,1,3:29.0,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),,18,17
59,1,3:29.0,,Violation by Team (def goaltending),18,17
60,1,3:09.0,,J. Teague makes 2-pt jump shot from 7 ft,18,19
61,1,2:55.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,18,19
62,1,2:55.0,,Defensive rebound by G. Dieng,18,19
63,1,2:44.0,,A. Wiggins misses 3-pt jump shot from 25 ft,18,19
64,1,2:41.0,Defensive rebound by N. Jokić,,18,19
65,1,2:33.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,18,19
66,1,2:32.0,Offensive rebound by Team,,18,19
67,1,2:32.0,M. Beasley enters the game for G. Harris,,18,19
68,1,2:32.0,T. Lyles enters the game for J. Hernangómez,,18,19
69,1,2:32.0,J. Murray enters the game for P. Millsap,,18,19
70,1,2:32.0,,T. Jones enters the game for J. Teague,18,19
71,1,2:23.0,T. Lyles misses 2-pt layup from 5 ft (block by G. Dieng),,18,19
72,1,2:20.0,,Defensive rebound by G. Dieng,18,19
73,1,2:08.0,,D. Rose makes 2-pt jump shot from 9 ft,18,21
74,1,1:51.0,N. Jokić misses 2-pt jump shot from 23 ft,,18,21
75,1,1:48.0,,Defensive rebound by D. Rose,18,21
76,1,1:39.0,,G. Dieng misses 2-pt jump shot from 19 ft,18,21
77,1,1:35.0,Defensive rebound by N. Jokić,,18,21
78,1,1:26.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),,21,21
79,1,1:17.0,,T. Jones misses 2-pt jump shot from 3 ft,21,21
80,1,1:15.0,Defensive rebound by N. Jokić,,21,21
81,1,1:07.0,N. Jokić misses 3-pt jump shot from 26 ft,,21,21
82,1,1:05.0,,Defensive rebound by D. Šarić,21,21
83,1,0:55.0,,A. Wiggins makes 2-pt jump shot from 8 ft,21,23
84,1,0:45.0,M. Morris makes 2-pt layup from 2 ft,,23,23
85,1,0:36.0,,D. Rose makes 2-pt jump shot from 3 ft,23,25
86,1,0:25.0,Turnover by T. Lyles (bad pass; steal by D. Šarić),,23,25
87,1,0:02.0,,D. Rose misses 3-pt jump shot from 33 ft,23,25
88,1,0:01.0,Defensive rebound by T. Lyles,,23,25
89,2,11:46.0,Personal foul by G. Dieng (drawn by M. Plumlee),,23,25
90,2,11:36.0,T. Lyles misses 2-pt jump shot from 6 ft,,23,25
91,2,11:33.0,,Defensive rebound by G. Dieng,23,25
92,2,11:21.0,,G. Dieng misses 2-pt jump shot from 11 ft,23,25
93,2,11:19.0,Defensive rebound by M. Morris,,23,25
94,2,11:10.0,T. Lyles misses 3-pt jump shot from 27 ft,,23,25
95,2,11:08.0,,Defensive rebound by Team,23,25
96,2,10:56.0,,Def 3 sec tech foul by Team,23,25
97,2,10:56.0,,R. Covington misses technical free throw,23,25
98,2,10:56.0,,Offensive rebound by Team,23,25
99,2,10:52.0,,G. Dieng misses 2-pt jump shot from 21 ft,23,25
100,2,10:49.0,Defensive rebound by Team,,23,25
101,2,10:49.0,,Violation by Team (kicked ball),23,25
102,2,10:31.0,T. Lyles misses 2-pt jump shot from 7 ft,,23,25
