,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:44.0,,Shooting foul by J. Embiid (drawn by D. Jordan),0,0
1,1,11:44.0,,D. Jordan makes free throw 1 of 2,0,1
2,1,11:44.0,,D. Jordan makes free throw 2 of 2,0,2
3,1,11:35.0,Shooting foul by D. Jordan (drawn by B. Simmons),,0,2
4,1,11:35.0,B. Simmons makes free throw 1 of 2,,1,2
5,1,11:35.0,B. Simmons misses free throw 2 of 2,,1,2
6,1,11:33.0,,Defensive rebound by D. Jordan,1,2
7,1,11:21.0,,M. Hezonja misses 2-pt jump shot from 19 ft,1,2
8,1,11:19.0,Defensive rebound by Team,,1,2
9,1,11:07.0,Turnover by T. Harris (traveling),,1,2
10,1,10:45.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),1,4
11,1,10:31.0,J. Embiid makes 2-pt layup from 1 ft (assist by T. Harris),,3,4
12,1,10:31.0,Shooting foul by K. Knox (drawn by J. Embiid),,3,4
13,1,10:31.0,J. Embiid makes free throw 1 of 1,,4,4
14,1,10:15.0,,D. Smith misses 2-pt layup from 2 ft,4,4
15,1,10:13.0,Defensive rebound by B. Simmons,,4,4
16,1,10:08.0,T. Harris makes 2-pt dunk from 2 ft (assist by B. Simmons),,6,4
17,1,9:56.0,,D. Smith misses 2-pt jump shot from 9 ft,6,4
18,1,9:54.0,Defensive rebound by T. Harris,,6,4
19,1,9:46.0,J. Butler makes 2-pt layup from 1 ft (assist by T. Harris),,8,4
20,1,9:23.0,,D. Smith misses 2-pt jump shot from 21 ft,8,4
21,1,9:21.0,Defensive rebound by J. Butler,,8,4
22,1,9:11.0,Personal foul by D. Smith (drawn by J. Butler),,8,4
23,1,9:02.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),,11,4
24,1,8:55.0,,New York full timeout,11,4
25,1,8:39.0,,D. Jordan misses 2-pt jump shot from 16 ft,11,4
26,1,8:37.0,Defensive rebound by J. Embiid,,11,4
27,1,8:28.0,Turnover by J. Redick (traveling),,11,4
28,1,8:15.0,,K. Knox misses 2-pt jump shot from 11 ft,11,4
29,1,8:14.0,,Offensive rebound by M. Hezonja,11,4
30,1,8:12.0,,M. Hezonja misses 2-pt layup from 1 ft,11,4
31,1,8:11.0,,Offensive rebound by D. Jordan,11,4
32,1,8:10.0,,D. Jordan makes 2-pt dunk from 2 ft,11,6
33,1,8:02.0,Shooting foul by K. Knox (drawn by T. Harris),,11,6
34,1,8:02.0,T. Harris misses free throw 1 of 2,,11,6
35,1,8:02.0,Offensive rebound by Team,,11,6
36,1,8:02.0,,D. Dotson enters the game for K. Knox,11,6
37,1,8:02.0,T. Harris makes free throw 2 of 2,,12,6
38,1,7:42.0,,D. Jordan makes 2-pt hook shot from 4 ft (assist by D. Dotson),12,8
39,1,7:36.0,T. Harris makes 2-pt layup at rim (assist by B. Simmons),,14,8
40,1,7:36.0,Shooting foul by D. Smith (drawn by T. Harris),,14,8
41,1,7:36.0,T. Harris makes free throw 1 of 1,,15,8
42,1,7:24.0,,D. Smith makes 2-pt hook shot from 5 ft,15,10
43,1,7:06.0,T. Harris misses 2-pt jump shot from 9 ft,,15,10
44,1,7:04.0,,Defensive rebound by Team,15,10
45,1,7:04.0,J. Ennis enters the game for J. Embiid,,15,10
46,1,7:04.0,B. Marjanović enters the game for J. Redick,,15,10
47,1,7:04.0,T. McConnell enters the game for B. Simmons,,15,10
48,1,7:04.0,,K. Allen enters the game for D. Smith,15,10
49,1,6:53.0,,D. Dotson makes 2-pt jump shot from 20 ft (assist by M. Hezonja),15,12
50,1,6:33.0,T. McConnell makes 2-pt jump shot from 8 ft (assist by J. Butler),,17,12
51,1,6:21.0,,Personal foul by J. Ennis (drawn by D. Dotson),17,12
52,1,6:14.0,,K. Allen misses 2-pt jump shot from 12 ft,17,12
53,1,6:12.0,Defensive rebound by B. Marjanović,,17,12
54,1,6:00.0,B. Marjanović makes 2-pt layup from 1 ft (assist by T. McConnell),,19,12
55,1,5:52.0,,D. Dotson misses 2-pt jump shot from 18 ft,19,12
56,1,5:50.0,Defensive rebound by J. Butler,,19,12
57,1,5:41.0,J. Butler makes 2-pt layup from 2 ft,,21,12
58,1,5:32.0,,M. Hezonja misses 2-pt layup from 2 ft (block by B. Marjanović),21,12
59,1,5:31.0,,Offensive rebound by Team,21,12
60,1,5:31.0,,A. Trier enters the game for M. Hezonja,21,12
61,1,5:24.0,,K. Allen misses 2-pt jump shot from 8 ft,21,12
62,1,5:22.0,Defensive rebound by B. Marjanović,,21,12
63,1,5:02.0,T. Harris makes 2-pt jump shot from 6 ft,,23,12
64,1,4:56.0,,New York full timeout,23,12
65,1,4:49.0,,Turnover by A. Trier (bad pass; steal by T. McConnell),23,12
66,1,4:46.0,T. McConnell misses 2-pt layup from 1 ft,,23,12
67,1,4:44.0,,Defensive rebound by A. Trier,23,12
68,1,4:34.0,,N. Vonleh makes 2-pt hook shot from 9 ft,23,14
69,1,4:34.0,,Shooting foul by T. Harris (drawn by N. Vonleh),23,14
70,1,4:34.0,,N. Vonleh makes free throw 1 of 1,23,15
71,1,4:16.0,B. Marjanović makes 2-pt layup at rim (assist by J. Ennis),,25,15
72,1,3:56.0,,D. Jordan misses 2-pt hook shot from 6 ft,25,15
73,1,3:54.0,,Offensive rebound by N. Vonleh,25,15
74,1,3:54.0,,N. Vonleh misses 2-pt layup from 1 ft,25,15
75,1,3:52.0,,Offensive rebound by K. Allen,25,15
76,1,3:50.0,,K. Allen makes 2-pt jump shot from 12 ft,25,17
77,1,3:33.0,B. Marjanović makes 2-pt layup at rim (assist by J. Butler),,27,17
78,1,3:19.0,,D. Dotson makes 2-pt jump shot from 15 ft (assist by D. Jordan),27,19
79,1,3:02.0,J. Ennis makes 2-pt layup from 1 ft (assist by J. Butler),,29,19
80,1,2:53.0,,K. Allen misses 3-pt jump shot from 26 ft,29,19
81,1,2:51.0,,Offensive rebound by D. Jordan,29,19
82,1,2:47.0,,D. Dotson makes 2-pt jump shot from 15 ft (assist by D. Jordan),29,21
83,1,2:46.0,Philadelphia full timeout,,29,21
84,1,2:46.0,J. Embiid enters the game for J. Butler,,29,21
85,1,2:46.0,J. Redick enters the game for J. Ennis,,29,21
86,1,2:46.0,M. Scott enters the game for T. Harris,,29,21
87,1,2:46.0,B. Simmons enters the game for B. Marjanović,,29,21
88,1,2:46.0,J. Simmons enters the game for T. McConnell,,29,21
89,1,2:46.0,,L. Kornet enters the game for D. Jordan,29,21
90,1,2:46.0,,M. Robinson enters the game for N. Vonleh,29,21
91,1,2:31.0,J. Redick makes 2-pt jump shot from 10 ft (assist by J. Embiid),,31,21
92,1,2:10.0,,A. Trier makes 2-pt jump shot from 18 ft,31,23
93,1,1:53.0,J. Redick misses 3-pt jump shot from 27 ft,,31,23
94,1,1:51.0,,Defensive rebound by M. Robinson,31,23
95,1,1:38.0,,A. Trier makes 3-pt jump shot from 23 ft (assist by K. Allen),31,26
96,1,1:16.0,Personal foul by M. Robinson (drawn by J. Embiid),,31,26
97,1,1:16.0,J. Embiid makes free throw 1 of 2,,32,26
98,1,1:16.0,J. Embiid makes free throw 2 of 2,,33,26
99,1,0:58.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by A. Trier),33,28
100,1,0:46.0,Shooting foul by D. Dotson (drawn by B. Simmons),,33,28
101,1,0:46.0,B. Simmons makes free throw 1 of 2,,34,28
102,1,0:46.0,B. Simmons makes free throw 2 of 2,,35,28
103,1,0:35.0,,Shooting foul by J. Simmons (drawn by A. Trier),35,28
104,1,0:35.0,,A. Trier makes free throw 1 of 2,35,29
105,1,0:35.0,,A. Trier makes free throw 2 of 2,35,30
106,1,0:21.0,B. Simmons misses 2-pt layup at rim,,35,30
107,1,0:20.0,Offensive rebound by B. Simmons,,35,30
