,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
33,1,7:05.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Favors),,14,13
34,1,6:50.0,,T. Young makes 2-pt jump shot from 13 ft,14,15
35,1,6:37.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),,16,15
36,1,6:31.0,,Personal foul by R. Rubio (drawn by T. Young),16,15
37,1,6:31.0,,Atlanta full timeout,16,15
38,1,6:31.0,J. Crowder enters the game for D. Favors,,16,15
39,1,6:31.0,R. O'Neale enters the game for J. Ingles,,16,15
40,1,6:31.0,,D. Bembry enters the game for D. Dedmon,16,15
41,1,6:31.0,,V. Carter enters the game for K. Huerter,16,15
42,1,6:22.0,,T. Young makes 2-pt jump shot from 9 ft,16,17
43,1,5:56.0,D. Mitchell makes 2-pt jump shot from 17 ft,,18,17
44,1,5:56.0,Shooting foul by D. Bembry (drawn by D. Mitchell),,18,17
45,1,5:56.0,D. Mitchell makes free throw 1 of 1,,19,17
46,1,5:35.0,,J. Collins misses 2-pt hook shot from 12 ft,19,17
47,1,5:32.0,Defensive rebound by R. Gobert,,19,17
48,1,5:25.0,R. O'Neale misses 3-pt jump shot from 25 ft,,19,17
49,1,5:22.0,,Defensive rebound by V. Carter,19,17
50,1,5:13.0,,T. Young makes 2-pt layup from 1 ft,19,19
51,1,4:59.0,R. O'Neale misses 3-pt jump shot from 23 ft,,19,19
52,1,4:57.0,,Defensive rebound by Team,19,19
53,1,4:57.0,K. Korver enters the game for R. Rubio,,19,19
54,1,4:48.0,,T. Young misses 3-pt jump shot from 26 ft,19,19
55,1,4:44.0,Defensive rebound by K. Korver,,19,19
56,1,4:38.0,D. Mitchell makes 3-pt jump shot from 25 ft,,22,19
57,1,4:22.0,,T. Young misses 2-pt jump shot from 8 ft,22,19
58,1,4:19.0,Defensive rebound by R. O'Neale,,22,19
59,1,4:07.0,D. Mitchell misses 2-pt jump shot from 22 ft,,22,19
60,1,4:03.0,,Defensive rebound by V. Carter,22,19
61,1,3:56.0,,Shooting foul by J. Crowder (drawn by V. Carter),22,19
62,1,3:56.0,,V. Carter misses free throw 1 of 2,22,19
63,1,3:56.0,,Offensive rebound by Team,22,19
64,1,3:56.0,,K. Bazemore enters the game for J. Collins,22,19
65,1,3:56.0,,A. Len enters the game for T. Prince,22,19
66,1,3:56.0,,V. Carter makes free throw 2 of 2,22,20
67,1,3:38.0,Turnover by D. Mitchell (bad pass; steal by D. Bembry),,22,20
68,1,3:29.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by T. Young),22,23
69,1,3:27.0,Utah full timeout,,22,23
70,1,3:27.0,D. Favors enters the game for R. Gobert,,22,23
71,1,3:27.0,R. Neto enters the game for D. Mitchell,,22,23
72,1,3:27.0,,J. Adams enters the game for T. Young,22,23
73,1,3:06.0,Turnover by R. Neto (bad pass; steal by A. Len),,22,23
74,1,2:52.0,,D. Bembry misses 2-pt layup from 2 ft,22,23
75,1,2:44.0,,Offensive rebound by A. Len,22,23
76,1,2:44.0,,A. Len makes 2-pt layup at rim,22,25
77,1,2:36.0,R. O'Neale makes 2-pt layup from 1 ft (assist by K. Korver),,24,25
78,1,2:19.0,,Shooting foul by K. Korver (drawn by A. Len),24,25
79,1,2:19.0,,A. Len makes free throw 1 of 2,24,26
80,1,2:19.0,,A. Len misses free throw 2 of 2,24,26
81,1,2:17.0,Defensive rebound by D. Favors,,24,26
82,1,1:53.0,R. O'Neale misses 2-pt layup from 2 ft,,24,26
83,1,1:48.0,Offensive rebound by D. Favors,,24,26
84,1,1:48.0,D. Favors makes 2-pt layup from 1 ft,,26,26
85,1,1:29.0,,Turnover by K. Bazemore (bad pass; steal by D. Favors),26,26
86,1,1:27.0,Personal foul by D. Bembry (drawn by J. Crowder),,26,26
87,1,1:27.0,,J. Anderson enters the game for D. Bembry,26,26
88,1,1:21.0,R. Neto makes 2-pt layup from 1 ft,,28,26
89,1,1:13.0,,A. Len misses 3-pt jump shot from 26 ft,28,26
90,1,1:09.0,Defensive rebound by K. Korver,,28,26
91,1,0:58.0,K. Korver misses 3-pt jump shot from 24 ft,,28,26
92,1,0:55.0,,Defensive rebound by A. Len,28,26
93,1,0:49.0,,K. Bazemore misses 2-pt jump shot from 13 ft,28,26
94,1,0:45.0,Defensive rebound by R. Neto,,28,26
95,1,0:42.0,R. O'Neale misses 2-pt dunk from 2 ft,,28,26
96,1,0:39.0,,Defensive rebound by J. Anderson,28,26
97,1,0:36.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by J. Adams),28,29
98,1,0:21.0,R. Neto misses 2-pt jump shot from 9 ft (block by V. Carter),,28,29
99,1,0:19.0,,Defensive rebound by Team,28,29
100,1,0:01.0,,Personal foul by R. O'Neale (drawn by K. Bazemore),28,29
101,1,0:00.0,,A. Len misses 3-pt jump shot from 26 ft (block by D. Favors),28,29
102,1,0:00.0,,Offensive rebound by Team,28,29
103,2,11:45.0,,Turnover by J. Adams (bad pass; steal by R. Neto),28,29
104,2,11:37.0,R. Neto misses 3-pt jump shot from 23 ft,,28,29
105,2,11:34.0,,Defensive rebound by K. Bazemore,28,29
106,2,11:18.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by D. Dedmon),28,32
107,2,11:03.0,Shooting foul by J. Anderson (drawn by J. Crowder),,28,32
108,2,11:03.0,J. Crowder makes free throw 1 of 2,,29,32
109,2,11:03.0,J. Ingles enters the game for R. O'Neale,,29,32
110,2,11:03.0,J. Crowder makes free throw 2 of 2,,30,32
111,2,10:50.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by A. Len),30,35
112,2,10:41.0,Personal foul by J. Anderson (drawn by J. Crowder),,30,35
113,2,10:32.0,R. Neto makes 3-pt jump shot from 26 ft (assist by J. Ingles),,33,35
114,2,10:18.0,,K. Bazemore misses 2-pt jump shot from 2 ft,33,35
115,2,10:15.0,,Offensive rebound by A. Len,33,35
116,2,10:14.0,,A. Len misses 2-pt layup from 2 ft,33,35
117,2,10:14.0,,Offensive rebound by A. Len,33,35
118,2,10:10.0,,A. Len makes 2-pt layup at rim,33,37
119,2,10:01.0,J. Crowder misses 3-pt jump shot from 26 ft,,33,37
120,2,9:58.0,,Defensive rebound by J. Adams,33,37
121,2,9:52.0,,A. Len makes 3-pt jump shot from 26 ft (assist by J. Adams),33,40
122,2,9:35.0,D. Favors misses 2-pt layup from 1 ft,,33,40
123,2,9:32.0,,Defensive rebound by J. Adams,33,40
124,2,9:23.0,,J. Anderson misses 2-pt layup from 6 ft,33,40
125,2,9:20.0,,Offensive rebound by A. Len,33,40
126,2,9:20.0,,A. Len misses 2-pt layup at rim,33,40
127,2,9:18.0,Defensive rebound by D. Favors,,33,40
128,2,9:10.0,Shooting foul by A. Len (drawn by D. Favors),,33,40
129,2,9:10.0,D. Favors makes free throw 1 of 2,,34,40
130,2,9:10.0,T. Sefolosha enters the game for J. Crowder,,34,40
131,2,9:10.0,,J. Collins enters the game for K. Bazemore,34,40
132,2,9:10.0,,K. Huerter enters the game for A. Len,34,40
133,2,9:10.0,D. Favors makes free throw 2 of 2,,35,40
134,2,8:55.0,,K. Huerter makes 2-pt jump shot from 9 ft (assist by J. Anderson),35,42
135,2,8:43.0,J. Ingles makes 2-pt jump shot from 12 ft,,37,42
136,2,8:36.0,,Turnover by J. Adams (lost ball; steal by R. Neto),37,42
137,2,8:16.0,D. Favors misses 2-pt jump shot from 15 ft,,37,42
138,2,8:14.0,,Defensive rebound by D. Dedmon,37,42
139,2,8:04.0,,D. Dedmon misses 2-pt hook shot from 7 ft,37,42
140,2,7:59.0,Defensive rebound by D. Favors,,37,42
141,2,7:45.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),,40,42
142,2,7:36.0,,Personal foul by R. Neto (drawn by J. Adams),40,42
143,2,7:36.0,R. Gobert enters the game for D. Favors,,40,42
144,2,7:36.0,D. Mitchell enters the game for K. Korver,,40,42
145,2,7:36.0,R. O'Neale enters the game for R. Neto,,40,42
146,2,7:36.0,,T. Prince enters the game for J. Adams,40,42
147,2,7:36.0,,T. Young enters the game for J. Anderson,40,42
148,2,7:30.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),40,45
149,2,7:14.0,J. Ingles makes 2-pt jump shot from 16 ft,,42,45
150,2,6:50.0,,T. Prince makes 3-pt jump shot from 27 ft (assist by K. Huerter),42,48
151,2,6:36.0,D. Mitchell misses 2-pt layup from 1 ft,,42,48
152,2,6:33.0,,Defensive rebound by D. Dedmon,42,48
153,2,6:32.0,,Atlanta full timeout,42,48
154,2,6:21.0,,J. Collins misses 3-pt jump shot from 26 ft,42,48
155,2,6:20.0,,Offensive rebound by Team,42,48
156,2,6:20.0,Loose ball foul by T. Sefolosha (drawn by D. Dedmon),,42,48
157,2,6:08.0,,K. Huerter misses 3-pt jump shot from 29 ft,42,48
158,2,6:04.0,,Offensive rebound by Team,42,48
159,2,6:04.0,,Turnover by Team (shot clock),42,48
160,2,5:53.0,Personal foul by J. Collins (drawn by R. Gobert),,42,48
161,2,5:53.0,R. Rubio enters the game for R. O'Neale,,42,48
162,2,5:48.0,D. Mitchell misses 3-pt jump shot from 25 ft,,42,48
163,2,5:44.0,,Defensive rebound by J. Collins,42,48
164,2,5:37.0,,T. Young misses 2-pt layup from 2 ft,42,48
165,2,5:35.0,Defensive rebound by R. Rubio,,42,48
166,2,5:30.0,T. Sefolosha misses 3-pt jump shot from 22 ft,,42,48
167,2,5:27.0,,Defensive rebound by Team,42,48
168,2,5:07.0,,K. Huerter misses 2-pt jump shot from 13 ft,42,48
169,2,5:04.0,,Offensive rebound by J. Collins,42,48
170,2,5:04.0,,J. Collins makes 2-pt hook shot from 1 ft,42,50
171,2,4:48.0,R. Gobert misses 2-pt dunk from 1 ft (block by J. Collins),,42,50
172,2,4:42.0,,Defensive rebound by D. Dedmon,42,50
173,2,4:40.0,,Turnover by T. Prince (bad pass; steal by R. Rubio),42,50
174,2,4:36.0,R. Rubio misses 2-pt jump shot from 9 ft,,42,50
175,2,4:35.0,,Defensive rebound by J. Collins,42,50
176,2,4:29.0,,T. Young misses 2-pt layup from 1 ft,42,50
177,2,4:28.0,,Offensive rebound by D. Dedmon,42,50
178,2,4:28.0,,D. Dedmon makes 2-pt layup from 3 ft,42,52
179,2,4:28.0,Utah full timeout,,42,52
180,2,4:28.0,,V. Carter enters the game for D. Dedmon,42,52
181,2,4:17.0,Shooting foul by J. Collins (drawn by R. Gobert),,42,52
182,2,4:17.0,R. Gobert misses free throw 1 of 2,,42,52
183,2,4:17.0,Offensive rebound by Team,,42,52
184,2,4:17.0,R. Gobert makes free throw 2 of 2,,43,52
185,2,4:04.0,,T. Prince misses 3-pt jump shot from 25 ft,43,52
186,2,3:59.0,Defensive rebound by R. Gobert,,43,52
187,2,3:55.0,J. Ingles misses 3-pt jump shot from 25 ft,,43,52
188,2,3:52.0,Offensive rebound by R. Gobert,,43,52
189,2,3:50.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),,46,52
190,2,3:26.0,,K. Huerter makes 3-pt jump shot from 25 ft,46,55
191,2,3:07.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Gobert),,49,55
192,2,2:46.0,,J. Collins makes 2-pt jump shot from 1 ft (assist by K. Huerter),49,57
193,2,2:30.0,Personal foul by J. Collins (drawn by R. Rubio),,49,57
194,2,2:30.0,R. Rubio makes free throw 1 of 2,,50,57
195,2,2:30.0,J. Crowder enters the game for T. Sefolosha,,50,57
196,2,2:30.0,,D. Dedmon enters the game for J. Collins,50,57
197,2,2:30.0,R. Rubio makes free throw 2 of 2,,51,57
198,2,2:17.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),51,60
199,2,1:56.0,Turnover by R. Gobert (bad pass; steal by T. Prince),,51,60
200,2,1:52.0,,T. Young misses 3-pt jump shot from 25 ft,51,60
201,2,1:47.0,Defensive rebound by D. Mitchell,,51,60
202,2,1:43.0,D. Mitchell makes 2-pt layup from 1 ft (assist by J. Ingles),,53,60
203,2,1:19.0,,K. Huerter misses 2-pt layup from 1 ft,53,60
204,2,1:16.0,Defensive rebound by R. Gobert,,53,60
205,2,1:15.0,Personal foul by K. Huerter (drawn by D. Mitchell),,53,60
206,2,1:15.0,D. Mitchell makes free throw 1 of 2,,54,60
207,2,1:15.0,D. Favors enters the game for R. Gobert,,54,60
208,2,1:15.0,,D. Bembry enters the game for K. Huerter,54,60
209,2,1:15.0,D. Mitchell misses free throw 2 of 2,,54,60
210,2,1:13.0,,Defensive rebound by D. Dedmon,54,60
211,2,1:04.0,,T. Prince makes 2-pt layup from 2 ft (assist by T. Young),54,62
212,2,0:54.0,D. Mitchell misses 2-pt jump shot from 1 ft,,54,62
213,2,0:51.0,Offensive rebound by D. Mitchell,,54,62
214,2,0:49.0,D. Mitchell misses 2-pt layup from 6 ft,,54,62
215,2,0:47.0,Offensive rebound by D. Mitchell,,54,62
216,2,0:40.0,J. Crowder misses 3-pt jump shot from 26 ft,,54,62
217,2,0:36.0,,Defensive rebound by D. Bembry,54,62
218,2,0:33.0,,Personal foul by J. Crowder (drawn by T. Young),54,62
219,2,0:29.0,,Personal foul by R. Rubio (drawn by T. Young),54,62
220,2,0:29.0,,T. Young makes free throw 1 of 2,54,63
221,2,0:29.0,,T. Young misses free throw 2 of 2,54,63
222,2,0:28.0,Defensive rebound by D. Favors,,54,63
223,2,0:04.0,Turnover by D. Favors (lost ball; steal by T. Prince),,54,63
224,2,0:01.0,,T. Young makes 2-pt layup from 1 ft,54,65
225,2,0:00.0,Turnover by J. Ingles (traveling),,54,65
226,3,11:44.0,,Turnover by K. Huerter (bad pass; steal by D. Mitchell),54,65
227,3,11:41.0,D. Mitchell makes 2-pt dunk from 1 ft (assist by J. Ingles),,56,65
228,3,11:31.0,,T. Young misses 3-pt jump shot from 25 ft,56,65
229,3,11:27.0,,Offensive rebound by J. Collins,56,65
230,3,11:26.0,,J. Collins misses 2-pt layup from 7 ft (block by D. Mitchell),56,65
231,3,11:23.0,Defensive rebound by D. Favors,,56,65
232,3,11:12.0,D. Mitchell misses 3-pt jump shot from 26 ft,,56,65
233,3,11:05.0,Offensive rebound by R. Gobert,,56,65
234,3,11:05.0,R. Gobert makes 2-pt layup at rim,,58,65
235,3,10:55.0,,J. Collins misses 3-pt jump shot from 26 ft,58,65
236,3,10:51.0,Defensive rebound by D. Favors,,58,65
237,3,10:38.0,Shooting foul by J. Collins (drawn by R. Gobert),,58,65
238,3,10:38.0,R. Gobert misses free throw 1 of 2,,58,65
239,3,10:38.0,Offensive rebound by Team,,58,65
240,3,10:38.0,,A. Len enters the game for J. Collins,58,65
241,3,10:38.0,R. Gobert makes free throw 2 of 2,,59,65
242,3,10:24.0,,T. Prince misses 2-pt layup from 1 ft,59,65
243,3,10:21.0,Defensive rebound by J. Ingles,,59,65
244,3,10:17.0,R. Rubio misses 2-pt jump shot from 16 ft,,59,65
245,3,10:14.0,Offensive rebound by D. Favors,,59,65
246,3,10:13.0,D. Favors makes 2-pt hook shot from 5 ft,,61,65
247,3,9:53.0,,Turnover by T. Young (bad pass; steal by D. Favors),61,65
248,3,9:47.0,D. Mitchell makes 2-pt dunk at rim (assist by J. Ingles),,63,65
249,3,9:47.0,,Atlanta full timeout,63,65
250,3,9:32.0,,Turnover by T. Young (bad pass; steal by R. Rubio),63,65
251,3,9:27.0,Turnover by R. Rubio (bad pass; steal by T. Prince),,63,65
252,3,9:21.0,,D. Dedmon makes 2-pt layup from 3 ft (assist by T. Young),63,67
253,3,8:56.0,Shooting foul by A. Len (drawn by R. Gobert),,63,67
254,3,8:56.0,R. Gobert makes free throw 1 of 2,,64,67
255,3,8:56.0,R. Gobert misses free throw 2 of 2,,64,67
256,3,8:54.0,,Defensive rebound by A. Len,64,67
257,3,8:41.0,,T. Young makes 2-pt jump shot from 16 ft (assist by A. Len),64,69
258,3,8:14.0,R. Gobert misses 2-pt jump shot from 10 ft,,64,69
259,3,8:07.0,,Defensive rebound by D. Dedmon,64,69
260,3,8:06.0,,Shooting foul by R. Rubio (drawn by T. Young),64,69
261,3,8:06.0,,T. Young misses free throw 1 of 2,64,69
262,3,8:06.0,,Offensive rebound by Team,64,69
263,3,8:06.0,,T. Young makes free throw 2 of 2,64,70
264,3,7:57.0,Personal foul by T. Prince (drawn by R. Gobert),,64,70
265,3,7:50.0,D. Mitchell makes 2-pt jump shot from 12 ft (assist by R. Gobert),,66,70
266,3,7:34.0,,Shooting foul by J. Ingles (drawn by T. Young),66,70
267,3,7:34.0,,T. Young misses free throw 1 of 2,66,70
268,3,7:34.0,,Offensive rebound by Team,66,70
269,3,7:34.0,,T. Young makes free throw 2 of 2,66,71
270,3,7:20.0,D. Mitchell makes 2-pt layup from 1 ft,,68,71
271,3,7:08.0,,T. Young misses 3-pt jump shot from 26 ft,68,71
272,3,7:06.0,Defensive rebound by Team,,68,71
273,3,6:49.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,70,71
274,3,6:49.0,Shooting foul by A. Len (drawn by R. Rubio),,70,71
275,3,6:49.0,,D. Bembry enters the game for K. Huerter,70,71
276,3,6:49.0,R. Rubio makes free throw 1 of 1,,71,71
277,3,6:36.0,,Personal foul by R. Rubio (drawn by D. Bembry),71,71
278,3,6:36.0,J. Crowder enters the game for D. Favors,,71,71
279,3,6:36.0,R. O'Neale enters the game for R. Rubio,,71,71
280,3,6:36.0,,V. Carter enters the game for D. Dedmon,71,71
281,3,6:34.0,,Personal foul by R. O'Neale (drawn by V. Carter),71,71
282,3,6:27.0,,T. Young misses 2-pt jump shot from 12 ft,71,71
283,3,6:24.0,,Offensive rebound by D. Bembry,71,71
284,3,6:21.0,,V. Carter misses 3-pt jump shot from 24 ft,71,71
285,3,6:19.0,Defensive rebound by R. Gobert,,71,71
286,3,6:13.0,R. O'Neale makes 3-pt jump shot from 23 ft (assist by J. Ingles),,74,71
287,3,6:04.0,,Personal foul by D. Mitchell (drawn by T. Young),74,71
288,3,6:04.0,,T. Young makes free throw 1 of 2,74,72
289,3,6:04.0,,K. Bazemore enters the game for T. Prince,74,72
290,3,6:04.0,,T. Young makes free throw 2 of 2,74,73
291,3,5:49.0,Turnover by D. Mitchell (bad pass; steal by V. Carter),,74,73
292,3,5:45.0,,T. Young misses 2-pt layup from 1 ft (block by D. Mitchell),74,73
293,3,5:41.0,Defensive rebound by R. O'Neale,,74,73
294,3,5:34.0,Personal foul by A. Len (drawn by R. O'Neale),,74,73
295,3,5:34.0,R. O'Neale makes free throw 1 of 2,,75,73
296,3,5:34.0,,J. Adams enters the game for A. Len,75,73
297,3,5:34.0,,D. Dedmon enters the game for T. Young,75,73
298,3,5:34.0,R. O'Neale makes free throw 2 of 2,,76,73
299,3,5:22.0,,Offensive foul by D. Dedmon (drawn by R. O'Neale),76,73
300,3,5:22.0,,Turnover by D. Dedmon (offensive foul),76,73
301,3,5:22.0,K. Korver enters the game for J. Ingles,,76,73
302,3,5:12.0,D. Mitchell makes 2-pt jump shot from 11 ft,,78,73
303,3,4:51.0,,K. Bazemore misses 3-pt jump shot from 25 ft,78,73
304,3,4:48.0,Defensive rebound by R. Gobert,,78,73
305,3,4:44.0,Offensive foul by R. Gobert (drawn by V. Carter),,78,73
306,3,4:44.0,Turnover by R. Gobert (offensive foul),,78,73
307,3,4:33.0,,Turnover by K. Bazemore (out of bounds lost ball),78,73
308,3,4:18.0,K. Korver makes 2-pt jump shot from 7 ft (assist by D. Mitchell),,80,73
309,3,4:05.0,,Turnover by J. Adams (bad pass; steal by R. Gobert),80,73
310,3,3:57.0,D. Mitchell makes 2-pt jump shot from 14 ft,,82,73
311,3,3:56.0,,Atlanta full timeout,82,73
312,3,3:56.0,,K. Huerter enters the game for J. Adams,82,73
313,3,3:37.0,,Turnover by D. Bembry (bad pass; steal by J. Crowder),82,73
314,3,3:33.0,D. Mitchell misses 2-pt layup from 5 ft,,82,73
315,3,3:30.0,,Defensive rebound by D. Dedmon,82,73
316,3,3:22.0,,Shooting foul by R. Gobert (drawn by V. Carter),82,73
317,3,3:22.0,,V. Carter makes free throw 1 of 2,82,74
318,3,3:22.0,,V. Carter makes free throw 2 of 2,82,75
319,3,3:10.0,K. Korver misses 3-pt jump shot from 25 ft,,82,75
320,3,3:04.0,Offensive rebound by J. Crowder,,82,75
321,3,3:03.0,Turnover by J. Crowder (bad pass; steal by D. Bembry),,82,75
322,3,2:59.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by D. Bembry),82,78
323,3,2:46.0,D. Mitchell misses 2-pt jump shot from 10 ft,,82,78
324,3,2:45.0,Offensive rebound by Team,,82,78
325,3,2:45.0,,Loose ball foul by K. Huerter (drawn by R. Gobert),82,78
326,3,2:45.0,R. Gobert misses free throw 1 of 2,,82,78
327,3,2:45.0,Offensive rebound by Team,,82,78
328,3,2:45.0,J. Ingles enters the game for D. Mitchell,,82,78
329,3,2:45.0,R. Neto enters the game for R. O'Neale,,82,78
330,3,2:45.0,R. Gobert makes free throw 2 of 2,,83,78
331,3,2:27.0,,K. Huerter makes 2-pt layup from 1 ft (assist by D. Dedmon),83,80
332,3,2:18.0,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Neto),,86,80
333,3,1:59.0,,D. Dedmon misses 2-pt hook shot from 1 ft,86,80
334,3,1:57.0,Defensive rebound by J. Crowder,,86,80
335,3,1:51.0,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Korver),,88,80
336,3,1:31.0,,K. Bazemore misses 2-pt jump shot from 10 ft,88,80
337,3,1:28.0,Defensive rebound by J. Ingles,,88,80
338,3,1:16.0,R. Neto misses 3-pt jump shot from 25 ft,,88,80
339,3,1:11.0,,Defensive rebound by V. Carter,88,80
340,3,1:05.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by V. Carter),88,83
341,3,0:46.0,J. Crowder misses 3-pt jump shot from 23 ft,,88,83
342,3,0:45.0,Offensive rebound by R. Gobert,,88,83
343,3,0:45.0,R. Gobert makes 2-pt layup at rim,,90,83
344,3,0:33.0,,K. Huerter misses 3-pt jump shot from 25 ft,90,83
345,3,0:30.0,Defensive rebound by R. Gobert,,90,83
346,3,0:13.0,Personal foul by D. Bembry (drawn by K. Korver),,90,83
347,3,0:13.0,K. Korver makes free throw 1 of 2,,91,83
348,3,0:13.0,K. Korver misses free throw 2 of 2,,91,83
349,3,0:11.0,,Defensive rebound by D. Dedmon,91,83
350,3,0:04.0,,K. Bazemore makes 3-pt jump shot from 24 ft,91,86
351,3,0:00.0,J. Ingles misses 3-pt jump shot from 28 ft,,91,86
352,3,0:00.0,Offensive rebound by Team,,91,86
353,4,11:50.0,Offensive foul by J. Ingles (drawn by K. Bazemore),,91,86
354,4,11:50.0,Turnover by J. Ingles (offensive foul),,91,86
355,4,11:36.0,,V. Carter misses 3-pt jump shot from 25 ft,91,86
356,4,11:32.0,Defensive rebound by K. Korver,,91,86
357,4,11:14.0,R. Neto misses 2-pt layup from 5 ft,,91,86
358,4,11:11.0,Offensive rebound by R. Neto,,91,86
359,4,11:09.0,K. Korver misses 3-pt jump shot from 26 ft,,91,86
360,4,11:06.0,,Defensive rebound by V. Carter,91,86
361,4,11:00.0,,T. Young misses 2-pt jump shot from 13 ft,91,86
362,4,10:57.0,Defensive rebound by D. Favors,,91,86
363,4,10:49.0,J. Crowder misses 2-pt layup from 2 ft,,91,86
364,4,10:46.0,,Defensive rebound by J. Collins,91,86
365,4,10:43.0,,K. Bazemore misses 3-pt jump shot from 25 ft,91,86
366,4,10:40.0,Defensive rebound by D. Favors,,91,86
367,4,10:32.0,K. Korver misses 2-pt jump shot from 20 ft,,91,86
368,4,10:27.0,Offensive rebound by D. Favors,,91,86
369,4,10:25.0,K. Korver misses 3-pt jump shot from 27 ft,,91,86
370,4,10:19.0,,Defensive rebound by V. Carter,91,86
371,4,10:09.0,,K. Huerter makes 2-pt jump shot from 17 ft,91,88
372,4,10:08.0,Utah full timeout,,91,88
373,4,10:08.0,D. Mitchell enters the game for J. Crowder,,91,88
374,4,10:08.0,R. O'Neale enters the game for K. Korver,,91,88
375,4,10:08.0,T. Sefolosha enters the game for R. Neto,,91,88
376,4,10:08.0,,T. Prince enters the game for K. Bazemore,91,88
377,4,9:49.0,D. Mitchell makes 2-pt jump shot from 14 ft,,93,88
378,4,9:31.0,,Shooting foul by T. Sefolosha (drawn by V. Carter),93,88
379,4,9:31.0,,V. Carter makes free throw 1 of 2,93,89
380,4,9:31.0,,V. Carter misses free throw 2 of 2,93,89
381,4,9:29.0,Defensive rebound by T. Sefolosha,,93,89
382,4,9:18.0,D. Favors makes 2-pt layup from 1 ft,,95,89
383,4,9:18.0,Shooting foul by K. Huerter (drawn by D. Favors),,95,89
384,4,9:18.0,R. Rubio enters the game for J. Ingles,,95,89
385,4,9:18.0,D. Favors makes free throw 1 of 1,,96,89
386,4,9:10.0,,T. Young makes 3-pt jump shot from 26 ft (assist by V. Carter),96,92
