,QUARTER,TIME_REMAINING,DETROIT_ACTION,DALLAS_ACTION,DETROIT_SCORE,DALLAS_SCORE
0,1,11:48.0,R. Bullock misses 3-pt jump shot from 25 ft,,0,0
1,1,11:44.0,,Defensive rebound by D. Jordan,0,0
2,1,11:30.0,,H. Barnes misses 2-pt jump shot from 6 ft,0,0
3,1,11:27.0,Defensive rebound by B. Griffin,,0,0
4,1,11:09.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,3,0
5,1,10:58.0,,Personal foul by B. Brown (drawn by L. Dončić),3,0
6,1,10:50.0,,W. Matthews misses 3-pt jump shot from 26 ft,3,0
7,1,10:46.0,Defensive rebound by R. Jackson,,3,0
8,1,10:40.0,Detroit full timeout,,3,0
9,1,10:31.0,R. Bullock misses 2-pt jump shot from 18 ft,,3,0
10,1,10:27.0,Offensive rebound by A. Drummond,,3,0
11,1,10:27.0,A. Drummond misses 2-pt layup at rim,,3,0
12,1,10:27.0,,Defensive rebound by D. Jordan,3,0
13,1,10:16.0,,L. Dončić misses 2-pt jump shot from 12 ft,3,0
14,1,10:14.0,,Offensive rebound by L. Dončić,3,0
15,1,10:07.0,,Personal foul by B. Griffin (drawn by D. Jordan),3,0
16,1,10:03.0,,L. Dončić makes 2-pt layup from 1 ft (assist by D. Jordan),3,2
17,1,9:50.0,R. Bullock misses 3-pt jump shot from 25 ft,,3,2
18,1,9:46.0,,Defensive rebound by D. Smith,3,2
19,1,9:44.0,,L. Dončić makes 2-pt layup at rim (assist by D. Smith),3,4
20,1,9:28.0,B. Brown makes 2-pt layup from 1 ft (assist by B. Griffin),,5,4
21,1,9:07.0,,H. Barnes misses 3-pt jump shot from 25 ft,5,4
22,1,9:04.0,Defensive rebound by R. Jackson,,5,4
23,1,8:58.0,A. Drummond misses 2-pt hook shot from 8 ft,,5,4
24,1,8:56.0,,Defensive rebound by L. Dončić,5,4
25,1,8:52.0,,D. Smith makes 2-pt layup from 1 ft,5,6
26,1,8:37.0,Personal foul by L. Dončić (drawn by B. Griffin),,5,6
27,1,8:23.0,A. Drummond makes 2-pt layup from 1 ft,,7,6
28,1,8:12.0,,W. Matthews misses 3-pt jump shot from 24 ft,7,6
29,1,8:09.0,Defensive rebound by B. Griffin,,7,6
30,1,8:02.0,B. Griffin misses 3-pt jump shot from 24 ft,,7,6
31,1,8:00.0,,Defensive rebound by H. Barnes,7,6
32,1,7:55.0,,D. Smith misses 3-pt jump shot from 25 ft,7,6
33,1,7:54.0,Defensive rebound by Team,,7,6
34,1,7:54.0,,Loose ball foul by D. Jordan (drawn by B. Griffin),7,6
35,1,7:43.0,R. Jackson misses 3-pt jump shot from 26 ft,,7,6
36,1,7:41.0,,Defensive rebound by H. Barnes,7,6
37,1,7:33.0,,Turnover by L. Dončić (bad pass),7,6
38,1,7:17.0,B. Griffin makes 2-pt dunk from 1 ft (assist by B. Brown),,9,6
39,1,6:51.0,,L. Dončić misses 3-pt jump shot from 28 ft,9,6
40,1,6:46.0,Defensive rebound by A. Drummond,,9,6
41,1,6:38.0,A. Drummond makes 2-pt dunk from 1 ft,,11,6
42,1,6:38.0,,Dallas full timeout,11,6
43,1,6:13.0,,L. Dončić misses 3-pt jump shot from 26 ft,11,6
44,1,6:11.0,Defensive rebound by Team,,11,6
45,1,6:11.0,,Loose ball foul by D. Jordan (drawn by A. Drummond),11,6
46,1,6:11.0,,D. Powell enters the game for D. Jordan,11,6
47,1,5:54.0,R. Jackson misses 3-pt jump shot from 27 ft,,11,6
48,1,5:51.0,,Defensive rebound by L. Dončić,11,6
