,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,R. Rondo makes 2-pt layup from 1 ft (assist by L. Stephenson),,2,0
1,1,11:23.0,,Turnover by J. Randle (lost ball; steal by R. Rondo),2,0
2,1,11:15.0,L. Stephenson misses 3-pt jump shot from 24 ft,,2,0
3,1,11:12.0,,Defensive rebound by J. Randle,2,0
4,1,11:07.0,,I. Clark makes 3-pt jump shot from 29 ft (assist by J. Randle),2,3
5,1,10:44.0,J. McGee misses 2-pt jump shot from 10 ft,,2,3
6,1,10:42.0,,Defensive rebound by I. Clark,2,3
7,1,10:37.0,,Personal foul by M. Wagner (drawn by J. Okafor),2,3
8,1,10:31.0,,I. Clark misses 3-pt jump shot from 27 ft,2,3
9,1,10:27.0,Defensive rebound by J. McGee,,2,3
10,1,10:19.0,M. Wagner misses 2-pt jump shot from 7 ft,,2,3
11,1,10:16.0,,Defensive rebound by J. Okafor,2,3
12,1,10:11.0,,I. Clark makes 2-pt layup from 2 ft (assist by E. Payton),2,5
13,1,10:11.0,Violation by Team (def goaltending),,2,5
14,1,10:00.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,2,5
15,1,9:57.0,,Defensive rebound by K. Williams,2,5
16,1,9:49.0,,Turnover by I. Clark (lost ball; steal by K. Caldwell-Pope),2,5
17,1,9:43.0,R. Rondo misses 2-pt jump shot from 20 ft,,2,5
18,1,9:39.0,,Defensive rebound by K. Williams,2,5
19,1,9:23.0,,J. Okafor makes 2-pt layup from 4 ft (assist by E. Payton),2,7
20,1,9:11.0,K. Caldwell-Pope makes 2-pt layup from 1 ft,,4,7
21,1,9:03.0,,E. Payton makes 2-pt layup at rim,4,9
22,1,8:46.0,Turnover by M. Wagner (bad pass; steal by K. Williams),,4,9
23,1,8:41.0,Violation by Team (kicked ball),,4,9
24,1,8:32.0,,Turnover by E. Payton (bad pass; steal by J. McGee),4,9
25,1,8:25.0,J. McGee makes 2-pt hook shot from 8 ft (assist by R. Rondo),,6,9
26,1,8:14.0,,K. Williams misses 3-pt jump shot from 27 ft,6,9
27,1,8:11.0,Defensive rebound by R. Rondo,,6,9
28,1,8:06.0,M. Wagner misses 3-pt jump shot from 30 ft,,6,9
29,1,8:04.0,,Defensive rebound by Team,6,9
30,1,7:50.0,,E. Payton misses 2-pt layup from 8 ft (block by M. Wagner),6,9
31,1,7:48.0,,Offensive rebound by J. Okafor,6,9
32,1,7:44.0,,J. Randle makes 3-pt jump shot from 23 ft (assist by J. Okafor),6,12
33,1,7:21.0,L. Stephenson misses 3-pt jump shot from 26 ft,,6,12
34,1,7:18.0,,Defensive rebound by J. Randle,6,12
35,1,7:07.0,,I. Clark misses 3-pt jump shot from 23 ft,6,12
