,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW ORLEANS_ACTION,LA CLIPPERS_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,A. Bradley misses 2-pt jump shot from 23 ft,,0,0
1,1,11:45.0,,Defensive rebound by Team,0,0
2,1,11:29.0,,E. Moore misses 2-pt layup from 2 ft,0,0
3,1,11:28.0,Defensive rebound by M. Gortat,,0,0
4,1,11:15.0,M. Gortat misses 2-pt jump shot from 15 ft,,0,0
5,1,11:12.0,,Defensive rebound by J. Holiday,0,0
6,1,11:03.0,,N. Mirotić misses 2-pt jump shot from 14 ft,0,0
7,1,10:59.0,Defensive rebound by P. Beverley,,0,0
8,1,10:53.0,T. Harris misses 2-pt jump shot from 17 ft,,0,0
9,1,10:50.0,,Defensive rebound by N. Mirotić,0,0
10,1,10:46.0,,J. Holiday misses 3-pt jump shot from 26 ft,0,0
11,1,10:42.0,Defensive rebound by P. Beverley,,0,0
12,1,10:31.0,P. Beverley misses 2-pt hook shot from 8 ft (block by N. Mirotić),,0,0
13,1,10:28.0,,Defensive rebound by E. Moore,0,0
14,1,10:25.0,,E. Payton makes 2-pt layup from 1 ft,0,2
15,1,10:09.0,M. Gortat misses 2-pt jump shot from 10 ft,,0,2
16,1,10:07.0,,Defensive rebound by A. Davis,0,2
17,1,10:01.0,,A. Davis misses 2-pt layup from 2 ft,0,2
18,1,9:58.0,Defensive rebound by D. Gallinari,,0,2
19,1,9:54.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),,3,2
20,1,9:44.0,,N. Mirotić misses 3-pt jump shot from 28 ft,3,2
21,1,9:41.0,Defensive rebound by P. Beverley,,3,2
22,1,9:34.0,D. Gallinari misses 3-pt jump shot from 26 ft,,3,2
23,1,9:29.0,,Defensive rebound by N. Mirotić,3,2
24,1,9:21.0,,A. Davis misses 2-pt jump shot from 17 ft,3,2
25,1,9:18.0,Defensive rebound by M. Gortat,,3,2
26,1,9:07.0,T. Harris makes 2-pt jump shot from 6 ft,,5,2
