,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
27,1,7:46.0,Defensive rebound by D. Rose,,12,13
28,1,7:35.0,J. Butler misses 3-pt jump shot from 24 ft,,12,13
29,1,7:33.0,,Defensive rebound by T. Harris,12,13
30,1,7:30.0,,P. Beverley misses 3-pt jump shot from 25 ft,12,13
31,1,7:29.0,,Offensive rebound by T. Harris,12,13
32,1,7:16.0,,P. Beverley misses 2-pt jump shot from 8 ft,12,13
33,1,7:12.0,Defensive rebound by K. Towns,,12,13
34,1,7:07.0,D. Rose makes 2-pt layup from 2 ft,,14,13
35,1,7:01.0,,LA Clippers full timeout,14,13
36,1,6:52.0,,B. Marjanović misses 2-pt hook shot from 19 ft,14,13
37,1,6:48.0,Defensive rebound by T. Gibson,,14,13
38,1,6:45.0,K. Towns misses 3-pt jump shot from 27 ft,,14,13
39,1,6:41.0,Offensive rebound by K. Towns,,14,13
40,1,6:38.0,K. Towns misses 2-pt layup from 1 ft (block by B. Marjanović),,14,13
41,1,6:38.0,,Defensive rebound by B. Marjanović,14,13
42,1,6:32.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 3 ft,14,13
43,1,6:32.0,,Offensive rebound by B. Marjanović,14,13
44,1,6:30.0,,B. Marjanović misses 2-pt layup from 3 ft (block by A. Wiggins),14,13
45,1,6:27.0,Defensive rebound by A. Wiggins,,14,13
46,1,6:24.0,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Wiggins),,16,13
47,1,6:13.0,,D. Gallinari makes 2-pt jump shot from 12 ft (assist by S. Gilgeous-Alexander),16,15
48,1,5:50.0,A. Wiggins makes 2-pt jump shot from 19 ft,,18,15
49,1,5:29.0,,T. Harris makes 2-pt jump shot from 5 ft (assist by S. Gilgeous-Alexander),18,17
50,1,5:17.0,Shooting foul by B. Marjanović (drawn by K. Towns),,18,17
51,1,5:17.0,K. Towns makes free throw 1 of 2,,19,17
52,1,5:17.0,,M. Harrell enters the game for B. Marjanović,19,17
53,1,5:17.0,K. Towns makes free throw 2 of 2,,20,17
54,1,4:59.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft (assist by P. Beverley),20,19
55,1,4:53.0,Personal foul by S. Gilgeous-Alexander (drawn by T. Gibson),,20,19
56,1,4:53.0,J. Okogie enters the game for J. Butler,,20,19
57,1,4:53.0,,L. Williams enters the game for S. Gilgeous-Alexander,20,19
58,1,4:43.0,D. Rose misses 2-pt jump shot from 6 ft,,20,19
59,1,4:38.0,Offensive rebound by K. Towns,,20,19
60,1,4:38.0,K. Towns makes 2-pt layup from 2 ft,,22,19
61,1,4:31.0,,Shooting foul by J. Okogie (drawn by L. Williams),22,19
62,1,4:31.0,,L. Williams makes free throw 1 of 2,22,20
63,1,4:31.0,,L. Williams makes free throw 2 of 2,22,21
64,1,4:07.0,A. Wiggins misses 3-pt jump shot from 28 ft,,22,21
65,1,4:07.0,,Defensive rebound by Team,22,21
66,1,4:07.0,Loose ball foul by K. Towns (drawn by D. Gallinari),,22,21
67,1,3:58.0,,L. Williams makes 2-pt jump shot from 18 ft,22,23
68,1,3:33.0,K. Towns makes 2-pt hook shot from 9 ft,,24,23
69,1,3:20.0,,P. Beverley misses 3-pt jump shot from 27 ft,24,23
70,1,3:18.0,Defensive rebound by K. Towns,,24,23
71,1,3:06.0,T. Gibson makes 2-pt layup from 1 ft,,26,23
72,1,2:50.0,,L. Williams misses 2-pt jump shot from 3 ft,26,23
73,1,2:47.0,Defensive rebound by K. Towns,,26,23
74,1,2:45.0,D. Rose makes 2-pt jump shot from 14 ft (assist by K. Towns),,28,23
75,1,2:20.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by P. Beverley),28,26
76,1,2:11.0,Personal foul by D. Gallinari (drawn by K. Towns),,28,26
77,1,2:11.0,Minnesota full timeout,,28,26
78,1,2:11.0,T. Jones enters the game for T. Gibson,,28,26
79,1,2:11.0,A. Tolliver enters the game for D. Rose,,28,26
80,1,2:06.0,J. Okogie misses 2-pt jump shot from 21 ft (block by L. Williams),,28,26
81,1,2:02.0,Offensive rebound by K. Towns,,28,26
82,1,2:00.0,K. Towns makes 2-pt layup from 2 ft,,30,26
83,1,1:33.0,,D. Gallinari misses 2-pt jump shot from 4 ft,30,26
84,1,1:31.0,Defensive rebound by K. Towns,,30,26
85,1,1:29.0,Shooting foul by T. Harris (drawn by A. Wiggins),,30,26
86,1,1:29.0,A. Wiggins misses free throw 1 of 2,,30,26
87,1,1:29.0,Offensive rebound by Team,,30,26
88,1,1:29.0,G. Dieng enters the game for K. Towns,,30,26
89,1,1:29.0,,M. Scott enters the game for P. Beverley,30,26
90,1,1:29.0,,M. Teodosić enters the game for D. Gallinari,30,26
91,1,1:29.0,A. Wiggins makes free throw 2 of 2,,31,26
92,1,1:19.0,,Personal foul by J. Okogie (drawn by L. Williams),31,26
93,1,1:09.0,,M. Teodosić makes 3-pt jump shot from 24 ft (assist by L. Williams),31,29
94,1,0:55.0,A. Wiggins misses 2-pt jump shot from 18 ft,,31,29
95,1,0:51.0,,Defensive rebound by M. Scott,31,29
96,1,0:45.0,,L. Williams makes 2-pt layup from 1 ft (assist by M. Teodosić),31,31
97,1,0:34.0,T. Jones makes 2-pt layup from 3 ft,,33,31
98,1,0:13.0,,L. Williams misses 2-pt jump shot from 17 ft,33,31
99,1,0:09.0,Defensive rebound by A. Wiggins,,33,31
100,1,0:01.0,A. Wiggins misses 2-pt layup from 2 ft,,33,31
101,1,0:01.0,Offensive rebound by Team,,33,31
102,2,11:48.0,,Turnover by M. Harrell (lost ball; steal by T. Jones),33,31
103,2,11:41.0,Turnover by J. Okogie (bad pass; steal by M. Harrell),,33,31
104,2,11:38.0,,Turnover by M. Harrell (lost ball; steal by G. Dieng),33,31
105,2,11:31.0,G. Dieng makes 2-pt layup from 5 ft (assist by T. Jones),,35,31
106,2,11:13.0,Violation by Team (kicked ball),,35,31
107,2,11:03.0,,M. Scott misses 3-pt jump shot from 26 ft,35,31
108,2,11:00.0,Defensive rebound by J. Okogie,,35,31
109,2,10:51.0,T. Jones misses 3-pt jump shot from 27 ft,,35,31
110,2,10:49.0,,Defensive rebound by M. Scott,35,31
111,2,10:42.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by L. Williams),35,34
112,2,10:17.0,G. Dieng makes 2-pt layup from 1 ft (assist by T. Jones),,37,34
113,2,10:04.0,,J. Robinson makes 3-pt jump shot from 25 ft (assist by M. Teodosić),37,37
114,2,9:52.0,Personal foul by J. Robinson (drawn by A. Tolliver),,37,37
115,2,9:48.0,J. Okogie makes 2-pt jump shot from 19 ft,,39,37
116,2,9:30.0,,L. Williams makes 3-pt jump shot from 27 ft (assist by M. Teodosić),39,40
117,2,9:13.0,G. Dieng makes 2-pt dunk from 2 ft (assist by J. Okogie),,41,40
118,2,8:52.0,,M. Harrell makes 2-pt dunk from 3 ft (assist by M. Teodosić),41,42
119,2,8:40.0,Shooting foul by M. Scott (drawn by G. Dieng),,41,42
120,2,8:40.0,G. Dieng makes free throw 1 of 2,,42,42
121,2,8:40.0,G. Dieng makes free throw 2 of 2,,43,42
122,2,8:20.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by M. Scott),43,44
123,2,8:09.0,J. Butler makes 2-pt layup from 1 ft (assist by T. Jones),,45,44
124,2,7:56.0,,J. Robinson makes 3-pt jump shot from 24 ft (assist by L. Williams),45,47
125,2,7:45.0,Personal foul by M. Teodosić (drawn by J. Butler),,45,47
126,2,7:40.0,Offensive foul by J. Butler (drawn by M. Teodosić),,45,47
127,2,7:40.0,Turnover by J. Butler (offensive foul),,45,47
128,2,7:17.0,,L. Williams makes 2-pt jump shot from 3 ft,45,49
129,2,6:59.0,J. Okogie misses 3-pt jump shot from 28 ft,,45,49
130,2,6:56.0,,Defensive rebound by M. Harrell,45,49
131,2,6:43.0,,M. Scott makes 2-pt jump shot from 6 ft,45,51
132,2,6:33.0,Minnesota full timeout,,45,51
133,2,6:33.0,T. Gibson enters the game for G. Dieng,,45,51
134,2,6:33.0,D. Rose enters the game for T. Jones,,45,51
135,2,6:33.0,K. Towns enters the game for A. Tolliver,,45,51
136,2,6:33.0,,P. Beverley enters the game for J. Robinson,45,51
137,2,6:33.0,,D. Gallinari enters the game for M. Scott,45,51
138,2,6:33.0,,Violation by Team (delay of game),45,51
139,2,6:22.0,J. Okogie makes 3-pt jump shot from 24 ft (assist by J. Butler),,48,51
140,2,6:06.0,,Turnover by M. Harrell (bad pass),48,51
141,2,6:06.0,,T. Harris enters the game for M. Teodosić,48,51
142,2,5:41.0,D. Rose misses 2-pt jump shot from 20 ft,,48,51
143,2,5:36.0,,Defensive rebound by D. Gallinari,48,51
144,2,5:20.0,,D. Gallinari misses 2-pt jump shot from 18 ft,48,51
145,2,5:20.0,Defensive rebound by K. Towns,,48,51
146,2,5:20.0,Personal foul by P. Beverley (drawn by K. Towns),,48,51
147,2,5:20.0,,S. Gilgeous-Alexander enters the game for M. Harrell,48,51
148,2,5:20.0,,B. Marjanović enters the game for L. Williams,48,51
149,2,5:03.0,J. Butler misses 2-pt jump shot from 19 ft,,48,51
150,2,4:58.0,Offensive rebound by T. Gibson,,48,51
151,2,4:52.0,J. Okogie makes 2-pt jump shot from 8 ft,,50,51
152,2,4:39.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by B. Marjanović),50,54
153,2,4:24.0,K. Towns makes 2-pt hook shot from 7 ft (assist by D. Rose),,52,54
154,2,4:24.0,Shooting foul by B. Marjanović (drawn by K. Towns),,52,54
155,2,4:24.0,K. Towns makes free throw 1 of 1,,53,54
156,2,4:09.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,53,54
157,2,4:07.0,Defensive rebound by K. Towns,,53,54
158,2,4:02.0,D. Rose misses 3-pt jump shot from 26 ft,,53,54
159,2,3:58.0,,Defensive rebound by B. Marjanović,53,54
160,2,3:52.0,,Shooting foul by T. Gibson (drawn by T. Harris),53,54
161,2,3:52.0,,T. Harris makes free throw 1 of 2,53,55
162,2,3:52.0,A. Wiggins enters the game for J. Okogie,,53,55
163,2,3:52.0,,M. Harrell enters the game for B. Marjanović,53,55
164,2,3:52.0,,T. Harris misses free throw 2 of 2,53,55
165,2,3:50.0,Defensive rebound by T. Gibson,,53,55
166,2,3:39.0,A. Wiggins misses 3-pt jump shot from 27 ft,,53,55
167,2,3:34.0,,Defensive rebound by M. Harrell,53,55
168,2,3:21.0,,Turnover by T. Harris (lost ball; steal by T. Gibson),53,55
169,2,3:18.0,D. Rose makes 2-pt layup from 1 ft (assist by K. Towns),,55,55
170,2,3:06.0,,D. Gallinari misses 2-pt hook shot from 3 ft (block by K. Towns),55,55
171,2,3:06.0,Defensive rebound by J. Butler,,55,55
172,2,2:54.0,K. Towns misses 2-pt hook shot from 5 ft,,55,55
173,2,2:52.0,,Defensive rebound by T. Harris,55,55
174,2,2:49.0,,D. Gallinari misses 3-pt jump shot from 26 ft,55,55
175,2,2:47.0,,Offensive rebound by P. Beverley,55,55
176,2,2:45.0,,P. Beverley misses 3-pt jump shot from 25 ft,55,55
177,2,2:41.0,,Offensive rebound by S. Gilgeous-Alexander,55,55
178,2,2:35.0,,T. Harris makes 2-pt layup from 1 ft,55,57
179,2,2:25.0,Offensive foul by J. Butler (drawn by P. Beverley),,55,57
180,2,2:25.0,Turnover by J. Butler (offensive foul),,55,57
181,2,2:25.0,,LA Clippers full timeout,55,57
182,2,2:14.0,,T. Harris misses 2-pt layup from 2 ft (block by K. Towns),55,57
183,2,2:11.0,,Offensive rebound by M. Harrell,55,57
184,2,2:10.0,,D. Gallinari makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),55,59
185,2,2:10.0,,Shooting foul by T. Gibson (drawn by D. Gallinari),55,59
186,2,2:10.0,,D. Gallinari makes free throw 1 of 1,55,60
187,2,1:54.0,T. Gibson makes 2-pt dunk from 2 ft (assist by D. Rose),,57,60
188,2,1:38.0,,Offensive foul by D. Gallinari (drawn by D. Rose),57,60
189,2,1:38.0,,Turnover by D. Gallinari (offensive foul),57,60
190,2,1:17.0,T. Gibson misses 2-pt jump shot from 13 ft,,57,60
191,2,1:16.0,,Defensive rebound by T. Harris,57,60
192,2,1:16.0,,T. Harris makes 2-pt layup from 3 ft (assist by S. Gilgeous-Alexander),57,62
193,2,1:16.0,,Shooting foul by K. Towns (drawn by T. Harris),57,62
194,2,1:16.0,,T. Harris makes free throw 1 of 1,57,63
195,2,1:03.0,A. Wiggins misses 2-pt jump shot from 16 ft,,57,63
196,2,0:59.0,,Defensive rebound by S. Gilgeous-Alexander,57,63
197,2,0:53.0,,D. Gallinari misses 3-pt jump shot from 23 ft,57,63
198,2,0:51.0,Defensive rebound by K. Towns,,57,63
199,2,0:45.0,Shooting foul by D. Gallinari (drawn by J. Butler),,57,63
200,2,0:45.0,J. Butler makes free throw 1 of 2,,58,63
201,2,0:45.0,,M. Scott enters the game for D. Gallinari,58,63
202,2,0:45.0,J. Butler makes free throw 2 of 2,,59,63
203,2,0:22.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft (block by J. Butler),59,63
204,2,0:18.0,,Offensive rebound by S. Gilgeous-Alexander,59,63
205,2,0:16.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,59,63
206,2,0:14.0,Defensive rebound by T. Gibson,,59,63
207,2,0:06.0,D. Rose misses 2-pt layup from 2 ft,,59,63
208,2,0:03.0,,Defensive rebound by T. Harris,59,63
209,2,0:01.0,,P. Beverley misses 3-pt jump shot from 25 ft,59,63
210,2,0:00.0,,Offensive rebound by Team,59,63
211,3,11:54.0,,Personal foul by T. Gibson (drawn by T. Harris),59,63
212,3,11:40.0,,Personal foul by T. Gibson (drawn by B. Marjanović),59,63
213,3,11:30.0,,D. Gallinari makes 2-pt jump shot from 15 ft,59,65
214,3,11:16.0,J. Butler misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),,59,65
215,3,11:14.0,Offensive rebound by T. Gibson,,59,65
216,3,11:13.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Butler),,61,65
217,3,10:54.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by P. Beverley),61,68
218,3,10:39.0,D. Rose misses 2-pt jump shot from 6 ft,,61,68
219,3,10:35.0,,Defensive rebound by T. Harris,61,68
220,3,10:33.0,,B. Marjanović misses 2-pt layup from 4 ft (block by K. Towns),61,68
221,3,10:33.0,,Offensive rebound by B. Marjanović,61,68
222,3,10:33.0,,Shooting foul by J. Butler (drawn by B. Marjanović),61,68
223,3,10:33.0,,B. Marjanović makes free throw 1 of 2,61,69
224,3,10:33.0,,B. Marjanović makes free throw 2 of 2,61,70
225,3,10:26.0,Personal foul by P. Beverley (drawn by J. Butler),,61,70
226,3,10:16.0,K. Towns misses 2-pt hook shot from 10 ft,,61,70
227,3,10:13.0,,Defensive rebound by D. Gallinari,61,70
228,3,10:02.0,,D. Gallinari misses 3-pt jump shot from 28 ft,61,70
229,3,10:02.0,,Offensive rebound by B. Marjanović,61,70
230,3,9:58.0,,Turnover by B. Marjanović (lost ball; steal by T. Gibson),61,70
231,3,9:55.0,Offensive foul by K. Towns (drawn by D. Gallinari),,61,70
232,3,9:55.0,Turnover by K. Towns (offensive foul),,61,70
233,3,9:37.0,,T. Harris misses 3-pt jump shot from 27 ft,61,70
234,3,9:33.0,Defensive rebound by A. Wiggins,,61,70
235,3,9:25.0,K. Towns makes 2-pt hook shot from 7 ft,,63,70
236,3,9:13.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by T. Harris),63,73
237,3,8:52.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Butler),,66,73
238,3,8:35.0,,Shooting foul by J. Butler (drawn by S. Gilgeous-Alexander),66,73
239,3,8:35.0,,S. Gilgeous-Alexander makes free throw 1 of 2,66,74
240,3,8:35.0,,S. Gilgeous-Alexander makes free throw 2 of 2,66,75
241,3,8:20.0,Turnover by K. Towns (bad pass),,66,75
242,3,8:11.0,,P. Beverley makes 2-pt layup at rim,66,77
243,3,8:11.0,Minnesota full timeout,,66,77
244,3,7:59.0,D. Rose misses 2-pt layup from 1 ft,,66,77
245,3,7:57.0,,Defensive rebound by D. Gallinari,66,77
246,3,7:51.0,,T. Harris misses 2-pt jump shot from 4 ft (block by T. Gibson),66,77
247,3,7:51.0,Defensive rebound by Team,,66,77
248,3,7:32.0,A. Wiggins misses 2-pt layup from 3 ft,,66,77
249,3,7:26.0,Offensive rebound by T. Gibson,,66,77
250,3,7:26.0,T. Gibson makes 2-pt layup from 1 ft,,68,77
251,3,7:16.0,,T. Harris misses 3-pt jump shot from 26 ft,68,77
252,3,7:12.0,Defensive rebound by A. Wiggins,,68,77
253,3,7:05.0,A. Wiggins makes 2-pt jump shot from 15 ft,,70,77
254,3,6:47.0,,B. Marjanović makes 2-pt hook shot from 11 ft (assist by D. Gallinari),70,79
255,3,6:34.0,A. Wiggins misses 3-pt jump shot from 23 ft,,70,79
256,3,6:31.0,,Defensive rebound by B. Marjanović,70,79
257,3,6:28.0,,T. Harris misses 2-pt layup from 1 ft,70,79
258,3,6:28.0,Defensive rebound by D. Rose,,70,79
259,3,6:08.0,D. Rose misses 2-pt jump shot from 12 ft,,70,79
260,3,6:08.0,,Defensive rebound by B. Marjanović,70,79
261,3,5:56.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Towns),70,79
262,3,5:53.0,T. Gibson makes 2-pt dunk from 1 ft (assist by D. Rose),,72,79
263,3,5:52.0,,LA Clippers full timeout,72,79
264,3,5:40.0,,Turnover by D. Gallinari (bad pass; steal by K. Towns),72,79
265,3,5:39.0,Shooting foul by T. Harris (drawn by D. Rose),,72,79
266,3,5:39.0,D. Rose makes free throw 1 of 2,,73,79
267,3,5:39.0,D. Rose makes free throw 2 of 2,,74,79
268,3,5:18.0,,T. Harris makes 2-pt jump shot from 5 ft,74,81
269,3,5:01.0,J. Butler misses 2-pt jump shot from 14 ft,,74,81
270,3,4:57.0,,Defensive rebound by T. Harris,74,81
271,3,4:51.0,,Shooting foul by D. Rose (drawn by B. Marjanović),74,81
272,3,4:51.0,,B. Marjanović makes free throw 1 of 2,74,82
273,3,4:51.0,,B. Marjanović makes free throw 2 of 2,74,83
274,3,4:35.0,Personal foul by P. Beverley (drawn by J. Butler),,74,83
275,3,4:23.0,D. Rose makes 2-pt jump shot from 9 ft (assist by T. Gibson),,76,83
276,3,4:00.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by K. Towns),76,83
277,3,3:48.0,A. Wiggins misses 2-pt layup from 3 ft (block by B. Marjanović),,76,83
278,3,3:48.0,,Defensive rebound by Team,76,83
279,3,3:48.0,J. Okogie enters the game for J. Butler,,76,83
280,3,3:48.0,,M. Scott enters the game for D. Gallinari,76,83
281,3,3:48.0,,L. Williams enters the game for S. Gilgeous-Alexander,76,83
282,3,3:30.0,,P. Beverley misses 2-pt hook shot from 1 ft,76,83
283,3,3:26.0,,Offensive rebound by B. Marjanović,76,83
284,3,3:24.0,,B. Marjanović makes 2-pt layup from 2 ft,76,85
285,3,3:10.0,K. Towns makes 2-pt layup from 3 ft,,78,85
286,3,2:45.0,,B. Marjanović misses 2-pt layup from 4 ft (block by A. Wiggins),78,85
287,3,2:42.0,Defensive rebound by T. Gibson,,78,85
288,3,2:39.0,T. Gibson misses 2-pt layup from 3 ft,,78,85
289,3,2:37.0,,Defensive rebound by T. Harris,78,85
290,3,2:34.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by T. Harris),78,88
291,3,2:19.0,D. Rose misses 2-pt jump shot from 8 ft,,78,88
292,3,2:19.0,Offensive rebound by Team,,78,88
293,3,2:19.0,G. Dieng enters the game for T. Gibson,,78,88
294,3,2:19.0,T. Jones enters the game for D. Rose,,78,88
295,3,2:19.0,A. Tolliver enters the game for K. Towns,,78,88
296,3,2:19.0,,M. Harrell enters the game for B. Marjanović,78,88
297,3,2:09.0,T. Jones misses 3-pt jump shot from 26 ft,,78,88
298,3,2:07.0,Offensive rebound by G. Dieng,,78,88
299,3,2:03.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Okogie),,81,88
300,3,1:44.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),81,90
301,3,1:29.0,T. Jones makes 2-pt layup from 1 ft,,83,90
302,3,1:17.0,,Personal foul by J. Okogie (drawn by L. Williams),83,90
303,3,1:17.0,,L. Williams makes free throw 1 of 2,83,91
304,3,1:17.0,,L. Williams makes free throw 2 of 2,83,92
305,3,1:06.0,Shooting foul by M. Harrell (drawn by A. Tolliver),,83,92
306,3,1:06.0,A. Tolliver misses free throw 1 of 2,,83,92
307,3,1:06.0,Offensive rebound by Team,,83,92
308,3,1:06.0,,M. Teodosić enters the game for P. Beverley,83,92
309,3,1:06.0,A. Tolliver makes free throw 2 of 2,,84,92
310,3,0:54.0,,L. Williams misses 2-pt jump shot from 14 ft,84,92
311,3,0:51.0,Defensive rebound by A. Wiggins,,84,92
312,3,0:44.0,Offensive foul by A. Wiggins (drawn by M. Harrell),,84,92
313,3,0:44.0,Turnover by A. Wiggins (offensive foul),,84,92
314,3,0:24.0,,T. Harris misses 2-pt jump shot from 13 ft,84,92
315,3,0:21.0,Defensive rebound by T. Jones,,84,92
316,3,0:02.0,A. Wiggins misses 2-pt jump shot from 20 ft,,84,92
317,3,0:00.0,,Defensive rebound by M. Harrell,84,92
318,4,11:47.0,J. Butler makes 2-pt jump shot from 14 ft,,86,92
319,4,11:47.0,Shooting foul by J. Robinson (drawn by J. Butler),,86,92
320,4,11:47.0,J. Butler makes free throw 1 of 1,,87,92
321,4,11:36.0,,Turnover by M. Teodosić (traveling),87,92
322,4,11:20.0,J. Butler makes 2-pt jump shot from 11 ft,,89,92
323,4,11:04.0,,J. Robinson misses 3-pt jump shot from 28 ft,89,92
324,4,11:01.0,Defensive rebound by A. Tolliver,,89,92
325,4,10:45.0,T. Jones misses 3-pt jump shot from 26 ft,,89,92
326,4,10:43.0,Offensive rebound by Team,,89,92
327,4,10:43.0,,Loose ball foul by M. Scott (drawn by A. Tolliver),89,92
328,4,10:37.0,Shooting foul by M. Teodosić (drawn by J. Butler),,89,92
329,4,10:37.0,J. Butler makes free throw 1 of 2,,90,92
330,4,10:37.0,,P. Beverley enters the game for J. Robinson,90,92
331,4,10:37.0,J. Butler makes free throw 2 of 2,,91,92
332,4,10:27.0,,L. Williams makes 2-pt jump shot from 17 ft (assist by M. Harrell),91,94
333,4,10:07.0,J. Butler makes 2-pt layup from 1 ft (assist by G. Dieng),,93,94
334,4,9:52.0,,M. Harrell makes 2-pt dunk from 3 ft (assist by M. Scott),93,96
335,4,9:36.0,Personal foul by P. Beverley (drawn by J. Butler),,93,96
336,4,9:28.0,Turnover by T. Jones (bad pass; steal by M. Harrell),,93,96
337,4,9:23.0,,M. Harrell makes 2-pt layup from 1 ft (assist by P. Beverley),93,98
338,4,9:01.0,J. Okogie misses 3-pt jump shot from 24 ft,,93,98
339,4,8:57.0,,Defensive rebound by M. Scott,93,98
340,4,8:53.0,,Personal foul by J. Okogie (drawn by L. Williams),93,98
341,4,8:53.0,D. Rose enters the game for G. Dieng,,93,98
342,4,8:53.0,K. Towns enters the game for J. Okogie,,93,98
343,4,8:46.0,,L. Williams misses 3-pt jump shot from 27 ft,93,98
344,4,8:41.0,Defensive rebound by K. Towns,,93,98
345,4,8:36.0,Personal foul by M. Teodosić (drawn by D. Rose),,93,98
346,4,8:36.0,,Technical foul by M. Harrell,93,98
347,4,8:36.0,Technical foul by D. Rose,,93,98
348,4,8:36.0,,S. Gilgeous-Alexander enters the game for M. Teodosić,93,98
349,4,8:36.0,D. Rose makes free throw 1 of 2,,94,98
350,4,8:36.0,D. Rose makes free throw 2 of 2,,95,98
351,4,8:27.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by L. Williams),95,101
352,4,8:11.0,D. Rose makes 2-pt jump shot from 15 ft,,97,101
353,4,8:03.0,,Personal foul by A. Tolliver (drawn by L. Williams),97,101
354,4,7:56.0,,L. Williams makes 2-pt layup from 2 ft,97,103
355,4,7:44.0,Turnover by D. Rose (lost ball; steal by S. Gilgeous-Alexander),,97,103
356,4,7:35.0,,M. Harrell misses 2-pt dunk from 3 ft,97,103
357,4,7:33.0,Defensive rebound by J. Butler,,97,103
358,4,7:29.0,J. Butler misses 3-pt jump shot from 26 ft,,97,103
359,4,7:27.0,,Defensive rebound by M. Scott,97,103
360,4,7:18.0,,L. Williams misses 2-pt layup from 2 ft,97,103
361,4,7:18.0,Defensive rebound by J. Butler,,97,103
362,4,7:03.0,D. Rose misses 2-pt jump shot from 9 ft,,97,103
363,4,7:03.0,Offensive rebound by Team,,97,103
364,4,7:03.0,,Loose ball foul by M. Scott (drawn by J. Butler),97,103
365,4,7:03.0,J. Butler misses free throw 1 of 2,,97,103
366,4,7:03.0,Offensive rebound by Team,,97,103
367,4,7:03.0,J. Butler makes free throw 2 of 2,,98,103
368,4,6:45.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,98,105
369,4,6:34.0,Turnover by K. Towns (bad pass),,98,105
370,4,6:34.0,,LA Clippers full timeout,98,105
371,4,6:34.0,T. Gibson enters the game for T. Jones,,98,105
372,4,6:34.0,A. Wiggins enters the game for A. Tolliver,,98,105
373,4,6:34.0,,D. Gallinari enters the game for M. Scott,98,105
