,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DETROIT_ACTION,PHILADELPHIA_SCORE,DETROIT_SCORE
0,1,11:47.0,J. Butler makes 2-pt jump shot from 18 ft,,2,0
1,1,11:29.0,,Turnover by R. Jackson (bad pass; steal by J. Butler),2,0
2,1,11:22.0,B. Simmons makes 2-pt layup from 5 ft (assist by J. Butler),,4,0
3,1,11:09.0,,R. Jackson misses 3-pt jump shot from 26 ft,4,0
4,1,11:04.0,Defensive rebound by B. Simmons,,4,0
5,1,10:57.0,A. Johnson misses 3-pt jump shot from 28 ft,,4,0
6,1,10:54.0,,Defensive rebound by A. Drummond,4,0
7,1,10:48.0,,Shooting foul by B. Simmons (drawn by B. Griffin),4,0
8,1,10:48.0,,B. Griffin misses free throw 1 of 2,4,0
9,1,10:48.0,,Offensive rebound by Team,4,0
10,1,10:48.0,,B. Griffin makes free throw 2 of 2,4,1
11,1,10:39.0,J. Butler misses 3-pt jump shot from 27 ft,,4,1
12,1,10:36.0,,Defensive rebound by G. Robinson,4,1
13,1,10:26.0,,Turnover by G. Robinson (lost ball; steal by A. Johnson),4,1
14,1,10:24.0,Turnover by B. Simmons (bad pass),,4,1
15,1,10:05.0,,A. Drummond misses 3-pt jump shot from 23 ft,4,1
16,1,10:05.0,,Offensive rebound by G. Robinson,4,1
17,1,10:05.0,,G. Robinson misses 2-pt layup from 6 ft (block by J. Redick),4,1
18,1,10:04.0,,Offensive rebound by Team,4,1
19,1,10:01.0,,Turnover by Team (shot clock),4,1
20,1,9:57.0,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Simmons),,6,1
21,1,9:39.0,,A. Drummond makes 2-pt layup from 4 ft (assist by B. Brown),6,3
22,1,9:39.0,,Shooting foul by J. Butler (drawn by A. Drummond),6,3
23,1,9:39.0,,A. Drummond makes free throw 1 of 1,6,4
24,1,9:26.0,J. Redick misses 2-pt layup from 3 ft (block by R. Jackson),,6,4
25,1,9:23.0,,Defensive rebound by B. Griffin,6,4
26,1,9:19.0,,B. Griffin makes 2-pt layup from 3 ft,6,6
27,1,9:13.0,Personal foul by R. Jackson (drawn by J. Butler),,6,6
28,1,9:00.0,Personal foul by R. Jackson (drawn by J. Redick),,6,6
29,1,8:52.0,Turnover by A. Johnson (bad pass; steal by R. Jackson),,6,6
30,1,8:49.0,,R. Jackson makes 2-pt dunk from 2 ft,6,8
31,1,8:33.0,J. Redick misses 3-pt jump shot from 26 ft,,6,8
32,1,8:31.0,Offensive rebound by B. Simmons,,6,8
33,1,8:28.0,B. Simmons makes 2-pt hook shot from 8 ft,,8,8
34,1,8:16.0,,A. Drummond misses 2-pt layup from 2 ft,8,8
35,1,8:13.0,Defensive rebound by A. Johnson,,8,8
36,1,8:10.0,Turnover by J. Redick (bad pass; steal by A. Drummond),,8,8
37,1,7:59.0,,G. Robinson misses 3-pt jump shot from 23 ft,8,8
38,1,7:53.0,Defensive rebound by J. Redick,,8,8
39,1,7:50.0,B. Simmons misses 2-pt hook shot from 6 ft,,8,8
40,1,7:47.0,,Defensive rebound by R. Jackson,8,8
41,1,7:44.0,,Turnover by R. Jackson (bad pass; steal by A. Johnson),8,8
42,1,7:41.0,B. Simmons makes 2-pt dunk from 2 ft (assist by J. Redick),,10,8
43,1,7:40.0,,Detroit full timeout,10,8
44,1,7:18.0,,B. Griffin makes 2-pt hook shot from 5 ft,10,10
45,1,7:01.0,J. Butler misses 2-pt jump shot from 9 ft,,10,10
46,1,6:58.0,Offensive rebound by A. Johnson,,10,10
47,1,6:50.0,J. Butler misses 3-pt jump shot from 26 ft,,10,10
48,1,6:50.0,,Defensive rebound by Team,10,10
49,1,6:50.0,T. McConnell enters the game for W. Chandler,,10,10
50,1,6:50.0,M. Muscala enters the game for A. Johnson,,10,10
51,1,6:50.0,L. Shamet enters the game for J. Redick,,10,10
52,1,6:28.0,,A. Drummond makes 2-pt layup from 4 ft (assist by R. Jackson),10,12
53,1,6:18.0,M. Muscala misses 3-pt jump shot from 27 ft,,10,12
54,1,6:14.0,Offensive rebound by J. Butler,,10,12
55,1,6:11.0,J. Butler misses 2-pt layup from 5 ft,,10,12
56,1,6:09.0,,Defensive rebound by B. Brown,10,12
57,1,6:05.0,,G. Robinson makes 2-pt jump shot from 13 ft (assist by B. Brown),10,14
58,1,5:48.0,T. McConnell makes 2-pt jump shot from 12 ft,,12,14
59,1,5:28.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by B. Griffin),12,16
60,1,5:15.0,B. Simmons misses 2-pt layup from 3 ft,,12,16
61,1,5:13.0,,Defensive rebound by A. Drummond,12,16
62,1,5:06.0,,Shooting foul by M. Muscala (drawn by B. Griffin),12,16
