,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
42,1,7:17.0,T. Gibson makes 2-pt jump shot from 3 ft (assist by J. Teague),,10,13
43,1,6:57.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),10,16
44,1,6:45.0,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Teague),,12,16
45,1,6:20.0,,B. Lopez makes 3-pt jump shot from 25 ft,12,19
46,1,6:06.0,A. Wiggins makes 2-pt jump shot from 13 ft,,14,19
47,1,5:56.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,14,19
48,1,5:52.0,Defensive rebound by A. Wiggins,,14,19
49,1,5:45.0,A. Wiggins misses 2-pt layup from 1 ft,,14,19
50,1,5:41.0,,Defensive rebound by B. Lopez,14,19
51,1,5:39.0,,Shooting foul by J. Okogie (drawn by M. Brogdon),14,19
52,1,5:39.0,,M. Brogdon misses free throw 1 of 2,14,19
53,1,5:39.0,,Offensive rebound by Team,14,19
54,1,5:39.0,T. Jones enters the game for T. Gibson,,14,19
55,1,5:39.0,D. Rose enters the game for J. Okogie,,14,19
56,1,5:39.0,A. Tolliver enters the game for J. Teague,,14,19
57,1,5:39.0,,S. Brown enters the game for G. Antetokounmpo,14,19
58,1,5:39.0,,N. Mirotić enters the game for E. Bledsoe,14,19
59,1,5:39.0,,M. Brogdon makes free throw 2 of 2,14,20
60,1,5:20.0,D. Rose makes 2-pt layup from 2 ft,,16,20
61,1,5:09.0,,M. Brogdon makes 2-pt layup from 1 ft,16,22
62,1,4:56.0,D. Šarić misses 3-pt jump shot from 26 ft,,16,22
63,1,4:53.0,,Defensive rebound by K. Middleton,16,22
64,1,4:46.0,,M. Brogdon misses 2-pt layup from 1 ft,16,22
65,1,4:40.0,,Offensive rebound by N. Mirotić,16,22
66,1,4:40.0,,N. Mirotić makes 2-pt dunk at rim,16,24
67,1,4:24.0,D. Rose misses 2-pt layup from 3 ft,,16,24
68,1,4:22.0,,Defensive rebound by N. Mirotić,16,24
69,1,4:17.0,,M. Brogdon misses 2-pt layup from 2 ft,16,24
70,1,4:14.0,Defensive rebound by A. Tolliver,,16,24
71,1,4:07.0,T. Jones misses 2-pt layup from 2 ft (block by N. Mirotić),,16,24
72,1,4:04.0,,Defensive rebound by N. Mirotić,16,24
73,1,3:57.0,,B. Lopez misses 3-pt jump shot from 28 ft,16,24
74,1,3:54.0,Defensive rebound by D. Rose,,16,24
75,1,3:44.0,D. Rose misses 2-pt jump shot from 11 ft,,16,24
76,1,3:41.0,,Defensive rebound by M. Brogdon,16,24
77,1,3:39.0,,Milwaukee full timeout,16,24
78,1,3:39.0,L. Deng enters the game for D. Šarić,,16,24
79,1,3:39.0,,G. Hill enters the game for M. Brogdon,16,24
80,1,3:39.0,,E. İlyasova enters the game for B. Lopez,16,24
81,1,3:39.0,,T. Snell enters the game for K. Middleton,16,24
82,1,3:30.0,,N. Mirotić misses 3-pt jump shot from 28 ft,16,24
83,1,3:27.0,Defensive rebound by A. Wiggins,,16,24
84,1,3:20.0,A. Tolliver makes 3-pt jump shot from 27 ft (assist by T. Jones),,19,24
85,1,3:06.0,,S. Brown makes 2-pt layup from 1 ft,19,26
86,1,2:40.0,L. Deng makes 2-pt dunk from 1 ft,,21,26
87,1,2:26.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by G. Hill),21,28
88,1,2:15.0,T. Jones misses 2-pt jump shot from 19 ft,,21,28
89,1,2:12.0,,Defensive rebound by N. Mirotić,21,28
90,1,2:00.0,,T. Snell misses 2-pt hook shot from 13 ft,21,28
91,1,1:57.0,Defensive rebound by A. Tolliver,,21,28
92,1,1:51.0,D. Rose makes 2-pt layup from 1 ft,,23,28
93,1,1:39.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Hill),23,31
94,1,1:24.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Jones),,26,31
95,1,1:00.0,,G. Hill misses 3-pt jump shot from 23 ft,26,31
96,1,0:59.0,,Offensive rebound by E. İlyasova,26,31
97,1,0:59.0,,Shooting foul by L. Deng (drawn by E. İlyasova),26,31
98,1,0:59.0,,E. İlyasova makes free throw 1 of 2,26,32
99,1,0:59.0,K. Bates-Diop enters the game for A. Wiggins,,26,32
100,1,0:59.0,,G. Antetokounmpo enters the game for S. Brown,26,32
101,1,0:59.0,,E. Bledsoe enters the game for N. Mirotić,26,32
102,1,0:59.0,,E. İlyasova makes free throw 2 of 2,26,33
103,1,0:47.0,A. Tolliver makes 2-pt layup from 9 ft (assist by D. Rose),,28,33
104,1,0:39.0,,Turnover by E. Bledsoe (bad pass; steal by T. Jones),28,33
105,1,0:32.0,T. Jones makes 2-pt layup from 11 ft,,30,33
106,1,0:25.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by G. Hill),30,35
107,1,0:03.0,D. Rose makes 2-pt layup from 2 ft,,32,35
108,1,0:00.0,,G. Hill misses 3-pt jump shot from 26 ft,32,35
109,1,0:00.0,,Offensive rebound by Team,32,35
110,2,11:45.0,D. Rose misses 3-pt jump shot from 27 ft,,32,35
111,2,11:42.0,,Defensive rebound by G. Antetokounmpo,32,35
112,2,11:36.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,32,35
113,2,11:32.0,Defensive rebound by K. Bates-Diop,,32,35
114,2,11:17.0,A. Tolliver makes 3-pt jump shot from 28 ft (assist by T. Jones),,35,35
115,2,11:00.0,,G. Antetokounmpo misses 2-pt dunk from 3 ft (block by A. Tolliver),35,35
116,2,10:57.0,Defensive rebound by K. Bates-Diop,,35,35
117,2,10:53.0,L. Deng misses 3-pt jump shot from 24 ft,,35,35
118,2,10:53.0,Offensive rebound by K. Bates-Diop,,35,35
119,2,10:49.0,L. Deng makes 2-pt layup from 1 ft (assist by K. Bates-Diop),,37,35
120,2,10:49.0,Shooting foul by T. Snell (drawn by L. Deng),,37,35
121,2,10:49.0,L. Deng makes free throw 1 of 1,,38,35
122,2,10:30.0,,G. Antetokounmpo misses 2-pt hook shot from 3 ft,38,35
123,2,10:30.0,,Offensive rebound by E. İlyasova,38,35
124,2,10:30.0,,E. İlyasova misses 2-pt layup at rim,38,35
125,2,10:30.0,,Offensive rebound by E. Bledsoe,38,35
126,2,10:30.0,,E. Bledsoe makes 2-pt layup from 1 ft,38,37
127,2,10:30.0,,Shooting foul by A. Tolliver (drawn by E. Bledsoe),38,37
128,2,10:30.0,,E. Bledsoe makes free throw 1 of 1,38,38
129,2,10:17.0,A. Tolliver misses 3-pt jump shot from 26 ft,,38,38
130,2,10:17.0,,Defensive rebound by E. Bledsoe,38,38
131,2,10:08.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),38,41
132,2,9:58.0,D. Rose misses 2-pt hook shot from 4 ft,,38,41
133,2,9:56.0,,Defensive rebound by E. İlyasova,38,41
134,2,9:49.0,,G. Antetokounmpo misses 2-pt dunk at rim,38,41
135,2,9:48.0,Defensive rebound by A. Tolliver,,38,41
136,2,9:48.0,Personal foul by S. Brown (drawn by T. Jones),,38,41
137,2,9:48.0,,M. Brogdon enters the game for S. Brown,38,41
138,2,9:36.0,Personal foul by T. Snell (drawn by L. Deng),,38,41
139,2,9:25.0,K. Bates-Diop makes 2-pt layup from 4 ft (assist by T. Jones),,40,41
140,2,9:25.0,Shooting foul by M. Brogdon (drawn by K. Bates-Diop),,40,41
141,2,9:25.0,K. Bates-Diop misses free throw 1 of 1,,40,41
142,2,9:22.0,,Defensive rebound by T. Snell,40,41
143,2,9:08.0,,E. Bledsoe makes 2-pt layup from 1 ft,40,43
144,2,8:57.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by T. Jones),,43,43
145,2,8:57.0,,Milwaukee full timeout,43,43
146,2,8:57.0,A. Wiggins enters the game for D. Rose,,43,43
147,2,8:57.0,,N. Mirotić enters the game for E. İlyasova,43,43
148,2,8:41.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,43,43
149,2,8:37.0,Defensive rebound by K. Bates-Diop,,43,43
150,2,8:19.0,L. Deng makes 2-pt hook shot from 2 ft (assist by A. Wiggins),,45,43
151,2,8:13.0,,E. Bledsoe makes 2-pt layup from 1 ft,45,45
152,2,8:13.0,,Shooting foul by T. Jones (drawn by E. Bledsoe),45,45
153,2,8:13.0,,K. Middleton enters the game for T. Snell,45,45
154,2,8:13.0,,E. Bledsoe makes free throw 1 of 1,45,46
155,2,8:02.0,T. Jones makes 2-pt layup from 6 ft,,47,46
156,2,7:52.0,,N. Mirotić makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),47,49
157,2,7:38.0,A. Wiggins makes 2-pt dunk from 1 ft,,49,49
158,2,7:25.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,49,49
159,2,7:25.0,,Offensive rebound by Team,49,49
160,2,7:25.0,T. Gibson enters the game for K. Bates-Diop,,49,49
161,2,7:25.0,J. Okogie enters the game for L. Deng,,49,49
162,2,7:25.0,D. Šarić enters the game for T. Jones,,49,49
163,2,7:25.0,J. Teague enters the game for A. Tolliver,,49,49
164,2,7:25.0,,B. Lopez enters the game for G. Antetokounmpo,49,49
165,2,7:21.0,,B. Lopez makes 2-pt layup from 2 ft (assist by M. Brogdon),49,51
166,2,7:06.0,J. Teague makes 2-pt jump shot from 18 ft,,51,51
167,2,6:54.0,,B. Lopez misses 3-pt jump shot from 25 ft,51,51
168,2,6:51.0,Defensive rebound by A. Wiggins,,51,51
169,2,6:45.0,D. Šarić misses 2-pt jump shot from 10 ft,,51,51
170,2,6:42.0,,Defensive rebound by K. Middleton,51,51
171,2,6:28.0,,M. Brogdon misses 3-pt jump shot from 24 ft,51,51
172,2,6:25.0,Defensive rebound by T. Gibson,,51,51
173,2,6:18.0,Turnover by J. Teague (bad pass; steal by E. Bledsoe),,51,51
174,2,6:08.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by N. Mirotić),51,53
175,2,5:59.0,J. Okogie misses 2-pt layup from 10 ft,,51,53
176,2,5:57.0,Offensive rebound by J. Okogie,,51,53
177,2,5:55.0,J. Okogie makes 2-pt layup from 1 ft,,53,53
178,2,5:47.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by M. Brogdon),53,56
179,2,5:47.0,Minnesota full timeout,,53,56
180,2,5:47.0,,E. İlyasova enters the game for E. Bledsoe,53,56
181,2,5:31.0,Turnover by J. Okogie (bad pass; steal by M. Brogdon),,53,56
182,2,5:20.0,,N. Mirotić makes 3-pt jump shot from 22 ft (assist by M. Brogdon),53,59
183,2,5:10.0,Offensive foul by J. Okogie (drawn by E. İlyasova),,53,59
184,2,5:10.0,Turnover by J. Okogie (offensive foul),,53,59
185,2,5:00.0,,Shooting foul by A. Wiggins (drawn by K. Middleton),53,59
186,2,5:00.0,,K. Middleton makes free throw 1 of 2,53,60
187,2,5:00.0,,K. Middleton makes free throw 2 of 2,53,61
188,2,4:49.0,A. Wiggins misses 2-pt jump shot from 20 ft,,53,61
189,2,4:46.0,,Defensive rebound by N. Mirotić,53,61
190,2,4:38.0,,B. Lopez misses 3-pt jump shot from 27 ft,53,61
191,2,4:35.0,,Offensive rebound by E. İlyasova,53,61
192,2,4:24.0,,K. Middleton misses 2-pt jump shot from 14 ft,53,61
193,2,4:24.0,Defensive rebound by Team,,53,61
194,2,4:24.0,,Loose ball foul by E. İlyasova (drawn by T. Gibson),53,61
195,2,4:24.0,T. Gibson makes free throw 1 of 2,,54,61
196,2,4:24.0,,G. Antetokounmpo enters the game for N. Mirotić,54,61
197,2,4:24.0,T. Gibson makes free throw 2 of 2,,55,61
198,2,4:13.0,,Turnover by K. Middleton (bad pass; steal by J. Okogie),55,61
199,2,3:58.0,J. Okogie makes 2-pt jump shot from 15 ft (assist by D. Šarić),,57,61
200,2,3:48.0,,M. Brogdon makes 2-pt layup from 1 ft,57,63
201,2,3:28.0,A. Wiggins makes 3-pt jump shot from 22 ft (assist by J. Teague),,60,63
202,2,3:10.0,,K. Middleton misses 3-pt jump shot from 28 ft,60,63
203,2,3:07.0,Defensive rebound by D. Šarić,,60,63
204,2,2:55.0,D. Šarić misses 3-pt jump shot from 24 ft,,60,63
205,2,2:48.0,Offensive rebound by D. Šarić,,60,63
206,2,2:46.0,D. Šarić misses 3-pt jump shot from 25 ft,,60,63
207,2,2:40.0,Offensive rebound by T. Gibson,,60,63
208,2,2:40.0,T. Gibson misses 2-pt layup from 1 ft,,60,63
209,2,2:40.0,,Defensive rebound by E. İlyasova,60,63
210,2,2:38.0,,Shooting foul by J. Teague (drawn by B. Lopez),60,63
211,2,2:38.0,Minnesota full timeout,,60,63
212,2,2:38.0,T. Jones enters the game for J. Okogie,,60,63
213,2,2:38.0,D. Rose enters the game for J. Teague,,60,63
214,2,2:38.0,,E. Bledsoe enters the game for M. Brogdon,60,63
215,2,2:38.0,,B. Lopez makes free throw 1 of 2,60,64
216,2,2:38.0,,B. Lopez makes free throw 2 of 2,60,65
217,2,2:19.0,T. Gibson makes 2-pt layup from 1 ft (assist by T. Jones),,62,65
218,2,1:56.0,,B. Lopez misses 3-pt jump shot from 24 ft,62,65
219,2,1:54.0,,Offensive rebound by K. Middleton,62,65
220,2,1:51.0,,K. Middleton makes 2-pt jump shot from 8 ft,62,67
221,2,1:41.0,A. Wiggins makes 2-pt jump shot from 15 ft (assist by D. Šarić),,64,67
222,2,1:28.0,,Turnover by G. Antetokounmpo (lost ball; steal by T. Jones),64,67
223,2,1:16.0,T. Gibson misses 2-pt layup from 3 ft,,64,67
224,2,1:13.0,,Defensive rebound by K. Middleton,64,67
225,2,1:03.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),64,69
226,2,0:53.0,D. Rose makes 2-pt layup from 1 ft,,66,69
227,2,0:37.0,,Turnover by E. Bledsoe (lost ball; steal by T. Jones),66,69
228,2,0:32.0,Shooting foul by B. Lopez (drawn by T. Gibson),,66,69
229,2,0:32.0,T. Gibson makes free throw 1 of 2,,67,69
230,2,0:32.0,,T. Snell enters the game for E. İlyasova,67,69
231,2,0:32.0,T. Gibson makes free throw 2 of 2,,68,69
232,2,0:23.0,,B. Lopez misses 2-pt jump shot from 9 ft,68,69
233,2,0:20.0,Defensive rebound by D. Šarić,,68,69
234,2,0:02.0,D. Rose makes 2-pt jump shot from 11 ft,,70,69
235,2,0:00.0,,K. Middleton misses 3-pt jump shot from 29 ft,70,69
236,2,0:00.0,,Offensive rebound by Team,70,69
237,3,11:50.0,J. Teague misses 2-pt jump shot from 7 ft,,70,69
238,3,11:50.0,Offensive rebound by T. Gibson,,70,69
239,3,11:50.0,T. Gibson makes 2-pt layup at rim,,72,69
240,3,11:50.0,Shooting foul by E. Bledsoe (drawn by T. Gibson),,72,69
241,3,11:50.0,T. Gibson makes free throw 1 of 1,,73,69
242,3,11:26.0,,M. Brogdon makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),73,72
243,3,11:07.0,T. Gibson misses 2-pt layup from 4 ft (block by G. Antetokounmpo),,73,72
244,3,11:01.0,,Defensive rebound by E. Bledsoe,73,72
245,3,10:59.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by E. Bledsoe),73,74
246,3,10:44.0,Turnover by A. Wiggins (bad pass; steal by E. Bledsoe),,73,74
247,3,10:41.0,,E. Bledsoe makes 2-pt layup from 1 ft,73,76
248,3,10:41.0,,Shooting foul by J. Teague (drawn by E. Bledsoe),73,76
249,3,10:41.0,,E. Bledsoe makes free throw 1 of 1,73,77
250,3,10:34.0,Offensive foul by T. Gibson (drawn by E. Bledsoe),,73,77
251,3,10:34.0,Turnover by T. Gibson (offensive foul),,73,77
252,3,10:24.0,,Turnover by E. Bledsoe (bad pass; steal by D. Šarić),73,77
253,3,10:21.0,,Violation by Team (kicked ball),73,77
254,3,10:13.0,J. Okogie makes 2-pt layup from 2 ft (assist by T. Gibson),,75,77
255,3,9:59.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by E. Bledsoe),75,79
256,3,9:47.0,D. Šarić makes 3-pt jump shot from 28 ft (assist by A. Wiggins),,78,79
257,3,9:35.0,,M. Brogdon misses 2-pt layup from 2 ft,78,79
258,3,9:32.0,Defensive rebound by D. Šarić,,78,79
259,3,9:31.0,Personal foul by G. Antetokounmpo (drawn by D. Šarić),,78,79
260,3,9:27.0,J. Teague misses 2-pt jump shot from 18 ft,,78,79
261,3,9:25.0,,Defensive rebound by G. Antetokounmpo,78,79
262,3,9:17.0,,E. Bledsoe misses 2-pt layup from 5 ft,78,79
263,3,9:13.0,Defensive rebound by Team,,78,79
264,3,9:13.0,Personal foul by E. Bledsoe (drawn by J. Teague),,78,79
265,3,9:07.0,Shooting foul by G. Antetokounmpo (drawn by D. Šarić),,78,79
266,3,9:07.0,D. Šarić makes free throw 1 of 2,,79,79
267,3,9:07.0,D. Šarić makes free throw 2 of 2,,80,79
268,3,8:52.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),80,82
269,3,8:44.0,Personal foul by E. Bledsoe (drawn by T. Gibson),,80,82
270,3,8:44.0,T. Gibson makes free throw 1 of 2,,81,82
271,3,8:44.0,,S. Brown enters the game for M. Brogdon,81,82
272,3,8:44.0,T. Gibson misses free throw 2 of 2,,81,82
273,3,8:41.0,,Defensive rebound by G. Antetokounmpo,81,82
274,3,8:17.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by S. Brown),81,85
275,3,8:01.0,Personal foul by B. Lopez (drawn by A. Wiggins),,81,85
276,3,8:01.0,A. Wiggins makes free throw 1 of 2,,82,85
277,3,8:01.0,A. Wiggins misses free throw 2 of 2,,82,85
278,3,7:56.0,Offensive rebound by D. Šarić,,82,85
279,3,7:45.0,J. Okogie makes 3-pt jump shot from 28 ft (assist by A. Wiggins),,85,85
280,3,7:36.0,,Turnover by G. Antetokounmpo (traveling),85,85
281,3,7:24.0,J. Teague misses 2-pt jump shot from 14 ft,,85,85
282,3,7:21.0,,Defensive rebound by B. Lopez,85,85
283,3,7:08.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),85,88
284,3,6:52.0,T. Gibson misses 2-pt jump shot from 16 ft,,85,88
285,3,6:49.0,Offensive rebound by A. Wiggins,,85,88
286,3,6:47.0,A. Wiggins makes 2-pt layup from 6 ft,,87,88
287,3,6:41.0,,K. Middleton makes 2-pt jump shot from 4 ft,87,90
288,3,6:26.0,J. Okogie misses 2-pt dunk from 2 ft (block by B. Lopez),,87,90
289,3,6:23.0,,Defensive rebound by B. Lopez,87,90
290,3,6:23.0,,Turnover by S. Brown (bad pass),87,90
291,3,6:23.0,,Milwaukee full timeout,87,90
292,3,6:23.0,T. Jones enters the game for J. Okogie,,87,90
293,3,6:23.0,D. Rose enters the game for D. Šarić,,87,90
294,3,6:23.0,A. Tolliver enters the game for J. Teague,,87,90
295,3,6:23.0,,P. Connaughton enters the game for E. Bledsoe,87,90
296,3,6:10.0,A. Tolliver makes 3-pt jump shot from 28 ft (assist by T. Jones),,90,90
297,3,5:56.0,,K. Middleton makes 2-pt jump shot from 17 ft,90,92
298,3,5:42.0,Def 3 sec tech foul by Team,,90,92
299,3,5:42.0,T. Jones makes technical free throw,,91,92
300,3,5:35.0,T. Gibson misses 2-pt jump shot from 12 ft,,91,92
301,3,5:32.0,,Defensive rebound by B. Lopez,91,92
302,3,5:20.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by B. Lopez),91,95
303,3,5:04.0,D. Rose makes 2-pt hook shot from 13 ft,,93,95
304,3,4:57.0,,K. Middleton makes 3-pt jump shot from 26 ft,93,98
305,3,4:36.0,T. Gibson makes 2-pt hook shot from 7 ft (assist by T. Jones),,95,98
306,3,4:25.0,,Shooting foul by T. Gibson (drawn by G. Antetokounmpo),95,98
307,3,4:25.0,,G. Antetokounmpo makes free throw 1 of 2,95,99
308,3,4:25.0,L. Deng enters the game for T. Gibson,,95,99
309,3,4:25.0,,M. Brogdon enters the game for S. Brown,95,99
310,3,4:25.0,,G. Antetokounmpo makes free throw 2 of 2,95,100
311,3,4:04.0,T. Jones makes 2-pt jump shot from 21 ft (assist by A. Wiggins),,97,100
312,3,3:50.0,,K. Middleton misses 3-pt jump shot from 24 ft,97,100
313,3,3:47.0,Defensive rebound by D. Rose,,97,100
314,3,3:44.0,A. Tolliver misses 3-pt jump shot from 28 ft,,97,100
315,3,3:40.0,,Defensive rebound by M. Brogdon,97,100
316,3,3:21.0,,B. Lopez misses 3-pt jump shot from 27 ft,97,100
317,3,3:18.0,Defensive rebound by A. Wiggins,,97,100
318,3,3:15.0,L. Deng misses 2-pt jump shot from 15 ft,,97,100
319,3,3:11.0,,Defensive rebound by K. Middleton,97,100
320,3,2:57.0,,G. Antetokounmpo misses 2-pt layup from 6 ft,97,100
321,3,2:55.0,Defensive rebound by A. Tolliver,,97,100
322,3,2:50.0,Turnover by T. Jones (bad pass),,97,100
323,3,2:50.0,Minnesota full timeout,,97,100
324,3,2:50.0,K. Bates-Diop enters the game for A. Wiggins,,97,100
325,3,2:50.0,,S. Brown enters the game for G. Antetokounmpo,97,100
326,3,2:50.0,,E. İlyasova enters the game for B. Lopez,97,100
327,3,2:50.0,,N. Mirotić enters the game for K. Middleton,97,100
328,3,2:33.0,,M. Brogdon makes 2-pt layup from 2 ft,97,102
329,3,2:18.0,K. Bates-Diop makes 2-pt dunk from 2 ft (assist by L. Deng),,99,102
330,3,1:55.0,,N. Mirotić makes 2-pt jump shot from 9 ft (assist by S. Brown),99,104
331,3,1:39.0,D. Rose makes 2-pt jump shot from 10 ft,,101,104
332,3,1:21.0,,P. Connaughton misses 3-pt jump shot from 24 ft,101,104
333,3,1:18.0,,Offensive rebound by E. İlyasova,101,104
334,3,1:17.0,,E. İlyasova misses 2-pt layup from 2 ft,101,104
335,3,1:14.0,,Offensive rebound by M. Brogdon,101,104
336,3,1:13.0,,M. Brogdon makes 3-pt jump shot from 26 ft,101,107
337,3,0:56.0,L. Deng makes 3-pt jump shot from 27 ft (assist by D. Rose),,104,107
338,3,0:51.0,,Personal foul by L. Deng (drawn by N. Mirotić),104,107
339,3,0:40.0,,N. Mirotić misses 3-pt jump shot from 27 ft,104,107
340,3,0:37.0,Defensive rebound by T. Jones,,104,107
341,3,0:32.0,Shooting foul by S. Brown (drawn by K. Bates-Diop),,104,107
342,3,0:32.0,K. Bates-Diop makes free throw 1 of 2,,105,107
343,3,0:32.0,K. Bates-Diop makes free throw 2 of 2,,106,107
344,3,0:20.0,,Turnover by M. Brogdon (bad pass; steal by T. Jones),106,107
345,3,0:03.0,D. Rose makes 2-pt hook shot from 6 ft,,108,107
346,3,0:03.0,Shooting foul by N. Mirotić (drawn by D. Rose),,108,107
347,3,0:03.0,D. Rose makes free throw 1 of 1,,109,107
348,3,0:00.0,,E. İlyasova misses 3-pt jump shot from 35 ft,109,107
349,3,0:00.0,,Offensive rebound by Team,109,107
350,4,11:42.0,,Turnover by M. Brogdon (bad pass),109,107
351,4,11:31.0,Turnover by D. Rose (bad pass),,109,107
352,4,11:21.0,,Def 3 sec tech foul by Team,109,107
353,4,11:21.0,,M. Brogdon makes technical free throw,109,108
354,4,11:17.0,,P. Connaughton misses 2-pt dunk from 1 ft (block by K. Bates-Diop),109,108
355,4,11:13.0,Defensive rebound by T. Jones,,109,108
356,4,11:11.0,K. Bates-Diop makes 2-pt layup from 1 ft (assist by A. Tolliver),,111,108
357,4,10:50.0,,N. Mirotić makes 3-pt jump shot from 22 ft (assist by M. Brogdon),111,111
358,4,10:37.0,D. Rose makes 2-pt hook shot from 5 ft (assist by T. Jones),,113,111
359,4,10:21.0,,M. Brogdon misses 3-pt jump shot from 26 ft,113,111
360,4,10:19.0,,Offensive rebound by E. İlyasova,113,111
361,4,10:18.0,,E. İlyasova makes 2-pt layup from 1 ft,113,113
362,4,9:55.0,Turnover by D. Rose (bad pass; steal by N. Mirotić),,113,113
363,4,9:54.0,,Personal foul by T. Jones (drawn by E. Bledsoe),113,113
364,4,9:54.0,A. Wiggins enters the game for D. Rose,,113,113
365,4,9:54.0,,G. Antetokounmpo enters the game for M. Brogdon,113,113
366,4,9:42.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,113,115
367,4,9:27.0,T. Jones misses 3-pt jump shot from 26 ft,,113,115
368,4,9:24.0,,Defensive rebound by G. Antetokounmpo,113,115
