,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
0,1,11:47.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,3,0
1,1,11:23.0,,A. Wiggins misses 2-pt jump shot from 17 ft,3,0
2,1,11:20.0,Defensive rebound by J. Parker,,3,0
3,1,11:03.0,J. Holiday misses 2-pt jump shot from 2 ft,,3,0
4,1,11:01.0,,Defensive rebound by R. Covington,3,0
5,1,10:55.0,,R. Covington misses 2-pt layup from 3 ft,3,0
6,1,10:55.0,,Offensive rebound by Team,3,0
7,1,10:51.0,,K. Towns misses 2-pt dunk from 1 ft,3,0
8,1,10:49.0,Defensive rebound by J. Parker,,3,0
9,1,10:46.0,W. Carter makes 2-pt dunk at rim (assist by R. Arcidiacono),,5,0
10,1,10:25.0,,R. Covington misses 3-pt jump shot from 26 ft,5,0
11,1,10:23.0,,Offensive rebound by K. Towns,5,0
12,1,10:19.0,,K. Towns makes 2-pt layup from 6 ft,5,2
13,1,10:04.0,Turnover by Z. LaVine (bad pass),,5,2
14,1,9:41.0,,T. Gibson misses 2-pt hook shot from 4 ft (block by J. Parker),5,2
15,1,9:37.0,Defensive rebound by J. Holiday,,5,2
16,1,9:30.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,5,2
17,1,9:27.0,,Defensive rebound by K. Towns,5,2
18,1,9:21.0,,Shooting foul by J. Parker (drawn by T. Gibson),5,2
19,1,9:21.0,,T. Gibson makes free throw 1 of 2,5,3
20,1,9:21.0,,T. Gibson makes free throw 2 of 2,5,4
21,1,9:12.0,J. Parker makes 2-pt jump shot from 19 ft,,7,4
22,1,8:58.0,,A. Wiggins misses 3-pt jump shot from 26 ft,7,4
23,1,8:55.0,,Offensive rebound by K. Towns,7,4
24,1,8:52.0,,K. Towns misses 2-pt layup from 4 ft,7,4
25,1,8:52.0,,Offensive rebound by T. Gibson,7,4
26,1,8:50.0,,T. Gibson makes 2-pt layup from 1 ft,7,6
27,1,8:40.0,J. Holiday misses 3-pt jump shot from 23 ft,,7,6
28,1,8:37.0,Offensive rebound by W. Carter,,7,6
29,1,8:37.0,Shooting foul by K. Towns (drawn by W. Carter),,7,6
30,1,8:37.0,W. Carter makes free throw 1 of 2,,8,6
31,1,8:37.0,W. Carter misses free throw 2 of 2,,8,6
32,1,8:35.0,,Defensive rebound by J. Teague,8,6
33,1,8:25.0,,A. Wiggins misses 2-pt jump shot from 22 ft,8,6
34,1,8:24.0,Defensive rebound by Z. LaVine,,8,6
35,1,8:23.0,Turnover by Z. LaVine (out of bounds lost ball),,8,6
36,1,8:02.0,,Turnover by T. Gibson (bad pass; steal by J. Holiday),8,6
37,1,7:56.0,J. Parker makes 2-pt dunk from 2 ft,,10,6
38,1,7:38.0,,Personal foul by Z. LaVine (drawn by J. Teague),10,6
39,1,7:31.0,,J. Teague makes 2-pt jump shot from 11 ft (assist by T. Gibson),10,8
40,1,7:01.0,R. Arcidiacono misses 2-pt jump shot from 13 ft,,10,8
41,1,6:58.0,Offensive rebound by J. Holiday,,10,8
42,1,6:56.0,J. Holiday misses 3-pt jump shot from 22 ft,,10,8
43,1,6:54.0,,Defensive rebound by R. Covington,10,8
