,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
375,4,8:33.0,,C. Brewer makes 2-pt dunk from 4 ft (assist by H. Giles),77,114
376,4,8:12.0,W. Selden makes 2-pt layup from 6 ft (assist by S. Harrison),,79,114
377,4,7:56.0,,M. Bagley misses 2-pt jump shot from 15 ft,79,114
378,4,7:54.0,Defensive rebound by C. Felício,,79,114
379,4,7:42.0,W. Selden misses 2-pt jump shot from 13 ft,,79,114
380,4,7:38.0,Offensive rebound by C. Felício,,79,114
381,4,7:31.0,S. Harrison makes 2-pt layup from 2 ft,,81,114
382,4,7:13.0,,H. Giles misses 2-pt hook shot from 4 ft,81,114
383,4,7:09.0,Defensive rebound by A. Blakeney,,81,114
384,4,7:06.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by S. Harrison),,84,114
385,4,7:06.0,Shooting foul by Y. Ferrell (drawn by T. Luwawu-Cabarrot),,84,114
386,4,7:06.0,,K. Koufos enters the game for C. Brewer,84,114
387,4,7:06.0,,F. Mason enters the game for H. Giles,84,114
388,4,7:06.0,T. Luwawu-Cabarrot misses free throw 1 of 1,,84,114
389,4,7:03.0,,Defensive rebound by K. Koufos,84,114
390,4,6:42.0,,K. Koufos misses 2-pt layup from 5 ft,84,114
391,4,6:41.0,,Offensive rebound by K. Koufos,84,114
392,4,6:39.0,,K. Koufos makes 2-pt layup from 2 ft,84,116
393,4,6:26.0,C. Felício makes 2-pt layup from 3 ft (assist by S. Harrison),,86,116
394,4,6:16.0,,M. Bagley makes 2-pt hook shot from 5 ft,86,118
395,4,6:02.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by S. Harrison),,89,118
396,4,5:49.0,,Y. Ferrell misses 2-pt jump shot from 18 ft,89,118
397,4,5:47.0,Defensive rebound by A. Blakeney,,89,118
398,4,5:39.0,S. Harrison misses 2-pt layup from 9 ft,,89,118
399,4,5:38.0,Offensive rebound by C. Felício,,89,118
400,4,5:36.0,C. Felício makes 2-pt layup from 4 ft,,91,118
401,4,5:14.0,,Turnover by M. Bagley (bad pass; steal by S. Harrison),91,118
402,4,5:10.0,A. Blakeney misses 2-pt layup from 6 ft,,91,118
403,4,5:06.0,,Defensive rebound by M. Bagley,91,118
404,4,5:04.0,,F. Mason makes 2-pt layup from 5 ft (assist by M. Bagley),91,120
405,4,5:04.0,Chicago full timeout,,91,120
406,4,5:04.0,,C. Brewer enters the game for M. Bagley,91,120
407,4,4:50.0,Shooting foul by K. Koufos (drawn by W. Selden),,91,120
408,4,4:50.0,W. Selden makes free throw 1 of 2,,92,120
409,4,4:50.0,W. Selden makes free throw 2 of 2,,93,120
410,4,4:39.0,,F. Mason makes 2-pt layup from 3 ft (assist by A. Burks),93,122
411,4,4:23.0,A. Blakeney misses 2-pt jump shot from 15 ft,,93,122
412,4,4:20.0,,Defensive rebound by A. Burks,93,122
413,4,4:18.0,,Y. Ferrell makes 3-pt jump shot from 28 ft,93,125
414,4,3:51.0,Turnover by Team (shot clock),,93,125
415,4,3:38.0,,C. Brewer misses 3-pt jump shot from 28 ft,93,125
416,4,3:35.0,,Offensive rebound by K. Koufos,93,125
417,4,3:30.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,93,125
418,4,3:28.0,Defensive rebound by W. Selden,,93,125
419,4,3:27.0,Personal foul by C. Brewer (drawn by W. Selden),,93,125
420,4,3:27.0,W. Selden misses free throw 1 of 2,,93,125
421,4,3:27.0,Offensive rebound by Team,,93,125
422,4,3:27.0,W. Selden misses free throw 2 of 2,,93,125
423,4,3:24.0,,Defensive rebound by K. Koufos,93,125
424,4,3:03.0,,K. Koufos misses 2-pt jump shot from 3 ft,93,125
425,4,3:01.0,Defensive rebound by C. Felício,,93,125
426,4,2:49.0,Turnover by S. Harrison (step out of bounds),,93,125
427,4,2:34.0,,K. Koufos misses 2-pt hook shot from 6 ft,93,125
428,4,2:30.0,Defensive rebound by S. Harrison,,93,125
429,4,2:23.0,S. Harrison makes 2-pt layup from 6 ft (assist by T. Luwawu-Cabarrot),,95,125
430,4,2:23.0,Shooting foul by K. Koufos (drawn by S. Harrison),,95,125
431,4,2:23.0,S. Harrison makes free throw 1 of 1,,96,125
432,4,2:08.0,,F. Mason misses 3-pt jump shot from 26 ft,96,125
433,4,2:06.0,Defensive rebound by C. Felício,,96,125
434,4,1:58.0,Turnover by S. Harrison (bad pass; steal by K. Koufos),,96,125
435,4,1:49.0,,K. Koufos misses 2-pt hook shot from 6 ft,96,125
436,4,1:48.0,Defensive rebound by W. Selden,,96,125
437,4,1:48.0,Chicago full timeout,,96,125
438,4,1:37.0,A. Blakeney makes 2-pt jump shot from 7 ft,,98,125
439,4,1:37.0,Shooting foul by C. Brewer (drawn by A. Blakeney),,98,125
440,4,1:37.0,A. Blakeney misses free throw 1 of 1,,98,125
441,4,1:34.0,,Defensive rebound by Team,98,125
442,4,1:21.0,,K. Koufos makes 2-pt hook shot from 11 ft (assist by A. Burks),98,127
443,4,1:11.0,A. Blakeney makes 2-pt layup from 6 ft,,100,127
444,4,1:01.0,,F. Mason misses 3-pt jump shot from 25 ft,100,127
445,4,0:59.0,Defensive rebound by C. Felício,,100,127
446,4,0:45.0,W. Selden misses 3-pt jump shot from 27 ft,,100,127
447,4,0:42.0,Offensive rebound by C. Felício,,100,127
448,4,0:41.0,T. Luwawu-Cabarrot makes 2-pt dunk from 2 ft (assist by S. Harrison),,102,127
449,4,0:29.0,,K. Koufos makes 2-pt jump shot from 10 ft,102,129
450,4,0:29.0,Chicago full timeout,,102,129
451,4,0:25.0,A. Blakeney misses 2-pt layup from 12 ft (block by K. Koufos),,102,129
452,4,0:24.0,,Defensive rebound by A. Burks,102,129
453,4,0:01.0,,F. Mason misses 3-pt jump shot from 34 ft,102,129
454,4,0:01.0,,Offensive rebound by Team,102,129
455,4,0:01.0,,Turnover by Team (shot clock),102,129
