,QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
47,1,4:47.0,,Offensive rebound by Team,11,18
48,1,4:47.0,M. Morris enters the game for W. Barton,,11,18
49,1,4:47.0,M. Plumlee enters the game for P. Millsap,,11,18
50,1,4:47.0,,S. Mack enters the game for M. Conley,11,18
51,1,4:38.0,,J. Jackson makes 2-pt dunk at rim (assist by J. Holiday),11,20
52,1,4:14.0,N. Jokić misses 2-pt layup from 1 ft,,11,20
53,1,4:11.0,Offensive rebound by M. Plumlee,,11,20
54,1,4:11.0,M. Plumlee misses 2-pt layup from 1 ft (block by J. Jackson),,11,20
55,1,4:11.0,Offensive rebound by M. Plumlee,,11,20
56,1,4:01.0,G. Harris misses 3-pt jump shot from 25 ft,,11,20
57,1,3:57.0,,Defensive rebound by B. Caboclo,11,20
58,1,3:51.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by S. Mack),11,23
59,1,3:34.0,N. Jokić makes 3-pt jump shot from 26 ft,,14,23
60,1,3:28.0,,Memphis full timeout,14,23
61,1,3:28.0,M. Beasley enters the game for G. Harris,,14,23
62,1,3:28.0,T. Lyles enters the game for N. Jokić,,14,23
63,1,3:28.0,,J. Noah enters the game for J. Jackson,14,23
64,1,3:20.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by S. Mack),14,25
65,1,3:06.0,T. Lyles misses 3-pt jump shot from 27 ft,,14,25
66,1,3:02.0,,Defensive rebound by M. Gasol,14,25
67,1,2:47.0,,S. Mack makes 3-pt jump shot from 25 ft (assist by M. Gasol),14,28
68,1,2:45.0,Denver full timeout,,14,28
69,1,2:45.0,J. Hernangómez enters the game for T. Craig,,14,28
70,1,2:37.0,Turnover by T. Lyles (bad pass; steal by J. Noah),,14,28
71,1,2:27.0,,S. Mack misses 2-pt jump shot from 19 ft,14,28
72,1,2:26.0,Defensive rebound by Team,,14,28
73,1,2:26.0,,Loose ball foul by B. Caboclo (drawn by M. Beasley),14,28
74,1,2:15.0,M. Morris makes 2-pt jump shot from 8 ft,,16,28
75,1,1:54.0,,M. Gasol makes 2-pt jump shot from 10 ft,16,30
76,1,1:36.0,T. Lyles misses 2-pt jump shot from 8 ft,,16,30
77,1,1:32.0,,Defensive rebound by B. Caboclo,16,30
78,1,1:28.0,,J. Holiday misses 3-pt jump shot from 26 ft,16,30
79,1,1:24.0,,Offensive rebound by J. Noah,16,30
80,1,1:22.0,,M. Gasol misses 3-pt jump shot from 25 ft,16,30
81,1,1:20.0,Defensive rebound by T. Lyles,,16,30
82,1,1:15.0,Personal foul by S. Mack (drawn by M. Beasley),,16,30
83,1,1:07.0,M. Beasley misses 3-pt jump shot from 23 ft,,16,30
84,1,1:04.0,,Defensive rebound by M. Gasol,16,30
85,1,0:50.0,,B. Caboclo misses 3-pt jump shot from 26 ft,16,30
86,1,0:48.0,Defensive rebound by M. Plumlee,,16,30
87,1,0:36.0,M. Beasley misses 3-pt jump shot from 27 ft,,16,30
88,1,0:32.0,,Defensive rebound by M. Gasol,16,30
89,1,0:11.0,,M. Gasol misses 2-pt jump shot from 16 ft,16,30
90,1,0:08.0,Defensive rebound by J. Hernangómez,,16,30
91,1,0:00.0,M. Plumlee misses 2-pt jump shot from 22 ft,,16,30
92,1,0:00.0,Offensive rebound by Team,,16,30
93,2,11:46.0,M. Beasley misses 3-pt jump shot from 25 ft,,16,30
94,2,11:43.0,Offensive rebound by M. Plumlee,,16,30
95,2,11:43.0,Offensive foul by M. Plumlee (drawn by J. Noah),,16,30
96,2,11:43.0,Turnover by M. Plumlee (offensive foul),,16,30
97,2,11:27.0,,B. Caboclo misses 3-pt jump shot from 25 ft,16,30
98,2,11:23.0,Defensive rebound by M. Beasley,,16,30
99,2,11:08.0,Turnover by T. Lyles (lost ball; steal by J. Jackson),,16,30
100,2,10:56.0,,B. Caboclo makes 3-pt jump shot from 25 ft (assist by J. Noah),16,33
101,2,10:42.0,Shooting foul by J. Jackson (drawn by M. Plumlee),,16,33
102,2,10:42.0,M. Plumlee makes free throw 1 of 2,,17,33
103,2,10:42.0,M. Plumlee makes free throw 2 of 2,,18,33
104,2,10:29.0,,J. Noah makes 2-pt hook shot from 5 ft (assist by S. Mack),18,35
105,2,10:10.0,M. Beasley makes 2-pt jump shot from 18 ft,,20,35
106,2,9:46.0,,S. Mack misses 2-pt layup at rim,20,35
107,2,9:42.0,,Offensive rebound by B. Caboclo,20,35
108,2,9:35.0,,B. Caboclo misses 3-pt jump shot from 24 ft,20,35
109,2,9:33.0,Defensive rebound by M. Morris,,20,35
110,2,9:27.0,T. Lyles misses 3-pt jump shot from 26 ft,,20,35
111,2,9:23.0,,Defensive rebound by J. Noah,20,35
112,2,9:13.0,,M. Conley misses 3-pt jump shot from 25 ft,20,35
113,2,9:11.0,Defensive rebound by Team,,20,35
114,2,9:11.0,,K. Anderson enters the game for S. Mack,20,35
115,2,8:58.0,M. Plumlee misses 2-pt layup from 1 ft (block by K. Anderson),,20,35
116,2,8:54.0,Offensive rebound by Team,,20,35
117,2,8:47.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,23,35
118,2,8:36.0,,M. Conley makes 2-pt layup from 1 ft,23,37
119,2,8:16.0,M. Beasley misses 3-pt jump shot from 26 ft,,23,37
120,2,8:12.0,,Defensive rebound by J. Noah,23,37
121,2,8:06.0,,J. Noah makes 2-pt jump shot from 9 ft (assist by M. Conley),23,39
122,2,7:43.0,T. Lyles misses 2-pt jump shot from 21 ft,,23,39
123,2,7:41.0,,Defensive rebound by J. Jackson,23,39
124,2,7:31.0,,J. Jackson misses 2-pt jump shot from 10 ft,23,39
125,2,7:30.0,,Offensive rebound by J. Jackson,23,39
126,2,7:30.0,,J. Jackson makes 2-pt layup at rim,23,41
127,2,7:30.0,Denver full timeout,,23,41
128,2,7:30.0,W. Barton enters the game for M. Beasley,,23,41
129,2,7:30.0,G. Harris enters the game for J. Hernangómez,,23,41
130,2,7:30.0,N. Jokić enters the game for T. Lyles,,23,41
131,2,7:30.0,P. Millsap enters the game for M. Plumlee,,23,41
132,2,7:30.0,,J. Holiday enters the game for B. Caboclo,23,41
133,2,7:11.0,M. Morris misses 3-pt jump shot from 25 ft,,23,41
134,2,7:08.0,,Defensive rebound by J. Noah,23,41
135,2,6:47.0,,Shooting foul by P. Millsap (drawn by J. Noah),23,41
136,2,6:47.0,,J. Noah makes free throw 1 of 2,23,42
137,2,6:47.0,,J. Noah misses free throw 2 of 2,23,42
138,2,6:45.0,Defensive rebound by W. Barton,,23,42
139,2,6:23.0,M. Morris makes 2-pt jump shot from 17 ft,,25,42
140,2,5:57.0,,Offensive foul by J. Jackson (drawn by P. Millsap),25,42
141,2,5:57.0,,Turnover by J. Jackson (offensive foul),25,42
142,2,5:57.0,T. Craig enters the game for M. Morris,,25,42
143,2,5:57.0,,M. Gasol enters the game for M. Conley,25,42
144,2,5:57.0,,S. Mack enters the game for J. Jackson,25,42
145,2,5:39.0,W. Barton misses 3-pt jump shot from 25 ft,,25,42
146,2,5:38.0,,Defensive rebound by J. Noah,25,42
147,2,5:27.0,,Turnover by S. Mack (lost ball; steal by T. Craig),25,42
148,2,5:17.0,W. Barton makes 2-pt layup from 1 ft (assist by T. Craig),,27,42
149,2,4:53.0,,M. Gasol makes 2-pt jump shot from 11 ft,27,44
150,2,4:45.0,Personal foul by J. Noah (drawn by N. Jokić),,27,44
151,2,4:33.0,N. Jokić misses 3-pt jump shot from 25 ft,,27,44
152,2,4:30.0,,Defensive rebound by J. Noah,27,44
153,2,4:21.0,,Turnover by M. Gasol (lost ball; steal by P. Millsap),27,44
154,2,4:16.0,W. Barton makes 2-pt layup from 1 ft (assist by P. Millsap),,29,44
155,2,3:56.0,,M. Gasol makes 2-pt layup from 1 ft (assist by S. Mack),29,46
156,2,3:41.0,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),,31,46
157,2,3:28.0,,K. Anderson makes 2-pt layup from 1 ft (assist by S. Mack),31,48
158,2,3:03.0,N. Jokić misses 2-pt layup from 3 ft (block by J. Noah),,31,48
159,2,2:59.0,,Defensive rebound by K. Anderson,31,48
160,2,2:58.0,,K. Anderson makes 2-pt jump shot from 8 ft,31,50
161,2,2:56.0,Denver full timeout,,31,50
162,2,2:51.0,Turnover by G. Harris (traveling),,31,50
163,2,2:38.0,,Offensive foul by S. Mack (drawn by P. Millsap),31,50
164,2,2:38.0,,Turnover by S. Mack (offensive foul),31,50
165,2,2:38.0,M. Morris enters the game for T. Craig,,31,50
166,2,2:26.0,G. Harris makes 2-pt layup from 6 ft,,33,50
167,2,2:26.0,Shooting foul by J. Noah (drawn by G. Harris),,33,50
168,2,2:26.0,,M. Conley enters the game for S. Mack,33,50
169,2,2:26.0,G. Harris makes free throw 1 of 1,,34,50
170,2,2:09.0,,J. Noah misses 2-pt jump shot from 8 ft,34,50
171,2,2:04.0,Defensive rebound by G. Harris,,34,50
172,2,1:59.0,W. Barton misses 2-pt layup from 1 ft,,34,50
173,2,1:53.0,Offensive rebound by W. Barton,,34,50
174,2,1:53.0,W. Barton makes 2-pt layup from 1 ft,,36,50
175,2,1:36.0,,M. Conley makes 2-pt jump shot from 15 ft,36,52
176,2,1:19.0,M. Morris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,39,52
177,2,1:05.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by M. Gasol),39,55
178,2,0:55.0,Personal foul by K. Anderson (drawn by N. Jokić),,39,55
179,2,0:55.0,,B. Caboclo enters the game for J. Noah,39,55
180,2,0:47.0,G. Harris misses 2-pt jump shot from 21 ft,,39,55
181,2,0:42.0,,Defensive rebound by M. Conley,39,55
182,2,0:37.0,,M. Gasol makes 2-pt layup from 2 ft (assist by M. Conley),39,57
183,2,0:37.0,,Shooting foul by P. Millsap (drawn by M. Gasol),39,57
184,2,0:37.0,,M. Gasol makes free throw 1 of 1,39,58
185,2,0:31.0,Offensive foul by G. Harris (drawn by M. Conley),,39,58
186,2,0:31.0,Turnover by G. Harris (offensive foul),,39,58
187,2,0:31.0,M. Beasley enters the game for G. Harris,,39,58
188,2,0:13.0,,Turnover by M. Gasol (lost ball; steal by N. Jokić),39,58
189,2,0:10.0,N. Jokić makes 2-pt dunk from 1 ft,,41,58
190,2,0:04.0,,M. Conley makes 2-pt layup from 2 ft,41,60
191,2,0:04.0,Violation by Team (def goaltending),,41,60
192,3,11:47.0,N. Jokić makes 2-pt jump shot from 13 ft,,43,60
193,3,11:22.0,,M. Conley misses 3-pt jump shot from 28 ft,43,60
194,3,11:18.0,Defensive rebound by W. Barton,,43,60
195,3,11:15.0,N. Jokić misses 3-pt jump shot from 27 ft,,43,60
196,3,11:11.0,,Defensive rebound by Team,43,60
197,3,11:11.0,Loose ball foul by P. Millsap (drawn by J. Holiday),,43,60
198,3,10:59.0,,J. Holiday misses 3-pt jump shot from 23 ft,43,60
199,3,10:56.0,Defensive rebound by P. Millsap,,43,60
200,3,10:47.0,Turnover by W. Barton (lost ball; steal by M. Conley),,43,60
201,3,10:43.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),43,62
202,3,10:31.0,Offensive foul by N. Jokić (drawn by J. Holiday),,43,62
203,3,10:31.0,Turnover by N. Jokić (offensive foul),,43,62
204,3,10:31.0,,Technical foul by,43,62
205,3,10:31.0,,M. Conley makes technical free throw,43,63
206,3,10:20.0,,Turnover by M. Gasol (bad pass; steal by N. Jokić),43,63
207,3,10:20.0,Personal foul by J. Jackson (drawn by N. Jokić),,43,63
208,3,10:05.0,T. Craig misses 3-pt jump shot from 26 ft,,43,63
209,3,10:00.0,,Defensive rebound by K. Anderson,43,63
210,3,9:56.0,,Turnover by K. Anderson (lost ball; steal by T. Craig),43,63
211,3,9:53.0,Turnover by P. Millsap (step out of bounds),,43,63
212,3,9:35.0,,J. Jackson misses 2-pt jump shot from 12 ft,43,63
213,3,9:32.0,Defensive rebound by P. Millsap,,43,63
214,3,9:24.0,P. Millsap misses 2-pt jump shot from 9 ft (block by J. Jackson),,43,63
215,3,9:21.0,,Defensive rebound by J. Jackson,43,63
216,3,9:19.0,,K. Anderson makes 2-pt layup at rim (assist by M. Conley),43,65
217,3,9:06.0,G. Harris misses 3-pt jump shot from 27 ft,,43,65
218,3,9:05.0,,Defensive rebound by K. Anderson,43,65
219,3,9:02.0,,M. Conley misses 3-pt jump shot from 26 ft,43,65
220,3,8:59.0,Defensive rebound by N. Jokić,,43,65
221,3,8:54.0,,Loose ball foul by J. Jackson (drawn by T. Craig),43,65
222,3,8:54.0,,J. Noah enters the game for J. Jackson,43,65
223,3,8:46.0,W. Barton misses 3-pt jump shot from 26 ft,,43,65
224,3,8:41.0,,Defensive rebound by M. Gasol,43,65
225,3,8:30.0,,M. Gasol misses 2-pt layup at rim (block by T. Craig),43,65
226,3,8:27.0,Defensive rebound by N. Jokić,,43,65
227,3,8:27.0,Personal foul by K. Anderson (drawn by W. Barton),,43,65
228,3,8:18.0,G. Harris misses 2-pt layup at rim,,43,65
229,3,8:10.0,Offensive rebound by Team,,43,65
230,3,8:05.0,Shooting foul by K. Anderson (drawn by N. Jokić),,43,65
231,3,8:05.0,N. Jokić makes free throw 1 of 2,,44,65
232,3,8:05.0,N. Jokić makes free throw 2 of 2,,45,65
233,3,7:41.0,,M. Conley makes 2-pt layup from 1 ft,45,67
234,3,7:18.0,G. Harris misses 2-pt jump shot from 8 ft (block by M. Gasol),,45,67
235,3,7:15.0,,Defensive rebound by M. Conley,45,67
236,3,7:04.0,,M. Gasol misses 3-pt jump shot from 26 ft,45,67
237,3,6:59.0,,Offensive rebound by J. Noah,45,67
238,3,6:55.0,,M. Conley makes 3-pt jump shot from 24 ft (assist by J. Noah),45,70
239,3,6:54.0,Denver full timeout,,45,70
240,3,6:54.0,M. Morris enters the game for W. Barton,,45,70
241,3,6:54.0,,B. Caboclo enters the game for K. Anderson,45,70
242,3,6:39.0,M. Morris misses 3-pt jump shot from 24 ft,,45,70
243,3,6:36.0,Offensive rebound by T. Craig,,45,70
244,3,6:29.0,N. Jokić makes 2-pt layup at rim,,47,70
245,3,6:03.0,,Turnover by Team (shot clock),47,70
246,3,5:53.0,Shooting foul by B. Caboclo (drawn by P. Millsap),,47,70
247,3,5:53.0,P. Millsap makes free throw 1 of 2,,48,70
248,3,5:53.0,P. Millsap makes free throw 2 of 2,,49,70
249,3,5:35.0,,Shooting foul by T. Craig (drawn by M. Gasol),49,70
250,3,5:35.0,,M. Gasol makes free throw 1 of 2,49,71
251,3,5:35.0,,M. Gasol makes free throw 2 of 2,49,72
252,3,5:17.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),,51,72
253,3,4:50.0,,Turnover by M. Conley (bad pass; steal by N. Jokić),51,72
254,3,4:46.0,Turnover by N. Jokić (bad pass),,51,72
255,3,4:46.0,,Memphis full timeout,51,72
256,3,4:46.0,M. Plumlee enters the game for P. Millsap,,51,72
257,3,4:46.0,,S. Mack enters the game for M. Conley,51,72
258,3,4:46.0,,I. Rabb enters the game for J. Noah,51,72
259,3,4:27.0,,Shooting foul by T. Craig (drawn by M. Gasol),51,72
260,3,4:27.0,,M. Gasol makes free throw 1 of 2,51,73
261,3,4:27.0,,M. Gasol misses free throw 2 of 2,51,73
262,3,4:25.0,Defensive rebound by T. Craig,,51,73
263,3,4:12.0,N. Jokić makes 2-pt layup from 1 ft (assist by T. Craig),,53,73
264,3,3:55.0,,B. Caboclo misses 3-pt jump shot from 24 ft,53,73
265,3,3:54.0,Defensive rebound by Team,,53,73
266,3,3:54.0,W. Barton enters the game for T. Craig,,53,73
267,3,3:54.0,M. Beasley enters the game for G. Harris,,53,73
268,3,3:43.0,N. Jokić misses 3-pt jump shot from 25 ft,,53,73
269,3,3:38.0,,Defensive rebound by S. Mack,53,73
270,3,3:27.0,,S. Mack misses 3-pt jump shot from 26 ft,53,73
271,3,3:23.0,Defensive rebound by N. Jokić,,53,73
272,3,3:06.0,N. Jokić misses 2-pt layup from 3 ft (block by M. Gasol),,53,73
273,3,3:02.0,,Defensive rebound by S. Mack,53,73
274,3,2:58.0,,Turnover by J. Holiday (bad pass),53,73
275,3,2:53.0,N. Jokić makes 2-pt layup from 7 ft (assist by M. Morris),,55,73
276,3,2:53.0,Shooting foul by B. Caboclo (drawn by N. Jokić),,55,73
277,3,2:53.0,N. Jokić makes free throw 1 of 1,,56,73
278,3,2:36.0,,Turnover by M. Gasol (bad pass; steal by N. Jokić),56,73
279,3,2:28.0,N. Jokić misses 3-pt jump shot from 26 ft,,56,73
280,3,2:25.0,,Defensive rebound by S. Mack,56,73
281,3,2:03.0,,I. Rabb misses 2-pt jump shot from 16 ft,56,73
282,3,2:00.0,Defensive rebound by M. Morris,,56,73
283,3,1:50.0,N. Jokić makes 2-pt hook shot from 6 ft,,58,73
284,3,1:37.0,,Flagrant foul type 1 by M. Plumlee (drawn by B. Caboclo),58,73
285,3,1:37.0,,M. Conley enters the game for J. Holiday,58,73
286,3,1:37.0,,B. Caboclo makes flagrant free throw 1 of 2,58,74
287,3,1:37.0,,B. Caboclo makes flagrant free throw 2 of 2,58,75
288,3,1:32.0,,M. Conley makes 2-pt jump shot from 6 ft (assist by S. Mack),58,77
289,3,1:13.0,Offensive foul by N. Jokić (drawn by M. Gasol),,58,77
290,3,1:13.0,Turnover by N. Jokić (offensive foul),,58,77
291,3,1:13.0,T. Lyles enters the game for N. Jokić,,58,77
292,3,0:54.0,,Turnover by M. Gasol (traveling),58,77
293,3,0:38.0,M. Morris makes 2-pt jump shot from 9 ft,,60,77
294,3,0:27.0,,M. Gasol misses 3-pt jump shot from 26 ft,60,77
295,3,0:25.0,Defensive rebound by Team,,60,77
296,3,0:04.0,M. Morris misses 2-pt jump shot from 9 ft,,60,77
297,3,0:01.0,,Defensive rebound by M. Gasol,60,77
298,4,11:43.0,,J. Jackson makes 2-pt jump shot from 10 ft (assist by K. Anderson),60,79
299,4,11:29.0,M. Morris misses 3-pt jump shot from 26 ft,,60,79
300,4,11:27.0,,Defensive rebound by B. Caboclo,60,79
301,4,11:17.0,,Personal foul by M. Beasley (drawn by J. Noah),60,79
302,4,11:04.0,,M. Conley misses 3-pt jump shot from 26 ft,60,79
303,4,11:01.0,,Offensive rebound by Team,60,79
304,4,10:57.0,,K. Anderson misses 2-pt hook shot from 7 ft,60,79
305,4,10:55.0,Defensive rebound by M. Plumlee,,60,79
306,4,10:39.0,M. Beasley makes 2-pt jump shot from 21 ft (assist by M. Plumlee),,62,79
307,4,10:26.0,,J. Jackson misses 3-pt jump shot from 26 ft,62,79
308,4,10:23.0,Defensive rebound by M. Plumlee,,62,79
309,4,10:12.0,M. Beasley makes 3-pt jump shot from 25 ft,,65,79
310,4,10:11.0,,Memphis full timeout,65,79
311,4,10:11.0,,J. Holiday enters the game for B. Caboclo,65,79
312,4,9:53.0,,M. Conley misses 2-pt jump shot from 8 ft,65,79
313,4,9:52.0,Defensive rebound by Team,,65,79
314,4,9:52.0,,Loose ball foul by J. Noah (drawn by T. Lyles),65,79
315,4,9:41.0,Turnover by W. Barton (bad pass),,65,79
316,4,9:28.0,,J. Jackson misses 2-pt layup at rim,65,79
317,4,9:25.0,Defensive rebound by M. Plumlee,,65,79
318,4,9:19.0,Turnover by M. Morris (bad pass; steal by K. Anderson),,65,79
319,4,9:18.0,,Personal foul by W. Barton (drawn by M. Conley),65,79
320,4,9:06.0,,J. Noah makes 2-pt dunk from 1 ft (assist by M. Conley),65,81
321,4,8:51.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Beasley),,67,81
322,4,8:35.0,,J. Noah misses 2-pt hook shot from 13 ft,67,81
323,4,8:33.0,Defensive rebound by M. Beasley,,67,81
324,4,8:28.0,W. Barton makes 2-pt layup from 1 ft,,69,81
325,4,8:13.0,,J. Holiday misses 2-pt jump shot from 10 ft,69,81
326,4,8:11.0,Defensive rebound by W. Barton,,69,81
327,4,8:01.0,Turnover by M. Plumlee (bad pass; steal by J. Jackson),,69,81
328,4,7:49.0,,Turnover by K. Anderson (bad pass; steal by W. Barton),69,81
329,4,7:47.0,Personal foul by K. Anderson (drawn by M. Plumlee),,69,81
330,4,7:47.0,G. Harris enters the game for T. Lyles,,69,81
331,4,7:47.0,N. Jokić enters the game for M. Morris,,69,81
332,4,7:47.0,,M. Gasol enters the game for J. Noah,69,81
333,4,7:45.0,M. Beasley misses 3-pt jump shot from 27 ft,,69,81
334,4,7:41.0,,Defensive rebound by M. Gasol,69,81
335,4,7:30.0,,J. Holiday misses 3-pt jump shot from 25 ft,69,81
336,4,7:28.0,,Offensive rebound by J. Jackson,69,81
337,4,7:28.0,,Personal foul by M. Plumlee (drawn by J. Jackson),69,81
338,4,7:21.0,,Shooting foul by G. Harris (drawn by M. Conley),69,81
339,4,7:21.0,,M. Conley makes free throw 1 of 3,69,82
340,4,7:21.0,,M. Conley misses free throw 2 of 3,69,82
341,4,7:21.0,,Offensive rebound by Team,69,82
342,4,7:21.0,P. Millsap enters the game for M. Plumlee,,69,82
343,4,7:21.0,,B. Caboclo enters the game for K. Anderson,69,82
344,4,7:21.0,,M. Conley makes free throw 3 of 3,69,83
345,4,6:59.0,N. Jokić misses 3-pt jump shot from 26 ft,,69,83
346,4,6:55.0,,Defensive rebound by M. Conley,69,83
347,4,6:50.0,,B. Caboclo misses 3-pt jump shot from 23 ft,69,83
348,4,6:45.0,Defensive rebound by P. Millsap,,69,83
349,4,6:44.0,Shooting foul by J. Holiday (drawn by M. Beasley),,69,83
350,4,6:44.0,M. Beasley makes free throw 1 of 2,,70,83
351,4,6:44.0,M. Beasley misses free throw 2 of 2,,70,83
352,4,6:42.0,,Defensive rebound by J. Jackson,70,83
353,4,6:28.0,,M. Gasol misses 3-pt jump shot from 23 ft,70,83
354,4,6:26.0,Defensive rebound by Team,,70,83
355,4,6:15.0,W. Barton makes 2-pt layup at rim,,72,83
356,4,5:56.0,,Turnover by J. Jackson (traveling),72,83
357,4,5:56.0,,Violation by Team (delay of game),72,83
358,4,5:47.0,W. Barton misses 2-pt jump shot from 16 ft,,72,83
359,4,5:45.0,,Defensive rebound by B. Caboclo,72,83
360,4,5:22.0,,M. Gasol misses 2-pt layup from 5 ft,72,83
361,4,5:18.0,Defensive rebound by N. Jokić,,72,83
362,4,5:14.0,Turnover by P. Millsap (out of bounds lost ball),,72,83
363,4,5:14.0,,Memphis full timeout,72,83
364,4,4:57.0,,Shooting foul by G. Harris (drawn by M. Conley),72,83
365,4,4:57.0,,M. Conley misses free throw 1 of 2,72,83
366,4,4:57.0,,Offensive rebound by Team,72,83
367,4,4:57.0,,K. Anderson enters the game for B. Caboclo,72,83
368,4,4:57.0,,M. Conley makes free throw 2 of 2,72,84
369,4,4:46.0,G. Harris misses 3-pt jump shot from 25 ft,,72,84
370,4,4:42.0,Offensive rebound by N. Jokić,,72,84
371,4,4:38.0,P. Millsap misses 2-pt layup from 2 ft (block by J. Jackson),,72,84
372,4,4:38.0,Offensive rebound by W. Barton,,72,84
373,4,4:33.0,W. Barton misses 3-pt jump shot from 30 ft,,72,84
374,4,4:31.0,,Defensive rebound by Team,72,84
375,4,4:31.0,Loose ball foul by N. Jokić (drawn by K. Anderson),,72,84
376,4,4:31.0,,K. Anderson misses free throw 1 of 2,72,84
377,4,4:31.0,,Offensive rebound by Team,72,84
378,4,4:31.0,,K. Anderson makes free throw 2 of 2,72,85
379,4,4:22.0,Personal foul by J. Jackson (drawn by W. Barton),,72,85
380,4,4:12.0,Personal foul by J. Jackson (drawn by P. Millsap),,72,85
381,4,4:12.0,,J. Noah enters the game for J. Jackson,72,85
382,4,4:12.0,P. Millsap makes free throw 1 of 2,,73,85
383,4,4:12.0,P. Millsap makes free throw 2 of 2,,74,85
384,4,3:46.0,,M. Conley misses 2-pt jump shot from 23 ft,74,85
385,4,3:44.0,Defensive rebound by M. Beasley,,74,85
386,4,3:40.0,M. Beasley makes 2-pt layup from 1 ft,,76,85
387,4,3:27.0,,Turnover by M. Conley (bad pass; steal by M. Beasley),76,85
388,4,3:23.0,M. Beasley makes 2-pt layup from 1 ft,,78,85
