,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
382,4,9:03.0,W. Iwundu misses 2-pt layup from 5 ft (block by H. Giles),,72,93
383,4,9:00.0,,Defensive rebound by H. Giles,72,93
384,4,8:59.0,,Turnover by H. Giles (bad pass; steal by I. Briscoe),72,93
385,4,8:59.0,W. Iwundu makes 2-pt jump shot from 3 ft,,74,93
386,4,8:59.0,,Sacramento full timeout,74,93
387,4,8:43.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,74,95
388,4,8:28.0,T. Ross misses 3-pt jump shot from 25 ft,,74,95
389,4,8:24.0,,Defensive rebound by M. Bagley,74,95
390,4,8:15.0,,Y. Ferrell makes 2-pt jump shot from 14 ft,74,97
391,4,7:49.0,A. Gordon misses 3-pt jump shot from 25 ft,,74,97
392,4,7:46.0,,Defensive rebound by Y. Ferrell,74,97
393,4,7:34.0,,Turnover by H. Giles (bad pass; steal by I. Briscoe),74,97
394,4,7:29.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by I. Briscoe),,77,97
395,4,7:08.0,,H. Giles makes 2-pt layup from 3 ft (assist by B. Bogdanović),77,99
396,4,6:47.0,Personal foul by H. Giles (drawn by W. Iwundu),,77,99
397,4,6:47.0,W. Iwundu misses free throw 1 of 2,,77,99
398,4,6:47.0,Offensive rebound by Team,,77,99
399,4,6:47.0,W. Iwundu makes free throw 2 of 2,,78,99
400,4,6:23.0,,J. Jackson makes 3-pt jump shot from 23 ft,78,102
401,4,6:10.0,W. Iwundu misses 2-pt layup from 5 ft (block by H. Giles),,78,102
402,4,6:10.0,Offensive rebound by Team,,78,102
403,4,6:10.0,J. Martin enters the game for A. Gordon,,78,102
404,4,6:10.0,,F. Mason enters the game for B. Bogdanović,78,102
405,4,6:10.0,,B. McLemore enters the game for J. Jackson,78,102
406,4,6:06.0,I. Briscoe misses 3-pt jump shot from 25 ft,,78,102
407,4,6:02.0,,Defensive rebound by B. McLemore,78,102
408,4,5:58.0,,H. Giles misses 3-pt jump shot from 26 ft,78,102
409,4,5:54.0,Defensive rebound by I. Briscoe,,78,102
410,4,5:48.0,J. Martin makes 2-pt jump shot from 21 ft (assist by I. Briscoe),,80,102
411,4,5:30.0,,B. McLemore misses 2-pt jump shot from 20 ft,80,102
412,4,5:27.0,Defensive rebound by K. Birch,,80,102
413,4,5:23.0,I. Briscoe makes 3-pt jump shot from 25 ft (assist by T. Ross),,83,102
414,4,5:21.0,,Sacramento full timeout,83,102
415,4,5:21.0,J. Grant enters the game for T. Ross,,83,102
416,4,5:21.0,,S. Labissière enters the game for M. Bagley,83,102
417,4,5:17.0,,Personal foul by I. Briscoe (drawn by F. Mason),83,102
418,4,4:53.0,,Y. Ferrell misses 3-pt jump shot from 26 ft,83,102
419,4,4:49.0,Defensive rebound by W. Iwundu,,83,102
420,4,4:45.0,J. Martin makes 2-pt dunk at rim (assist by W. Iwundu),,85,102
421,4,4:24.0,,Shooting foul by J. Martin (drawn by F. Mason),85,102
422,4,4:24.0,,F. Mason misses free throw 1 of 2,85,102
423,4,4:24.0,,Offensive rebound by Team,85,102
424,4,4:24.0,,F. Mason misses free throw 2 of 2,85,102
425,4,4:21.0,Defensive rebound by J. Martin,,85,102
426,4,4:10.0,W. Iwundu makes 2-pt jump shot from 17 ft (assist by J. Grant),,87,102
427,4,3:49.0,,H. Giles misses 2-pt hook shot from 8 ft,87,102
428,4,3:45.0,Defensive rebound by J. Martin,,87,102
429,4,3:42.0,Turnover by J. Martin (bad pass; steal by B. McLemore),,87,102
430,4,3:34.0,,S. Labissière makes 2-pt dunk from 1 ft (assist by Y. Ferrell),87,104
431,4,3:26.0,Turnover by W. Iwundu (bad pass; steal by F. Mason),,87,104
432,4,3:21.0,,F. Mason makes 2-pt layup at rim,87,106
433,4,3:09.0,J. Grant misses 3-pt jump shot from 25 ft,,87,106
434,4,3:06.0,,Defensive rebound by H. Giles,87,106
435,4,2:56.0,,Y. Ferrell misses 3-pt jump shot from 23 ft,87,106
436,4,2:53.0,Defensive rebound by K. Birch,,87,106
437,4,2:47.0,W. Iwundu makes 2-pt jump shot from 12 ft,,89,106
438,4,2:31.0,,F. Mason makes 2-pt layup from 3 ft (assist by H. Giles),89,108
439,4,2:06.0,I. Briscoe makes 2-pt jump shot from 21 ft,,91,108
440,4,1:56.0,,B. McLemore misses 3-pt jump shot from 26 ft,91,108
441,4,1:54.0,Defensive rebound by J. Martin,,91,108
442,4,1:49.0,I. Briscoe makes 3-pt jump shot from 26 ft,,94,108
443,4,1:34.0,,F. Mason misses 2-pt jump shot from 21 ft,94,108
444,4,1:30.0,Defensive rebound by W. Iwundu,,94,108
445,4,1:25.0,W. Iwundu misses 2-pt layup from 7 ft,,94,108
446,4,1:23.0,,Defensive rebound by S. Labissière,94,108
447,4,1:18.0,,Personal foul by K. Birch (drawn by H. Giles),94,108
448,4,1:18.0,,H. Giles misses free throw 1 of 2,94,108
449,4,1:18.0,,Offensive rebound by Team,94,108
450,4,1:18.0,,H. Giles makes free throw 2 of 2,94,109
451,4,1:08.0,K. Birch misses 2-pt hook shot from 4 ft,,94,109
452,4,1:04.0,,Defensive rebound by H. Giles,94,109
453,4,0:56.0,,F. Mason makes 2-pt jump shot from 10 ft,94,111
454,4,0:46.0,I. Briscoe misses 2-pt jump shot from 8 ft,,94,111
455,4,0:42.0,,Defensive rebound by Y. Ferrell,94,111
456,4,0:21.0,,B. McLemore misses 3-pt jump shot from 25 ft,94,111
457,4,0:17.0,Defensive rebound by K. Birch,,94,111
458,4,0:11.0,Shooting foul by B. McLemore (drawn by I. Briscoe),,94,111
459,4,0:11.0,I. Briscoe misses free throw 1 of 2,,94,111
460,4,0:11.0,Offensive rebound by Team,,94,111
461,4,0:11.0,I. Briscoe makes free throw 2 of 2,,95,111
