,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
52,1,5:48.0,Shooting foul by O. Spellman (drawn by L. Dončić),,24,14
53,1,5:48.0,L. Dončić makes free throw 1 of 2,,25,14
54,1,5:48.0,,D. Bembry enters the game for K. Bazemore,25,14
55,1,5:48.0,,J. Lin enters the game for T. Young,25,14
56,1,5:48.0,L. Dončić makes free throw 2 of 2,,26,14
57,1,5:39.0,,T. Prince misses 3-pt jump shot from 25 ft,26,14
58,1,5:34.0,Defensive rebound by D. Jordan,,26,14
59,1,5:27.0,L. Dončić misses 3-pt jump shot from 25 ft,,26,14
60,1,5:23.0,,Defensive rebound by D. Dedmon,26,14
61,1,5:18.0,,D. Bembry makes 2-pt jump shot from 13 ft (assist by D. Dedmon),26,16
62,1,5:11.0,Turnover by D. Smith (out of bounds lost ball),,26,16
63,1,4:56.0,,J. Lin misses 3-pt jump shot from 25 ft,26,16
64,1,4:53.0,Defensive rebound by D. Jordan,,26,16
65,1,4:45.0,Shooting foul by T. Prince (drawn by D. Finney-Smith),,26,16
66,1,4:45.0,D. Finney-Smith makes free throw 1 of 2,,27,16
67,1,4:45.0,J. Brunson enters the game for W. Matthews,,27,16
68,1,4:45.0,,K. Huerter enters the game for T. Prince,27,16
69,1,4:45.0,D. Finney-Smith misses free throw 2 of 2,,27,16
70,1,4:37.0,,Defensive rebound by D. Dedmon,27,16
71,1,4:25.0,,Turnover by O. Spellman (bad pass; steal by D. Smith),27,16
72,1,4:18.0,D. Jordan makes 2-pt layup from 1 ft,,29,16
73,1,4:12.0,,D. Bembry misses 2-pt layup from 2 ft,29,16
74,1,4:12.0,Defensive rebound by D. Jordan,,29,16
75,1,4:04.0,L. Dončić misses 3-pt jump shot from 25 ft,,29,16
76,1,3:59.0,,Defensive rebound by D. Dedmon,29,16
77,1,3:49.0,,O. Spellman makes 2-pt layup from 1 ft,29,18
78,1,3:48.0,Dallas full timeout,,29,18
79,1,3:48.0,J. Barea enters the game for L. Dončić,,29,18
80,1,3:48.0,R. Broekhoff enters the game for D. Finney-Smith,,29,18
81,1,3:48.0,M. Kleber enters the game for D. Jordan,,29,18
82,1,3:48.0,D. Powell enters the game for D. Smith,,29,18
83,1,3:48.0,,A. Len enters the game for D. Dedmon,29,18
84,1,3:31.0,J. Brunson makes 2-pt jump shot from 13 ft (assist by J. Barea),,31,18
85,1,3:23.0,,Turnover by J. Lin (lost ball; steal by J. Barea),31,18
86,1,3:20.0,D. Powell makes 2-pt dunk from 2 ft (assist by J. Barea),,33,18
87,1,3:20.0,,Atlanta full timeout,33,18
88,1,3:15.0,,Personal foul by D. Powell (drawn by A. Len),33,18
89,1,3:08.0,,A. Len makes 3-pt jump shot from 23 ft (assist by D. Bembry),33,21
90,1,2:55.0,Shooting foul by O. Spellman (drawn by M. Kleber),,33,21
91,1,2:55.0,M. Kleber makes free throw 1 of 2,,34,21
92,1,2:55.0,,A. Poythress enters the game for O. Spellman,34,21
93,1,2:55.0,M. Kleber misses free throw 2 of 2,,34,21
94,1,2:52.0,,Defensive rebound by D. Bembry,34,21
95,1,2:49.0,,Personal foul by J. Brunson (drawn by A. Poythress),34,21
96,1,2:49.0,,A. Poythress misses free throw 1 of 2,34,21
97,1,2:49.0,,Offensive rebound by Team,34,21
98,1,2:49.0,,A. Poythress makes free throw 2 of 2,34,22
99,1,2:42.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Barea),,37,22
100,1,2:25.0,,K. Huerter misses 3-pt jump shot from 24 ft,37,22
101,1,2:22.0,Defensive rebound by D. Powell,,37,22
102,1,2:06.0,J. Brunson misses 2-pt jump shot from 16 ft,,37,22
103,1,2:03.0,,Defensive rebound by K. Huerter,37,22
104,1,1:50.0,,A. Len misses 3-pt jump shot from 24 ft,37,22
105,1,1:46.0,Defensive rebound by R. Broekhoff,,37,22
106,1,1:35.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),,39,22
107,1,1:23.0,,Offensive rebound by Team,39,22
108,1,1:23.0,,J. Lin misses 2-pt layup from 1 ft (block by M. Kleber),39,22
109,1,1:23.0,,T. Young enters the game for J. Lin,39,22
110,1,1:15.0,,D. Bembry misses 2-pt jump shot from 16 ft,39,22
111,1,1:12.0,Defensive rebound by J. Barea,,39,22
112,1,0:58.0,J. Barea misses 2-pt jump shot from 13 ft,,39,22
113,1,0:54.0,,Defensive rebound by K. Huerter,39,22
114,1,0:49.0,,Offensive foul by T. Young (drawn by J. Barea),39,22
115,1,0:49.0,,Turnover by T. Young (offensive foul),39,22
116,1,0:35.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Barea),,42,22
117,1,0:26.0,,T. Young misses 2-pt jump shot from 12 ft,42,22
118,1,0:23.0,Defensive rebound by J. Brunson,,42,22
119,1,0:07.0,R. Broekhoff misses 3-pt jump shot from 24 ft,,42,22
120,1,0:03.0,Offensive rebound by D. Powell,,42,22
121,2,11:44.0,,Offensive foul by T. Young (drawn by J. Brunson),42,22
122,2,11:44.0,,Turnover by T. Young (offensive foul),42,22
123,2,11:31.0,M. Kleber misses 2-pt jump shot from 9 ft,,42,22
124,2,11:27.0,Offensive rebound by M. Kleber,,42,22
125,2,11:25.0,Turnover by M. Kleber (bad pass; steal by K. Bazemore),,42,22
126,2,11:23.0,,Shooting foul by D. Powell (drawn by T. Young),42,22
127,2,11:23.0,,T. Young misses free throw 1 of 2,42,22
128,2,11:23.0,,Offensive rebound by Team,42,22
129,2,11:23.0,,T. Young makes free throw 2 of 2,42,23
130,2,11:04.0,J. Brunson misses 2-pt jump shot from 19 ft,,42,23
131,2,11:01.0,,Defensive rebound by T. Young,42,23
132,2,10:54.0,,T. Prince misses 2-pt layup from 3 ft,42,23
133,2,10:52.0,Defensive rebound by J. Brunson,,42,23
134,2,10:46.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by J. Barea),,45,23
135,2,10:27.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by A. Len),45,25
136,2,10:15.0,Personal foul by T. Young (drawn by J. Barea),,45,25
137,2,10:15.0,,D. Bembry enters the game for T. Young,45,25
138,2,10:06.0,W. Matthews makes 2-pt jump shot from 14 ft,,47,25
139,2,9:54.0,,T. Prince misses 3-pt jump shot from 26 ft,47,25
140,2,9:51.0,Defensive rebound by D. Powell,,47,25
141,2,9:45.0,J. Barea misses 2-pt jump shot from 4 ft,,47,25
142,2,9:45.0,,Defensive rebound by A. Poythress,47,25
143,2,9:40.0,,K. Bazemore misses 3-pt jump shot from 25 ft,47,25
144,2,9:40.0,Defensive rebound by J. Brunson,,47,25
145,2,9:26.0,Personal foul by D. Bembry (drawn by J. Brunson),,47,25
146,2,9:26.0,,O. Spellman enters the game for A. Len,47,25
147,2,9:16.0,W. Matthews makes 2-pt layup from 2 ft (assist by J. Brunson),,49,25
148,2,9:03.0,,Turnover by T. Prince (traveling),49,25
149,2,8:52.0,Personal foul by A. Poythress (drawn by D. Powell),,49,25
150,2,8:38.0,W. Matthews misses 3-pt jump shot from 23 ft,,49,25
151,2,8:34.0,,Defensive rebound by D. Bembry,49,25
152,2,8:31.0,Loose ball foul by D. Powell (drawn by K. Bazemore),,49,25
153,2,8:31.0,D. Jordan enters the game for D. Powell,,49,25
154,2,8:31.0,,V. Carter enters the game for A. Poythress,49,25
155,2,8:28.0,,O. Spellman misses 3-pt jump shot from 25 ft,49,25
156,2,8:25.0,Defensive rebound by M. Kleber,,49,25
157,2,8:17.0,J. Barea misses 2-pt jump shot from 7 ft,,49,25
158,2,8:10.0,Offensive rebound by W. Matthews,,49,25
159,2,8:10.0,W. Matthews misses 2-pt layup at rim,,49,25
160,2,8:09.0,,Defensive rebound by V. Carter,49,25
161,2,8:07.0,,K. Bazemore misses 2-pt layup from 3 ft,49,25
162,2,8:04.0,Defensive rebound by J. Brunson,,49,25
163,2,8:00.0,J. Brunson makes 2-pt jump shot from 13 ft,,51,25
164,2,7:46.0,,Offensive foul by T. Prince (drawn by W. Matthews),51,25
165,2,7:46.0,,Turnover by T. Prince (offensive foul),51,25
166,2,7:46.0,D. Finney-Smith enters the game for J. Barea,,51,25
167,2,7:46.0,D. Smith enters the game for M. Kleber,,51,25
168,2,7:30.0,Turnover by J. Brunson (lost ball; steal by K. Bazemore),,51,25
169,2,7:18.0,,V. Carter misses 3-pt jump shot from 27 ft,51,25
170,2,7:14.0,Defensive rebound by D. Smith,,51,25
171,2,7:05.0,J. Brunson misses 3-pt jump shot from 23 ft,,51,25
172,2,7:02.0,Offensive rebound by D. Smith,,51,25
173,2,6:59.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,51,25
174,2,6:55.0,,Defensive rebound by T. Prince,51,25
175,2,6:50.0,,Shooting foul by W. Matthews (drawn by T. Prince),51,25
176,2,6:50.0,,Atlanta full timeout,51,25
177,2,6:50.0,L. Dončić enters the game for J. Brunson,,51,25
178,2,6:50.0,,T. Prince makes free throw 1 of 2,51,26
179,2,6:50.0,,T. Prince makes free throw 2 of 2,51,27
180,2,6:39.0,Personal foul by O. Spellman (drawn by D. Jordan),,51,27
181,2,6:39.0,,D. Dedmon enters the game for O. Spellman,51,27
182,2,6:27.0,W. Matthews misses 2-pt jump shot from 7 ft (block by D. Bembry),,51,27
183,2,6:24.0,,Defensive rebound by D. Bembry,51,27
184,2,6:21.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Bazemore),51,30
185,2,6:09.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,51,30
186,2,6:04.0,,Defensive rebound by K. Bazemore,51,30
187,2,6:02.0,,D. Bembry makes 2-pt dunk from 2 ft (assist by K. Bazemore),51,32
188,2,6:02.0,Dallas full timeout,,51,32
189,2,5:44.0,Turnover by D. Finney-Smith (step out of bounds),,51,32
190,2,5:25.0,,D. Bembry misses 2-pt jump shot from 15 ft,51,32
191,2,5:21.0,Defensive rebound by D. Jordan,,51,32
192,2,5:16.0,Turnover by L. Dončić (lost ball; steal by D. Bembry),,51,32
193,2,5:08.0,,Shooting foul by L. Dončić (drawn by K. Bazemore),51,32
194,2,5:08.0,,K. Bazemore makes free throw 1 of 2,51,33
195,2,5:08.0,,K. Bazemore makes free throw 2 of 2,51,34
196,2,4:53.0,L. Dončić misses 2-pt jump shot from 14 ft,,51,34
197,2,4:50.0,,Defensive rebound by V. Carter,51,34
198,2,4:44.0,,K. Bazemore makes 2-pt jump shot from 20 ft,51,36
199,2,4:32.0,Personal foul by D. Dedmon (drawn by D. Smith),,51,36
200,2,4:32.0,,Technical foul by D. Dedmon,51,36
201,2,4:32.0,D. Smith makes technical free throw,,52,36
202,2,4:32.0,D. Smith makes free throw 1 of 2,,53,36
203,2,4:32.0,J. Brunson enters the game for W. Matthews,,53,36
204,2,4:32.0,D. Smith misses free throw 2 of 2,,53,36
205,2,4:30.0,,Defensive rebound by D. Dedmon,53,36
206,2,4:15.0,,D. Dedmon misses 3-pt jump shot from 25 ft,53,36
207,2,4:12.0,Defensive rebound by L. Dončić,,53,36
208,2,4:05.0,J. Brunson misses 3-pt jump shot from 25 ft (block by D. Dedmon),,53,36
209,2,4:03.0,Offensive rebound by D. Jordan,,53,36
210,2,4:03.0,Turnover by D. Jordan (back court),,53,36
211,2,3:53.0,,T. Prince misses 2-pt layup from 7 ft,53,36
212,2,3:50.0,Defensive rebound by D. Jordan,,53,36
213,2,3:44.0,D. Smith makes 2-pt jump shot from 16 ft (assist by D. Jordan),,55,36
214,2,3:26.0,,D. Dedmon misses 2-pt jump shot from 20 ft,55,36
215,2,3:17.0,,Offensive rebound by K. Bazemore,55,36
216,2,3:17.0,,K. Bazemore makes 2-pt layup from 1 ft,55,38
217,2,3:11.0,Offensive foul by D. Jordan (drawn by V. Carter),,55,38
218,2,3:11.0,Turnover by D. Jordan (offensive foul),,55,38
219,2,3:11.0,,A. Len enters the game for D. Dedmon,55,38
220,2,2:57.0,,K. Bazemore makes 2-pt dunk from 2 ft,55,40
221,2,2:47.0,Personal foul by K. Bazemore (drawn by D. Jordan),,55,40
222,2,2:47.0,D. Jordan makes free throw 1 of 2,,56,40
223,2,2:47.0,D. Jordan makes free throw 2 of 2,,57,40
224,2,2:30.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by K. Bazemore),57,42
225,2,2:18.0,D. Smith misses 3-pt jump shot from 26 ft,,57,42
226,2,2:14.0,,Defensive rebound by V. Carter,57,42
227,2,2:06.0,,K. Bazemore misses 3-pt jump shot from 25 ft,57,42
228,2,2:03.0,,Offensive rebound by D. Bembry,57,42
229,2,2:01.0,,D. Bembry misses 2-pt layup from 3 ft,57,42
230,2,2:01.0,,Offensive rebound by A. Len,57,42
231,2,2:01.0,,A. Len makes 2-pt layup from 1 ft,57,44
232,2,2:01.0,Dallas full timeout,,57,44
233,2,2:01.0,J. Barea enters the game for J. Brunson,,57,44
234,2,2:01.0,W. Matthews enters the game for D. Smith,,57,44
235,2,1:43.0,D. Jordan misses 2-pt layup from 3 ft,,57,44
236,2,1:40.0,,Defensive rebound by D. Bembry,57,44
237,2,1:37.0,,Turnover by D. Bembry (bad pass),57,44
238,2,1:16.0,Turnover by W. Matthews (bad pass; steal by D. Bembry),,57,44
239,2,1:08.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Bembry),57,46
240,2,0:59.0,J. Barea misses 2-pt jump shot from 18 ft,,57,46
241,2,0:57.0,,Defensive rebound by D. Bembry,57,46
242,2,0:55.0,,Personal foul by D. Finney-Smith (drawn by D. Bembry),57,46
243,2,0:55.0,,D. Bembry misses free throw 1 of 2,57,46
244,2,0:55.0,,Offensive rebound by Team,57,46
245,2,0:55.0,,D. Bembry misses free throw 2 of 2,57,46
246,2,0:55.0,Defensive rebound by Team,,57,46
247,2,0:55.0,Personal foul by A. Len (drawn by D. Jordan),,57,46
248,2,0:55.0,D. Jordan misses free throw 1 of 2,,57,46
249,2,0:55.0,Offensive rebound by Team,,57,46
250,2,0:55.0,D. Jordan makes free throw 2 of 2,,58,46
251,2,0:45.0,,Shooting foul by W. Matthews (drawn by K. Bazemore),58,46
252,2,0:45.0,,K. Bazemore makes free throw 1 of 2,58,47
253,2,0:45.0,,K. Huerter enters the game for T. Prince,58,47
254,2,0:45.0,,K. Bazemore makes free throw 2 of 2,58,48
255,2,0:32.0,J. Barea misses 2-pt jump shot from 16 ft,,58,48
256,2,0:28.0,,Defensive rebound by K. Bazemore,58,48
257,2,0:16.0,Violation by Team (kicked ball),,58,48
258,2,0:16.0,J. Brunson enters the game for J. Barea,,58,48
259,2,0:05.0,,K. Bazemore misses 3-pt jump shot from 27 ft,58,48
260,2,0:02.0,Defensive rebound by D. Jordan,,58,48
261,2,0:00.0,W. Matthews misses 3-pt jump shot from 46 ft,,58,48
262,2,0:00.0,Offensive rebound by Team,,58,48
263,3,11:48.0,,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),58,50
264,3,11:33.0,L. Dončić makes 2-pt jump shot from 15 ft,,60,50
265,3,11:18.0,,T. Young misses 2-pt jump shot from 11 ft,60,50
266,3,11:14.0,,Offensive rebound by T. Young,60,50
267,3,11:13.0,,K. Bazemore misses 3-pt jump shot from 23 ft,60,50
268,3,11:11.0,Defensive rebound by D. Smith,,60,50
269,3,11:01.0,W. Matthews misses 3-pt jump shot from 26 ft,,60,50
270,3,10:56.0,,Defensive rebound by T. Young,60,50
271,3,10:53.0,,T. Prince makes 3-pt jump shot from 22 ft (assist by T. Young),60,53
272,3,10:37.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,60,53
273,3,10:32.0,,Defensive rebound by T. Prince,60,53
274,3,10:25.0,,T. Young makes 3-pt jump shot from 26 ft (assist by T. Prince),60,56
275,3,10:16.0,Dallas full timeout,,60,56
276,3,10:07.0,Offensive foul by D. Jordan (drawn by T. Prince),,60,56
277,3,10:07.0,Turnover by D. Jordan (offensive foul),,60,56
278,3,10:01.0,,Personal foul by D. Finney-Smith (drawn by T. Young),60,56
279,3,9:54.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),60,59
280,3,9:39.0,Personal foul by K. Bazemore (drawn by W. Matthews),,60,59
281,3,9:35.0,Turnover by D. Finney-Smith (bad pass; steal by V. Carter),,60,59
282,3,9:28.0,,T. Young misses 2-pt jump shot from 3 ft (block by D. Finney-Smith),60,59
283,3,9:23.0,Defensive rebound by L. Dončić,,60,59
284,3,9:22.0,D. Smith makes 2-pt layup from 1 ft (assist by L. Dončić),,62,59
285,3,9:12.0,,T. Prince misses 3-pt jump shot from 25 ft,62,59
286,3,9:12.0,Defensive rebound by L. Dončić,,62,59
287,3,9:06.0,L. Dončić misses 3-pt jump shot from 26 ft,,62,59
288,3,9:06.0,Offensive rebound by D. Smith,,62,59
289,3,9:00.0,D. Smith makes 2-pt dunk from 1 ft,,64,59
290,3,8:48.0,,K. Bazemore makes 3-pt jump shot from 26 ft,64,62
291,3,8:30.0,L. Dončić misses 2-pt layup from 2 ft (block by A. Len),,64,62
292,3,8:30.0,Offensive rebound by Team,,64,62
293,3,8:24.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,66,62
294,3,8:24.0,Shooting foul by A. Len (drawn by D. Jordan),,66,62
295,3,8:24.0,D. Jordan makes free throw 1 of 1,,67,62
296,3,8:15.0,,Turnover by A. Len (bad pass; steal by D. Finney-Smith),67,62
297,3,8:11.0,D. Finney-Smith makes 2-pt dunk from 3 ft,,69,62
298,3,7:50.0,,V. Carter misses 3-pt jump shot from 23 ft,69,62
299,3,7:47.0,Defensive rebound by L. Dončić,,69,62
300,3,7:46.0,Turnover by L. Dončić (bad pass),,69,62
301,3,7:33.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by K. Bazemore),69,65
302,3,7:15.0,Personal foul by K. Bazemore (drawn by D. Jordan),,69,65
303,3,7:15.0,,K. Huerter enters the game for K. Bazemore,69,65
304,3,7:10.0,Shooting foul by T. Prince (drawn by L. Dončić),,69,65
305,3,7:10.0,L. Dončić misses free throw 1 of 2,,69,65
306,3,7:10.0,Offensive rebound by Team,,69,65
307,3,7:10.0,L. Dončić misses free throw 2 of 2,,69,65
308,3,7:07.0,,Defensive rebound by A. Len,69,65
309,3,6:56.0,,Turnover by K. Huerter (bad pass; steal by D. Smith),69,65
310,3,6:52.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Smith),,71,65
311,3,6:52.0,,Atlanta full timeout,71,65
312,3,6:42.0,,Turnover by T. Young (bad pass; steal by D. Finney-Smith),71,65
313,3,6:35.0,W. Matthews misses 3-pt jump shot from 27 ft,,71,65
314,3,6:32.0,Offensive rebound by D. Jordan,,71,65
315,3,6:30.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Jordan),,74,65
316,3,6:10.0,,A. Len misses 2-pt jump shot from 10 ft,74,65
317,3,6:07.0,Defensive rebound by L. Dončić,,74,65
318,3,5:58.0,Turnover by L. Dončić (traveling),,74,65
319,3,5:48.0,,T. Young misses 3-pt jump shot from 26 ft,74,65
320,3,5:45.0,Defensive rebound by D. Smith,,74,65
321,3,5:36.0,L. Dončić misses 3-pt jump shot from 27 ft,,74,65
322,3,5:33.0,,Defensive rebound by A. Len,74,65
323,3,5:26.0,,Turnover by T. Young (bad pass; steal by L. Dončić),74,65
324,3,5:25.0,Personal foul by T. Prince (drawn by L. Dončić),,74,65
325,3,5:25.0,L. Dončić makes free throw 1 of 2,,75,65
326,3,5:25.0,J. Brunson enters the game for D. Smith,,75,65
327,3,5:25.0,,D. Bembry enters the game for V. Carter,75,65
328,3,5:25.0,,J. Lin enters the game for T. Prince,75,65
329,3,5:25.0,,O. Spellman enters the game for T. Young,75,65
330,3,5:25.0,L. Dončić misses free throw 2 of 2,,75,65
331,3,5:21.0,,Defensive rebound by A. Len,75,65
332,3,5:11.0,,A. Len misses 3-pt jump shot from 24 ft,75,65
333,3,5:06.0,Defensive rebound by W. Matthews,,75,65
334,3,5:03.0,L. Dončić misses 3-pt jump shot from 26 ft,,75,65
335,3,5:00.0,,Defensive rebound by D. Bembry,75,65
336,3,4:58.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by D. Bembry),75,67
337,3,4:37.0,L. Dončić misses 2-pt jump shot from 9 ft,,75,67
338,3,4:36.0,Offensive rebound by D. Jordan,,75,67
339,3,4:36.0,D. Jordan misses 2-pt layup from 4 ft,,75,67
340,3,4:35.0,,Defensive rebound by K. Huerter,75,67
341,3,4:30.0,,Personal foul by W. Matthews (drawn by J. Lin),75,67
342,3,4:30.0,J. Barea enters the game for L. Dončić,,75,67
343,3,4:30.0,,D. Dedmon enters the game for A. Len,75,67
344,3,4:23.0,,Turnover by J. Lin (bad pass; steal by J. Barea),75,67
345,3,4:07.0,W. Matthews misses 3-pt jump shot from 26 ft,,75,67
346,3,4:03.0,,Defensive rebound by K. Huerter,75,67
347,3,3:54.0,,D. Bembry makes 2-pt layup from 2 ft (assist by K. Huerter),75,69
348,3,3:37.0,J. Brunson misses 3-pt jump shot from 25 ft,,75,69
349,3,3:33.0,,Defensive rebound by D. Bembry,75,69
350,3,3:27.0,,D. Bembry makes 3-pt jump shot from 26 ft (assist by J. Lin),75,72
351,3,3:26.0,Dallas full timeout,,75,72
352,3,3:26.0,M. Kleber enters the game for W. Matthews,,75,72
353,3,3:04.0,J. Brunson misses 2-pt layup from 6 ft,,75,72
354,3,3:00.0,,Defensive rebound by D. Bembry,75,72
355,3,2:57.0,,Shooting foul by D. Finney-Smith (drawn by D. Bembry),75,72
356,3,2:57.0,,D. Bembry makes free throw 1 of 2,75,73
357,3,2:57.0,,D. Bembry makes free throw 2 of 2,75,74
358,3,2:57.0,L. Dončić enters the game for D. Finney-Smith,,75,74
359,3,2:37.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Barea),,78,74
360,3,2:19.0,,D. Bembry misses 2-pt layup from 1 ft,78,74
361,3,2:16.0,Defensive rebound by J. Brunson,,78,74
362,3,2:12.0,J. Brunson makes 2-pt layup from 2 ft,,80,74
363,3,1:57.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by J. Lin),80,77
364,3,1:41.0,J. Barea misses 2-pt jump shot from 18 ft,,80,77
365,3,1:37.0,,Defensive rebound by O. Spellman,80,77
366,3,1:35.0,,Turnover by K. Huerter (bad pass),80,77
367,3,1:35.0,D. Powell enters the game for D. Jordan,,80,77
368,3,1:35.0,,T. Young enters the game for K. Huerter,80,77
369,3,1:25.0,D. Powell makes 2-pt dunk from 2 ft (assist by J. Barea),,82,77
370,3,1:10.0,,T. Young misses 2-pt jump shot from 13 ft,82,77
371,3,1:06.0,Defensive rebound by J. Barea,,82,77
372,3,0:52.0,Personal foul by T. Young (drawn by L. Dončić),,82,77
373,3,0:52.0,L. Dončić makes free throw 1 of 2,,83,77
374,3,0:52.0,,K. Huerter enters the game for T. Young,83,77
375,3,0:52.0,L. Dončić makes free throw 2 of 2,,84,77
376,3,0:41.0,,J. Lin makes 3-pt jump shot from 26 ft (assist by D. Dedmon),84,80
377,3,0:28.0,J. Barea makes 3-pt jump shot from 25 ft (assist by D. Powell),,87,80
378,3,0:07.0,,K. Huerter misses 2-pt layup from 3 ft (block by D. Powell),87,80
379,3,0:03.0,,Offensive rebound by O. Spellman,87,80
380,3,0:02.0,,O. Spellman misses 2-pt layup from 3 ft (block by M. Kleber),87,80
381,3,0:02.0,Defensive rebound by D. Powell,,87,80
382,3,0:01.0,J. Barea misses 3-pt jump shot from 38 ft,,87,80
383,3,0:00.0,Offensive rebound by Team,,87,80
384,4,11:47.0,J. Barea misses 3-pt jump shot from 26 ft,,87,80
385,4,11:42.0,,Defensive rebound by D. Bembry,87,80
386,4,11:34.0,,D. Bembry misses 3-pt jump shot from 23 ft (block by L. Dončić),87,80
