,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
383,4,7:44.0,,Defensive rebound by S. Ibaka,91,101
384,4,7:32.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by L. Brown),91,103
385,4,7:15.0,W. Matthews makes 2-pt jump shot from 8 ft,,93,103
386,4,6:59.0,,K. Lowry misses 3-pt jump shot from 26 ft,93,103
387,4,6:55.0,,Offensive rebound by P. Siakam,93,103
388,4,6:53.0,,Turnover by P. Siakam (bad pass; steal by M. Kleber),93,103
389,4,6:47.0,D. Jordan misses 2-pt hook shot from 3 ft,,93,103
390,4,6:45.0,Offensive rebound by M. Kleber,,93,103
391,4,6:44.0,M. Kleber misses 2-pt hook shot from 3 ft,,93,103
392,4,6:44.0,Offensive rebound by D. Jordan,,93,103
393,4,6:40.0,D. Jordan misses 2-pt layup from 1 ft,,93,103
394,4,6:39.0,,Defensive rebound by P. Siakam,93,103
395,4,6:32.0,,S. Ibaka misses 3-pt jump shot from 24 ft,93,103
396,4,6:30.0,Defensive rebound by L. Dončić,,93,103
397,4,6:27.0,D. Jordan makes 2-pt layup from 2 ft (assist by L. Dončić),,95,103
398,4,6:08.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Lowry),95,105
399,4,5:53.0,W. Matthews makes 2-pt layup from 1 ft (assist by J. Brunson),,97,105
400,4,5:44.0,,L. Brown makes 2-pt layup from 1 ft (assist by K. Lowry),97,107
401,4,5:32.0,Turnover by J. Brunson (lost ball; steal by L. Brown),,97,107
402,4,5:28.0,,L. Brown makes 2-pt jump shot from 1 ft,97,109
403,4,5:27.0,Dallas full timeout,,97,109
404,4,5:27.0,H. Barnes enters the game for J. Brunson,,97,109
405,4,5:27.0,,D. Green enters the game for L. Brown,97,109
406,4,5:27.0,,K. Leonard enters the game for N. Powell,97,109
407,4,5:10.0,Turnover by L. Dončić (bad pass; steal by K. Leonard),,97,109
408,4,4:53.0,,P. Siakam misses 2-pt jump shot from 6 ft,97,109
409,4,4:51.0,Defensive rebound by D. Jordan,,97,109
410,4,4:41.0,H. Barnes misses 2-pt jump shot from 19 ft,,97,109
411,4,4:38.0,,Defensive rebound by S. Ibaka,97,109
412,4,4:24.0,,D. Green misses 3-pt jump shot from 27 ft,97,109
413,4,4:21.0,Defensive rebound by D. Jordan,,97,109
414,4,4:12.0,D. Jordan makes 2-pt layup from 2 ft (assist by H. Barnes),,99,109
415,4,4:12.0,Shooting foul by D. Green (drawn by D. Jordan),,99,109
416,4,4:12.0,D. Jordan misses free throw 1 of 1,,99,109
417,4,4:12.0,,Defensive rebound by S. Ibaka,99,109
418,4,3:53.0,,Personal foul by H. Barnes (drawn by K. Leonard),99,109
419,4,3:53.0,,J. Valančiūnas enters the game for S. Ibaka,99,109
420,4,3:45.0,,K. Leonard misses 2-pt hook shot from 3 ft,99,109
421,4,3:44.0,Defensive rebound by H. Barnes,,99,109
422,4,3:40.0,Turnover by H. Barnes (lost ball; steal by P. Siakam),,99,109
423,4,3:36.0,,P. Siakam makes 2-pt dunk from 1 ft,99,111
424,4,3:20.0,L. Dončić misses 2-pt jump shot from 14 ft,,99,111
425,4,3:18.0,Offensive rebound by Team,,99,111
426,4,3:18.0,D. Finney-Smith enters the game for H. Barnes,,99,111
427,4,3:14.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),,102,111
428,4,3:04.0,,K. Lowry misses 2-pt layup from 1 ft (block by D. Jordan),102,111
429,4,3:02.0,Defensive rebound by M. Kleber,,102,111
430,4,2:57.0,L. Dončić misses 2-pt layup from 2 ft,,102,111
431,4,2:55.0,,Defensive rebound by D. Green,102,111
432,4,2:37.0,,Shooting foul by W. Matthews (drawn by K. Leonard),102,111
433,4,2:37.0,,K. Leonard makes free throw 1 of 2,102,112
434,4,2:37.0,,K. Leonard makes free throw 2 of 2,102,113
435,4,2:32.0,Personal foul by K. Lowry (drawn by L. Dončić),,102,113
436,4,2:24.0,D. Jordan misses 2-pt hook shot from 6 ft,,102,113
437,4,2:22.0,Offensive rebound by L. Dončić,,102,113
438,4,2:20.0,M. Kleber misses 3-pt jump shot from 25 ft,,102,113
439,4,2:16.0,,Defensive rebound by K. Leonard,102,113
440,4,2:04.0,,J. Valančiūnas misses 2-pt jump shot from 4 ft,102,113
441,4,2:00.0,,Offensive rebound by J. Valančiūnas,102,113
442,4,2:00.0,,J. Valančiūnas makes 2-pt layup at rim,102,115
443,4,1:54.0,W. Matthews misses 3-pt jump shot from 25 ft,,102,115
444,4,1:51.0,,Defensive rebound by K. Leonard,102,115
445,4,1:28.0,,Turnover by Team (shot clock),102,115
446,4,1:28.0,J. Brunson enters the game for W. Matthews,,102,115
447,4,1:16.0,L. Dončić makes 2-pt layup from 3 ft,,104,115
448,4,0:55.0,,D. Green misses 3-pt jump shot from 23 ft,104,115
449,4,0:52.0,,Offensive rebound by J. Valančiūnas,104,115
450,4,0:52.0,,J. Valančiūnas misses 2-pt layup at rim,104,115
451,4,0:52.0,,Offensive rebound by J. Valančiūnas,104,115
452,4,0:52.0,,J. Valančiūnas misses 2-pt layup at rim,104,115
453,4,0:52.0,,Offensive rebound by J. Valančiūnas,104,115
454,4,0:52.0,,Shooting foul by D. Finney-Smith (drawn by J. Valančiūnas),104,115
455,4,0:52.0,,J. Valančiūnas misses free throw 1 of 2,104,115
456,4,0:52.0,,Offensive rebound by Team,104,115
457,4,0:52.0,D. Macon enters the game for L. Dončić,,104,115
458,4,0:52.0,,J. Valančiūnas makes free throw 2 of 2,104,116
459,4,0:45.0,J. Brunson misses 2-pt jump shot from 14 ft,,104,116
460,4,0:43.0,Offensive rebound by D. Jordan,,104,116
461,4,0:40.0,Turnover by D. Jordan (bad pass; steal by D. Green),,104,116
462,4,0:17.0,,P. Siakam misses 3-pt jump shot from 25 ft,104,116
463,4,0:15.0,Defensive rebound by Team,,104,116
464,4,0:10.0,D. Finney-Smith makes 3-pt jump shot from 29 ft (assist by J. Brunson),,107,116
