,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,K. Thompson makes 2-pt jump shot from 19 ft,0,2
1,1,11:18.0,S. Mack misses 2-pt jump shot from 13 ft,,0,2
2,1,11:17.0,,Defensive rebound by K. Durant,0,2
3,1,11:08.0,,K. Looney makes 2-pt layup from 2 ft,0,4
4,1,11:08.0,,Shooting foul by M. Gasol (drawn by K. Looney),0,4
5,1,11:08.0,,K. Looney makes free throw 1 of 1,0,5
6,1,10:50.0,G. Temple makes 2-pt jump shot from 18 ft,,2,5
7,1,10:35.0,,K. Thompson misses 3-pt jump shot from 27 ft,2,5
8,1,10:33.0,Defensive rebound by M. Gasol,,2,5
9,1,10:23.0,Turnover by G. Temple (out of bounds lost ball),,2,5
10,1,10:11.0,,Personal foul by J. Jackson (drawn by D. Green),2,5
11,1,10:02.0,,D. Green misses 3-pt jump shot from 22 ft,2,5
12,1,10:00.0,,Offensive rebound by K. Thompson,2,5
13,1,9:59.0,,K. Thompson makes 2-pt jump shot from 10 ft,2,7
14,1,9:38.0,J. Jackson misses 2-pt jump shot from 18 ft,,2,7
15,1,9:37.0,,Defensive rebound by K. Thompson,2,7
16,1,9:31.0,,K. Thompson misses 2-pt jump shot from 16 ft,2,7
17,1,9:28.0,Defensive rebound by Team,,2,7
18,1,9:15.0,Personal foul by K. Looney (drawn by M. Gasol),,2,7
19,1,9:02.0,S. Mack makes 2-pt layup from 3 ft (assist by M. Gasol),,4,7
20,1,8:40.0,,K. Durant misses 2-pt layup from 2 ft,4,7
21,1,8:39.0,Defensive rebound by K. Anderson,,4,7
22,1,8:30.0,G. Temple misses 3-pt jump shot from 27 ft,,4,7
23,1,8:28.0,,Defensive rebound by D. Green,4,7
24,1,8:20.0,,D. Green misses 2-pt layup from 9 ft,4,7
25,1,8:19.0,Defensive rebound by M. Gasol,,4,7
26,1,8:15.0,Personal foul by K. Thompson (drawn by G. Temple),,4,7
27,1,8:12.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by G. Temple),,6,7
28,1,7:57.0,,S. Curry misses 3-pt jump shot from 28 ft,6,7
29,1,7:55.0,Defensive rebound by K. Anderson,,6,7
30,1,7:42.0,K. Anderson misses 3-pt jump shot from 27 ft,,6,7
31,1,7:40.0,,Defensive rebound by D. Green,6,7
32,1,7:26.0,,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),6,9
33,1,7:21.0,Memphis full timeout,,6,9
34,1,7:07.0,M. Gasol makes 2-pt layup from 1 ft (assist by K. Anderson),,8,9
35,1,6:45.0,,S. Curry misses 2-pt layup from 2 ft,8,9
36,1,6:41.0,Defensive rebound by J. Jackson,,8,9
37,1,6:40.0,G. Temple misses 2-pt dunk from 1 ft (block by K. Thompson),,8,9
38,1,6:39.0,Offensive rebound by K. Anderson,,8,9
