,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
0,1,11:38.0,R. Hood misses 3-pt jump shot from 28 ft,,0,0
1,1,11:35.0,,Defensive rebound by Team,0,0
2,1,11:22.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by P. Siakam),0,2
3,1,11:05.0,C. Osman makes 2-pt layup from 2 ft,,2,2
4,1,10:45.0,,F. VanVleet makes 2-pt jump shot from 18 ft,2,4
5,1,10:24.0,Turnover by C. Osman (lost ball; steal by K. Leonard),,2,4
6,1,10:21.0,,D. Wright misses 3-pt jump shot from 25 ft,2,4
7,1,10:16.0,,Offensive rebound by K. Leonard,2,4
8,1,10:05.0,,O. Anunoby makes 2-pt jump shot from 13 ft (assist by F. VanVleet),2,6
9,1,9:49.0,C. Sexton misses 2-pt layup at rim,,2,6
10,1,9:46.0,,Defensive rebound by O. Anunoby,2,6
11,1,9:42.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by F. VanVleet),2,9
12,1,9:21.0,C. Osman misses 3-pt jump shot from 26 ft,,2,9
13,1,9:18.0,,Defensive rebound by F. VanVleet,2,9
14,1,9:12.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Leonard),2,12
15,1,9:10.0,Cleveland full timeout,,2,12
16,1,8:51.0,Turnover by L. Nance (traveling),,2,12
17,1,8:40.0,,P. Siakam misses 3-pt jump shot from 23 ft,2,12
18,1,8:36.0,Defensive rebound by L. Nance,,2,12
19,1,8:26.0,C. Osman makes 2-pt layup from 2 ft,,4,12
20,1,8:26.0,Shooting foul by F. VanVleet (drawn by C. Osman),,4,12
21,1,8:26.0,C. Osman makes free throw 1 of 1,,5,12
22,1,8:11.0,,K. Leonard misses 2-pt jump shot from 15 ft,5,12
23,1,8:06.0,Defensive rebound by L. Nance,,5,12
24,1,7:56.0,Cleveland full timeout,,5,12
25,1,7:51.0,Turnover by L. Nance (lost ball; steal by D. Wright),,5,12
26,1,7:50.0,,Personal take foul by C. Osman (drawn by K. Leonard),5,12
27,1,7:41.0,,Turnover by P. Siakam (traveling),5,12
28,1,7:28.0,Shooting foul by O. Anunoby (drawn by R. Hood),,5,12
29,1,7:28.0,R. Hood makes free throw 1 of 2,,6,12
30,1,7:28.0,R. Hood makes free throw 2 of 2,,7,12
31,1,7:15.0,,Turnover by K. Leonard (lost ball; steal by L. Nance),7,12
32,1,7:11.0,C. Sexton makes 2-pt layup from 1 ft (assist by R. Hood),,9,12
33,1,6:54.0,,O. Anunoby misses 3-pt jump shot from 23 ft,9,12
34,1,6:51.0,,Offensive rebound by D. Wright,9,12
35,1,6:49.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by D. Wright),9,15
36,1,6:37.0,C. Sexton makes 2-pt jump shot from 20 ft,,11,15
37,1,6:26.0,,P. Siakam misses 3-pt jump shot from 23 ft,11,15
38,1,6:18.0,,Offensive rebound by O. Anunoby,11,15
39,1,6:18.0,,O. Anunoby makes 2-pt layup at rim,11,17
40,1,6:12.0,C. Sexton misses 2-pt layup from 4 ft,,11,17
41,1,6:03.0,Offensive rebound by L. Nance,,11,17
42,1,6:03.0,L. Nance makes 2-pt dunk from 1 ft,,13,17
43,1,5:49.0,,Shooting foul by C. Osman (drawn by K. Leonard),13,17
44,1,5:49.0,,K. Leonard makes free throw 1 of 2,13,18
45,1,5:49.0,J. Blossomgame enters the game for D. Nwaba,,13,18
46,1,5:49.0,J. Clarkson enters the game for C. Osman,,13,18
47,1,5:49.0,,K. Leonard makes free throw 2 of 2,13,19
48,1,5:25.0,C. Sexton misses 2-pt layup from 3 ft (block by O. Anunoby),,13,19
49,1,5:25.0,Offensive rebound by J. Blossomgame,,13,19
50,1,5:21.0,J. Blossomgame makes 2-pt layup from 1 ft,,15,19
51,1,5:17.0,,Shooting foul by J. Clarkson (drawn by D. Wright),15,19
52,1,5:17.0,,D. Wright makes free throw 1 of 2,15,20
53,1,5:17.0,A. Burks enters the game for R. Hood,,15,20
54,1,5:17.0,,D. Wright makes free throw 2 of 2,15,21
55,1,5:04.0,L. Nance makes 2-pt hook shot from 3 ft (assist by J. Clarkson),,17,21
56,1,4:49.0,,F. VanVleet makes 2-pt layup from 1 ft,17,23
57,1,4:31.0,J. Blossomgame misses 3-pt jump shot from 26 ft,,17,23
58,1,4:29.0,,Defensive rebound by Team,17,23
59,1,4:29.0,Loose ball foul by L. Nance (drawn by O. Anunoby),,17,23
60,1,4:29.0,M. Dellavedova enters the game for L. Nance,,17,23
61,1,4:29.0,A. Žižić enters the game for C. Sexton,,17,23
62,1,4:29.0,,G. Monroe enters the game for P. Siakam,17,23
63,1,4:29.0,,N. Powell enters the game for F. VanVleet,17,23
64,1,4:22.0,,Turnover by G. Monroe (out of bounds lost ball),17,23
65,1,4:05.0,J. Clarkson misses 2-pt jump shot from 18 ft,,17,23
66,1,4:03.0,,Defensive rebound by O. Anunoby,17,23
67,1,3:49.0,,G. Monroe misses 2-pt layup from 1 ft,17,23
68,1,3:46.0,Defensive rebound by A. Burks,,17,23
69,1,3:37.0,A. Žižić misses 2-pt jump shot from 5 ft,,17,23
70,1,3:34.0,,Defensive rebound by D. Wright,17,23
71,1,3:24.0,,O. Anunoby makes 2-pt dunk at rim (assist by N. Powell),17,25
72,1,3:05.0,A. Burks misses 2-pt jump shot from 19 ft,,17,25
73,1,3:02.0,,Defensive rebound by D. Wright,17,25
74,1,2:55.0,,D. Wright misses 2-pt hook shot from 4 ft,17,25
75,1,2:52.0,Defensive rebound by A. Žižić,,17,25
76,1,2:44.0,M. Dellavedova makes 2-pt hook shot from 5 ft,,19,25
77,1,2:33.0,,K. Leonard makes 2-pt layup from 2 ft,19,27
78,1,2:16.0,A. Burks makes 2-pt layup from 2 ft (assist by A. Žižić),,21,27
79,1,1:57.0,,K. Leonard misses 3-pt jump shot from 25 ft,21,27
80,1,1:54.0,Defensive rebound by A. Burks,,21,27
81,1,1:51.0,Shooting foul by O. Anunoby (drawn by A. Burks),,21,27
82,1,1:51.0,A. Burks makes free throw 1 of 2,,22,27
83,1,1:51.0,,C. Miles enters the game for O. Anunoby,22,27
84,1,1:51.0,,P. Siakam enters the game for K. Leonard,22,27
85,1,1:51.0,A. Burks makes free throw 2 of 2,,23,27
86,1,1:32.0,,Shooting foul by A. Žižić (drawn by G. Monroe),23,27
87,1,1:32.0,,G. Monroe makes free throw 1 of 2,23,28
88,1,1:32.0,,G. Monroe makes free throw 2 of 2,23,29
89,1,1:24.0,J. Clarkson makes 2-pt dunk from 1 ft (assist by M. Dellavedova),,25,29
90,1,1:08.0,,C. Miles misses 3-pt jump shot from 25 ft,25,29
91,1,1:04.0,Defensive rebound by J. Clarkson,,25,29
92,1,1:01.0,A. Burks makes 2-pt layup from 2 ft (assist by J. Clarkson),,27,29
93,1,0:42.0,,N. Powell makes 2-pt jump shot from 15 ft,27,31
94,1,0:27.0,J. Clarkson misses 2-pt jump shot from 7 ft,,27,31
95,1,0:25.0,,Defensive rebound by G. Monroe,27,31
96,1,0:13.0,,Shooting foul by A. Žižić (drawn by G. Monroe),27,31
97,1,0:13.0,,G. Monroe makes free throw 1 of 2,27,32
98,1,0:13.0,,G. Monroe misses free throw 2 of 2,27,32
99,1,0:10.0,,Offensive rebound by P. Siakam,27,32
100,1,0:10.0,,P. Siakam makes 2-pt layup at rim,27,34
101,1,0:03.0,Personal foul by D. Wright (drawn by M. Dellavedova),,27,34
102,1,0:03.0,M. Dellavedova makes free throw 1 of 2,,28,34
103,1,0:03.0,M. Dellavedova misses free throw 2 of 2,,28,34
104,1,0:01.0,,Defensive rebound by P. Siakam,28,34
