,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:46.0,,F. Ntilikina makes 2-pt jump shot from 8 ft,0,2
1,1,11:31.0,H. Whiteside makes 2-pt hook shot from 7 ft (assist by J. Winslow),,2,2
2,1,11:16.0,,Turnover by K. Knox (lost ball; steal by J. Richardson),2,2
3,1,11:15.0,Personal foul by K. Knox (drawn by J. Richardson),,2,2
4,1,11:03.0,J. Johnson misses 3-pt jump shot from 25 ft,,2,2
5,1,11:02.0,Offensive rebound by H. Whiteside,,2,2
6,1,11:01.0,Turnover by H. Whiteside (bad pass; steal by T. Hardaway),,2,2
7,1,10:43.0,,K. Knox misses 2-pt jump shot from 17 ft,2,2
8,1,10:41.0,Defensive rebound by H. Whiteside,,2,2
9,1,10:30.0,J. Richardson misses 3-pt jump shot from 22 ft,,2,2
10,1,10:28.0,,Defensive rebound by N. Vonleh,2,2
11,1,10:17.0,,N. Vonleh misses 3-pt jump shot from 27 ft,2,2
12,1,10:15.0,Defensive rebound by J. Johnson,,2,2
13,1,10:09.0,W. Ellington misses 3-pt jump shot from 26 ft,,2,2
14,1,10:07.0,,Defensive rebound by F. Ntilikina,2,2
15,1,9:55.0,,N. Vonleh misses 3-pt jump shot from 26 ft,2,2
16,1,9:53.0,Defensive rebound by H. Whiteside,,2,2
17,1,9:43.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),,4,2
18,1,9:34.0,,K. Knox misses 2-pt layup from 1 ft (block by H. Whiteside),4,2
19,1,9:32.0,,Offensive rebound by Team,4,2
20,1,9:22.0,,L. Thomas misses 2-pt jump shot from 20 ft,4,2
21,1,9:20.0,Defensive rebound by J. Winslow,,4,2
22,1,9:15.0,J. Winslow misses 2-pt layup from 1 ft,,4,2
23,1,9:13.0,,Defensive rebound by N. Vonleh,4,2
24,1,9:06.0,,T. Hardaway misses 3-pt jump shot from 27 ft,4,2
25,1,9:04.0,Defensive rebound by H. Whiteside,,4,2
26,1,8:53.0,W. Ellington misses 3-pt jump shot from 22 ft,,4,2
27,1,8:52.0,,Defensive rebound by Team,4,2
28,1,8:52.0,Loose ball foul by H. Whiteside (drawn by N. Vonleh),,4,2
29,1,8:37.0,,T. Hardaway makes 2-pt jump shot from 15 ft,4,4
30,1,8:37.0,,Shooting foul by W. Ellington (drawn by T. Hardaway),4,4
31,1,8:37.0,,T. Hardaway makes free throw 1 of 1,4,5
32,1,8:18.0,H. Whiteside misses 2-pt jump shot from 16 ft,,4,5
33,1,8:16.0,,Defensive rebound by N. Vonleh,4,5
34,1,8:07.0,,K. Knox makes 2-pt jump shot from 9 ft (assist by F. Ntilikina),4,7
35,1,7:54.0,W. Ellington misses 3-pt jump shot from 26 ft,,4,7
36,1,7:52.0,,Defensive rebound by F. Ntilikina,4,7
37,1,7:45.0,,F. Ntilikina misses 2-pt layup from 2 ft,4,7
38,1,7:43.0,Defensive rebound by H. Whiteside,,4,7
39,1,7:21.0,H. Whiteside makes 2-pt layup from 1 ft,,6,7
40,1,7:11.0,,Personal foul by J. Richardson (drawn by T. Hardaway),6,7
41,1,7:06.0,,Turnover by N. Vonleh (bad pass; steal by J. Johnson),6,7
42,1,7:06.0,Personal foul by T. Hardaway (drawn by J. Winslow),,6,7
43,1,6:52.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Richardson),,9,7
44,1,6:37.0,,Def 3 sec tech foul by Team,9,7
45,1,6:37.0,,New York full timeout,9,7
46,1,6:37.0,,T. Hardaway makes technical free throw,9,8
47,1,6:30.0,,K. Knox misses 2-pt jump shot from 18 ft,9,8
48,1,6:28.0,Defensive rebound by H. Whiteside,,9,8
49,1,6:11.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,12,8
50,1,5:52.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),12,11
51,1,5:39.0,Turnover by J. Winslow (bad pass; steal by N. Vonleh),,12,11
52,1,5:29.0,,L. Thomas makes 2-pt hook shot from 3 ft,12,13
53,1,5:10.0,J. Johnson makes 2-pt jump shot from 5 ft (assist by H. Whiteside),,14,13
54,1,5:03.0,,Personal foul by J. Richardson (drawn by T. Hardaway),14,13
55,1,5:03.0,D. Wade enters the game for J. Richardson,,14,13
56,1,4:55.0,,Offensive foul by K. Knox (drawn by J. Winslow),14,13
57,1,4:55.0,,Turnover by K. Knox (offensive foul),14,13
58,1,4:55.0,,A. Trier enters the game for K. Knox,14,13
59,1,4:33.0,J. Johnson makes 2-pt layup from 1 ft,,16,13
60,1,4:13.0,,N. Vonleh misses 2-pt hook shot from 2 ft,16,13
61,1,4:11.0,Defensive rebound by D. Wade,,16,13
62,1,4:06.0,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Winslow),,19,13
