,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
388,4,11:12.0,,E. Moore makes 2-pt jump shot from 10 ft (assist by J. Okafor),95,85
389,4,10:58.0,Def 3 sec tech foul by Team,,95,85
390,4,10:58.0,J. Redick makes technical free throw,,96,85
391,4,10:53.0,M. Scott makes 3-pt jump shot from 23 ft (assist by J. Butler),,99,85
392,4,10:42.0,,F. Jackson makes 2-pt jump shot from 11 ft,99,87
393,4,10:28.0,J. Butler misses 2-pt jump shot from 17 ft,,99,87
394,4,10:25.0,,Defensive rebound by F. Jackson,99,87
395,4,10:21.0,,E. Moore misses 3-pt jump shot from 23 ft,99,87
396,4,10:17.0,Defensive rebound by T. McConnell,,99,87
397,4,10:06.0,Turnover by T. McConnell (bad pass; steal by F. Jackson),,99,87
398,4,10:04.0,,Personal foul by J. Butler (drawn by F. Jackson),99,87
399,4,10:04.0,,K. Williams enters the game for E. Moore,99,87
400,4,10:00.0,,F. Jackson misses 3-pt jump shot from 25 ft,99,87
401,4,9:56.0,Defensive rebound by B. Marjanović,,99,87
402,4,9:48.0,J. Redick misses 3-pt jump shot from 29 ft,,99,87
403,4,9:44.0,,Defensive rebound by C. Diallo,99,87
404,4,9:39.0,,Shooting foul by B. Marjanović (drawn by J. Okafor),99,87
405,4,9:39.0,,J. Okafor makes free throw 1 of 2,99,88
406,4,9:39.0,,S. Johnson enters the game for C. Diallo,99,88
407,4,9:39.0,,J. Okafor makes free throw 2 of 2,99,89
408,4,9:30.0,J. Redick misses 2-pt jump shot from 16 ft,,99,89
409,4,9:27.0,,Defensive rebound by I. Clark,99,89
410,4,9:22.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by K. Williams),99,92
411,4,9:21.0,Philadelphia full timeout,,99,92
412,4,9:07.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Marjanović),,101,92
413,4,8:48.0,,Turnover by F. Jackson (bad pass; steal by J. Redick),101,92
414,4,8:48.0,J. Redick makes 3-pt jump shot from 25 ft,,104,92
415,4,8:39.0,,S. Johnson misses 2-pt layup from 2 ft (block by B. Marjanović),104,92
416,4,8:33.0,Defensive rebound by T. McConnell,,104,92
417,4,8:24.0,B. Marjanović misses 2-pt hook shot from 6 ft,,104,92
418,4,8:22.0,,Defensive rebound by F. Jackson,104,92
419,4,8:22.0,B. Simmons enters the game for T. McConnell,,104,92
420,4,8:22.0,J. Simmons enters the game for J. Redick,,104,92
421,4,8:22.0,,C. Diallo enters the game for S. Johnson,104,92
422,4,8:22.0,,J. Randle enters the game for J. Okafor,104,92
423,4,8:11.0,,I. Clark makes 2-pt jump shot from 11 ft,104,94
424,4,8:11.0,,J. Holiday enters the game for F. Jackson,104,94
425,4,7:53.0,,Loose ball foul by C. Diallo (drawn by J. Butler),104,94
426,4,7:44.0,Turnover by B. Simmons (bad pass; steal by C. Diallo),,104,94
427,4,7:44.0,J. Bolden enters the game for J. Butler,,104,94
428,4,7:44.0,T. Harris enters the game for B. Marjanović,,104,94
429,4,7:21.0,,J. Randle misses 2-pt jump shot from 12 ft,104,94
430,4,7:20.0,,Offensive rebound by Team,104,94
431,4,7:20.0,,Turnover by Team (shot clock),104,94
432,4,7:06.0,Turnover by M. Scott (lost ball; steal by C. Diallo),,104,94
433,4,7:01.0,,Turnover by I. Clark (bad pass),104,94
434,4,6:47.0,B. Simmons misses 2-pt hook shot from 9 ft,,104,94
435,4,6:45.0,,Defensive rebound by C. Diallo,104,94
436,4,6:34.0,,K. Williams misses 2-pt jump shot from 18 ft,104,94
437,4,6:30.0,Defensive rebound by T. Harris,,104,94
438,4,6:22.0,Turnover by T. Harris (bad pass; steal by J. Randle),,104,94
439,4,6:18.0,,J. Randle makes 2-pt dunk from 1 ft,104,96
440,4,5:50.0,B. Simmons misses 2-pt layup from 4 ft,,104,96
441,4,5:47.0,,Defensive rebound by C. Diallo,104,96
442,4,5:38.0,,Turnover by J. Holiday (traveling),104,96
443,4,5:38.0,J. Redick enters the game for M. Scott,,104,96
444,4,5:38.0,,F. Jackson enters the game for K. Williams,104,96
445,4,5:27.0,J. Redick misses 2-pt jump shot from 22 ft,,104,96
446,4,5:25.0,,Defensive rebound by Team,104,96
447,4,5:05.0,,J. Holiday misses 2-pt layup from 2 ft,104,96
448,4,5:02.0,,Offensive rebound by F. Jackson,104,96
449,4,5:02.0,,F. Jackson misses 2-pt layup at rim,104,96
450,4,5:02.0,Defensive rebound by J. Redick,,104,96
451,4,4:56.0,Shooting foul by C. Diallo (drawn by T. Harris),,104,96
452,4,4:56.0,T. Harris makes free throw 1 of 2,,105,96
453,4,4:56.0,J. Butler enters the game for J. Simmons,,105,96
454,4,4:56.0,T. Harris makes free throw 2 of 2,,106,96
455,4,4:46.0,,Shooting foul by J. Redick (drawn by J. Holiday),106,96
456,4,4:46.0,,J. Holiday makes free throw 1 of 2,106,97
457,4,4:46.0,,J. Holiday makes free throw 2 of 2,106,98
458,4,4:33.0,Turnover by J. Redick (out of bounds lost ball),,106,98
459,4,4:33.0,,E. Payton enters the game for I. Clark,106,98
460,4,4:19.0,,E. Payton makes 2-pt layup from 2 ft (assist by J. Holiday),106,100
461,4,4:07.0,J. Bolden misses 3-pt jump shot from 27 ft,,106,100
462,4,4:02.0,,Defensive rebound by F. Jackson,106,100
463,4,3:59.0,,J. Holiday misses 3-pt jump shot from 25 ft,106,100
464,4,3:55.0,Defensive rebound by J. Redick,,106,100
465,4,3:51.0,Philadelphia full timeout,,106,100
466,4,3:51.0,B. Marjanović enters the game for J. Bolden,,106,100
467,4,3:42.0,J. Butler makes 2-pt jump shot from 12 ft (assist by J. Redick),,108,100
468,4,3:35.0,,New Orleans full timeout,108,100
469,4,3:27.0,Violation by Team (kicked ball),,108,100
470,4,3:19.0,,J. Holiday misses 2-pt layup from 4 ft,108,100
471,4,3:17.0,,Offensive rebound by J. Holiday,108,100
472,4,3:09.0,,E. Payton misses 3-pt jump shot from 26 ft,108,100
473,4,3:04.0,Defensive rebound by B. Marjanović,,108,100
474,4,2:54.0,J. Butler misses 2-pt jump shot from 16 ft,,108,100
475,4,2:51.0,Offensive rebound by J. Butler,,108,100
476,4,2:48.0,J. Butler makes 2-pt jump shot from 12 ft,,110,100
477,4,2:38.0,,C. Diallo makes 2-pt layup from 10 ft (assist by E. Payton),110,102
478,4,2:16.0,Turnover by J. Redick (lost ball; steal by J. Randle),,110,102
479,4,2:12.0,,F. Jackson makes 2-pt dunk from 1 ft,110,104
480,4,1:51.0,Personal foul by J. Randle (drawn by J. Redick),,110,104
481,4,1:42.0,J. Butler misses 2-pt jump shot from 9 ft,,110,104
482,4,1:39.0,,Defensive rebound by J. Randle,110,104
483,4,1:36.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by E. Payton),110,107
484,4,1:21.0,J. Redick misses 2-pt jump shot from 23 ft,,110,107
485,4,1:18.0,,Defensive rebound by J. Randle,110,107
486,4,1:11.0,,Turnover by J. Holiday (bad pass; steal by B. Marjanović),110,107
487,4,1:05.0,Philadelphia full timeout,,110,107
488,4,1:05.0,M. Scott enters the game for B. Marjanović,,110,107
489,4,0:54.0,J. Butler misses 2-pt jump shot from 17 ft,,110,107
490,4,0:50.0,,Defensive rebound by F. Jackson,110,107
491,4,0:45.0,,J. Holiday misses 3-pt jump shot from 26 ft,110,107
492,4,0:41.0,Defensive rebound by T. Harris,,110,107
493,4,0:26.0,J. Butler misses 2-pt layup from 5 ft (block by C. Diallo),,110,107
494,4,0:23.0,Offensive rebound by J. Butler,,110,107
495,4,0:21.0,T. Harris misses 3-pt jump shot from 25 ft,,110,107
496,4,0:20.0,,Defensive rebound by J. Randle,110,107
497,4,0:20.0,,New Orleans full timeout,110,107
498,4,0:20.0,J. Simmons enters the game for J. Redick,,110,107
499,4,0:19.0,,Personal foul by M. Scott (drawn by J. Holiday),110,107
500,4,0:18.0,,Personal foul by J. Simmons (drawn by J. Holiday),110,107
501,4,0:18.0,,J. Holiday misses free throw 1 of 2,110,107
502,4,0:18.0,,Offensive rebound by Team,110,107
503,4,0:18.0,J. Redick enters the game for J. Simmons,,110,107
504,4,0:18.0,,J. Holiday makes free throw 2 of 2,110,108
505,4,0:16.0,Personal take foul by J. Holiday (drawn by T. Harris),,110,108
506,4,0:16.0,T. Harris misses free throw 1 of 2,,110,108
507,4,0:16.0,Offensive rebound by Team,,110,108
508,4,0:16.0,J. Simmons enters the game for J. Redick,,110,108
509,4,0:16.0,T. Harris makes free throw 2 of 2,,111,108
510,4,0:16.0,,New Orleans full timeout,111,108
511,4,0:16.0,,E. Moore enters the game for E. Payton,111,108
512,4,0:10.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),111,110
513,4,0:09.0,Personal take foul by J. Randle (drawn by J. Simmons),,111,110
514,4,0:09.0,J. Simmons misses free throw 1 of 2,,111,110
515,4,0:09.0,Offensive rebound by Team,,111,110
516,4,0:09.0,,I. Clark enters the game for C. Diallo,111,110
517,4,0:09.0,,E. Payton enters the game for F. Jackson,111,110
518,4,0:09.0,J. Simmons misses free throw 2 of 2,,111,110
519,4,0:07.0,,Defensive rebound by J. Randle,111,110
520,4,0:02.0,,E. Moore misses 3-pt jump shot from 25 ft,111,110
521,4,0:00.0,Defensive rebound by T. Harris,,111,110
