,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
367,4,10:24.0,,E. Bledsoe enters the game for P. Connaughton,106,98
368,4,10:02.0,D. Bertāns misses 3-pt jump shot from 27 ft,,106,98
369,4,10:00.0,Offensive rebound by R. Gay,,106,98
370,4,10:00.0,Turnover by R. Gay (out of bounds lost ball),,106,98
371,4,9:49.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,106,98
372,4,9:46.0,,Offensive rebound by E. Bledsoe,106,98
373,4,9:46.0,D. DeRozan enters the game for M. Belinelli,,106,98
374,4,9:43.0,,Turnover by S. Brown (bad pass; steal by R. Gay),106,98
375,4,9:30.0,R. Gay makes 2-pt jump shot from 12 ft,,108,98
376,4,9:06.0,,S. Brown makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),108,101
377,4,8:58.0,Personal foul by S. Brown (drawn by R. Gay),,108,101
378,4,8:58.0,L. Aldridge enters the game for D. Cunningham,,108,101
379,4,8:58.0,,M. Brogdon enters the game for M. Dellavedova,108,101
380,4,8:47.0,Turnover by L. Aldridge (bad pass; steal by E. Bledsoe),,108,101
381,4,8:47.0,,Personal foul by P. Mills (drawn by E. Bledsoe),108,101
382,4,8:47.0,B. Forbes enters the game for D. Bertāns,,108,101
383,4,8:36.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by S. Brown),108,104
384,4,8:16.0,B. Forbes makes 2-pt jump shot from 6 ft,,110,104
385,4,8:09.0,,Turnover by K. Middleton (out of bounds lost ball),110,104
386,4,7:52.0,L. Aldridge makes 2-pt hook shot from 5 ft,,112,104
387,4,7:52.0,,Milwaukee full timeout,112,104
388,4,7:52.0,,B. Lopez enters the game for K. Middleton,112,104
389,4,7:40.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,112,104
390,4,7:36.0,Defensive rebound by L. Aldridge,,112,104
391,4,7:20.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by L. Aldridge),,114,104
392,4,7:04.0,,Shooting foul by R. Gay (drawn by G. Antetokounmpo),114,104
393,4,7:04.0,,G. Antetokounmpo makes free throw 1 of 2,114,105
394,4,7:04.0,D. Cunningham enters the game for R. Gay,,114,105
395,4,7:04.0,,G. Antetokounmpo makes free throw 2 of 2,114,106
396,4,6:47.0,Turnover by L. Aldridge (traveling),,114,106
397,4,6:37.0,,Shooting foul by P. Mills (drawn by G. Antetokounmpo),114,106
398,4,6:37.0,,G. Antetokounmpo makes free throw 1 of 2,114,107
399,4,6:37.0,,G. Antetokounmpo makes free throw 2 of 2,114,108
400,4,6:18.0,L. Aldridge misses 2-pt hook shot from 6 ft,,114,108
401,4,6:13.0,,Defensive rebound by G. Antetokounmpo,114,108
402,4,6:01.0,,S. Brown makes 3-pt jump shot from 26 ft (assist by M. Brogdon),114,111
403,4,5:41.0,D. DeRozan makes 2-pt jump shot from 16 ft,,116,111
404,4,5:27.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,116,113
405,4,5:27.0,,Shooting foul by D. Cunningham (drawn by G. Antetokounmpo),116,113
406,4,5:27.0,M. Belinelli enters the game for P. Mills,,116,113
407,4,5:27.0,,G. Antetokounmpo makes free throw 1 of 1,116,114
408,4,5:14.0,D. DeRozan makes 2-pt dunk at rim,,118,114
409,4,5:07.0,,Shooting foul by D. Cunningham (drawn by G. Antetokounmpo),118,114
410,4,5:07.0,,G. Antetokounmpo makes free throw 1 of 2,118,115
411,4,5:07.0,R. Gay enters the game for D. Cunningham,,118,115
412,4,5:07.0,,G. Antetokounmpo makes free throw 2 of 2,118,116
413,4,4:55.0,D. DeRozan misses 2-pt jump shot from 17 ft,,118,116
414,4,4:52.0,,Defensive rebound by E. Bledsoe,118,116
415,4,4:45.0,,M. Brogdon misses 3-pt jump shot from 25 ft,118,116
416,4,4:43.0,,Offensive rebound by M. Brogdon,118,116
417,4,4:33.0,,M. Brogdon misses 2-pt jump shot from 5 ft,118,116
418,4,4:29.0,Defensive rebound by R. Gay,,118,116
419,4,4:25.0,B. Forbes makes 2-pt jump shot from 16 ft,,120,116
420,4,4:18.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by S. Brown),120,118
421,4,3:52.0,D. DeRozan misses 3-pt jump shot from 29 ft,,120,118
422,4,3:49.0,,Defensive rebound by S. Brown,120,118
423,4,3:45.0,,Shooting foul by B. Forbes (drawn by E. Bledsoe),120,118
424,4,3:45.0,,E. Bledsoe misses free throw 1 of 2,120,118
425,4,3:45.0,,Offensive rebound by Team,120,118
426,4,3:45.0,D. Cunningham enters the game for M. Belinelli,,120,118
427,4,3:45.0,,K. Middleton enters the game for S. Brown,120,118
428,4,3:45.0,,E. Bledsoe makes free throw 2 of 2,120,119
429,4,3:28.0,B. Forbes misses 2-pt jump shot from 14 ft,,120,119
430,4,3:26.0,,Defensive rebound by G. Antetokounmpo,120,119
431,4,3:13.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by E. Bledsoe),120,121
432,4,2:55.0,D. DeRozan makes 2-pt jump shot from 5 ft,,122,121
433,4,2:44.0,,Shooting foul by D. Cunningham (drawn by G. Antetokounmpo),122,121
434,4,2:44.0,,G. Antetokounmpo makes free throw 1 of 2,122,122
435,4,2:44.0,,S. Brown enters the game for E. Bledsoe,122,122
436,4,2:44.0,,G. Antetokounmpo makes free throw 2 of 2,122,123
437,4,2:32.0,Turnover by R. Gay (bad pass; steal by S. Brown),,122,123
438,4,2:30.0,,S. Brown misses 2-pt layup from 2 ft,122,123
439,4,2:28.0,,Offensive rebound by Team,122,123
440,4,2:28.0,,E. Bledsoe enters the game for S. Brown,122,123
441,4,2:20.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),122,126
442,4,2:06.0,D. DeRozan misses 2-pt jump shot from 19 ft,,122,126
443,4,2:03.0,,Defensive rebound by G. Antetokounmpo,122,126
444,4,1:52.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by E. Bledsoe),122,128
445,4,1:52.0,San Antonio full timeout,,122,128
446,4,1:52.0,P. Mills enters the game for D. Cunningham,,122,128
447,4,1:37.0,B. Forbes makes 3-pt jump shot from 27 ft,,125,128
448,4,1:12.0,,E. Bledsoe makes 2-pt layup from 1 ft,125,130
449,4,1:03.0,R. Gay makes 2-pt jump shot from 15 ft (assist by D. DeRozan),,127,130
450,4,0:52.0,,Shooting foul by R. Gay (drawn by G. Antetokounmpo),127,130
451,4,0:52.0,,G. Antetokounmpo makes free throw 1 of 2,127,131
452,4,0:52.0,,G. Antetokounmpo misses free throw 2 of 2,127,131
453,4,0:48.0,Defensive rebound by B. Forbes,,127,131
454,4,0:29.0,B. Forbes makes 2-pt layup from 1 ft,,129,131
455,4,0:08.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),129,134
456,4,0:08.0,San Antonio full timeout,,129,134
457,4,0:08.0,,S. Brown enters the game for B. Lopez,129,134
458,4,0:05.0,Turnover by R. Gay (back court),,129,134
459,4,0:05.0,,B. Lopez enters the game for S. Brown,129,134
460,4,0:05.0,,Personal take foul by R. Gay (drawn by K. Middleton),129,134
461,4,0:05.0,,K. Middleton makes free throw 1 of 2,129,135
462,4,0:05.0,,S. Brown enters the game for G. Antetokounmpo,129,135
463,4,0:05.0,,T. Snell enters the game for B. Lopez,129,135
464,4,0:05.0,,K. Middleton misses free throw 2 of 2,129,135
465,4,0:02.0,Defensive rebound by R. Gay,,129,135
