,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
53,1,4:25.0,,D. Brooks enters the game for M. Conley,16,14
54,1,4:25.0,,J. Green enters the game for J. Jackson,16,14
55,1,4:25.0,,S. Mack enters the game for G. Temple,16,14
56,1,4:25.0,M. Morris makes free throw 2 of 2,,17,14
57,1,4:07.0,,M. Gasol makes 2-pt hook shot from 7 ft,17,16
58,1,3:54.0,G. Hayward makes 2-pt jump shot from 4 ft (assist by K. Irving),,19,16
59,1,3:54.0,Shooting foul by J. Green (drawn by G. Hayward),,19,16
60,1,3:54.0,J. Brown enters the game for J. Tatum,,19,16
61,1,3:54.0,G. Hayward makes free throw 1 of 1,,20,16
62,1,3:37.0,,M. Gasol makes 2-pt jump shot from 7 ft,20,18
63,1,3:18.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),,23,18
64,1,2:59.0,,Turnover by J. Green (traveling),23,18
65,1,2:59.0,Boston full timeout,,23,18
66,1,2:59.0,T. Rozier enters the game for K. Irving,,23,18
67,1,2:59.0,,W. Selden enters the game for K. Anderson,23,18
68,1,2:48.0,J. Brown makes 2-pt jump shot from 11 ft (assist by G. Hayward),,25,18
69,1,2:48.0,Shooting foul by W. Selden (drawn by J. Brown),,25,18
70,1,2:48.0,J. Brown misses free throw 1 of 1,,25,18
71,1,2:46.0,,Defensive rebound by J. Green,25,18
72,1,2:29.0,,J. Green makes 2-pt jump shot from 22 ft (assist by D. Brooks),25,20
73,1,2:13.0,Turnover by J. Brown (out of bounds lost ball),,25,20
74,1,2:13.0,,M. Conley enters the game for M. Gasol,25,20
75,1,2:13.0,,J. Noah enters the game for S. Mack,25,20
76,1,1:55.0,,W. Selden makes 2-pt jump shot from 7 ft,25,22
77,1,1:36.0,D. Theis misses 2-pt jump shot from 9 ft,,25,22
78,1,1:35.0,Offensive rebound by Team,,25,22
79,1,1:35.0,S. Ojeleye enters the game for M. Morris,,25,22
80,1,1:31.0,Turnover by T. Rozier (lost ball; steal by M. Conley),,25,22
81,1,1:26.0,,W. Selden misses 2-pt layup from 1 ft,25,22
82,1,1:24.0,,Offensive rebound by W. Selden,25,22
83,1,1:19.0,Violation by Team (kicked ball),,25,22
84,1,1:06.0,,D. Brooks makes 2-pt jump shot from 8 ft (assist by W. Selden),25,24
85,1,0:52.0,T. Rozier misses 3-pt jump shot from 25 ft,,25,24
86,1,0:50.0,,Defensive rebound by W. Selden,25,24
87,1,0:44.0,,W. Selden makes 2-pt layup at rim,25,26
88,1,0:27.0,T. Rozier makes 2-pt jump shot from 2 ft (assist by D. Theis),,27,26
89,1,0:02.0,,Turnover by Team (shot clock),27,26
90,1,0:01.0,J. Brown makes 2-pt jump shot from 20 ft (assist by S. Ojeleye),,29,26
91,2,11:37.0,,W. Selden misses 3-pt jump shot from 22 ft,29,26
92,2,11:35.0,,Offensive rebound by J. Noah,29,26
93,2,11:33.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Noah),29,29
94,2,11:18.0,Shooting foul by J. Noah (drawn by D. Theis),,29,29
95,2,11:18.0,D. Theis makes free throw 1 of 2,,30,29
96,2,11:18.0,D. Theis misses free throw 2 of 2,,30,29
97,2,11:16.0,,Defensive rebound by J. Green,30,29
98,2,10:56.0,,Shooting foul by J. Brown (drawn by D. Brooks),30,29
99,2,10:56.0,,D. Brooks makes free throw 1 of 2,30,30
100,2,10:56.0,,D. Brooks makes free throw 2 of 2,30,31
101,2,10:46.0,Turnover by G. Hayward (bad pass; steal by M. Conley),,30,31
102,2,10:44.0,,Shooting foul by G. Hayward (drawn by W. Selden),30,31
103,2,10:44.0,,W. Selden makes free throw 1 of 2,30,32
104,2,10:44.0,G. Yabusele enters the game for D. Theis,,30,32
105,2,10:44.0,,W. Selden makes free throw 2 of 2,30,33
106,2,10:34.0,Turnover by G. Yabusele (offensive foul),,30,33
107,2,10:34.0,Offensive foul by G. Yabusele (drawn by M. Conley),,30,33
108,2,10:21.0,,Turnover by J. Noah (out of bounds lost ball),30,33
109,2,10:08.0,J. Brown makes 2-pt jump shot from 1 ft (assist by G. Hayward),,32,33
110,2,9:54.0,,J. Noah misses 2-pt jump shot from 20 ft,32,33
111,2,9:52.0,,Offensive rebound by Team,32,33
112,2,9:43.0,,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),32,35
113,2,9:30.0,S. Ojeleye misses 3-pt jump shot from 24 ft,,32,35
114,2,9:29.0,,Defensive rebound by J. Green,32,35
115,2,9:18.0,,Turnover by D. Brooks (bad pass; steal by T. Rozier),32,35
116,2,9:15.0,T. Rozier makes 2-pt layup from 1 ft,,34,35
117,2,9:02.0,,Shooting foul by S. Ojeleye (drawn by J. Noah),34,35
118,2,9:02.0,,J. Noah makes free throw 1 of 2,34,36
119,2,9:02.0,J. Tatum enters the game for S. Ojeleye,,34,36
120,2,9:02.0,,K. Anderson enters the game for W. Selden,34,36
121,2,9:02.0,,J. Noah misses free throw 2 of 2,34,36
122,2,9:00.0,Defensive rebound by G. Yabusele,,34,36
123,2,8:43.0,G. Hayward makes 2-pt jump shot from 17 ft,,36,36
124,2,8:23.0,,M. Conley makes 2-pt jump shot from 11 ft,36,38
125,2,7:59.0,T. Rozier misses 2-pt jump shot from 1 ft,,36,38
126,2,7:59.0,,Defensive rebound by Team,36,38
127,2,7:59.0,Loose ball foul by G. Yabusele (drawn by J. Noah),,36,38
128,2,7:59.0,A. Horford enters the game for G. Hayward,,36,38
129,2,7:59.0,K. Irving enters the game for G. Yabusele,,36,38
130,2,7:59.0,,M. Gasol enters the game for M. Conley,36,38
131,2,7:59.0,,S. Mack enters the game for J. Noah,36,38
132,2,7:45.0,,D. Brooks misses 2-pt jump shot from 2 ft (block by J. Tatum),36,38
133,2,7:42.0,Defensive rebound by J. Tatum,,36,38
134,2,7:29.0,,Violation by Team (kicked ball),36,38
135,2,7:24.0,A. Horford misses 2-pt layup from 3 ft (block by M. Gasol),,36,38
136,2,7:24.0,Offensive rebound by Team,,36,38
137,2,7:24.0,,Loose ball foul by D. Brooks (drawn by J. Tatum),36,38
138,2,7:13.0,A. Horford misses 2-pt jump shot from 14 ft,,36,38
139,2,7:10.0,,Defensive rebound by J. Green,36,38
140,2,6:52.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Gasol),36,41
141,2,6:38.0,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),,39,41
142,2,6:23.0,,Shooting foul by J. Brown (drawn by D. Brooks),39,41
143,2,6:23.0,,Memphis full timeout,39,41
144,2,6:23.0,,J. Jackson enters the game for J. Green,39,41
145,2,6:23.0,,D. Brooks makes free throw 1 of 3,39,42
146,2,6:23.0,,D. Brooks makes free throw 2 of 3,39,43
147,2,6:23.0,,D. Brooks makes free throw 3 of 3,39,44
148,2,6:09.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by K. Irving),,42,44
149,2,5:45.0,,J. Jackson makes 2-pt jump shot from 5 ft (assist by M. Gasol),42,46
150,2,5:31.0,K. Irving misses 3-pt jump shot from 27 ft,,42,46
151,2,5:28.0,,Defensive rebound by Team,42,46
152,2,5:28.0,M. Morris enters the game for J. Brown,,42,46
153,2,5:28.0,,G. Temple enters the game for D. Brooks,42,46
154,2,5:06.0,,Personal foul by T. Rozier (drawn by J. Jackson),42,46
155,2,5:06.0,,J. Jackson makes free throw 1 of 2,42,47
156,2,5:06.0,M. Smart enters the game for T. Rozier,,42,47
157,2,5:06.0,,J. Jackson makes free throw 2 of 2,42,48
158,2,4:57.0,M. Morris misses 3-pt jump shot from 26 ft,,42,48
159,2,4:54.0,,Defensive rebound by S. Mack,42,48
160,2,4:32.0,,J. Jackson misses 3-pt jump shot from 23 ft,42,48
161,2,4:30.0,Defensive rebound by A. Horford,,42,48
162,2,4:24.0,J. Tatum misses 2-pt jump shot from 9 ft,,42,48
163,2,4:20.0,,Defensive rebound by K. Anderson,42,48
164,2,4:13.0,,Turnover by M. Gasol (bad pass; steal by M. Smart),42,48
165,2,3:59.0,Turnover by A. Horford (back court),,42,48
166,2,3:59.0,,M. Conley enters the game for S. Mack,42,48
167,2,3:49.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),42,51
168,2,3:38.0,K. Irving misses 2-pt layup from 1 ft,,42,51
169,2,3:34.0,,Defensive rebound by G. Temple,42,51
170,2,3:31.0,,M. Conley misses 3-pt jump shot from 25 ft,42,51
171,2,3:28.0,Defensive rebound by A. Horford,,42,51
172,2,3:20.0,Turnover by K. Irving (bad pass; steal by M. Gasol),,42,51
173,2,3:11.0,,J. Jackson makes 2-pt hook shot from 5 ft (assist by M. Gasol),42,53
174,2,3:09.0,Boston full timeout,,42,53
175,2,3:09.0,G. Hayward enters the game for A. Horford,,42,53
176,2,2:51.0,M. Smart misses 2-pt jump shot from 20 ft,,42,53
177,2,2:49.0,,Defensive rebound by G. Temple,42,53
178,2,2:32.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Gasol),42,56
179,2,2:15.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by J. Tatum),,45,56
180,2,2:00.0,,M. Conley makes 2-pt jump shot from 9 ft (assist by M. Gasol),45,58
181,2,1:43.0,G. Hayward misses 3-pt jump shot from 23 ft,,45,58
182,2,1:42.0,,Defensive rebound by Team,45,58
183,2,1:28.0,,M. Conley misses 3-pt jump shot from 26 ft,45,58
184,2,1:24.0,Defensive rebound by J. Tatum,,45,58
185,2,1:19.0,Personal foul by G. Temple (drawn by K. Irving),,45,58
186,2,1:03.0,Turnover by M. Smart (lost ball; steal by M. Gasol),,45,58
187,2,0:49.0,,M. Gasol makes 2-pt hook shot from 7 ft (assist by K. Anderson),45,60
188,2,0:40.0,G. Hayward misses 3-pt jump shot from 24 ft,,45,60
189,2,0:36.0,,Defensive rebound by M. Conley,45,60
190,2,0:33.0,,Shooting foul by M. Morris (drawn by M. Conley),45,60
191,2,0:33.0,,M. Conley makes free throw 1 of 2,45,61
192,2,0:33.0,,D. Brooks enters the game for J. Jackson,45,61
193,2,0:33.0,,M. Conley makes free throw 2 of 2,45,62
194,2,0:22.0,Shooting foul by D. Brooks (drawn by K. Irving),,45,62
195,2,0:22.0,K. Irving makes free throw 1 of 2,,46,62
196,2,0:22.0,G. Yabusele enters the game for J. Tatum,,46,62
197,2,0:22.0,,J. Jackson enters the game for D. Brooks,46,62
198,2,0:22.0,K. Irving makes free throw 2 of 2,,47,62
199,2,0:02.0,,M. Conley makes 2-pt jump shot from 13 ft,47,64
200,3,11:38.0,,M. Gasol misses 3-pt jump shot from 25 ft,47,64
201,3,11:35.0,Defensive rebound by K. Irving,,47,64
202,3,11:28.0,Turnover by K. Irving (lost ball; steal by K. Anderson),,47,64
203,3,11:26.0,,Shooting foul by K. Irving (drawn by J. Jackson),47,64
204,3,11:26.0,,J. Jackson makes free throw 1 of 2,47,65
205,3,11:26.0,,J. Jackson misses free throw 2 of 2,47,65
206,3,11:24.0,Defensive rebound by J. Tatum,,47,65
207,3,11:11.0,M. Smart makes 2-pt layup from 1 ft (assist by A. Horford),,49,65
208,3,11:11.0,Shooting foul by M. Conley (drawn by M. Smart),,49,65
209,3,11:11.0,M. Smart makes free throw 1 of 1,,50,65
210,3,10:56.0,,M. Gasol misses 2-pt jump shot from 7 ft,50,65
211,3,10:55.0,,Offensive rebound by Team,50,65
212,3,10:55.0,Loose ball foul by A. Horford (drawn by J. Jackson),,50,65
213,3,10:46.0,,J. Jackson makes 2-pt jump shot from 10 ft,50,67
214,3,10:34.0,Shooting foul by G. Temple (drawn by K. Irving),,50,67
215,3,10:34.0,K. Irving makes free throw 1 of 2,,51,67
216,3,10:34.0,K. Irving makes free throw 2 of 2,,52,67
217,3,10:18.0,,G. Temple makes 2-pt jump shot from 8 ft (assist by M. Conley),52,69
218,3,10:10.0,K. Irving makes 3-pt jump shot from 25 ft,,55,69
219,3,9:48.0,,Offensive foul by M. Gasol (drawn by A. Horford),55,69
220,3,9:48.0,,Turnover by M. Gasol (offensive foul),55,69
221,3,9:34.0,Turnover by K. Irving (bad pass; steal by K. Anderson),,55,69
222,3,9:31.0,,Shooting foul by M. Morris (drawn by M. Conley),55,69
223,3,9:31.0,,M. Conley misses free throw 1 of 2,55,69
224,3,9:31.0,,Offensive rebound by Team,55,69
225,3,9:31.0,,M. Conley makes free throw 2 of 2,55,70
226,3,9:16.0,K. Irving misses 2-pt layup from 1 ft,,55,70
227,3,9:13.0,,Defensive rebound by J. Jackson,55,70
228,3,9:12.0,,Personal foul by K. Irving (drawn by J. Jackson),55,70
229,3,8:56.0,,K. Anderson makes 2-pt jump shot from 20 ft (assist by M. Gasol),55,72
230,3,8:41.0,A. Horford misses 3-pt jump shot from 26 ft,,55,72
231,3,8:40.0,,Defensive rebound by G. Temple,55,72
232,3,8:35.0,,M. Gasol misses 2-pt layup from 2 ft (block by A. Horford),55,72
233,3,8:31.0,Defensive rebound by K. Irving,,55,72
234,3,8:29.0,J. Tatum misses 2-pt layup from 1 ft,,55,72
235,3,8:25.0,,Defensive rebound by J. Jackson,55,72
236,3,8:17.0,,M. Gasol makes 2-pt hook shot from 5 ft,55,74
237,3,8:05.0,Personal foul by G. Temple (drawn by M. Smart),,55,74
238,3,7:56.0,M. Morris makes 2-pt layup from 1 ft,,57,74
239,3,7:32.0,,M. Conley misses 2-pt jump shot from 11 ft,57,74
240,3,7:29.0,Defensive rebound by A. Horford,,57,74
241,3,7:24.0,Turnover by K. Irving (offensive foul),,57,74
242,3,7:24.0,Offensive foul by K. Irving (drawn by M. Conley),,57,74
243,3,7:17.0,Technical foul by K. Irving,,57,74
244,3,7:17.0,,M. Conley makes technical free throw,57,75
245,3,7:09.0,,Turnover by J. Jackson (offensive foul),57,75
246,3,7:09.0,,Offensive foul by J. Jackson (drawn by M. Smart),57,75
247,3,6:57.0,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Tatum),,60,75
248,3,6:56.0,Loose ball foul by M. Smart (drawn by M. Conley),,60,75
249,3,6:56.0,,Memphis full timeout,60,75
250,3,6:56.0,,M. Conley makes free throw 1 of 2,60,76
251,3,6:56.0,,M. Conley makes free throw 2 of 2,60,77
252,3,6:33.0,A. Horford misses 2-pt hook shot from 10 ft,,60,77
253,3,6:30.0,,Defensive rebound by J. Jackson,60,77
254,3,6:13.0,,J. Jackson misses 3-pt jump shot from 23 ft,60,77
255,3,6:11.0,Defensive rebound by J. Tatum,,60,77
256,3,5:58.0,A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart),,63,77
257,3,5:43.0,,Offensive foul by K. Anderson (drawn by M. Smart),63,77
258,3,5:43.0,,Turnover by K. Anderson (offensive foul),63,77
259,3,5:43.0,G. Hayward enters the game for A. Horford,,63,77
260,3,5:43.0,G. Yabusele enters the game for M. Morris,,63,77
261,3,5:43.0,,D. Brooks enters the game for M. Conley,63,77
262,3,5:43.0,,J. Green enters the game for J. Jackson,63,77
263,3,5:43.0,,S. Mack enters the game for G. Temple,63,77
264,3,5:29.0,K. Irving makes 2-pt jump shot from 7 ft,,65,77
265,3,5:07.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Gasol),65,80
266,3,4:49.0,G. Yabusele misses 3-pt jump shot from 23 ft,,65,80
267,3,4:47.0,,Defensive rebound by J. Green,65,80
268,3,4:37.0,,Turnover by M. Gasol (lost ball; steal by M. Smart),65,80
269,3,4:30.0,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),,68,80
270,3,4:28.0,,Memphis full timeout,68,80
271,3,4:17.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by S. Mack),68,83
272,3,4:01.0,K. Irving misses 2-pt jump shot from 10 ft,,68,83
273,3,4:00.0,,Defensive rebound by K. Anderson,68,83
274,3,3:55.0,,D. Brooks misses 3-pt jump shot from 25 ft,68,83
275,3,3:51.0,Defensive rebound by M. Smart,,68,83
276,3,3:50.0,Personal foul by K. Anderson (drawn by G. Hayward),,68,83
277,3,3:41.0,K. Irving makes 2-pt layup from 2 ft (assist by J. Tatum),,70,83
278,3,3:35.0,,Turnover by M. Gasol (traveling),70,83
279,3,3:20.0,Turnover by J. Tatum (bad pass; steal by K. Anderson),,70,83
280,3,3:06.0,,Turnover by M. Gasol (bad pass; steal by M. Smart),70,83
281,3,3:00.0,M. Smart makes 3-pt jump shot from 26 ft (assist by K. Irving),,73,83
282,3,2:36.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Mack),73,85
283,3,2:20.0,M. Smart misses 3-pt jump shot from 25 ft,,73,85
284,3,2:18.0,,Defensive rebound by M. Gasol,73,85
285,3,2:09.0,,Turnover by J. Green (bad pass; steal by J. Tatum),73,85
286,3,2:04.0,M. Smart makes 2-pt layup from 2 ft (assist by J. Tatum),,75,85
287,3,1:40.0,,Turnover by D. Brooks (bad pass; steal by J. Tatum),75,85
288,3,1:36.0,G. Hayward makes 2-pt dunk at rim (assist by K. Irving),,77,85
289,3,1:36.0,,Memphis full timeout,77,85
290,3,1:36.0,J. Brown enters the game for K. Irving,,77,85
291,3,1:36.0,T. Rozier enters the game for J. Tatum,,77,85
292,3,1:36.0,,M. Conley enters the game for K. Anderson,77,85
293,3,1:36.0,,J. Noah enters the game for M. Gasol,77,85
294,3,1:36.0,,G. Temple enters the game for S. Mack,77,85
295,3,1:22.0,,M. Conley misses 3-pt jump shot from 26 ft,77,85
296,3,1:19.0,Defensive rebound by J. Brown,,77,85
297,3,1:03.0,M. Smart misses 2-pt jump shot from 8 ft,,77,85
298,3,1:00.0,,Defensive rebound by J. Noah,77,85
299,3,0:53.0,,M. Conley misses 2-pt jump shot from 9 ft,77,85
300,3,0:50.0,Defensive rebound by G. Yabusele,,77,85
301,3,0:42.0,G. Hayward makes 2-pt jump shot from 19 ft,,79,85
302,3,0:25.0,,M. Conley misses 2-pt jump shot from 9 ft,79,85
303,3,0:23.0,,Offensive rebound by J. Green,79,85
304,3,0:23.0,,Shooting foul by T. Rozier (drawn by J. Green),79,85
305,3,0:23.0,,J. Green makes free throw 1 of 2,79,86
306,3,0:23.0,M. Morris enters the game for M. Smart,,79,86
307,3,0:23.0,,K. Anderson enters the game for G. Temple,79,86
308,3,0:23.0,,J. Green makes free throw 2 of 2,79,87
309,3,0:06.0,Boston full timeout,,79,87
310,3,0:01.0,M. Morris misses 3-pt jump shot from 25 ft,,79,87
311,3,0:01.0,Offensive rebound by Team,,79,87
312,4,11:40.0,Offensive foul by G. Yabusele (drawn by D. Brooks),,79,87
313,4,11:40.0,Turnover by G. Yabusele (offensive foul),,79,87
314,4,11:25.0,,D. Brooks misses 2-pt jump shot from 20 ft,79,87
315,4,11:22.0,,Offensive rebound by M. Conley,79,87
316,4,11:12.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),79,89
317,4,10:53.0,G. Hayward misses 2-pt jump shot from 19 ft,,79,89
318,4,10:50.0,Offensive rebound by G. Yabusele,,79,89
319,4,10:49.0,Turnover by J. Brown (out of bounds lost ball),,79,89
320,4,10:28.0,,J. Green misses 2-pt jump shot from 19 ft,79,89
321,4,10:26.0,Defensive rebound by G. Hayward,,79,89
322,4,10:20.0,G. Yabusele makes 3-pt jump shot from 26 ft (assist by G. Hayward),,82,89
323,4,9:58.0,,M. Conley misses 2-pt layup from 1 ft,82,89
324,4,9:56.0,,Offensive rebound by M. Conley,82,89
325,4,9:56.0,,Shooting foul by G. Yabusele (drawn by J. Noah),82,89
326,4,9:56.0,,J. Noah misses free throw 1 of 2,82,89
327,4,9:56.0,,Offensive rebound by Team,82,89
328,4,9:56.0,,J. Noah makes free throw 2 of 2,82,90
329,4,9:45.0,M. Morris misses 3-pt jump shot from 26 ft,,82,90
330,4,9:42.0,,Defensive rebound by J. Noah,82,90
331,4,9:26.0,,J. Noah misses 2-pt jump shot from 6 ft,82,90
332,4,9:24.0,,Offensive rebound by J. Green,82,90
333,4,9:24.0,,J. Green misses 2-pt jump shot from 12 ft,82,90
334,4,9:24.0,Defensive rebound by Team,,82,90
335,4,9:11.0,T. Rozier misses 3-pt jump shot from 26 ft,,82,90
336,4,9:07.0,,Defensive rebound by J. Green,82,90
337,4,8:57.0,,D. Brooks misses 2-pt layup at rim,82,90
338,4,8:54.0,Defensive rebound by M. Morris,,82,90
339,4,8:50.0,G. Hayward misses 2-pt layup from 1 ft (block by M. Conley),,82,90
340,4,8:50.0,Offensive rebound by Team,,82,90
341,4,8:50.0,,M. Gasol enters the game for J. Noah,82,90
342,4,8:45.0,Turnover by J. Brown (bad pass; steal by M. Conley),,82,90
343,4,8:45.0,,Memphis full timeout,82,90
344,4,8:45.0,,S. Mack enters the game for M. Conley,82,90
345,4,8:30.0,,D. Brooks misses 2-pt layup from 2 ft (block by G. Yabusele),82,90
346,4,8:30.0,,Offensive rebound by Team,82,90
347,4,8:30.0,Loose ball foul by J. Brown (drawn by M. Gasol),,82,90
348,4,8:15.0,,S. Mack misses 2-pt jump shot from 21 ft,82,90
349,4,8:09.0,Defensive rebound by T. Rozier,,82,90
350,4,8:04.0,T. Rozier misses 3-pt jump shot from 26 ft,,82,90
351,4,8:01.0,,Defensive rebound by J. Green,82,90
352,4,7:40.0,,D. Brooks misses 2-pt jump shot from 22 ft,82,90
353,4,7:37.0,Defensive rebound by J. Brown,,82,90
354,4,7:28.0,Shooting foul by K. Anderson (drawn by M. Morris),,82,90
355,4,7:28.0,M. Morris makes free throw 1 of 2,,83,90
356,4,7:28.0,K. Irving enters the game for G. Hayward,,83,90
357,4,7:28.0,,G. Temple enters the game for D. Brooks,83,90
358,4,7:28.0,M. Morris makes free throw 2 of 2,,84,90
359,4,7:14.0,,Personal foul by K. Irving (drawn by M. Gasol),84,90
360,4,7:14.0,,M. Conley enters the game for K. Anderson,84,90
361,4,7:05.0,,M. Conley misses 2-pt jump shot from 1 ft (block by G. Yabusele),84,90
362,4,7:02.0,,Offensive rebound by S. Mack,84,90
363,4,7:02.0,,S. Mack misses 3-pt jump shot from 23 ft,84,90
364,4,7:02.0,Defensive rebound by Team,,84,90
365,4,7:02.0,Personal foul by J. Green (drawn by M. Morris),,84,90
366,4,7:02.0,,Personal foul by M. Morris (drawn by J. Green),84,90
367,4,6:50.0,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Rozier),,87,90
368,4,6:36.0,,M. Gasol misses 2-pt jump shot from 11 ft,87,90
369,4,6:33.0,Defensive rebound by J. Brown,,87,90
370,4,6:28.0,K. Irving makes 2-pt layup from 2 ft,,89,90
371,4,6:10.0,,G. Temple misses 3-pt jump shot from 23 ft,89,90
372,4,6:07.0,Defensive rebound by G. Yabusele,,89,90
373,4,6:00.0,K. Irving makes 2-pt layup from 1 ft,,91,90
374,4,5:34.0,,J. Green misses 3-pt jump shot from 24 ft,91,90
375,4,5:30.0,Defensive rebound by T. Rozier,,91,90
376,4,5:20.0,K. Irving misses 2-pt jump shot from 12 ft,,91,90
377,4,5:17.0,Offensive rebound by J. Brown,,91,90
378,4,5:12.0,G. Yabusele misses 3-pt jump shot from 25 ft,,91,90
379,4,5:09.0,,Defensive rebound by M. Gasol,91,90
380,4,4:53.0,,M. Conley misses 3-pt jump shot from 25 ft,91,90
381,4,4:50.0,,Offensive rebound by M. Conley,91,90
382,4,4:47.0,,M. Conley makes 2-pt layup from 1 ft,91,92
383,4,4:47.0,Violation by Team (def goaltending),,91,92
384,4,4:47.0,,Shooting foul by M. Morris (drawn by M. Conley),91,92
385,4,4:47.0,G. Hayward enters the game for M. Morris,,91,92
386,4,4:47.0,A. Horford enters the game for T. Rozier,,91,92
387,4,4:47.0,J. Tatum enters the game for G. Yabusele,,91,92
388,4,4:47.0,,J. Jackson enters the game for S. Mack,91,92
