,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,J. Jackson makes 2-pt jump shot from 11 ft (assist by A. Bradley),0,2
1,1,11:16.0,D. Bertāns misses 2-pt jump shot from 9 ft,,0,2
2,1,11:16.0,,Defensive rebound by Team,0,2
3,1,11:01.0,,Shooting foul by D. DeRozan (drawn by J. Jackson),0,2
4,1,11:01.0,,J. Jackson makes free throw 1 of 2,0,3
5,1,11:01.0,,J. Jackson makes free throw 2 of 2,0,4
6,1,10:44.0,R. Gay makes 2-pt dunk from 1 ft,,2,4
7,1,10:28.0,,J. Holiday misses 3-pt jump shot from 24 ft,2,4
8,1,10:25.0,Defensive rebound by D. DeRozan,,2,4
9,1,10:18.0,L. Aldridge makes 2-pt jump shot from 9 ft (assist by R. Gay),,4,4
10,1,9:53.0,,A. Bradley makes 2-pt jump shot from 22 ft,4,6
11,1,9:44.0,Shooting foul by J. Holiday (drawn by L. Aldridge),,4,6
12,1,9:44.0,L. Aldridge misses free throw 1 of 2,,4,6
13,1,9:44.0,Offensive rebound by Team,,4,6
14,1,9:44.0,L. Aldridge makes free throw 2 of 2,,5,6
15,1,9:44.0,,Offensive foul by D. Wright (drawn by B. Forbes),5,6
16,1,9:44.0,,Turnover by D. Wright (turnover),5,6
17,1,9:38.0,Shooting foul by A. Bradley (drawn by D. DeRozan),,5,6
18,1,9:38.0,D. DeRozan misses free throw 1 of 2,,5,6
19,1,9:38.0,Offensive rebound by Team,,5,6
20,1,9:38.0,D. DeRozan makes free throw 2 of 2,,6,6
21,1,9:20.0,,I. Rabb makes 2-pt jump shot from 4 ft (assist by J. Holiday),6,8
22,1,9:05.0,Personal foul by I. Rabb (drawn by L. Aldridge),,6,8
23,1,8:54.0,Shooting foul by I. Rabb (drawn by B. Forbes),,6,8
24,1,8:54.0,B. Forbes makes free throw 1 of 2,,7,8
25,1,8:54.0,,J. Valančiūnas enters the game for I. Rabb,7,8
26,1,8:54.0,B. Forbes makes free throw 2 of 2,,8,8
27,1,8:38.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by J. Valančiūnas),8,10
28,1,8:25.0,D. DeRozan misses 2-pt jump shot from 10 ft,,8,10
29,1,8:23.0,,Defensive rebound by J. Valančiūnas,8,10
30,1,8:04.0,,D. Wright misses 2-pt layup from 2 ft (block by L. Aldridge),8,10
31,1,8:02.0,Defensive rebound by D. DeRozan,,8,10
32,1,7:58.0,Personal foul by J. Jackson (drawn by R. Gay),,8,10
33,1,7:58.0,R. Gay makes free throw 1 of 2,,9,10
34,1,7:58.0,R. Gay makes free throw 2 of 2,,10,10
35,1,7:44.0,,D. Wright makes 2-pt jump shot from 15 ft,10,12
36,1,7:19.0,R. Gay misses 2-pt jump shot from 22 ft,,10,12
37,1,7:16.0,,Defensive rebound by J. Valančiūnas,10,12
38,1,7:10.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,10,12
39,1,7:06.0,Defensive rebound by R. Gay,,10,12
40,1,6:57.0,Turnover by D. DeRozan (lost ball; steal by D. Wright),,10,12
41,1,6:46.0,,J. Valančiūnas makes 2-pt layup from 6 ft (assist by A. Bradley),10,14
42,1,6:45.0,San Antonio full timeout,,10,14
43,1,6:26.0,R. Gay makes 2-pt jump shot from 10 ft,,12,14
44,1,6:11.0,,J. Holiday misses 2-pt jump shot from 11 ft,12,14
45,1,6:09.0,,Offensive rebound by Team,12,14
46,1,6:03.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by D. Wright),12,16
47,1,5:49.0,B. Forbes misses 3-pt jump shot from 25 ft,,12,16
48,1,5:46.0,,Defensive rebound by J. Jackson,12,16
49,1,5:40.0,,A. Bradley makes 2-pt jump shot from 20 ft,12,18
50,1,5:18.0,D. DeRozan misses 2-pt jump shot from 14 ft,,12,18
51,1,5:15.0,,Defensive rebound by J. Valančiūnas,12,18
52,1,5:00.0,,Turnover by J. Holiday (bad pass; steal by B. Forbes),12,18
53,1,4:54.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by B. Forbes),,15,18
54,1,4:35.0,,Turnover by A. Bradley (bad pass; steal by B. Forbes),15,18
55,1,4:20.0,L. Aldridge misses 2-pt hook shot from 9 ft,,15,18
56,1,4:18.0,,Defensive rebound by D. Wright,15,18
57,1,4:05.0,,Shooting foul by B. Forbes (drawn by J. Valančiūnas),15,18
58,1,4:05.0,,J. Valančiūnas makes free throw 1 of 2,15,19
59,1,4:05.0,D. Cunningham enters the game for L. Aldridge,,15,19
60,1,4:05.0,P. Mills enters the game for B. Forbes,,15,19
61,1,4:05.0,J. Poeltl enters the game for R. Gay,,15,19
62,1,4:05.0,,J. Carter enters the game for J. Holiday,15,19
63,1,4:05.0,,C. Miles enters the game for D. Wright,15,19
64,1,4:05.0,,J. Valančiūnas misses free throw 2 of 2,15,19
65,1,4:03.0,Defensive rebound by D. Bertāns,,15,19
66,1,3:52.0,D. DeRozan misses 2-pt layup from 1 ft,,15,19
67,1,3:48.0,,Defensive rebound by J. Valančiūnas,15,19
68,1,3:45.0,,Shooting foul by D. Bertāns (drawn by C. Miles),15,19
69,1,3:45.0,,C. Miles makes free throw 1 of 2,15,20
70,1,3:45.0,M. Belinelli enters the game for D. Bertāns,,15,20
71,1,3:45.0,,C. Miles makes free throw 2 of 2,15,21
72,1,3:32.0,D. DeRozan misses 2-pt jump shot from 9 ft,,15,21
73,1,3:29.0,Offensive rebound by D. DeRozan,,15,21
74,1,3:22.0,M. Belinelli misses 3-pt jump shot from 26 ft,,15,21
75,1,3:19.0,,Defensive rebound by A. Bradley,15,21
76,1,3:12.0,,A. Bradley makes 2-pt jump shot from 21 ft,15,23
77,1,3:01.0,J. Poeltl misses 2-pt jump shot from 12 ft,,15,23
