,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
34,1,7:09.0,,Defensive rebound by J. Ingles,7,8
35,1,7:02.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),7,10
36,1,6:51.0,M. Conley makes 2-pt jump shot from 19 ft,,9,10
37,1,6:32.0,,J. Ingles makes 2-pt jump shot from 8 ft (assist by D. Mitchell),9,12
38,1,6:14.0,Turnover by C. Parsons (bad pass; steal by J. Ingles),,9,12
39,1,6:10.0,,J. Ingles makes 2-pt layup from 2 ft,9,14
40,1,5:50.0,M. Conley misses 3-pt jump shot from 25 ft,,9,14
41,1,5:49.0,,Defensive rebound by R. Gobert,9,14
42,1,5:44.0,,J. Ingles misses 3-pt jump shot from 26 ft,9,14
43,1,5:41.0,Defensive rebound by M. Gasol,,9,14
44,1,5:35.0,M. Conley misses 2-pt jump shot from 16 ft,,9,14
45,1,5:33.0,,Defensive rebound by R. Gobert,9,14
46,1,5:32.0,,Turnover by R. Gobert (out of bounds lost ball),9,14
47,1,5:32.0,K. Anderson enters the game for C. Parsons,,9,14
48,1,5:32.0,,J. Crowder enters the game for D. Favors,9,14
49,1,5:32.0,,R. O'Neale enters the game for J. Ingles,9,14
50,1,5:24.0,Shooting foul by R. Rubio (drawn by G. Temple),,9,14
51,1,5:24.0,G. Temple makes free throw 1 of 2,,10,14
52,1,5:24.0,G. Temple misses free throw 2 of 2,,10,14
53,1,5:21.0,,Defensive rebound by R. O'Neale,10,14
54,1,5:11.0,,D. Mitchell misses 3-pt jump shot from 24 ft,10,14
55,1,5:07.0,Defensive rebound by K. Anderson,,10,14
56,1,4:48.0,M. Conley misses 3-pt jump shot from 25 ft,,10,14
57,1,4:46.0,,Defensive rebound by R. O'Neale,10,14
58,1,4:33.0,,D. Mitchell misses 2-pt jump shot from 8 ft,10,14
59,1,4:30.0,Defensive rebound by M. Conley,,10,14
60,1,4:26.0,Personal foul by D. Mitchell (drawn by M. Gasol),,10,14
61,1,4:26.0,D. Brooks enters the game for M. Conley,,10,14
62,1,4:26.0,S. Mack enters the game for J. Jackson,,10,14
63,1,4:26.0,,D. Exum enters the game for R. Rubio,10,14
64,1,4:10.0,M. Gasol makes 2-pt jump shot from 8 ft (assist by S. Mack),,12,14
65,1,3:53.0,,D. Exum misses 2-pt jump shot from 7 ft,12,14
66,1,3:52.0,,Offensive rebound by Team,12,14
67,1,3:52.0,W. Selden enters the game for G. Temple,,12,14
68,1,3:50.0,,D. Exum misses 3-pt jump shot from 22 ft,12,14
69,1,3:45.0,Defensive rebound by D. Brooks,,12,14
70,1,3:35.0,K. Anderson misses 2-pt jump shot from 7 ft,,12,14
71,1,3:31.0,,Defensive rebound by J. Crowder,12,14
72,1,3:25.0,,Shooting foul by D. Brooks (drawn by R. O'Neale),12,14
73,1,3:25.0,,R. O'Neale makes free throw 1 of 2,12,15
74,1,3:25.0,,R. O'Neale makes free throw 2 of 2,12,16
75,1,3:06.0,Personal foul by R. Gobert (drawn by M. Gasol),,12,16
76,1,2:55.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Gasol),,15,16
77,1,2:51.0,,Utah full timeout,15,16
78,1,2:51.0,,A. Burks enters the game for R. Gobert,15,16
79,1,2:51.0,,D. Favors enters the game for D. Mitchell,15,16
80,1,2:51.0,,J. Ingles enters the game for R. O'Neale,15,16
81,1,2:32.0,,Shooting foul by K. Anderson (drawn by J. Crowder),15,16
82,1,2:32.0,,J. Crowder misses free throw 1 of 3,15,16
83,1,2:32.0,,Offensive rebound by Team,15,16
84,1,2:32.0,,J. Crowder makes free throw 2 of 3,15,17
85,1,2:32.0,,J. Crowder makes free throw 3 of 3,15,18
86,1,2:20.0,D. Brooks misses 2-pt jump shot from 14 ft,,15,18
87,1,2:18.0,,Defensive rebound by D. Exum,15,18
88,1,2:04.0,,D. Favors misses 2-pt hook shot from 8 ft,15,18
89,1,2:02.0,Defensive rebound by M. Gasol,,15,18
90,1,1:53.0,Turnover by D. Brooks (bad pass; steal by J. Ingles),,15,18
91,1,1:49.0,,D. Exum makes 2-pt dunk from 2 ft (assist by J. Ingles),15,20
92,1,1:25.0,S. Mack makes 2-pt jump shot from 5 ft,,17,20
93,1,1:11.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),17,22
94,1,0:54.0,M. Gasol misses 2-pt jump shot from 19 ft,,17,22
95,1,0:51.0,Offensive rebound by Team,,17,22
96,1,0:51.0,J. Jackson enters the game for M. Gasol,,17,22
97,1,0:49.0,S. Mack makes 2-pt layup from 2 ft (assist by K. Anderson),,19,22
98,1,0:35.0,,J. Crowder misses 2-pt layup from 5 ft (block by K. Anderson),19,22
99,1,0:35.0,Defensive rebound by Team,,19,22
100,1,0:30.0,S. Mack misses 2-pt jump shot from 16 ft,,19,22
101,1,0:27.0,,Defensive rebound by D. Favors,19,22
102,1,0:14.0,,A. Burks misses 2-pt layup from 5 ft,19,22
103,1,0:10.0,Defensive rebound by W. Selden,,19,22
104,1,0:09.0,Offensive foul by W. Selden (drawn by J. Crowder),,19,22
105,1,0:09.0,Turnover by W. Selden (offensive foul),,19,22
106,1,0:00.0,,D. Exum misses 2-pt jump shot from 8 ft,19,22
107,1,0:00.0,,D. Favors misses 2-pt layup from 1 ft,19,22
108,1,0:00.0,,Offensive rebound by D. Favors,19,22
109,1,0:00.0,,Offensive rebound by Team,19,22
110,2,11:41.0,W. Selden makes 2-pt layup from 4 ft,,21,22
111,2,11:28.0,,D. Favors misses 2-pt jump shot from 10 ft,21,22
112,2,11:25.0,,Offensive rebound by D. Favors,21,22
113,2,11:21.0,,D. Favors misses 2-pt layup from 4 ft,21,22
114,2,11:18.0,Defensive rebound by J. Jackson,,21,22
115,2,11:08.0,J. Jackson makes 2-pt hook shot from 2 ft (assist by O. Casspi),,23,22
116,2,10:49.0,,Turnover by D. Favors (bad pass; steal by O. Casspi),23,22
117,2,10:45.0,Shooting foul by J. Ingles (drawn by O. Casspi),,23,22
118,2,10:45.0,O. Casspi makes free throw 1 of 2,,24,22
119,2,10:45.0,O. Casspi makes free throw 2 of 2,,25,22
120,2,10:29.0,,D. Exum misses 2-pt layup from 3 ft,25,22
121,2,10:28.0,,Offensive rebound by D. Favors,25,22
122,2,10:26.0,,J. Ingles misses 3-pt jump shot from 26 ft,25,22
123,2,10:26.0,Defensive rebound by M. Conley,,25,22
124,2,10:17.0,J. Jackson misses 3-pt jump shot from 26 ft,,25,22
125,2,10:15.0,,Defensive rebound by D. Exum,25,22
126,2,10:10.0,,D. Exum makes 2-pt layup from 3 ft,25,24
127,2,9:50.0,D. Brooks makes 2-pt layup from 3 ft (assist by J. Jackson),,27,24
128,2,9:33.0,,J. Crowder misses 3-pt jump shot from 24 ft,27,24
129,2,9:31.0,,Offensive rebound by J. Crowder,27,24
130,2,9:29.0,,J. Crowder makes 2-pt layup from 2 ft,27,26
131,2,9:26.0,Memphis full timeout,,27,26
132,2,9:26.0,,G. Niang enters the game for J. Crowder,27,26
133,2,9:26.0,,R. O'Neale enters the game for J. Ingles,27,26
134,2,9:08.0,J. Jackson makes 2-pt hook shot from 4 ft,,29,26
135,2,8:57.0,,Offensive foul by D. Favors (drawn by D. Brooks),29,26
136,2,8:57.0,,Turnover by D. Favors (offensive foul),29,26
137,2,8:57.0,,D. Mitchell enters the game for A. Burks,29,26
138,2,8:37.0,M. Conley misses 2-pt jump shot from 14 ft (block by D. Exum),,29,26
139,2,8:34.0,Offensive rebound by M. Conley,,29,26
140,2,8:33.0,Shooting foul by D. Exum (drawn by J. Jackson),,29,26
141,2,8:33.0,,R. Rubio enters the game for D. Exum,29,26
142,2,8:33.0,J. Jackson misses free throw 1 of 2,,29,26
143,2,8:33.0,Offensive rebound by Team,,29,26
144,2,8:33.0,,R. Gobert enters the game for D. Favors,29,26
145,2,8:33.0,J. Jackson makes free throw 2 of 2,,30,26
146,2,8:10.0,,G. Niang misses 2-pt jump shot from 19 ft,30,26
147,2,8:07.0,Defensive rebound by J. Jackson,,30,26
148,2,7:55.0,D. Brooks makes 2-pt jump shot from 12 ft,,32,26
149,2,7:36.0,,R. O'Neale misses 2-pt layup from 2 ft (block by D. Brooks),32,26
150,2,7:33.0,,Offensive rebound by R. O'Neale,32,26
151,2,7:33.0,,R. O'Neale makes 2-pt layup from 3 ft,32,28
152,2,7:12.0,J. Jackson misses 3-pt jump shot from 24 ft,,32,28
153,2,7:08.0,,Defensive rebound by G. Niang,32,28
154,2,7:00.0,,D. Mitchell makes 3-pt jump shot from 25 ft,32,31
155,2,6:46.0,O. Casspi makes 2-pt layup from 4 ft (assist by W. Selden),,34,31
156,2,6:41.0,,Turnover by R. O'Neale (step out of bounds),34,31
157,2,6:41.0,M. Gasol enters the game for J. Jackson,,34,31
158,2,6:41.0,G. Temple enters the game for W. Selden,,34,31
159,2,6:23.0,Shooting foul by R. Rubio (drawn by M. Conley),,34,31
160,2,6:23.0,M. Conley makes free throw 1 of 2,,35,31
161,2,6:23.0,M. Conley makes free throw 2 of 2,,36,31
162,2,6:13.0,,Turnover by R. Rubio (lost ball; steal by M. Conley),36,31
163,2,6:07.0,Turnover by M. Conley (lost ball; steal by R. Rubio),,36,31
164,2,6:07.0,,Personal foul by M. Conley (drawn by G. Niang),36,31
165,2,6:07.0,,J. Ingles enters the game for R. O'Neale,36,31
166,2,5:52.0,,G. Niang makes 3-pt jump shot from 24 ft (assist by D. Mitchell),36,34
167,2,5:34.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Conley),,39,34
168,2,5:20.0,,R. Rubio misses 2-pt jump shot from 19 ft,39,34
169,2,5:17.0,Defensive rebound by M. Gasol,,39,34
170,2,5:06.0,M. Conley misses 2-pt layup from 4 ft (block by R. Rubio),,39,34
171,2,5:04.0,Offensive rebound by M. Conley,,39,34
172,2,5:03.0,Shooting foul by G. Niang (drawn by M. Conley),,39,34
173,2,5:03.0,M. Conley misses free throw 1 of 2,,39,34
174,2,5:03.0,Offensive rebound by Team,,39,34
175,2,5:03.0,K. Anderson enters the game for D. Brooks,,39,34
176,2,5:03.0,M. Brooks enters the game for O. Casspi,,39,34
177,2,5:03.0,,J. Crowder enters the game for G. Niang,39,34
178,2,5:03.0,M. Conley makes free throw 2 of 2,,40,34
179,2,4:55.0,,Personal foul by M. Brooks (drawn by R. Rubio),40,34
180,2,4:50.0,,J. Ingles makes 2-pt layup from 4 ft,40,36
181,2,4:29.0,M. Gasol misses 2-pt jump shot from 18 ft,,40,36
182,2,4:25.0,,Defensive rebound by R. Rubio,40,36
183,2,4:19.0,,J. Ingles misses 3-pt jump shot from 25 ft,40,36
184,2,4:17.0,Defensive rebound by M. Gasol,,40,36
185,2,4:10.0,G. Temple misses 2-pt layup from 3 ft (block by R. Gobert),,40,36
186,2,4:07.0,Offensive rebound by K. Anderson,,40,36
187,2,4:05.0,G. Temple misses 3-pt jump shot from 23 ft,,40,36
188,2,4:02.0,,Defensive rebound by D. Mitchell,40,36
189,2,3:52.0,,Shooting foul by M. Gasol (drawn by R. Gobert),40,36
190,2,3:52.0,,R. Gobert misses free throw 1 of 2,40,36
191,2,3:52.0,,Offensive rebound by Team,40,36
192,2,3:52.0,S. Mack enters the game for M. Conley,,40,36
193,2,3:52.0,,R. Gobert makes free throw 2 of 2,40,37
194,2,3:36.0,M. Gasol misses 2-pt hook shot from 10 ft,,40,37
195,2,3:32.0,,Defensive rebound by R. Gobert,40,37
196,2,3:17.0,,D. Mitchell makes 2-pt layup from 2 ft,40,39
197,2,3:02.0,G. Temple misses 2-pt jump shot from 15 ft,,40,39
198,2,3:00.0,,Defensive rebound by R. Gobert,40,39
199,2,2:43.0,,D. Mitchell makes 2-pt jump shot from 14 ft (assist by R. Rubio),40,41
200,2,2:41.0,Memphis full timeout,,40,41
201,2,2:27.0,Turnover by M. Brooks (bad pass; steal by D. Mitchell),,40,41
202,2,2:22.0,,D. Mitchell misses 2-pt layup from 6 ft,40,41
203,2,2:17.0,Defensive rebound by M. Brooks,,40,41
204,2,2:15.0,K. Anderson makes 2-pt layup from 2 ft (assist by S. Mack),,42,41
205,2,2:01.0,,Shooting foul by M. Gasol (drawn by R. Rubio),42,41
206,2,2:01.0,,R. Rubio makes free throw 1 of 2,42,42
207,2,2:01.0,,R. Rubio makes free throw 2 of 2,42,43
208,2,1:54.0,Offensive foul by S. Mack (drawn by R. Rubio),,42,43
209,2,1:54.0,Turnover by S. Mack (offensive foul),,42,43
210,2,1:54.0,M. Conley enters the game for S. Mack,,42,43
211,2,1:42.0,,J. Ingles misses 2-pt layup from 3 ft,42,43
212,2,1:42.0,Defensive rebound by Team,,42,43
213,2,1:42.0,,Loose ball foul by R. Gobert (drawn by M. Gasol),42,43
214,2,1:42.0,M. Gasol makes free throw 1 of 2,,43,43
215,2,1:42.0,M. Gasol makes free throw 2 of 2,,44,43
216,2,1:38.0,,Offensive foul by D. Mitchell (drawn by G. Temple),44,43
217,2,1:38.0,,Turnover by D. Mitchell (offensive foul),44,43
218,2,1:13.0,K. Anderson misses 3-pt jump shot from 27 ft,,44,43
219,2,1:13.0,Offensive rebound by Team,,44,43
220,2,1:13.0,Turnover by Team (shot clock),,44,43
221,2,1:13.0,Technical foul by K. Anderson,,44,43
222,2,1:13.0,,R. Rubio makes technical free throw,44,44
223,2,1:13.0,D. Brooks enters the game for M. Brooks,,44,44
224,2,0:56.0,,Turnover by J. Ingles (lost ball; steal by M. Conley),44,44
225,2,0:44.0,D. Brooks misses 2-pt jump shot from 10 ft,,44,44
226,2,0:43.0,Offensive rebound by Team,,44,44
227,2,0:37.0,M. Conley makes 2-pt jump shot from 19 ft,,46,44
228,2,0:28.0,,D. Mitchell makes 2-pt layup from 4 ft,46,46
229,2,0:05.0,Shooting foul by J. Crowder (drawn by M. Gasol),,46,46
230,2,0:05.0,,Violation by Team (delay of game),46,46
231,2,0:05.0,M. Gasol makes free throw 1 of 2,,47,46
232,2,0:05.0,M. Gasol misses free throw 2 of 2,,47,46
233,2,0:03.0,Offensive rebound by M. Gasol,,47,46
234,3,11:44.0,M. Conley misses 2-pt jump shot from 16 ft,,47,46
235,3,11:41.0,,Defensive rebound by J. Ingles,47,46
236,3,11:28.0,,R. Gobert misses 2-pt hook shot from 4 ft,47,46
237,3,11:25.0,Defensive rebound by M. Gasol,,47,46
238,3,11:15.0,M. Gasol misses 3-pt jump shot from 25 ft,,47,46
239,3,11:14.0,,Defensive rebound by J. Ingles,47,46
240,3,11:05.0,,Turnover by J. Ingles (bad pass; steal by J. Jackson),47,46
241,3,11:00.0,J. Jackson makes 2-pt layup from 2 ft,,49,46
242,3,10:38.0,,J. Ingles misses 3-pt jump shot from 25 ft,49,46
243,3,10:34.0,,Offensive rebound by R. Gobert,49,46
244,3,10:30.0,,D. Favors makes 2-pt dunk from 3 ft (assist by R. Rubio),49,48
245,3,10:06.0,D. Brooks misses 2-pt layup from 2 ft,,49,48
246,3,10:04.0,,Defensive rebound by D. Mitchell,49,48
247,3,9:58.0,,D. Favors misses 3-pt jump shot from 22 ft,49,48
248,3,9:56.0,Defensive rebound by J. Jackson,,49,48
249,3,9:45.0,M. Gasol makes 2-pt layup from 2 ft (assist by M. Conley),,51,48
250,3,9:38.0,,Shooting foul by J. Jackson (drawn by D. Favors),51,48
251,3,9:38.0,,D. Favors makes free throw 1 of 2,51,49
252,3,9:38.0,,D. Favors makes free throw 2 of 2,51,50
253,3,9:18.0,M. Gasol misses 2-pt jump shot from 10 ft,,51,50
254,3,9:16.0,,Defensive rebound by R. Rubio,51,50
255,3,9:11.0,,Personal foul by J. Jackson (drawn by R. Gobert),51,50
256,3,9:10.0,,Turnover by R. Rubio (bad pass; steal by M. Gasol),51,50
257,3,8:49.0,G. Temple misses 3-pt jump shot from 26 ft,,51,50
258,3,8:47.0,,Defensive rebound by Team,51,50
259,3,8:26.0,,R. Gobert misses 2-pt layup from 1 ft,51,50
260,3,8:23.0,Defensive rebound by M. Gasol,,51,50
261,3,8:04.0,G. Temple makes 3-pt jump shot from 26 ft (assist by D. Brooks),,54,50
262,3,7:45.0,,R. Rubio misses 3-pt jump shot from 25 ft,54,50
263,3,7:43.0,Defensive rebound by M. Gasol,,54,50
264,3,7:35.0,Personal foul by D. Favors (drawn by J. Jackson),,54,50
265,3,7:35.0,,J. Crowder enters the game for D. Favors,54,50
266,3,7:24.0,M. Conley makes 2-pt layup from 2 ft (assist by M. Gasol),,56,50
267,3,7:24.0,,Utah full timeout,56,50
268,3,7:10.0,,D. Mitchell misses 3-pt jump shot from 26 ft,56,50
269,3,7:07.0,Defensive rebound by M. Gasol,,56,50
270,3,6:46.0,M. Conley misses 2-pt layup from 2 ft,,56,50
271,3,6:43.0,Offensive rebound by J. Jackson,,56,50
272,3,6:43.0,J. Jackson makes 2-pt dunk from 1 ft,,58,50
273,3,6:27.0,,D. Mitchell makes 2-pt jump shot from 11 ft,58,52
274,3,6:02.0,J. Jackson misses 2-pt hook shot from 6 ft,,58,52
275,3,6:00.0,Offensive rebound by Team,,58,52
276,3,6:00.0,,Loose ball foul by J. Crowder (drawn by J. Jackson),58,52
277,3,6:00.0,K. Anderson enters the game for M. Conley,,58,52
278,3,6:00.0,S. Mack enters the game for J. Jackson,,58,52
279,3,5:52.0,Turnover by G. Temple (bad pass; steal by R. Gobert),,58,52
280,3,5:46.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Rubio),58,55
281,3,5:18.0,M. Gasol misses 3-pt jump shot from 27 ft,,58,55
282,3,5:16.0,,Defensive rebound by D. Mitchell,58,55
283,3,5:05.0,,Turnover by D. Mitchell (bad pass; steal by G. Temple),58,55
284,3,5:04.0,Personal take foul by R. Rubio (drawn by D. Brooks),,58,55
285,3,5:04.0,,R. O'Neale enters the game for J. Ingles,58,55
286,3,4:51.0,Offensive foul by M. Gasol (drawn by R. Gobert),,58,55
287,3,4:51.0,Turnover by M. Gasol (offensive foul),,58,55
288,3,4:35.0,,Turnover by D. Mitchell (bad pass; steal by S. Mack),58,55
289,3,4:26.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Anderson),,61,55
290,3,3:58.0,,Turnover by D. Mitchell (lost ball; steal by G. Temple),61,55
291,3,3:58.0,Personal foul by J. Crowder (drawn by G. Temple),,61,55
292,3,3:58.0,,Technical foul by D. Mitchell,61,55
293,3,3:58.0,W. Selden enters the game for D. Brooks,,61,55
294,3,3:58.0,,D. Exum enters the game for R. Rubio,61,55
295,3,3:58.0,S. Mack makes technical free throw,,62,55
296,3,3:43.0,M. Gasol misses 2-pt jump shot from 22 ft,,62,55
297,3,3:41.0,,Defensive rebound by J. Crowder,62,55
298,3,3:27.0,,R. O'Neale misses 2-pt layup from 3 ft,62,55
299,3,3:24.0,Defensive rebound by M. Gasol,,62,55
300,3,3:08.0,G. Temple misses 2-pt jump shot from 21 ft,,62,55
301,3,3:07.0,,Defensive rebound by R. O'Neale,62,55
302,3,2:58.0,,Shooting foul by G. Temple (drawn by J. Crowder),62,55
303,3,2:58.0,Memphis full timeout,,62,55
304,3,2:58.0,M. Conley enters the game for M. Gasol,,62,55
305,3,2:58.0,J. Jackson enters the game for G. Temple,,62,55
306,3,2:58.0,,G. Allen enters the game for R. Gobert,62,55
307,3,2:58.0,,D. Favors enters the game for D. Mitchell,62,55
308,3,2:58.0,,J. Crowder makes free throw 1 of 2,62,56
309,3,2:58.0,,J. Crowder misses free throw 2 of 2,62,56
310,3,2:56.0,Defensive rebound by K. Anderson,,62,56
311,3,2:45.0,K. Anderson makes 2-pt layup from 2 ft,,64,56
312,3,2:28.0,,Turnover by D. Exum (bad pass; steal by M. Conley),64,56
313,3,2:27.0,Clear path foul by G. Allen,,64,56
314,3,2:27.0,M. Conley makes clear path free throw 1 of 2,,65,56
315,3,2:27.0,M. Conley makes clear path free throw 2 of 2,,66,56
316,3,2:10.0,W. Selden misses 2-pt jump shot from 6 ft,,66,56
317,3,2:07.0,,Defensive rebound by R. O'Neale,66,56
318,3,2:04.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. O'Neale),66,58
319,3,2:00.0,Offensive foul by K. Anderson (drawn by J. Crowder),,66,58
320,3,2:00.0,Turnover by K. Anderson (offensive foul),,66,58
321,3,1:50.0,,D. Exum misses 3-pt jump shot from 25 ft,66,58
322,3,1:45.0,Defensive rebound by M. Conley,,66,58
323,3,1:34.0,M. Conley misses 2-pt layup from 2 ft,,66,58
324,3,1:32.0,,Defensive rebound by J. Crowder,66,58
325,3,1:26.0,,D. Exum misses 2-pt layup from 5 ft,66,58
326,3,1:24.0,Defensive rebound by J. Jackson,,66,58
327,3,1:04.0,W. Selden misses 2-pt layup from 3 ft,,66,58
328,3,1:02.0,,Defensive rebound by D. Exum,66,58
329,3,0:53.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Exum),66,61
330,3,0:31.0,Shooting foul by G. Allen (drawn by S. Mack),,66,61
331,3,0:31.0,S. Mack misses free throw 1 of 2,,66,61
332,3,0:31.0,Offensive rebound by Team,,66,61
333,3,0:31.0,D. Brooks enters the game for M. Conley,,66,61
334,3,0:31.0,S. Mack makes free throw 2 of 2,,67,61
335,3,0:15.0,,Utah full timeout,67,61
336,3,0:12.0,,Shooting foul by J. Jackson (drawn by G. Allen),67,61
337,3,0:12.0,,G. Allen makes free throw 1 of 2,67,62
338,3,0:12.0,M. Conley enters the game for K. Anderson,,67,62
339,3,0:12.0,,G. Allen makes free throw 2 of 2,67,63
340,3,0:01.0,M. Conley makes 3-pt jump shot from 25 ft,,70,63
341,4,11:44.0,,D. Exum misses 2-pt dunk from 2 ft,70,63
342,4,11:41.0,,Offensive rebound by J. Ingles,70,63
343,4,11:34.0,,D. Exum misses 3-pt jump shot from 25 ft,70,63
344,4,11:32.0,Defensive rebound by G. Temple,,70,63
345,4,11:11.0,J. Jackson misses 2-pt jump shot from 4 ft (block by D. Favors),,70,63
346,4,11:08.0,,Defensive rebound by D. Favors,70,63
347,4,10:53.0,,D. Exum misses 3-pt jump shot from 24 ft,70,63
348,4,10:49.0,Defensive rebound by M. Conley,,70,63
349,4,10:33.0,M. Conley misses 2-pt jump shot from 12 ft,,70,63
350,4,10:32.0,,Defensive rebound by J. Crowder,70,63
351,4,10:20.0,,Personal foul by M. Conley (drawn by G. Allen),70,63
352,4,10:20.0,K. Anderson enters the game for M. Conley,,70,63
353,4,10:20.0,M. Gasol enters the game for J. Jackson,,70,63
354,4,10:20.0,,G. Niang enters the game for J. Crowder,70,63
355,4,10:20.0,,R. Rubio enters the game for D. Exum,70,63
356,4,10:14.0,,D. Favors misses 2-pt jump shot from 11 ft,70,63
357,4,10:11.0,,Offensive rebound by J. Ingles,70,63
358,4,10:03.0,,D. Favors misses 2-pt jump shot from 6 ft,70,63
359,4,10:01.0,Defensive rebound by O. Casspi,,70,63
360,4,9:52.0,O. Casspi misses 3-pt jump shot from 26 ft,,70,63
361,4,9:50.0,,Defensive rebound by Team,70,63
362,4,9:50.0,,D. Mitchell enters the game for G. Allen,70,63
363,4,9:31.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Rubio),70,65
364,4,9:11.0,S. Mack misses 2-pt layup from 4 ft (block by D. Favors),,70,65
365,4,9:11.0,Offensive rebound by Team,,70,65
366,4,9:09.0,M. Gasol misses 2-pt jump shot from 23 ft,,70,65
367,4,9:06.0,,Defensive rebound by R. Rubio,70,65
368,4,8:59.0,,D. Mitchell misses 3-pt jump shot from 24 ft,70,65
369,4,8:57.0,,Offensive rebound by Team,70,65
370,4,8:48.0,,J. Ingles misses 2-pt layup from 4 ft,70,65
371,4,8:46.0,Defensive rebound by M. Gasol,,70,65
372,4,8:42.0,Memphis full timeout,,70,65
373,4,8:42.0,W. Selden enters the game for O. Casspi,,70,65
374,4,8:25.0,M. Gasol misses 2-pt jump shot from 9 ft,,70,65
375,4,8:22.0,,Defensive rebound by D. Favors,70,65
376,4,8:14.0,,Shooting foul by M. Gasol (drawn by D. Mitchell),70,65
377,4,8:14.0,,D. Mitchell misses free throw 1 of 2,70,65
378,4,8:14.0,,Offensive rebound by Team,70,65
379,4,8:14.0,,D. Mitchell makes free throw 2 of 2,70,66
380,4,7:52.0,S. Mack makes 3-pt jump shot from 25 ft,,73,66
381,4,7:38.0,,D. Mitchell misses 2-pt jump shot from 5 ft,73,66
382,4,7:35.0,Defensive rebound by K. Anderson,,73,66
383,4,7:26.0,Turnover by S. Mack (bad pass; steal by D. Mitchell),,73,66
384,4,7:20.0,,R. Rubio misses 3-pt jump shot from 24 ft,73,66
385,4,7:17.0,Defensive rebound by S. Mack,,73,66
386,4,7:12.0,K. Anderson misses 2-pt layup from 2 ft,,73,66
387,4,7:10.0,,Defensive rebound by J. Ingles,73,66
388,4,7:02.0,,R. Rubio misses 3-pt jump shot from 25 ft,73,66
389,4,6:59.0,Defensive rebound by M. Gasol,,73,66
390,4,6:45.0,Personal foul by D. Favors (drawn by S. Mack),,73,66
391,4,6:45.0,M. Conley enters the game for K. Anderson,,73,66
392,4,6:45.0,,J. Crowder enters the game for D. Favors,73,66
393,4,6:45.0,,R. Gobert enters the game for G. Niang,73,66
