,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,Turnover by D. Lillard (back court),,0,0
1,1,11:36.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),0,3
2,1,11:14.0,M. Harkless makes 2-pt dunk from 1 ft,,2,3
3,1,10:59.0,,Personal foul by A. Aminu (drawn by S. Adams),2,3
4,1,10:50.0,,Turnover by R. Westbrook (lost ball; steal by D. Lillard),2,3
5,1,10:26.0,C. McCollum misses 2-pt jump shot from 15 ft,,2,3
6,1,10:24.0,,Defensive rebound by R. Westbrook,2,3
7,1,10:19.0,,R. Westbrook makes 2-pt layup from 2 ft,2,5
8,1,10:00.0,Turnover by C. McCollum (back court),,2,5
9,1,9:54.0,,P. George misses 3-pt jump shot from 26 ft,2,5
10,1,9:50.0,,Offensive rebound by T. Ferguson,2,5
11,1,9:46.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),2,7
12,1,9:25.0,E. Freedom misses 2-pt jump shot from 5 ft (block by J. Grant),,2,7
13,1,9:22.0,,Defensive rebound by S. Adams,2,7
14,1,9:18.0,,R. Westbrook misses 2-pt jump shot from 18 ft,2,7
15,1,9:15.0,Defensive rebound by E. Freedom,,2,7
16,1,9:07.0,D. Lillard misses 2-pt jump shot from 13 ft,,2,7
17,1,9:04.0,,Defensive rebound by T. Ferguson,2,7
18,1,9:00.0,,P. George misses 3-pt jump shot from 23 ft,2,7
19,1,8:55.0,Defensive rebound by E. Freedom,,2,7
20,1,8:46.0,D. Lillard misses 3-pt jump shot from 25 ft,,2,7
21,1,8:44.0,,Defensive rebound by P. George,2,7
22,1,8:31.0,,R. Westbrook misses 3-pt jump shot from 25 ft,2,7
23,1,8:28.0,Defensive rebound by D. Lillard,,2,7
24,1,8:24.0,C. McCollum misses 3-pt jump shot from 26 ft,,2,7
25,1,8:21.0,Offensive rebound by M. Harkless,,2,7
26,1,8:21.0,Shooting foul by T. Ferguson (drawn by M. Harkless),,2,7
27,1,8:21.0,M. Harkless makes free throw 1 of 2,,3,7
28,1,8:21.0,M. Harkless misses free throw 2 of 2,,3,7
29,1,8:16.0,Offensive rebound by M. Harkless,,3,7
30,1,8:15.0,M. Harkless misses 2-pt layup from 1 ft,,3,7
31,1,8:12.0,Offensive rebound by A. Aminu,,3,7
32,1,8:12.0,A. Aminu misses 2-pt layup at rim,,3,7
33,1,8:11.0,,Defensive rebound by P. George,3,7
34,1,8:00.0,,R. Westbrook misses 2-pt jump shot from 15 ft,3,7
35,1,7:57.0,Defensive rebound by C. McCollum,,3,7
36,1,7:46.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,6,7
37,1,7:29.0,,Personal foul by D. Lillard (drawn by J. Grant),6,7
38,1,7:22.0,,R. Westbrook misses 2-pt layup from 3 ft,6,7
39,1,7:19.0,Defensive rebound by C. McCollum,,6,7
40,1,7:16.0,M. Harkless makes 2-pt dunk from 1 ft (assist by C. McCollum),,8,7
41,1,7:15.0,,Oklahoma City full timeout,8,7
42,1,7:06.0,,Turnover by P. George (lost ball),8,7
43,1,7:06.0,,Loose ball foul by P. George (drawn by M. Harkless),8,7
44,1,6:51.0,M. Harkless misses 2-pt hook shot from 6 ft,,8,7
45,1,6:50.0,Offensive rebound by Team,,8,7
46,1,6:50.0,,Loose ball foul by T. Ferguson (drawn by E. Freedom),8,7
47,1,6:39.0,C. McCollum misses 2-pt jump shot from 7 ft,,8,7
48,1,6:36.0,,Defensive rebound by P. George,8,7
49,1,6:24.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by P. George),8,10
50,1,6:01.0,E. Freedom misses 2-pt jump shot from 16 ft,,8,10
51,1,5:59.0,,Defensive rebound by R. Westbrook,8,10
52,1,5:46.0,,P. George misses 2-pt jump shot from 7 ft,8,10
53,1,5:43.0,Defensive rebound by A. Aminu,,8,10
54,1,5:37.0,C. McCollum makes 3-pt jump shot from 25 ft,,11,10
