,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
0,1,11:49.0,,Personal foul by N. Bjelica (drawn by D. Favors),0,0
1,1,11:41.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),0,2
2,1,11:33.0,Turnover by D. Fox (bad pass; steal by R. Rubio),,0,2
3,1,11:27.0,,D. Favors misses 2-pt layup from 1 ft,0,2
4,1,11:25.0,Defensive rebound by N. Bjelica,,0,2
5,1,11:20.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),,3,2
6,1,10:57.0,,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),3,4
7,1,10:46.0,Personal foul by D. Mitchell (drawn by B. Hield),,3,4
8,1,10:37.0,B. Hield misses 2-pt layup from 3 ft,,3,4
9,1,10:35.0,Offensive rebound by N. Bjelica,,3,4
10,1,10:33.0,N. Bjelica makes 2-pt hook shot from 3 ft,,5,4
11,1,10:20.0,,D. Mitchell misses 2-pt jump shot from 5 ft,5,4
12,1,10:17.0,Defensive rebound by W. Cauley-Stein,,5,4
13,1,10:13.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by D. Fox),,8,4
14,1,9:56.0,,R. Rubio misses 3-pt jump shot from 26 ft,8,4
15,1,9:53.0,Defensive rebound by B. Hield,,8,4
16,1,9:49.0,Turnover by B. Hield (bad pass; steal by D. Favors),,8,4
17,1,9:46.0,,D. Mitchell misses 3-pt jump shot from 25 ft,8,4
18,1,9:42.0,,Offensive rebound by D. Favors,8,4
19,1,9:38.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by D. Favors),8,6
20,1,9:26.0,I. Shumpert misses 3-pt jump shot from 25 ft,,8,6
21,1,9:23.0,Offensive rebound by N. Bjelica,,8,6
22,1,9:21.0,N. Bjelica misses 2-pt layup from 1 ft,,8,6
23,1,9:20.0,Offensive rebound by D. Fox,,8,6
24,1,9:18.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by D. Fox),,11,6
25,1,9:17.0,,Utah full timeout,11,6
26,1,8:56.0,,D. Favors misses 3-pt jump shot from 23 ft (block by N. Bjelica),11,6
27,1,8:53.0,Defensive rebound by D. Fox,,11,6
28,1,8:44.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by I. Shumpert),,13,6
29,1,8:44.0,Shooting foul by D. Favors (drawn by W. Cauley-Stein),,13,6
30,1,8:44.0,,J. Crowder enters the game for D. Favors,13,6
31,1,8:44.0,W. Cauley-Stein misses free throw 1 of 1,,13,6
32,1,8:42.0,,Defensive rebound by Team,13,6
33,1,8:33.0,,R. Rubio misses 2-pt layup from 2 ft,13,6
34,1,8:31.0,Defensive rebound by B. Hield,,13,6
35,1,8:28.0,B. Hield misses 2-pt layup from 2 ft (block by R. Gobert),,13,6
36,1,8:28.0,,Defensive rebound by R. Gobert,13,6
37,1,8:17.0,,J. Crowder makes 3-pt jump shot from 22 ft (assist by J. Ingles),13,9
38,1,8:02.0,W. Cauley-Stein makes 2-pt hook shot from 2 ft (assist by D. Fox),,15,9
39,1,7:53.0,,Personal foul by I. Shumpert (drawn by J. Ingles),15,9
40,1,7:53.0,M. Bagley enters the game for N. Bjelica,,15,9
41,1,7:47.0,,D. Mitchell makes 2-pt jump shot from 12 ft,15,11
42,1,7:40.0,M. Bagley makes 2-pt dunk from 3 ft (assist by D. Fox),,17,11
43,1,7:31.0,,Turnover by J. Ingles (bad pass; steal by W. Cauley-Stein),17,11
44,1,7:29.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,19,11
45,1,7:29.0,Shooting foul by J. Ingles (drawn by W. Cauley-Stein),,19,11
46,1,7:29.0,W. Cauley-Stein misses free throw 1 of 1,,19,11
47,1,7:29.0,,Defensive rebound by J. Ingles,19,11
48,1,7:06.0,,R. Rubio misses 2-pt jump shot from 11 ft,19,11
49,1,7:03.0,Defensive rebound by D. Fox,,19,11
