,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
0,1,11:48.0,B. Portis makes 3-pt jump shot from 25 ft (assist by B. Beal),,3,0
1,1,11:30.0,,Turnover by K. Towns (bad pass; steal by J. Green),3,0
2,1,11:21.0,B. Portis misses 2-pt jump shot from 18 ft,,3,0
3,1,11:16.0,,Defensive rebound by J. Okogie,3,0
4,1,11:04.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by J. Okogie),3,2
5,1,10:54.0,T. Satoranský makes 2-pt layup from 1 ft (assist by T. Ariza),,5,2
6,1,10:47.0,,J. Teague misses 3-pt jump shot from 25 ft,5,2
7,1,10:44.0,Defensive rebound by B. Beal,,5,2
8,1,10:38.0,Turnover by T. Satoranský (bad pass; steal by J. Okogie),,5,2
9,1,10:34.0,,K. Bates-Diop makes 2-pt layup from 1 ft (assist by D. Šarić),5,4
10,1,10:21.0,J. Green misses 3-pt jump shot from 25 ft,,5,4
11,1,10:18.0,,Defensive rebound by D. Šarić,5,4
12,1,10:13.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Teague),5,7
13,1,10:01.0,T. Ariza misses 3-pt jump shot from 25 ft,,5,7
14,1,10:01.0,,Defensive rebound by K. Towns,5,7
15,1,9:44.0,,Turnover by D. Šarić (traveling),5,7
16,1,9:34.0,J. Green makes 3-pt jump shot from 24 ft (assist by B. Beal),,8,7
17,1,9:20.0,,K. Towns misses 2-pt layup from 3 ft,8,7
18,1,9:19.0,Defensive rebound by Team,,8,7
19,1,9:04.0,B. Beal misses 2-pt jump shot from 17 ft,,8,7
20,1,8:57.0,,Defensive rebound by K. Towns,8,7
21,1,8:44.0,,K. Towns misses 2-pt jump shot from 3 ft,8,7
22,1,8:43.0,,Offensive rebound by K. Towns,8,7
23,1,8:34.0,,J. Okogie misses 3-pt jump shot from 26 ft,8,7
24,1,8:30.0,Defensive rebound by J. Green,,8,7
25,1,8:19.0,B. Portis misses 2-pt jump shot from 11 ft,,8,7
26,1,8:16.0,,Defensive rebound by K. Towns,8,7
27,1,8:13.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,8,7
28,1,8:10.0,,Offensive rebound by D. Šarić,8,7
29,1,8:09.0,,D. Šarić misses 2-pt layup from 2 ft,8,7
30,1,8:07.0,Defensive rebound by B. Portis,,8,7
31,1,8:00.0,Turnover by J. Green (bad pass; steal by D. Šarić),,8,7
32,1,7:55.0,,J. Okogie misses 2-pt layup from 4 ft,8,7
33,1,7:53.0,Defensive rebound by B. Portis,,8,7
34,1,7:47.0,T. Satoranský makes 2-pt layup from 3 ft,,10,7
35,1,7:47.0,Shooting foul by J. Okogie (drawn by T. Satoranský),,10,7
36,1,7:47.0,T. Satoranský makes free throw 1 of 1,,11,7
37,1,7:23.0,,J. Teague misses 2-pt layup from 3 ft,11,7
38,1,7:19.0,,Offensive rebound by K. Towns,11,7
39,1,7:19.0,,K. Towns misses 2-pt layup at rim,11,7
40,1,7:18.0,Defensive rebound by B. Beal,,11,7
41,1,7:16.0,B. Portis makes 2-pt dunk from 1 ft (assist by T. Satoranský),,13,7
42,1,7:16.0,,Minnesota full timeout,13,7
43,1,7:01.0,,D. Šarić misses 3-pt jump shot from 25 ft,13,7
44,1,6:58.0,Defensive rebound by B. Portis,,13,7
45,1,6:44.0,Shooting foul by K. Bates-Diop (drawn by T. Ariza),,13,7
46,1,6:44.0,T. Ariza makes free throw 1 of 2,,14,7
47,1,6:44.0,T. Ariza makes free throw 2 of 2,,15,7
48,1,6:31.0,,Turnover by K. Bates-Diop (lost ball; steal by T. Satoranský),15,7
49,1,6:26.0,B. Portis makes 2-pt dunk at rim (assist by T. Satoranský),,17,7
50,1,6:14.0,,J. Teague misses 3-pt jump shot from 25 ft,17,7
51,1,6:14.0,Defensive rebound by B. Beal,,17,7
52,1,6:07.0,Shooting foul by K. Towns (drawn by J. Green),,17,7
53,1,6:07.0,J. Green makes free throw 1 of 2,,18,7
54,1,6:07.0,J. Green makes free throw 2 of 2,,19,7
