,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,D. DeRozan misses 2-pt jump shot from 21 ft,0,0
1,1,11:43.0,Defensive rebound by T. Harris,,0,0
2,1,11:34.0,M. Harrell makes 2-pt hook shot from 6 ft (assist by A. Bradley),,2,0
3,1,11:20.0,,B. Forbes misses 3-pt jump shot from 26 ft,2,0
4,1,11:16.0,Defensive rebound by P. Beverley,,2,0
5,1,11:09.0,M. Harrell makes 2-pt dunk from 2 ft (assist by P. Beverley),,4,0
6,1,10:47.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by B. Forbes),4,2
7,1,10:32.0,Personal foul by R. Gay (drawn by S. Gilgeous-Alexander),,4,2
8,1,10:19.0,A. Bradley misses 2-pt jump shot from 16 ft,,4,2
9,1,10:15.0,,Defensive rebound by R. Gay,4,2
10,1,10:03.0,,R. Gay makes 2-pt layup from 5 ft (assist by L. Aldridge),4,4
11,1,9:53.0,Personal foul by D. DeRozan (drawn by S. Gilgeous-Alexander),,4,4
12,1,9:49.0,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,,4,4
13,1,9:46.0,,Defensive rebound by B. Forbes,4,4
14,1,9:42.0,,Turnover by B. Forbes (bad pass; steal by T. Harris),4,4
15,1,9:37.0,T. Harris makes 2-pt layup from 6 ft,,6,4
16,1,9:30.0,,Personal foul by P. Beverley (drawn by D. White),6,4
17,1,9:21.0,,Turnover by D. DeRozan (bad pass),6,4
18,1,9:07.0,M. Harrell makes 2-pt dunk from 3 ft (assist by A. Bradley),,8,4
19,1,8:51.0,,Turnover by R. Gay (bad pass),8,4
20,1,8:27.0,P. Beverley misses 3-pt jump shot from 26 ft,,8,4
21,1,8:24.0,,Defensive rebound by D. White,8,4
22,1,8:18.0,,D. DeRozan makes 2-pt jump shot from 18 ft (assist by D. White),8,6
23,1,8:02.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),,11,6
24,1,7:54.0,,Personal foul by M. Harrell (drawn by L. Aldridge),11,6
25,1,7:42.0,,L. Aldridge misses 2-pt jump shot from 16 ft,11,6
26,1,7:40.0,Defensive rebound by T. Harris,,11,6
27,1,7:37.0,T. Harris misses 2-pt layup from 5 ft,,11,6
28,1,7:37.0,Offensive rebound by M. Harrell,,11,6
29,1,7:37.0,Shooting foul by D. White (drawn by M. Harrell),,11,6
30,1,7:37.0,M. Harrell makes free throw 1 of 2,,12,6
31,1,7:37.0,,San Antonio full timeout,12,6
32,1,7:37.0,M. Harrell makes free throw 2 of 2,,13,6
33,1,7:24.0,,D. DeRozan makes 2-pt jump shot from 19 ft (assist by L. Aldridge),13,8
34,1,7:08.0,T. Harris makes 2-pt jump shot from 10 ft,,15,8
35,1,6:54.0,,D. DeRozan misses 2-pt jump shot from 20 ft,15,8
36,1,6:54.0,Defensive rebound by A. Bradley,,15,8
37,1,6:45.0,P. Beverley makes 2-pt jump shot from 10 ft,,17,8
38,1,6:33.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. DeRozan),17,11
39,1,6:20.0,T. Harris misses 3-pt jump shot from 24 ft,,17,11
40,1,6:18.0,,Defensive rebound by Team,17,11
41,1,6:18.0,,M. Belinelli enters the game for L. Aldridge,17,11
42,1,6:18.0,,D. Bertāns enters the game for B. Forbes,17,11
43,1,6:18.0,,P. Mills enters the game for R. Gay,17,11
44,1,6:18.0,,J. Poeltl enters the game for D. White,17,11
45,1,6:07.0,,Personal foul by S. Gilgeous-Alexander (drawn by P. Mills),17,11
46,1,6:03.0,,D. DeRozan misses 2-pt jump shot from 10 ft,17,11
47,1,5:59.0,Defensive rebound by P. Beverley,,17,11
48,1,5:53.0,Turnover by A. Bradley (bad pass; steal by P. Mills),,17,11
49,1,5:46.0,,D. Bertāns makes 3-pt jump shot from 23 ft (assist by M. Belinelli),17,14
50,1,5:30.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by T. Harris),,20,14
51,1,5:14.0,,D. DeRozan makes 2-pt jump shot from 17 ft,20,16
52,1,5:04.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. DeRozan),,20,16
53,1,4:48.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by J. Poeltl),20,19
54,1,4:46.0,LA Clippers full timeout,,20,19
55,1,4:31.0,P. Beverley makes 3-pt jump shot from 28 ft (assist by A. Bradley),,23,19
56,1,4:31.0,J. Motley enters the game for P. Beverley,,23,19
57,1,4:31.0,T. Wallace enters the game for M. Harrell,,23,19
58,1,4:31.0,,B. Forbes enters the game for D. DeRozan,23,19
59,1,4:11.0,,P. Mills makes 2-pt layup from 4 ft (assist by D. Bertāns),23,21
60,1,3:59.0,J. Motley misses 2-pt jump shot from 6 ft,,23,21
61,1,3:57.0,,Defensive rebound by D. Bertāns,23,21
62,1,3:49.0,,P. Mills misses 2-pt jump shot from 9 ft,23,21
63,1,3:46.0,Defensive rebound by J. Motley,,23,21
64,1,3:38.0,Turnover by J. Motley (lost ball; steal by B. Forbes),,23,21
65,1,3:25.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by J. Poeltl),23,24
66,1,3:11.0,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft,,25,24
67,1,2:54.0,,B. Forbes misses 3-pt jump shot from 26 ft,25,24
68,1,2:54.0,Defensive rebound by T. Harris,,25,24
69,1,2:31.0,A. Bradley makes 2-pt jump shot from 19 ft,,27,24
70,1,2:08.0,,Shooting foul by J. Motley (drawn by J. Poeltl),27,24
71,1,2:08.0,,J. Poeltl misses free throw 1 of 2,27,24
72,1,2:08.0,,Offensive rebound by Team,27,24
73,1,2:08.0,P. Beverley enters the game for A. Bradley,,27,24
74,1,2:08.0,,J. Poeltl misses free throw 2 of 2,27,24
75,1,2:05.0,Defensive rebound by J. Motley,,27,24
76,1,1:57.0,T. Harris makes 2-pt layup from 6 ft,,29,24
77,1,1:57.0,Shooting foul by J. Poeltl (drawn by T. Harris),,29,24
78,1,1:57.0,T. Harris misses free throw 1 of 1,,29,24
79,1,1:55.0,,Defensive rebound by D. Bertāns,29,24
80,1,1:39.0,,M. Belinelli misses 3-pt jump shot from 24 ft,29,24
81,1,1:39.0,Defensive rebound by Team,,29,24
82,1,1:39.0,,Loose ball foul by J. Poeltl (drawn by P. Beverley),29,24
83,1,1:39.0,P. Beverley makes free throw 1 of 2,,30,24
84,1,1:39.0,S. Thornwell enters the game for S. Gilgeous-Alexander,,30,24
85,1,1:39.0,P. Beverley misses free throw 2 of 2,,30,24
86,1,1:36.0,,Defensive rebound by M. Belinelli,30,24
87,1,1:28.0,,P. Mills misses 2-pt layup from 6 ft,30,24
88,1,1:26.0,Defensive rebound by P. Beverley,,30,24
89,1,1:22.0,T. Harris makes 2-pt layup from 4 ft,,32,24
90,1,1:08.0,,Turnover by B. Forbes (bad pass; steal by T. Wallace),32,24
91,1,1:06.0,J. Motley makes 2-pt layup from 5 ft (assist by P. Beverley),,34,24
92,1,1:06.0,Shooting foul by M. Belinelli (drawn by J. Motley),,34,24
93,1,1:06.0,J. Motley makes free throw 1 of 1,,35,24
94,1,0:57.0,,P. Mills makes 2-pt jump shot from 20 ft,35,26
95,1,0:42.0,P. Beverley misses 3-pt jump shot from 27 ft,,35,26
96,1,0:39.0,Offensive rebound by Team,,35,26
97,1,0:33.0,T. Harris makes 3-pt jump shot from 23 ft (assist by P. Beverley),,38,26
98,1,0:16.0,,Shooting foul by J. Motley (drawn by J. Poeltl),38,26
99,1,0:16.0,,J. Poeltl misses free throw 1 of 2,38,26
100,1,0:16.0,,Offensive rebound by Team,38,26
101,1,0:16.0,S. Gilgeous-Alexander enters the game for J. Motley,,38,26
