,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
0,1,11:40.0,,J. Nurkić misses 2-pt hook shot from 4 ft,0,0
1,1,11:36.0,Defensive rebound by C. Osman,,0,0
2,1,11:23.0,R. Hood makes 2-pt jump shot from 13 ft,,2,0
3,1,11:06.0,,J. Layman misses 2-pt jump shot from 8 ft,2,0
4,1,11:04.0,Defensive rebound by T. Thompson,,2,0
5,1,10:59.0,C. Sexton makes 2-pt layup from 1 ft,,4,0
6,1,10:42.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),4,3
7,1,10:23.0,C. Osman makes 2-pt jump shot from 6 ft (assist by T. Thompson),,6,3
8,1,10:13.0,,J. Layman misses 2-pt layup from 2 ft,6,3
9,1,10:13.0,Defensive rebound by T. Thompson,,6,3
10,1,10:03.0,T. Thompson misses 2-pt hook shot from 5 ft,,6,3
11,1,10:01.0,,Defensive rebound by J. Nurkić,6,3
12,1,9:53.0,,D. Lillard makes 3-pt jump shot from 26 ft,6,6
13,1,9:28.0,C. Sexton misses 2-pt layup from 1 ft,,6,6
14,1,9:25.0,Offensive rebound by T. Thompson,,6,6
15,1,9:25.0,T. Thompson makes 2-pt layup from 1 ft,,8,6
16,1,9:23.0,,Personal foul by C. Osman (drawn by D. Lillard),8,6
17,1,9:15.0,,C. McCollum misses 2-pt jump shot from 22 ft,8,6
18,1,9:13.0,,Offensive rebound by A. Aminu,8,6
19,1,9:12.0,,J. Layman misses 2-pt hook shot from 3 ft (block by A. Burks),8,6
20,1,9:12.0,,Offensive rebound by Team,8,6
21,1,9:07.0,,Turnover by A. Aminu (traveling),8,6
22,1,8:48.0,C. Osman misses 3-pt jump shot from 25 ft,,8,6
23,1,8:46.0,,Defensive rebound by A. Aminu,8,6
24,1,8:39.0,,Shooting foul by T. Thompson (drawn by J. Nurkić),8,6
25,1,8:39.0,,J. Nurkić makes free throw 1 of 2,8,7
26,1,8:39.0,,J. Nurkić makes free throw 2 of 2,8,8
27,1,8:16.0,A. Burks misses 2-pt jump shot from 11 ft,,8,8
28,1,8:14.0,,Defensive rebound by A. Aminu,8,8
29,1,8:10.0,,Personal foul by C. Osman (drawn by D. Lillard),8,8
30,1,8:10.0,J. Clarkson enters the game for C. Osman,,8,8
31,1,8:06.0,,C. McCollum misses 2-pt jump shot from 17 ft,8,8
32,1,8:01.0,Defensive rebound by T. Thompson,,8,8
33,1,7:53.0,R. Hood misses 2-pt hook shot from 6 ft,,8,8
34,1,7:49.0,,Defensive rebound by J. Nurkić,8,8
35,1,7:41.0,,C. McCollum makes 2-pt jump shot from 17 ft,8,10
36,1,7:23.0,J. Clarkson misses 2-pt hook shot from 3 ft (block by J. Layman),,8,10
37,1,7:23.0,Offensive rebound by Team,,8,10
38,1,7:16.0,J. Clarkson makes 2-pt jump shot from 13 ft,,10,10
39,1,7:00.0,,A. Aminu makes 3-pt jump shot from 22 ft (assist by D. Lillard),10,13
40,1,6:39.0,Shooting foul by D. Lillard (drawn by R. Hood),,10,13
41,1,6:39.0,,Portland full timeout,10,13
42,1,6:39.0,R. Hood makes free throw 1 of 2,,11,13
43,1,6:39.0,R. Hood makes free throw 2 of 2,,12,13
44,1,6:22.0,,J. Nurkić misses 2-pt jump shot from 4 ft,12,13
45,1,6:20.0,Defensive rebound by R. Hood,,12,13
46,1,6:05.0,R. Hood misses 2-pt layup from 2 ft (block by J. Nurkić),,12,13
47,1,6:00.0,Offensive rebound by R. Hood,,12,13
48,1,5:58.0,A. Burks makes 3-pt jump shot from 25 ft (assist by R. Hood),,15,13
49,1,5:37.0,,J. Nurkić makes 2-pt layup from 2 ft,15,15
50,1,5:15.0,J. Clarkson makes 2-pt jump shot from 6 ft,,17,15
51,1,4:56.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),17,18
52,1,4:49.0,Turnover by C. Sexton (out of bounds lost ball),,17,18
53,1,4:49.0,J. Blossomgame enters the game for R. Hood,,17,18
54,1,4:49.0,,E. Turner enters the game for J. Layman,17,18
55,1,4:33.0,,A. Aminu misses 3-pt jump shot from 23 ft,17,18
56,1,4:29.0,Defensive rebound by J. Blossomgame,,17,18
57,1,4:21.0,J. Clarkson misses 2-pt layup from 2 ft,,17,18
58,1,4:19.0,,Defensive rebound by J. Nurkić,17,18
59,1,4:14.0,,Personal foul by A. Burks (drawn by D. Lillard),17,18
60,1,4:14.0,M. Dellavedova enters the game for C. Sexton,,17,18
61,1,4:08.0,,C. McCollum misses 2-pt jump shot from 10 ft,17,18
62,1,4:05.0,Defensive rebound by J. Blossomgame,,17,18
63,1,3:50.0,T. Thompson misses 2-pt hook shot from 3 ft (block by J. Nurkić),,17,18
64,1,3:48.0,,Defensive rebound by D. Lillard,17,18
