,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
379,3,1:12.0,,J. Embiid makes free throw 1 of 2,80,95
380,3,1:12.0,,J. Embiid makes free throw 2 of 2,80,96
381,3,1:00.0,K. Walker misses 2-pt layup from 2 ft (block by J. Embiid),,80,96
382,3,0:59.0,Offensive rebound by M. Kidd-Gilchrist,,80,96
383,3,0:59.0,Shooting foul by J. Bolden (drawn by M. Kidd-Gilchrist),,80,96
384,3,0:59.0,M. Kidd-Gilchrist makes free throw 1 of 2,,81,96
385,3,0:59.0,M. Kidd-Gilchrist makes free throw 2 of 2,,82,96
386,3,0:47.0,,J. Bolden misses 3-pt jump shot from 28 ft,82,96
387,3,0:43.0,Defensive rebound by M. Kidd-Gilchrist,,82,96
388,3,0:34.0,Personal foul by M. Fultz (drawn by M. Kidd-Gilchrist),,82,96
389,3,0:34.0,M. Kidd-Gilchrist makes free throw 1 of 2,,83,96
390,3,0:34.0,M. Kidd-Gilchrist makes free throw 2 of 2,,84,96
391,3,0:19.0,,Offensive foul by J. Bolden (drawn by J. Lamb),84,96
392,3,0:19.0,,Turnover by J. Bolden (offensive foul),84,96
393,3,0:19.0,M. Monk enters the game for M. Kidd-Gilchrist,,84,96
394,3,0:03.0,Shooting foul by M. Fultz (drawn by M. Monk),,84,96
395,3,0:03.0,M. Monk misses free throw 1 of 2,,84,96
396,3,0:03.0,Offensive rebound by Team,,84,96
397,3,0:03.0,M. Monk makes free throw 2 of 2,,85,96
398,3,0:01.0,,Turnover by M. Fultz (bad pass; steal by D. Bacon),85,96
399,3,0:00.0,M. Monk misses 3-pt jump shot from 26 ft,,85,96
400,3,0:00.0,Offensive rebound by Team,,85,96
401,4,11:42.0,,J. Embiid makes 2-pt jump shot from 14 ft,85,98
402,4,11:29.0,Shooting foul by J. Bolden (drawn by K. Walker),,85,98
403,4,11:29.0,K. Walker makes free throw 1 of 2,,86,98
404,4,11:29.0,K. Walker makes free throw 2 of 2,,87,98
405,4,11:05.0,,J. Embiid misses 2-pt jump shot from 21 ft,87,98
406,4,11:02.0,Defensive rebound by M. Bridges,,87,98
407,4,10:56.0,K. Walker misses 3-pt jump shot from 25 ft,,87,98
408,4,10:52.0,Offensive rebound by M. Kidd-Gilchrist,,87,98
409,4,10:50.0,J. Lamb makes 2-pt dunk from 1 ft (assist by M. Kidd-Gilchrist),,89,98
410,4,10:34.0,,L. Shamet misses 3-pt jump shot from 26 ft,89,98
411,4,10:32.0,Defensive rebound by M. Kidd-Gilchrist,,89,98
412,4,10:22.0,Personal foul by L. Shamet (drawn by C. Zeller),,89,98
413,4,10:22.0,,D. Šarić enters the game for J. Bolden,89,98
414,4,10:08.0,Turnover by Team (shot clock),,89,98
415,4,10:02.0,,J. Redick misses 3-pt jump shot from 27 ft,89,98
416,4,9:58.0,Defensive rebound by K. Walker,,89,98
417,4,9:58.0,Personal foul by J. Embiid (drawn by C. Zeller),,89,98
418,4,9:47.0,Personal foul by J. Embiid (drawn by K. Walker),,89,98
419,4,9:35.0,K. Walker misses 3-pt jump shot from 27 ft,,89,98
420,4,9:34.0,,Defensive rebound by J. Embiid,89,98
421,4,9:34.0,,Personal foul by M. Kidd-Gilchrist (drawn by J. Embiid),89,98
422,4,9:23.0,,D. Šarić makes 2-pt jump shot from 19 ft (assist by J. Redick),89,100
423,4,9:07.0,Personal foul by D. Šarić (drawn by J. Lamb),,89,100
424,4,9:07.0,J. Lamb makes free throw 1 of 2,,90,100
425,4,9:07.0,,A. Johnson enters the game for J. Embiid,90,100
426,4,9:07.0,,B. Simmons enters the game for M. Fultz,90,100
427,4,9:07.0,J. Lamb makes free throw 2 of 2,,91,100
428,4,8:57.0,,Turnover by J. Redick (offensive foul),91,100
429,4,8:57.0,,Offensive foul by J. Redick (drawn by K. Walker),91,100
430,4,8:47.0,K. Walker makes 3-pt jump shot from 27 ft,,94,100
431,4,8:45.0,,Philadelphia full timeout,94,100
432,4,8:45.0,D. Bacon enters the game for M. Kidd-Gilchrist,,94,100
433,4,8:34.0,,D. Šarić misses 2-pt layup from 2 ft,94,100
434,4,8:32.0,Defensive rebound by K. Walker,,94,100
435,4,8:27.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),,96,100
436,4,8:02.0,,L. Shamet misses 3-pt jump shot from 25 ft,96,100
437,4,7:59.0,,Offensive rebound by D. Šarić,96,100
438,4,7:59.0,,Shooting foul by J. Lamb (drawn by D. Šarić),96,100
439,4,7:59.0,,D. Šarić makes free throw 1 of 2,96,101
440,4,7:59.0,M. Monk enters the game for J. Lamb,,96,101
441,4,7:59.0,,R. Covington enters the game for J. Redick,96,101
442,4,7:59.0,,D. Šarić makes free throw 2 of 2,96,102
443,4,7:47.0,K. Walker makes 2-pt jump shot from 21 ft,,98,102
444,4,7:37.0,,Personal foul by D. Bacon (drawn by A. Johnson),98,102
445,4,7:22.0,,A. Johnson makes 2-pt layup from 2 ft,98,104
446,4,7:13.0,Shooting foul by R. Covington (drawn by K. Walker),,98,104
447,4,7:13.0,K. Walker makes free throw 1 of 3,,99,104
448,4,7:13.0,K. Walker makes free throw 2 of 3,,100,104
449,4,7:13.0,K. Walker makes free throw 3 of 3,,101,104
450,4,7:02.0,,Offensive foul by B. Simmons (drawn by K. Walker),101,104
451,4,7:02.0,,Turnover by B. Simmons (offensive foul),101,104
452,4,6:53.0,K. Walker makes 2-pt jump shot from 21 ft,,103,104
453,4,6:43.0,,Personal foul by D. Bacon (drawn by B. Simmons),103,104
454,4,6:41.0,,Turnover by D. Šarić (bad pass; steal by C. Zeller),103,104
455,4,6:35.0,D. Bacon makes 2-pt jump shot from 17 ft,,105,104
456,4,6:19.0,,B. Simmons misses 2-pt layup from 2 ft,105,104
457,4,6:14.0,,Offensive rebound by B. Simmons,105,104
458,4,6:14.0,,B. Simmons misses 2-pt layup from 1 ft,105,104
459,4,6:13.0,Defensive rebound by K. Walker,,105,104
460,4,6:11.0,M. Monk misses 2-pt layup from 5 ft (block by R. Covington),,105,104
461,4,6:11.0,,Defensive rebound by Team,105,104
462,4,6:11.0,,J. Embiid enters the game for A. Johnson,105,104
463,4,6:01.0,,Personal foul by C. Zeller (drawn by J. Embiid),105,104
464,4,6:01.0,,J. Embiid misses free throw 1 of 2,105,104
465,4,6:01.0,,Offensive rebound by Team,105,104
466,4,6:01.0,,J. Redick enters the game for L. Shamet,105,104
467,4,6:01.0,,J. Embiid makes free throw 2 of 2,105,105
468,4,5:48.0,K. Walker makes 2-pt layup at rim,,107,105
469,4,5:39.0,,Shooting foul by C. Zeller (drawn by J. Embiid),107,105
470,4,5:39.0,,J. Embiid makes free throw 1 of 2,107,106
471,4,5:39.0,,J. Embiid makes free throw 2 of 2,107,107
472,4,5:23.0,M. Monk misses 2-pt jump shot from 16 ft,,107,107
473,4,5:22.0,Offensive rebound by Team,,107,107
474,4,5:22.0,,Loose ball foul by B. Simmons (drawn by C. Zeller),107,107
475,4,5:22.0,C. Zeller misses free throw 1 of 2,,107,107
476,4,5:22.0,Offensive rebound by Team,,107,107
477,4,5:22.0,C. Zeller makes free throw 2 of 2,,108,107
478,4,5:11.0,,B. Simmons misses 2-pt layup from 2 ft (block by M. Bridges),108,107
479,4,5:07.0,Defensive rebound by K. Walker,,108,107
480,4,5:06.0,M. Monk misses 2-pt layup from 4 ft (block by R. Covington),,108,107
481,4,5:06.0,,Defensive rebound by Team,108,107
482,4,4:55.0,,J. Redick misses 3-pt jump shot from 28 ft,108,107
483,4,4:54.0,,Offensive rebound by Team,108,107
484,4,4:54.0,Loose ball foul by M. Bridges (drawn by B. Simmons),,108,107
485,4,4:54.0,Charlotte full timeout,,108,107
486,4,4:54.0,M. Kidd-Gilchrist enters the game for M. Bridges,,108,107
487,4,4:54.0,,B. Simmons makes free throw 1 of 2,108,108
488,4,4:54.0,,B. Simmons misses free throw 2 of 2,108,108
489,4,4:47.0,Defensive rebound by Team,,108,108
490,4,4:47.0,,Loose ball foul by D. Šarić (drawn by C. Zeller),108,108
491,4,4:47.0,C. Zeller makes free throw 1 of 2,,109,108
492,4,4:47.0,C. Zeller makes free throw 2 of 2,,110,108
493,4,4:32.0,,J. Embiid misses 2-pt jump shot from 14 ft,110,108
494,4,4:29.0,Defensive rebound by M. Kidd-Gilchrist,,110,108
495,4,4:11.0,K. Walker misses 3-pt jump shot from 26 ft,,110,108
496,4,4:07.0,,Defensive rebound by B. Simmons,110,108
497,4,3:53.0,,R. Covington misses 3-pt jump shot from 28 ft,110,108
498,4,3:50.0,Defensive rebound by C. Zeller,,110,108
499,4,3:35.0,M. Monk misses 3-pt jump shot from 24 ft,,110,108
500,4,3:31.0,,Defensive rebound by J. Embiid,110,108
501,4,3:29.0,,Philadelphia full timeout,110,108
502,4,3:14.0,,Turnover by J. Embiid (traveling),110,108
503,4,2:57.0,C. Zeller makes 2-pt dunk from 1 ft (assist by D. Bacon),,112,108
504,4,2:46.0,,Personal foul by D. Bacon (drawn by J. Embiid),112,108
505,4,2:46.0,,J. Embiid makes free throw 1 of 2,112,109
506,4,2:46.0,,J. Embiid makes free throw 2 of 2,112,110
507,4,2:25.0,M. Kidd-Gilchrist misses 2-pt jump shot from 11 ft,,112,110
508,4,2:23.0,Offensive rebound by M. Kidd-Gilchrist,,112,110
509,4,2:10.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),,114,110
510,4,1:51.0,,Shooting foul by C. Zeller (drawn by J. Embiid),114,110
511,4,1:51.0,,J. Embiid makes free throw 1 of 2,114,111
512,4,1:51.0,,J. Embiid makes free throw 2 of 2,114,112
513,4,1:30.0,D. Bacon misses 3-pt jump shot from 25 ft,,114,112
514,4,1:27.0,Offensive rebound by D. Bacon,,114,112
515,4,1:18.0,K. Walker makes 3-pt jump shot from 27 ft,,117,112
516,4,1:17.0,,Philadelphia full timeout,117,112
517,4,1:09.0,,Shooting foul by C. Zeller (drawn by J. Embiid),117,112
518,4,1:09.0,,J. Embiid makes free throw 1 of 2,117,113
519,4,1:09.0,,J. Embiid makes free throw 2 of 2,117,114
520,4,0:42.0,Turnover by Team (shot clock),,117,114
521,4,0:34.0,,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),117,117
522,4,0:33.0,Charlotte full timeout,,117,117
523,4,0:33.0,M. Williams enters the game for M. Kidd-Gilchrist,,117,117
524,4,0:26.0,K. Walker makes 2-pt layup from 1 ft,,119,117
525,4,0:26.0,,Personal foul by C. Zeller (drawn by J. Embiid),119,117
526,4,0:26.0,,Philadelphia full timeout,119,117
527,4,0:26.0,M. Bridges enters the game for M. Monk,,119,117
528,4,0:26.0,W. Hernangómez enters the game for M. Williams,,119,117
529,4,0:26.0,M. Kidd-Gilchrist enters the game for C. Zeller,,119,117
530,4,0:26.0,,T. McConnell enters the game for D. Šarić,119,117
531,4,0:26.0,,J. Embiid makes free throw 1 of 2,119,118
532,4,0:26.0,,J. Embiid makes free throw 2 of 2,119,119
533,4,0:26.0,Charlotte full timeout,,119,119
534,4,0:01.0,K. Walker misses 2-pt jump shot from 13 ft,,119,119
535,4,0:01.0,Offensive rebound by Team,,119,119
536,4,0:01.0,Turnover by Team (shot clock),,119,119
537,4,0:01.0,M. Monk enters the game for M. Bridges,,119,119
538,4,0:01.0,M. Williams enters the game for M. Kidd-Gilchrist,,119,119
539,4,0:01.0,,D. Šarić enters the game for T. McConnell,119,119
540,4,0:01.0,,J. Redick misses 3-pt jump shot from 34 ft,119,119
541,4,0:01.0,,Offensive rebound by Team,119,119
542,1OT,4:57.0,,Personal foul by W. Hernangómez (drawn by J. Embiid),119,119
543,1OT,4:55.0,,J. Redick makes 2-pt layup from 4 ft (assist by R. Covington),119,121
544,1OT,4:38.0,M. Monk makes 2-pt jump shot from 20 ft (assist by K. Walker),,121,121
545,1OT,4:23.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by D. Šarić),121,123
546,1OT,4:01.0,K. Walker makes 2-pt layup from 2 ft,,123,123
547,1OT,3:47.0,,B. Simmons makes 2-pt layup from 2 ft,123,125
548,1OT,3:28.0,K. Walker misses 3-pt jump shot from 29 ft,,123,125
549,1OT,3:26.0,,Defensive rebound by B. Simmons,123,125
550,1OT,3:25.0,,Personal foul by D. Bacon (drawn by R. Covington),123,125
551,1OT,3:08.0,,J. Embiid misses 2-pt jump shot from 7 ft,123,125
552,1OT,3:08.0,,Offensive rebound by R. Covington,123,125
553,1OT,3:08.0,,Personal foul by D. Bacon (drawn by R. Covington),123,125
554,1OT,3:08.0,M. Bridges enters the game for D. Bacon,,123,125
555,1OT,2:59.0,,Turnover by D. Šarić (lost ball; steal by K. Walker),123,125
556,1OT,2:44.0,Shooting foul by J. Embiid (drawn by K. Walker),,123,125
557,1OT,2:44.0,K. Walker makes free throw 1 of 2,,124,125
558,1OT,2:44.0,K. Walker misses free throw 2 of 2,,124,125
559,1OT,2:41.0,,Defensive rebound by B. Simmons,124,125
560,1OT,2:22.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by D. Šarić),124,127
561,1OT,1:58.0,M. Kidd-Gilchrist misses 2-pt layup from 7 ft,,124,127
562,1OT,1:55.0,,Defensive rebound by J. Embiid,124,127
563,1OT,1:37.0,,D. Šarić misses 3-pt jump shot from 26 ft,124,127
564,1OT,1:35.0,Defensive rebound by K. Walker,,124,127
565,1OT,1:33.0,M. Monk makes 2-pt layup from 1 ft (assist by K. Walker),,126,127
566,1OT,1:33.0,Shooting foul by D. Šarić (drawn by M. Monk),,126,127
567,1OT,1:33.0,B. Biyombo enters the game for W. Hernangómez,,126,127
568,1OT,1:33.0,M. Monk makes free throw 1 of 1,,127,127
569,1OT,1:25.0,,Personal foul by B. Biyombo (drawn by J. Embiid),127,127
570,1OT,1:25.0,,J. Embiid makes free throw 1 of 2,127,128
571,1OT,1:25.0,Charlotte full timeout,,127,128
572,1OT,1:25.0,W. Hernangómez enters the game for B. Biyombo,,127,128
573,1OT,1:25.0,,J. Embiid makes free throw 2 of 2,127,129
574,1OT,1:07.0,M. Monk misses 3-pt jump shot from 28 ft,,127,129
575,1OT,1:03.0,,Defensive rebound by D. Šarić,127,129
576,1OT,0:44.0,,B. Simmons makes 2-pt layup from 2 ft,127,131
577,1OT,0:36.0,K. Walker misses 2-pt layup from 3 ft,,127,131
578,1OT,0:35.0,Offensive rebound by W. Hernangómez,,127,131
579,1OT,0:35.0,W. Hernangómez misses 2-pt layup at rim,,127,131
580,1OT,0:35.0,Offensive rebound by M. Bridges,,127,131
581,1OT,0:35.0,M. Bridges makes 2-pt layup at rim,,129,131
582,1OT,0:29.0,,Philadelphia full timeout,129,131
583,1OT,0:29.0,B. Biyombo enters the game for W. Hernangómez,,129,131
584,1OT,0:29.0,,Philadelphia full timeout,129,131
585,1OT,0:20.0,,Shooting foul by B. Biyombo (drawn by B. Simmons),129,131
586,1OT,0:20.0,,B. Simmons makes free throw 1 of 2,129,132
587,1OT,0:20.0,,T. McConnell enters the game for D. Šarić,129,132
588,1OT,0:20.0,,B. Simmons misses free throw 2 of 2,129,132
589,1OT,0:20.0,Defensive rebound by M. Kidd-Gilchrist,,129,132
590,1OT,0:20.0,Charlotte full timeout,,129,132
591,1OT,0:20.0,W. Hernangómez enters the game for B. Biyombo,,129,132
592,1OT,0:17.0,K. Walker misses 3-pt jump shot from 23 ft (block by B. Simmons),,129,132
593,1OT,0:12.0,Offensive rebound by M. Monk,,129,132
594,1OT,0:10.0,M. Bridges misses 3-pt jump shot from 29 ft,,129,132
595,1OT,0:08.0,,Defensive rebound by J. Embiid,129,132
596,1OT,0:06.0,,Personal foul by M. Kidd-Gilchrist (drawn by J. Embiid),129,132
597,1OT,0:06.0,,J. Embiid misses free throw 1 of 2,129,132
598,1OT,0:06.0,,Offensive rebound by Team,129,132
599,1OT,0:06.0,,J. Embiid makes free throw 2 of 2,129,133
600,1OT,0:01.0,W. Hernangómez makes 3-pt jump shot from 27 ft (assist by K. Walker),,132,133
