,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SAN ANTONIO_ACTION,PHILADELPHIA_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),,2,0
1,1,11:25.0,,B. Forbes misses 2-pt jump shot from 18 ft,2,0
2,1,11:22.0,Defensive rebound by B. Simmons,,2,0
3,1,11:10.0,J. Butler misses 3-pt jump shot from 25 ft,,2,0
4,1,11:07.0,,Defensive rebound by R. Gay,2,0
5,1,10:56.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),2,2
6,1,10:48.0,Personal foul by B. Forbes (drawn by J. Redick),,2,2
7,1,10:44.0,Personal foul by L. Aldridge (drawn by J. Redick),,2,2
8,1,10:36.0,J. Embiid misses 3-pt jump shot from 26 ft,,2,2
9,1,10:33.0,,Defensive rebound by R. Gay,2,2
10,1,10:27.0,,R. Gay misses 2-pt jump shot from 17 ft,2,2
11,1,10:23.0,Defensive rebound by B. Simmons,,2,2
12,1,10:18.0,J. Embiid makes 2-pt jump shot from 18 ft (assist by B. Simmons),,4,2
13,1,10:06.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),4,4
14,1,9:50.0,B. Simmons misses 2-pt layup from 4 ft (block by L. Aldridge),,4,4
15,1,9:50.0,Offensive rebound by J. Embiid,,4,4
16,1,9:43.0,J. Embiid makes 2-pt layup at rim,,6,4
17,1,9:37.0,,B. Forbes makes 2-pt jump shot from 21 ft,6,6
18,1,9:25.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,9,6
19,1,9:13.0,,D. DeRozan misses 2-pt jump shot from 18 ft,9,6
20,1,9:13.0,Defensive rebound by J. Embiid,,9,6
21,1,8:52.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by B. Simmons),,12,6
22,1,8:26.0,,Turnover by D. Cunningham (bad pass; steal by J. Redick),12,6
23,1,8:16.0,Turnover by B. Simmons (bad pass; steal by D. Cunningham),,12,6
24,1,8:10.0,,B. Forbes misses 3-pt jump shot from 25 ft,12,6
25,1,8:07.0,Defensive rebound by J. Redick,,12,6
26,1,7:48.0,J. Redick makes 2-pt jump shot from 20 ft (assist by W. Chandler),,14,6
27,1,7:48.0,,San Antonio full timeout,14,6
28,1,7:38.0,,D. DeRozan makes 2-pt layup from 1 ft,14,8
29,1,7:25.0,J. Embiid makes 2-pt jump shot from 10 ft (assist by W. Chandler),,16,8
30,1,7:25.0,Shooting foul by L. Aldridge (drawn by J. Embiid),,16,8
31,1,7:25.0,T. McConnell enters the game for W. Chandler,,16,8
32,1,7:25.0,L. Shamet enters the game for J. Redick,,16,8
33,1,7:25.0,,J. Poeltl enters the game for L. Aldridge,16,8
34,1,7:25.0,J. Embiid makes free throw 1 of 1,,17,8
35,1,7:08.0,,B. Forbes misses 2-pt jump shot from 11 ft,17,8
36,1,7:05.0,Defensive rebound by J. Embiid,,17,8
37,1,6:48.0,L. Shamet misses 2-pt jump shot from 13 ft,,17,8
38,1,6:46.0,,Defensive rebound by R. Gay,17,8
39,1,6:36.0,,R. Gay makes 2-pt dunk from 2 ft,17,10
40,1,6:23.0,J. Embiid makes 2-pt dunk at rim,,19,10
41,1,6:06.0,,D. DeRozan makes 2-pt jump shot from 11 ft,19,12
42,1,6:06.0,,Shooting foul by T. McConnell (drawn by D. DeRozan),19,12
43,1,6:06.0,M. Muscala enters the game for J. Embiid,,19,12
44,1,6:06.0,,D. DeRozan makes free throw 1 of 1,19,13
45,1,5:55.0,M. Muscala misses 2-pt layup from 4 ft (block by D. Cunningham),,19,13
46,1,5:54.0,Offensive rebound by Team,,19,13
47,1,5:54.0,,P. Mills enters the game for B. Forbes,19,13
48,1,5:50.0,J. Butler misses 2-pt jump shot from 13 ft,,19,13
49,1,5:46.0,,Defensive rebound by D. Cunningham,19,13
50,1,5:36.0,,D. Cunningham misses 2-pt jump shot from 6 ft,19,13
51,1,5:33.0,Defensive rebound by B. Simmons,,19,13
52,1,5:28.0,B. Simmons makes 2-pt hook shot from 7 ft,,21,13
53,1,5:17.0,,Personal foul by T. McConnell (drawn by P. Mills),21,13
54,1,5:17.0,F. Korkmaz enters the game for J. Butler,,21,13
55,1,5:17.0,,D. Bertāns enters the game for D. Cunningham,21,13
56,1,5:13.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by P. Mills),21,15
57,1,4:49.0,B. Simmons makes 2-pt jump shot from 5 ft (assist by F. Korkmaz),,23,15
58,1,4:35.0,,D. DeRozan misses 2-pt layup from 5 ft (block by M. Muscala),23,15
59,1,4:35.0,,Offensive rebound by D. DeRozan,23,15
60,1,4:29.0,,D. DeRozan makes 2-pt layup from 1 ft,23,17
61,1,4:15.0,B. Simmons makes 2-pt jump shot from 3 ft (assist by T. McConnell),,25,17
62,1,3:57.0,,D. DeRozan makes 2-pt jump shot from 12 ft,25,19
63,1,3:40.0,T. McConnell misses 2-pt jump shot from 16 ft,,25,19
64,1,3:32.0,,Defensive rebound by P. Mills,25,19
65,1,3:32.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by P. Mills),25,22
66,1,3:32.0,Philadelphia full timeout,,25,22
67,1,3:32.0,J. Embiid enters the game for L. Shamet,,25,22
68,1,3:32.0,J. Redick enters the game for B. Simmons,,25,22
69,1,3:32.0,,M. Belinelli enters the game for R. Gay,25,22
70,1,3:11.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Redick),,28,22
71,1,2:49.0,,J. Poeltl makes 2-pt dunk from 2 ft (assist by D. Bertāns),28,24
72,1,2:36.0,M. Muscala makes 2-pt layup at rim (assist by J. Embiid),,30,24
73,1,2:27.0,,P. Mills misses 3-pt jump shot from 27 ft,30,24
74,1,2:27.0,Defensive rebound by T. McConnell,,30,24
75,1,2:07.0,J. Redick misses 2-pt jump shot from 22 ft,,30,24
76,1,2:04.0,Offensive rebound by M. Muscala,,30,24
77,1,2:00.0,J. Embiid misses 2-pt jump shot from 15 ft,,30,24
78,1,1:57.0,,Defensive rebound by D. Bertāns,30,24
79,1,1:52.0,,D. DeRozan misses 2-pt jump shot from 6 ft,30,24
80,1,1:48.0,Defensive rebound by F. Korkmaz,,30,24
81,1,1:39.0,J. Redick makes 2-pt jump shot from 14 ft,,32,24
82,1,1:19.0,,D. DeRozan makes 2-pt layup from 7 ft (assist by D. Bertāns),32,26
83,1,1:19.0,,Shooting foul by F. Korkmaz (drawn by D. DeRozan),32,26
84,1,1:19.0,,D. DeRozan makes free throw 1 of 1,32,27
85,1,1:03.0,T. McConnell misses 3-pt jump shot from 23 ft,,32,27
86,1,1:00.0,,Defensive rebound by D. DeRozan,32,27
87,1,0:52.0,,M. Belinelli misses 3-pt jump shot from 27 ft,32,27
88,1,0:48.0,Defensive rebound by J. Embiid,,32,27
89,1,0:34.0,J. Redick misses 2-pt jump shot from 21 ft,,32,27
90,1,0:31.0,,Defensive rebound by D. Bertāns,32,27
91,1,0:13.0,,Personal foul by F. Korkmaz (drawn by P. Mills),32,27
92,1,0:13.0,,P. Mills makes free throw 1 of 2,32,28
93,1,0:13.0,,B. Forbes enters the game for D. DeRozan,32,28
94,1,0:13.0,,P. Mills makes free throw 2 of 2,32,29
95,1,0:03.0,J. Embiid misses 2-pt jump shot from 17 ft,,32,29
96,1,0:03.0,,Defensive rebound by D. Bertāns,32,29
97,2,11:45.0,,Turnover by P. Mills (bad pass; steal by J. Butler),32,29
98,2,11:35.0,J. Butler misses 2-pt layup from 1 ft,,32,29
99,2,11:31.0,Offensive rebound by J. Embiid,,32,29
100,2,11:31.0,J. Embiid makes 2-pt layup at rim,,34,29
101,2,11:18.0,,D. Bertāns misses 2-pt jump shot from 6 ft,34,29
102,2,11:16.0,Defensive rebound by J. Embiid,,34,29
103,2,11:07.0,Turnover by J. Embiid (bad pass; steal by P. Mills),,34,29
104,2,10:56.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by B. Forbes),34,32
105,2,10:40.0,J. Butler makes 2-pt dunk from 4 ft (assist by W. Chandler),,36,32
106,2,10:28.0,,Shooting foul by W. Chandler (drawn by D. Bertāns),36,32
107,2,10:28.0,,D. Bertāns makes free throw 1 of 3,36,33
108,2,10:28.0,,L. Aldridge enters the game for P. Mills,36,33
109,2,10:28.0,,D. White enters the game for J. Poeltl,36,33
110,2,10:28.0,,D. Bertāns makes free throw 2 of 3,36,34
111,2,10:28.0,,D. Bertāns makes free throw 3 of 3,36,35
112,2,10:10.0,J. Embiid misses 3-pt jump shot from 24 ft,,36,35
113,2,10:06.0,Offensive rebound by T. McConnell,,36,35
114,2,10:05.0,J. Redick misses 3-pt jump shot from 26 ft,,36,35
115,2,10:02.0,,Defensive rebound by L. Aldridge,36,35
116,2,9:54.0,,D. White misses 2-pt jump shot from 7 ft,36,35
117,2,9:51.0,Defensive rebound by J. Embiid,,36,35
