,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
0,1,11:42.0,B. Portis makes 2-pt jump shot from 14 ft (assist by Z. LaVine),,2,0
1,1,11:15.0,,J. Murray misses 2-pt jump shot from 23 ft,2,0
2,1,11:11.0,Defensive rebound by L. Markkanen,,2,0
3,1,11:09.0,Personal foul by P. Millsap (drawn by Z. LaVine),,2,0
4,1,11:01.0,Z. LaVine misses 2-pt jump shot from 17 ft (block by T. Craig),,2,0
5,1,10:57.0,,Defensive rebound by T. Craig,2,0
6,1,10:45.0,,N. Jokić misses 2-pt hook shot from 4 ft,2,0
7,1,10:42.0,Defensive rebound by L. Markkanen,,2,0
8,1,10:40.0,Turnover by L. Markkanen (lost ball; steal by P. Millsap),,2,0
9,1,10:37.0,,T. Craig makes 3-pt jump shot from 26 ft (assist by P. Millsap),2,3
10,1,10:16.0,L. Markkanen misses 3-pt jump shot from 27 ft,,2,3
11,1,10:12.0,Offensive rebound by C. Hutchison,,2,3
12,1,10:05.0,Turnover by K. Dunn (bad pass; steal by N. Jokić),,2,3
13,1,10:01.0,,N. Jokić makes 2-pt layup from 1 ft,2,5
14,1,9:44.0,Z. LaVine misses 3-pt jump shot from 26 ft,,2,5
15,1,9:42.0,,Defensive rebound by P. Millsap,2,5
16,1,9:35.0,,Shooting foul by K. Dunn (drawn by P. Millsap),2,5
17,1,9:35.0,,P. Millsap misses free throw 1 of 2,2,5
18,1,9:35.0,,Offensive rebound by Team,2,5
19,1,9:35.0,,P. Millsap misses free throw 2 of 2,2,5
20,1,9:32.0,Defensive rebound by C. Hutchison,,2,5
21,1,9:17.0,C. Hutchison makes 2-pt layup from 3 ft (assist by K. Dunn),,4,5
22,1,9:04.0,,J. Murray misses 3-pt jump shot from 26 ft,4,5
23,1,9:01.0,Defensive rebound by C. Hutchison,,4,5
24,1,8:55.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,7,5
25,1,8:39.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by N. Jokić),7,8
26,1,8:17.0,L. Markkanen makes 2-pt layup from 6 ft,,9,8
27,1,8:10.0,,Personal foul by L. Markkanen (drawn by N. Jokić),9,8
