,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,K. Faried misses 2-pt jump shot from 9 ft,,0,0
1,1,11:37.0,,Defensive rebound by D. Cousins,0,0
2,1,11:22.0,,D. Cousins misses 2-pt layup from 2 ft,0,0
3,1,11:21.0,Defensive rebound by C. Capela,,0,0
4,1,11:14.0,P. Tucker misses 3-pt jump shot from 25 ft,,0,0
5,1,11:10.0,,Defensive rebound by D. Cousins,0,0
6,1,11:03.0,,D. Green misses 3-pt jump shot from 23 ft,0,0
7,1,11:02.0,Defensive rebound by K. Faried,,0,0
8,1,10:53.0,E. Gordon makes 3-pt jump shot from 29 ft (assist by C. Paul),,3,0
9,1,10:41.0,,Turnover by K. Durant (lost ball; steal by E. Gordon),3,0
10,1,10:36.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,5,0
11,1,10:28.0,,Turnover by D. Green (bad pass; steal by C. Paul),5,0
12,1,10:24.0,E. Gordon misses 3-pt jump shot from 27 ft,,5,0
13,1,10:21.0,,Defensive rebound by D. Green,5,0
14,1,10:06.0,,Shooting foul by K. Faried (drawn by K. Durant),5,0
15,1,10:06.0,,K. Durant misses free throw 1 of 2,5,0
16,1,10:06.0,,Offensive rebound by Team,5,0
17,1,10:06.0,,K. Durant misses free throw 2 of 2,5,0
18,1,10:04.0,Defensive rebound by C. Capela,,5,0
19,1,9:54.0,C. Paul misses 3-pt jump shot from 27 ft,,5,0
20,1,9:52.0,,Defensive rebound by D. Cousins,5,0
21,1,9:32.0,,K. Thompson misses 3-pt jump shot from 23 ft,5,0
22,1,9:30.0,Defensive rebound by C. Capela,,5,0
23,1,9:25.0,Shooting foul by D. Cousins (drawn by K. Faried),,5,0
24,1,9:25.0,K. Faried makes free throw 1 of 2,,6,0
25,1,9:25.0,K. Faried makes free throw 2 of 2,,7,0
26,1,9:24.0,,Turnover by D. Cousins (bad pass; steal by P. Tucker),7,0
27,1,9:12.0,C. Capela misses 2-pt layup from 3 ft,,7,0
28,1,9:11.0,Offensive rebound by K. Faried,,7,0
29,1,9:04.0,Personal foul by D. Green (drawn by C. Paul),,7,0
30,1,8:59.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Paul),,10,0
31,1,8:44.0,,D. Green misses 3-pt jump shot from 26 ft,10,0
32,1,8:42.0,Defensive rebound by K. Faried,,10,0
33,1,8:21.0,C. Paul makes 2-pt layup from 13 ft,,12,0
34,1,8:08.0,,D. Cousins misses 2-pt jump shot from 7 ft,12,0
35,1,8:07.0,Defensive rebound by C. Capela,,12,0
36,1,7:59.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),,15,0
37,1,7:45.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by S. Curry),15,3
38,1,7:25.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by K. Faried),,18,3
39,1,7:15.0,,S. Curry makes 3-pt jump shot from 27 ft,18,6
40,1,7:03.0,C. Capela misses 2-pt hook shot from 8 ft,,18,6
41,1,7:02.0,,Defensive rebound by S. Curry,18,6
42,1,6:53.0,,Shooting foul by K. Faried (drawn by K. Durant),18,6
43,1,6:53.0,,Golden State full timeout,18,6
44,1,6:53.0,,K. Durant makes free throw 1 of 2,18,7
45,1,6:53.0,,K. Durant makes free throw 2 of 2,18,8
46,1,6:28.0,Turnover by Team (shot clock),,18,8
47,1,6:14.0,,K. Thompson misses 3-pt jump shot from 25 ft,18,8
48,1,6:11.0,Defensive rebound by P. Tucker,,18,8
49,1,6:08.0,,Violation by Team (kicked ball),18,8
50,1,6:08.0,G. Green enters the game for K. Faried,,18,8
51,1,6:08.0,A. Rivers enters the game for E. Gordon,,18,8
52,1,6:08.0,,A. Iguodala enters the game for D. Green,18,8
53,1,6:01.0,Offensive foul by C. Capela (drawn by A. Iguodala),,18,8
54,1,6:01.0,Turnover by C. Capela (offensive foul),,18,8
55,1,5:53.0,,Offensive foul by D. Cousins (drawn by P. Tucker),18,8
56,1,5:53.0,,Turnover by D. Cousins (offensive foul),18,8
57,1,5:40.0,C. Capela makes 2-pt hook shot from 7 ft (assist by C. Paul),,20,8
58,1,5:29.0,,S. Curry misses 3-pt jump shot from 27 ft,20,8
59,1,5:27.0,Defensive rebound by C. Paul,,20,8
60,1,5:18.0,Shooting foul by S. Curry (drawn by P. Tucker),,20,8
61,1,5:18.0,,K. Looney enters the game for D. Cousins,20,8
62,1,5:18.0,P. Tucker makes free throw 1 of 2,,21,8
63,1,5:18.0,P. Tucker makes free throw 2 of 2,,22,8
64,1,4:58.0,,S. Curry misses 2-pt jump shot from 10 ft,22,8
65,1,4:57.0,Defensive rebound by C. Capela,,22,8
66,1,4:49.0,G. Green makes 2-pt layup from 3 ft (assist by C. Paul),,24,8
67,1,4:43.0,,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),24,10
68,1,4:40.0,Turnover by G. Green (bad pass; steal by K. Thompson),,24,10
69,1,4:38.0,,K. Thompson makes 2-pt layup from 3 ft,24,12
70,1,4:38.0,,Shooting foul by G. Green (drawn by K. Thompson),24,12
71,1,4:38.0,,K. Thompson makes free throw 1 of 1,24,13
72,1,4:23.0,G. Green misses 3-pt jump shot from 27 ft,,24,13
73,1,4:21.0,,Defensive rebound by S. Curry,24,13
74,1,4:09.0,,A. Iguodala misses 2-pt jump shot from 10 ft,24,13
75,1,4:08.0,Defensive rebound by C. Capela,,24,13
76,1,3:55.0,P. Tucker makes 2-pt layup from 5 ft (assist by C. Paul),,26,13
77,1,3:48.0,,K. Durant misses 2-pt jump shot from 13 ft,26,13
78,1,3:44.0,Defensive rebound by C. Capela,,26,13
79,1,3:40.0,C. Paul misses 3-pt jump shot from 26 ft,,26,13
80,1,3:38.0,,Defensive rebound by S. Curry,26,13
81,1,3:36.0,,Turnover by S. Curry (bad pass; steal by C. Capela),26,13
82,1,3:30.0,C. Paul misses 2-pt jump shot from 13 ft,,26,13
83,1,3:29.0,,Defensive rebound by K. Looney,26,13
84,1,3:21.0,,Personal foul by C. Paul (drawn by S. Curry),26,13
85,1,3:21.0,N. Hilário enters the game for C. Capela,,26,13
86,1,3:21.0,,J. Jerebko enters the game for K. Thompson,26,13
87,1,3:21.0,Houston full timeout,,26,13
88,1,3:21.0,E. Gordon enters the game for C. Paul,,26,13
89,1,3:13.0,,S. Curry misses 3-pt jump shot from 27 ft,26,13
90,1,3:12.0,,Offensive rebound by K. Durant,26,13
91,1,3:12.0,,K. Durant misses 2-pt dunk from 3 ft (block by N. Hilário),26,13
92,1,3:11.0,Defensive rebound by P. Tucker,,26,13
93,1,3:05.0,Shooting foul by S. Curry (drawn by A. Rivers),,26,13
94,1,3:05.0,A. Rivers makes free throw 1 of 2,,27,13
95,1,3:05.0,,Q. Cook enters the game for S. Curry,27,13
96,1,3:05.0,A. Rivers makes free throw 2 of 2,,28,13
97,1,2:48.0,,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),28,15
98,1,2:35.0,G. Green makes 3-pt jump shot from 28 ft (assist by E. Gordon),,31,15
99,1,2:17.0,,K. Durant misses 2-pt jump shot from 11 ft,31,15
100,1,2:16.0,Defensive rebound by G. Green,,31,15
101,1,2:03.0,E. Gordon misses 2-pt jump shot from 8 ft (block by A. Iguodala),,31,15
102,1,2:02.0,,Defensive rebound by J. Jerebko,31,15
103,1,1:52.0,,K. Durant makes 2-pt layup from 2 ft,31,17
104,1,1:34.0,A. Rivers misses 3-pt jump shot from 25 ft,,31,17
105,1,1:32.0,,Defensive rebound by J. Jerebko,31,17
106,1,1:12.0,,A. Iguodala misses 3-pt jump shot from 23 ft,31,17
