,QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:44.0,,N. Jokić misses 2-pt layup from 3 ft,0,0
2,1,11:42.0,Defensive rebound by L. Dončić,,0,0
3,1,11:30.0,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,2,0
4,1,11:30.0,Shooting foul by P. Millsap (drawn by D. Powell),,2,0
5,1,11:30.0,D. Powell makes free throw 1 of 1,,3,0
6,1,11:11.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by W. Barton),3,2
7,1,10:58.0,L. Dončić makes 2-pt jump shot from 4 ft,,5,2
8,1,10:47.0,,W. Barton misses 2-pt jump shot from 17 ft,5,2
9,1,10:44.0,Defensive rebound by L. Dončić,,5,2
10,1,10:24.0,D. Powell makes 3-pt jump shot from 23 ft (assist by L. Dončić),,8,2
11,1,10:10.0,,P. Millsap misses 3-pt jump shot from 25 ft,8,2
12,1,10:07.0,Defensive rebound by D. Powell,,8,2
13,1,10:02.0,L. Dončić misses 3-pt jump shot from 27 ft,,8,2
14,1,9:58.0,,Defensive rebound by P. Millsap,8,2
15,1,9:49.0,,P. Millsap makes 2-pt jump shot from 7 ft (assist by N. Jokić),8,4
16,1,9:29.0,D. Powell misses 2-pt layup from 2 ft,,8,4
17,1,9:27.0,,Defensive rebound by N. Jokić,8,4
18,1,9:21.0,,P. Millsap makes 2-pt layup from 1 ft (assist by N. Jokić),8,6
19,1,8:58.0,T. Hardaway misses 2-pt jump shot from 20 ft,,8,6
20,1,8:56.0,,Defensive rebound by P. Millsap,8,6
21,1,8:38.0,,J. Murray misses 3-pt jump shot from 23 ft,8,6
22,1,8:36.0,,Offensive rebound by P. Millsap,8,6
23,1,8:31.0,,Shooting foul by D. Nowitzki (drawn by P. Millsap),8,6
24,1,8:31.0,,P. Millsap makes free throw 1 of 2,8,7
25,1,8:31.0,,P. Millsap makes free throw 2 of 2,8,8
26,1,8:19.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,8,8
27,1,8:17.0,,Defensive rebound by N. Jokić,8,8
28,1,8:08.0,,G. Harris misses 2-pt jump shot from 12 ft,8,8
29,1,8:05.0,Defensive rebound by D. Powell,,8,8
30,1,7:49.0,L. Dončić misses 3-pt jump shot from 26 ft,,8,8
31,1,7:47.0,,Defensive rebound by W. Barton,8,8
32,1,7:41.0,,W. Barton makes 2-pt layup from 1 ft (assist by J. Murray),8,10
33,1,7:18.0,D. Powell makes 2-pt dunk at rim (assist by J. Brunson),,10,10
34,1,6:57.0,,J. Murray misses 2-pt jump shot from 9 ft,10,10
35,1,6:56.0,,Offensive rebound by Team,10,10
36,1,6:56.0,Loose ball foul by J. Brunson (drawn by N. Jokić),,10,10
37,1,6:56.0,,Denver full timeout,10,10
38,1,6:48.0,,G. Harris misses 2-pt jump shot from 4 ft,10,10
39,1,6:45.0,Defensive rebound by T. Hardaway,,10,10
40,1,6:31.0,J. Brunson makes 2-pt jump shot from 11 ft,,12,10
41,1,6:09.0,,P. Millsap makes 2-pt hook shot from 3 ft (assist by N. Jokić),12,12
42,1,5:49.0,L. Dončić makes 2-pt jump shot from 9 ft,,14,12
43,1,5:30.0,,W. Barton makes 3-pt jump shot from 23 ft (assist by N. Jokić),14,15
44,1,5:03.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by L. Dončić),,17,15
45,1,4:52.0,,Personal foul by L. Dončić (drawn by N. Jokić),17,15
46,1,4:52.0,D. Finney-Smith enters the game for L. Dončić,,17,15
47,1,4:52.0,M. Kleber enters the game for D. Nowitzki,,17,15
48,1,4:52.0,,M. Morris enters the game for P. Millsap,17,15
49,1,4:52.0,,M. Plumlee enters the game for J. Murray,17,15
50,1,4:44.0,,Shooting foul by D. Finney-Smith (drawn by G. Harris),17,15
51,1,4:44.0,,G. Harris makes free throw 1 of 2,17,16
52,1,4:44.0,,G. Harris makes free throw 2 of 2,17,17
53,1,4:37.0,Personal foul by W. Barton (drawn by T. Hardaway),,17,17
54,1,4:32.0,T. Hardaway makes 2-pt jump shot from 15 ft (assist by D. Finney-Smith),,19,17
55,1,4:16.0,,M. Plumlee misses 2-pt jump shot from 5 ft (block by D. Powell),19,17
56,1,4:13.0,Defensive rebound by M. Kleber,,19,17
57,1,3:54.0,J. Brunson misses 3-pt jump shot from 25 ft,,19,17
58,1,3:51.0,,Defensive rebound by N. Jokić,19,17
59,1,3:38.0,,Turnover by M. Plumlee (lost ball; steal by M. Kleber),19,17
60,1,3:30.0,T. Hardaway makes 2-pt jump shot from 13 ft,,21,17
61,1,3:28.0,,Denver full timeout,21,17
62,1,3:28.0,S. Mejri enters the game for D. Powell,,21,17
63,1,3:28.0,,M. Beasley enters the game for G. Harris,21,17
64,1,3:28.0,,P. Millsap enters the game for N. Jokić,21,17
65,1,3:15.0,,Shooting foul by S. Mejri (drawn by M. Plumlee),21,17
66,1,3:15.0,,M. Plumlee makes free throw 1 of 2,21,18
67,1,3:15.0,,M. Plumlee misses free throw 2 of 2,21,18
68,1,3:13.0,Defensive rebound by S. Mejri,,21,18
69,1,2:57.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Brunson),,24,18
70,1,2:32.0,,P. Millsap makes 2-pt jump shot from 8 ft (assist by M. Morris),24,20
71,1,2:13.0,J. Brunson makes 2-pt jump shot from 15 ft (assist by T. Hardaway),,26,20
72,1,1:49.0,,M. Plumlee misses 2-pt hook shot from 4 ft,26,20
73,1,1:47.0,Defensive rebound by M. Kleber,,26,20
74,1,1:38.0,D. Finney-Smith misses 3-pt jump shot from 22 ft,,26,20
75,1,1:34.0,Offensive rebound by D. Finney-Smith,,26,20
76,1,1:31.0,J. Brunson makes 3-pt jump shot from 25 ft (assist by S. Mejri),,29,20
77,1,1:07.0,,W. Barton makes 2-pt layup from 1 ft (assist by P. Millsap),29,22
78,1,0:52.0,J. Brunson misses 3-pt jump shot from 24 ft,,29,22
