,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
99,1,1:29.0,,Z. Collins misses 2-pt layup from 5 ft,23,21
100,1,1:24.0,,Offensive rebound by E. Turner,23,21
101,1,1:24.0,,E. Turner makes 2-pt layup from 1 ft,23,23
102,1,1:19.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,25,23
103,1,1:01.0,,M. Leonard makes 2-pt layup from 1 ft (assist by S. Curry),25,25
104,1,0:48.0,Shooting foul by S. Curry (drawn by J. Barea),,25,25
105,1,0:48.0,J. Barea makes free throw 1 of 2,,26,25
106,1,0:48.0,J. Barea makes free throw 2 of 2,,27,25
107,1,0:31.0,,Z. Collins misses 3-pt jump shot from 25 ft,27,25
108,1,0:29.0,Defensive rebound by D. Harris,,27,25
109,1,0:11.0,D. Harris misses 2-pt jump shot from 19 ft,,27,25
110,1,0:09.0,,Defensive rebound by Z. Collins,27,25
111,1,0:07.0,,Personal take foul by M. Kleber (drawn by S. Curry),27,25
112,1,0:07.0,,D. Lillard enters the game for Z. Collins,27,25
113,1,0:07.0,,C. McCollum enters the game for M. Leonard,27,25
114,1,0:01.0,,C. McCollum misses 2-pt jump shot from 20 ft,27,25
115,1,0:01.0,Defensive rebound by M. Kleber,,27,25
116,2,11:43.0,,S. Curry misses 3-pt jump shot from 23 ft,27,25
117,2,11:38.0,Defensive rebound by D. Finney-Smith,,27,25
118,2,11:30.0,D. Harris misses 3-pt jump shot from 26 ft,,27,25
119,2,11:25.0,,Defensive rebound by Z. Collins,27,25
120,2,11:18.0,,E. Turner misses 2-pt layup from 3 ft (block by M. Kleber),27,25
121,2,11:17.0,Defensive rebound by J. Barea,,27,25
122,2,11:17.0,Personal foul by E. Turner (drawn by J. Barea),,27,25
123,2,11:07.0,J. Barea misses 2-pt hook shot from 7 ft,,27,25
124,2,11:04.0,,Defensive rebound by M. Leonard,27,25
125,2,10:55.0,,N. Stauskas makes 2-pt layup at rim,27,27
126,2,10:46.0,Personal foul by M. Leonard (drawn by D. Powell),,27,27
127,2,10:39.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by J. Barea),,30,27
128,2,10:15.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by N. Stauskas),30,30
129,2,9:56.0,M. Kleber makes 2-pt jump shot from 8 ft (assist by J. Barea),,32,30
130,2,9:38.0,,Turnover by E. Turner (bad pass),32,30
131,2,9:17.0,Turnover by D. Finney-Smith (off goaltending),,32,30
132,2,9:05.0,,Z. Collins makes 3-pt jump shot from 23 ft (assist by N. Stauskas),32,33
133,2,8:51.0,Turnover by J. Barea (lost ball; steal by S. Curry),,32,33
134,2,8:48.0,,S. Curry makes 3-pt jump shot from 25 ft,32,36
135,2,8:47.0,Dallas full timeout,,32,36
136,2,8:33.0,Def 3 sec tech foul by Team,,32,36
137,2,8:33.0,J. Barea makes technical free throw,,33,36
138,2,8:25.0,D. Powell misses 3-pt jump shot from 25 ft,,33,36
139,2,8:22.0,,Defensive rebound by Z. Collins,33,36
140,2,8:15.0,,S. Curry misses 3-pt jump shot from 25 ft,33,36
141,2,8:14.0,Defensive rebound by M. Kleber,,33,36
142,2,8:04.0,Shooting foul by M. Leonard (drawn by D. Powell),,33,36
143,2,8:04.0,D. Powell makes free throw 1 of 2,,34,36
144,2,8:04.0,D. Powell makes free throw 2 of 2,,35,36
145,2,7:47.0,,N. Stauskas misses 3-pt jump shot from 24 ft,35,36
146,2,7:47.0,,Offensive rebound by Team,35,36
147,2,7:47.0,Loose ball foul by J. Barea (drawn by Z. Collins),,35,36
148,2,7:41.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by S. Curry),35,38
149,2,7:28.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,37,38
150,2,7:15.0,Violation by Team (kicked ball),,37,38
151,2,7:02.0,,E. Turner misses 2-pt jump shot from 21 ft,37,38
152,2,6:58.0,Defensive rebound by D. Harris,,37,38
153,2,6:54.0,D. Finney-Smith makes 2-pt dunk from 1 ft,,39,38
154,2,6:38.0,,N. Stauskas misses 3-pt jump shot from 24 ft,39,38
155,2,6:35.0,Defensive rebound by M. Kleber,,39,38
156,2,6:22.0,M. Kleber misses 3-pt jump shot from 25 ft,,39,38
157,2,6:20.0,,Defensive rebound by N. Stauskas,39,38
158,2,6:17.0,,Z. Collins makes 2-pt layup from 1 ft (assist by N. Stauskas),39,40
159,2,5:57.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),,41,40
160,2,5:44.0,,Turnover by N. Stauskas (bad pass),41,40
161,2,5:44.0,D. Jordan enters the game for D. Powell,,41,40
162,2,5:44.0,,A. Aminu enters the game for Z. Collins,41,40
163,2,5:44.0,,M. Harkless enters the game for S. Curry,41,40
164,2,5:44.0,,D. Lillard enters the game for M. Leonard,41,40
165,2,5:44.0,,C. McCollum enters the game for N. Stauskas,41,40
166,2,5:44.0,,J. Nurkić enters the game for E. Turner,41,40
167,2,5:28.0,D. Harris misses 2-pt layup from 3 ft (block by J. Nurkić),,41,40
168,2,5:28.0,Offensive rebound by Team,,41,40
169,2,5:28.0,H. Barnes enters the game for D. Finney-Smith,,41,40
170,2,5:28.0,L. Dončić enters the game for D. Harris,,41,40
171,2,5:28.0,W. Matthews enters the game for M. Kleber,,41,40
172,2,5:24.0,J. Barea misses 3-pt jump shot from 25 ft,,41,40
173,2,5:20.0,,Defensive rebound by A. Aminu,41,40
174,2,5:13.0,,D. Lillard makes 2-pt layup from 2 ft (assist by J. Nurkić),41,42
175,2,5:02.0,Shooting foul by M. Harkless (drawn by L. Dončić),,41,42
176,2,5:02.0,L. Dončić makes free throw 1 of 2,,42,42
177,2,5:02.0,J. Brunson enters the game for J. Barea,,42,42
178,2,5:02.0,L. Dončić makes free throw 2 of 2,,43,42
179,2,4:55.0,,D. Lillard misses 3-pt jump shot from 27 ft,43,42
180,2,4:51.0,Defensive rebound by L. Dončić,,43,42
181,2,4:45.0,L. Dončić makes 2-pt jump shot from 21 ft,,45,42
182,2,4:31.0,,M. Harkless makes 2-pt layup at rim (assist by J. Nurkić),45,44
183,2,4:19.0,J. Brunson misses 3-pt jump shot from 25 ft,,45,44
184,2,4:15.0,,Defensive rebound by A. Aminu,45,44
185,2,4:08.0,,A. Aminu makes 2-pt layup from 1 ft,45,46
186,2,3:45.0,H. Barnes misses 2-pt jump shot from 6 ft,,45,46
187,2,3:43.0,,Defensive rebound by C. McCollum,45,46
188,2,3:37.0,,C. McCollum makes 2-pt layup from 1 ft,45,48
189,2,3:37.0,Dallas full timeout,,45,48
190,2,3:30.0,Turnover by J. Brunson (out of bounds lost ball),,45,48
191,2,3:19.0,,M. Harkless makes 2-pt layup from 3 ft (assist by J. Nurkić),45,50
192,2,3:00.0,Turnover by W. Matthews (lost ball; steal by C. McCollum),,45,50
193,2,2:56.0,,C. McCollum makes 3-pt jump shot from 26 ft,45,53
194,2,2:40.0,H. Barnes makes 2-pt layup at rim,,47,53
195,2,2:21.0,,C. McCollum misses 3-pt jump shot from 27 ft,47,53
196,2,2:20.0,,Offensive rebound by Team,47,53
197,2,2:07.0,,C. McCollum makes 2-pt jump shot from 3 ft (assist by D. Lillard),47,55
198,2,1:47.0,L. Dončić misses 2-pt jump shot from 5 ft,,47,55
199,2,1:43.0,,Defensive rebound by M. Harkless,47,55
200,2,1:40.0,,Shooting foul by J. Brunson (drawn by A. Aminu),47,55
201,2,1:40.0,,A. Aminu misses free throw 1 of 2,47,55
202,2,1:40.0,,Offensive rebound by Team,47,55
203,2,1:40.0,,A. Aminu makes free throw 2 of 2,47,56
204,2,1:21.0,W. Matthews misses 3-pt jump shot from 25 ft,,47,56
205,2,1:18.0,,Defensive rebound by J. Nurkić,47,56
206,2,1:14.0,,Shooting foul by H. Barnes (drawn by D. Lillard),47,56
207,2,1:14.0,,D. Lillard makes free throw 1 of 2,47,57
208,2,1:14.0,,E. Turner enters the game for M. Harkless,47,57
209,2,1:14.0,,D. Lillard makes free throw 2 of 2,47,58
210,2,1:04.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),,50,58
211,2,0:51.0,,Shooting foul by J. Brunson (drawn by D. Lillard),50,58
212,2,0:51.0,,D. Lillard makes free throw 1 of 2,50,59
213,2,0:51.0,,D. Lillard makes free throw 2 of 2,50,60
214,2,0:40.0,L. Dončić misses 2-pt layup from 2 ft,,50,60
215,2,0:38.0,,Defensive rebound by J. Nurkić,50,60
216,2,0:36.0,,Turnover by J. Nurkić (offensive foul),50,60
217,2,0:36.0,,Offensive foul by J. Nurkić (drawn by W. Matthews),50,60
218,2,0:21.0,W. Matthews misses 2-pt layup from 2 ft,,50,60
219,2,0:20.0,Offensive rebound by D. Jordan,,50,60
220,2,0:20.0,D. Jordan makes 2-pt layup at rim,,52,60
221,2,0:04.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),52,62
222,2,0:00.0,L. Dončić misses 3-pt jump shot from 50 ft,,52,62
223,2,0:00.0,Offensive rebound by Team,,52,62
224,3,11:37.0,,C. McCollum misses 3-pt jump shot from 27 ft,52,62
225,3,11:29.0,Defensive rebound by J. Brunson,,52,62
226,3,11:14.0,L. Dončić misses 3-pt jump shot from 28 ft,,52,62
227,3,11:12.0,,Defensive rebound by J. Nurkić,52,62
228,3,11:02.0,,J. Nurkić makes 2-pt dunk from 2 ft (assist by C. McCollum),52,64
229,3,10:37.0,Turnover by L. Dončić (lost ball; steal by M. Harkless),,52,64
230,3,10:34.0,,M. Harkless makes 2-pt dunk from 1 ft,52,66
231,3,10:34.0,Dallas full timeout,,52,66
232,3,10:24.0,Shooting foul by C. McCollum (drawn by W. Matthews),,52,66
233,3,10:24.0,W. Matthews makes free throw 1 of 2,,53,66
234,3,10:24.0,W. Matthews makes free throw 2 of 2,,54,66
235,3,10:08.0,,M. Harkless misses 3-pt jump shot from 24 ft,54,66
236,3,10:08.0,Defensive rebound by W. Matthews,,54,66
237,3,9:59.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Matthews),,57,66
238,3,9:43.0,,C. McCollum makes 2-pt jump shot from 16 ft (assist by J. Nurkić),57,68
239,3,9:33.0,Shooting foul by J. Nurkić (drawn by D. Jordan),,57,68
240,3,9:33.0,D. Jordan misses free throw 1 of 2,,57,68
241,3,9:33.0,Offensive rebound by Team,,57,68
242,3,9:33.0,D. Jordan makes free throw 2 of 2,,58,68
243,3,9:25.0,,C. McCollum misses 3-pt jump shot from 25 ft,58,68
244,3,9:20.0,Defensive rebound by L. Dončić,,58,68
245,3,9:12.0,W. Matthews misses 2-pt jump shot from 16 ft,,58,68
246,3,9:09.0,,Defensive rebound by A. Aminu,58,68
247,3,9:01.0,,D. Lillard misses 2-pt jump shot from 17 ft,58,68
248,3,8:56.0,Defensive rebound by D. Jordan,,58,68
249,3,8:49.0,H. Barnes misses 2-pt layup from 1 ft,,58,68
250,3,8:47.0,,Defensive rebound by M. Harkless,58,68
251,3,8:33.0,,D. Lillard makes 3-pt jump shot from 26 ft,58,71
252,3,8:22.0,Personal foul by C. McCollum (drawn by W. Matthews),,58,71
253,3,8:14.0,J. Brunson makes 3-pt jump shot from 27 ft (assist by W. Matthews),,61,71
254,3,7:51.0,,C. McCollum misses 2-pt hook shot from 4 ft,61,71
255,3,7:42.0,,Offensive rebound by M. Harkless,61,71
256,3,7:40.0,,C. McCollum misses 3-pt jump shot from 26 ft,61,71
257,3,7:39.0,Defensive rebound by L. Dončić,,61,71
258,3,7:33.0,L. Dončić misses 2-pt layup from 3 ft (block by J. Nurkić),,61,71
259,3,7:31.0,,Defensive rebound by Team,61,71
260,3,7:22.0,,D. Lillard misses 3-pt jump shot from 25 ft,61,71
261,3,7:19.0,Defensive rebound by L. Dončić,,61,71
262,3,7:15.0,Offensive foul by W. Matthews (drawn by D. Lillard),,61,71
263,3,7:15.0,Turnover by W. Matthews (offensive foul),,61,71
264,3,7:04.0,,C. McCollum makes 2-pt jump shot from 21 ft,61,73
265,3,6:46.0,L. Dončić misses 2-pt layup from 1 ft,,61,73
266,3,6:45.0,,Defensive rebound by A. Aminu,61,73
267,3,6:34.0,,A. Aminu misses 2-pt jump shot from 4 ft,61,73
268,3,6:34.0,Defensive rebound by Team,,61,73
269,3,6:34.0,,Loose ball foul by J. Nurkić (drawn by D. Jordan),61,73
270,3,6:34.0,,M. Leonard enters the game for J. Nurkić,61,73
271,3,6:22.0,Turnover by D. Jordan (bad pass; steal by A. Aminu),,61,73
272,3,6:12.0,,A. Aminu misses 3-pt jump shot from 25 ft,61,73
273,3,6:08.0,Defensive rebound by J. Brunson,,61,73
274,3,6:00.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by J. Brunson),,64,73
275,3,5:37.0,,D. Lillard makes 2-pt jump shot from 14 ft,64,75
276,3,5:28.0,Personal foul by M. Harkless (drawn by L. Dončić),,64,75
277,3,5:28.0,,Technical foul by M. Harkless,64,75
278,3,5:28.0,L. Dončić makes technical free throw,,65,75
279,3,5:28.0,L. Dončić makes free throw 1 of 2,,66,75
280,3,5:28.0,,E. Turner enters the game for M. Harkless,66,75
281,3,5:28.0,L. Dončić makes free throw 2 of 2,,67,75
282,3,5:13.0,,C. McCollum misses 3-pt jump shot from 25 ft,67,75
283,3,5:10.0,Defensive rebound by J. Brunson,,67,75
284,3,5:00.0,H. Barnes makes 2-pt layup from 1 ft,,69,75
285,3,4:59.0,,Portland full timeout,69,75
286,3,4:41.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by C. McCollum),69,78
287,3,4:22.0,J. Brunson makes 2-pt jump shot from 12 ft,,71,78
288,3,4:00.0,,Shooting foul by W. Matthews (drawn by C. McCollum),71,78
289,3,4:00.0,,C. McCollum misses free throw 1 of 2,71,78
290,3,4:00.0,,Offensive rebound by Team,71,78
291,3,4:00.0,J. Barea enters the game for J. Brunson,,71,78
292,3,4:00.0,D. Powell enters the game for D. Jordan,,71,78
293,3,4:00.0,,C. McCollum makes free throw 2 of 2,71,79
294,3,3:37.0,H. Barnes misses 2-pt layup from 2 ft,,71,79
295,3,3:36.0,,Defensive rebound by M. Leonard,71,79
296,3,3:30.0,,Turnover by M. Leonard (offensive foul),71,79
297,3,3:30.0,,Offensive foul by M. Leonard (drawn by W. Matthews),71,79
298,3,3:30.0,,S. Curry enters the game for C. McCollum,71,79
299,3,3:17.0,H. Barnes makes 2-pt jump shot from 1 ft (assist by J. Barea),,73,79
300,3,3:17.0,Shooting foul by M. Leonard (drawn by H. Barnes),,73,79
301,3,3:17.0,D. Harris enters the game for W. Matthews,,73,79
302,3,3:17.0,,Z. Collins enters the game for M. Leonard,73,79
303,3,3:17.0,H. Barnes misses free throw 1 of 1,,73,79
304,3,3:14.0,Offensive rebound by H. Barnes,,73,79
305,3,3:12.0,H. Barnes misses 2-pt layup from 2 ft (block by Z. Collins),,73,79
306,3,3:12.0,,Defensive rebound by E. Turner,73,79
307,3,2:55.0,,D. Lillard makes 2-pt jump shot from 2 ft,73,81
308,3,2:55.0,,Shooting foul by D. Harris (drawn by D. Lillard),73,81
309,3,2:55.0,,D. Lillard makes free throw 1 of 1,73,82
310,3,2:39.0,Turnover by H. Barnes (offensive foul),,73,82
311,3,2:39.0,Offensive foul by H. Barnes (drawn by D. Lillard),,73,82
312,3,2:39.0,D. Finney-Smith enters the game for H. Barnes,,73,82
313,3,2:39.0,M. Kleber enters the game for L. Dončić,,73,82
314,3,2:39.0,,M. Leonard enters the game for A. Aminu,73,82
315,3,2:23.0,,D. Lillard misses 2-pt jump shot from 17 ft,73,82
316,3,2:18.0,Defensive rebound by D. Finney-Smith,,73,82
317,3,2:12.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by D. Harris),,76,82
318,3,1:53.0,,D. Lillard misses 3-pt jump shot from 32 ft,76,82
319,3,1:51.0,Defensive rebound by D. Harris,,76,82
320,3,1:39.0,D. Finney-Smith misses 2-pt layup from 5 ft (block by E. Turner),,76,82
321,3,1:36.0,,Defensive rebound by Z. Collins,76,82
322,3,1:32.0,,M. Leonard misses 3-pt jump shot from 28 ft,76,82
323,3,1:31.0,,Offensive rebound by Team,76,82
324,3,1:31.0,Loose ball foul by D. Finney-Smith (drawn by Z. Collins),,76,82
325,3,1:20.0,,Turnover by D. Lillard (bad pass),76,82
326,3,1:02.0,J. Barea misses 2-pt jump shot from 23 ft,,76,82
327,3,0:59.0,,Defensive rebound by M. Leonard,76,82
328,3,0:54.0,,Personal foul by D. Powell (drawn by D. Lillard),76,82
329,3,0:54.0,,D. Lillard makes free throw 1 of 2,76,83
330,3,0:54.0,,D. Lillard makes free throw 2 of 2,76,84
331,3,0:38.0,J. Barea makes 2-pt layup from 2 ft,,78,84
332,3,0:33.0,,D. Lillard makes 2-pt dunk from 1 ft,78,86
333,3,0:28.0,Personal foul by E. Turner (drawn by J. Barea),,78,86
334,3,0:28.0,J. Barea misses free throw 1 of 2,,78,86
335,3,0:28.0,Offensive rebound by Team,,78,86
336,3,0:28.0,J. Barea misses free throw 2 of 2,,78,86
337,3,0:26.0,,Defensive rebound by E. Turner,78,86
338,3,0:11.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),78,88
339,3,0:04.0,D. Powell makes 2-pt jump shot from 20 ft (assist by J. Barea),,80,88
340,3,0:00.0,,Z. Collins misses 2-pt jump shot from 23 ft,80,88
341,3,0:00.0,,Offensive rebound by Team,80,88
342,4,11:50.0,D. Powell misses 2-pt layup from 1 ft,,80,88
343,4,11:46.0,Offensive rebound by D. Powell,,80,88
344,4,11:45.0,D. Powell misses 2-pt layup from 2 ft,,80,88
345,4,11:41.0,Offensive rebound by D. Powell,,80,88
346,4,11:41.0,D. Powell misses 2-pt layup from 1 ft,,80,88
347,4,11:41.0,,Defensive rebound by M. Leonard,80,88
348,4,11:33.0,,M. Leonard makes 2-pt layup from 2 ft (assist by S. Curry),80,90
349,4,11:22.0,D. Powell misses 3-pt jump shot from 25 ft,,80,90
350,4,11:22.0,,Defensive rebound by Team,80,90
351,4,11:22.0,Loose ball foul by M. Kleber (drawn by Z. Collins),,80,90
352,4,11:08.0,,Personal foul by D. Harris (drawn by E. Turner),80,90
353,4,11:00.0,,M. Leonard misses 3-pt jump shot from 25 ft,80,90
354,4,10:56.0,Defensive rebound by D. Harris,,80,90
355,4,10:49.0,J. Barea makes 2-pt jump shot from 19 ft,,82,90
356,4,10:26.0,,S. Curry misses 3-pt jump shot from 25 ft,82,90
357,4,10:25.0,Defensive rebound by Team,,82,90
358,4,10:13.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,84,90
359,4,10:00.0,,Personal foul by D. Harris (drawn by M. Leonard),84,90
360,4,9:53.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),84,93
361,4,9:38.0,Shooting foul by E. Turner (drawn by J. Barea),,84,93
362,4,9:38.0,J. Barea makes free throw 1 of 2,,85,93
363,4,9:38.0,J. Barea makes free throw 2 of 2,,86,93
364,4,9:17.0,,M. Leonard misses 2-pt jump shot from 10 ft,86,93
365,4,9:14.0,Defensive rebound by M. Kleber,,86,93
366,4,9:02.0,J. Barea misses 2-pt jump shot from 18 ft,,86,93
367,4,8:59.0,,Defensive rebound by Z. Collins,86,93
368,4,8:53.0,,Personal foul by D. Powell (drawn by E. Turner),86,93
369,4,8:45.0,,E. Turner misses 2-pt jump shot from 4 ft,86,93
370,4,8:44.0,Defensive rebound by M. Kleber,,86,93
371,4,8:31.0,M. Kleber misses 2-pt layup from 1 ft (block by E. Turner),,86,93
372,4,8:31.0,Offensive rebound by Team,,86,93
373,4,8:25.0,D. Harris makes 2-pt layup from 1 ft,,88,93
374,4,8:25.0,,Portland full timeout,88,93
375,4,8:12.0,,E. Turner misses 2-pt jump shot from 4 ft,88,93
376,4,8:12.0,Defensive rebound by Team,,88,93
377,4,7:59.0,J. Barea misses 2-pt jump shot from 20 ft,,88,93
378,4,7:55.0,,Defensive rebound by S. Curry,88,93
379,4,7:41.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),88,95
380,4,7:29.0,D. Finney-Smith misses 2-pt layup from 1 ft,,88,95
381,4,7:29.0,Offensive rebound by Team,,88,95
382,4,7:23.0,D. Harris misses 2-pt jump shot from 18 ft,,88,95
383,4,7:23.0,,Defensive rebound by Team,88,95
384,4,7:03.0,,E. Turner misses 2-pt jump shot from 11 ft,88,95
385,4,6:59.0,Defensive rebound by M. Kleber,,88,95
386,4,6:52.0,M. Kleber misses 3-pt jump shot from 27 ft,,88,95
