,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:45.0,J. Harris makes 3-pt jump shot from 23 ft (assist by R. Kurucs),,3,0
1,1,11:28.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Leonard),3,3
2,1,11:14.0,R. Kurucs misses 2-pt layup from 2 ft,,3,3
3,1,11:12.0,,Defensive rebound by S. Ibaka,3,3
4,1,11:02.0,,Shooting foul by T. Graham (drawn by K. Leonard),3,3
5,1,11:02.0,,K. Leonard makes free throw 1 of 2,3,4
6,1,11:02.0,,K. Leonard makes free throw 2 of 2,3,5
7,1,10:52.0,Personal foul by D. Green (drawn by D. Russell),,3,5
8,1,10:47.0,D. Russell misses 2-pt jump shot from 6 ft (block by S. Ibaka),,3,5
9,1,10:44.0,,Defensive rebound by K. Lowry,3,5
10,1,10:37.0,,Turnover by P. Siakam (traveling),3,5
11,1,10:22.0,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Allen),,6,5
12,1,10:01.0,,K. Leonard misses 2-pt jump shot from 20 ft,6,5
13,1,9:58.0,Defensive rebound by J. Allen,,6,5
14,1,9:51.0,Turnover by D. Russell (bad pass; steal by S. Ibaka),,6,5
15,1,9:45.0,,Offensive foul by K. Leonard (drawn by J. Harris),6,5
16,1,9:45.0,,Turnover by K. Leonard (offensive foul),6,5
17,1,9:35.0,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Allen),,9,5
18,1,9:25.0,,K. Leonard misses 2-pt jump shot from 17 ft,9,5
19,1,9:21.0,Defensive rebound by D. Russell,,9,5
20,1,9:17.0,J. Harris misses 3-pt jump shot from 26 ft,,9,5
21,1,9:12.0,,Defensive rebound by S. Ibaka,9,5
22,1,9:00.0,,P. Siakam misses 2-pt hook shot from 6 ft,9,5
23,1,8:57.0,Defensive rebound by D. Russell,,9,5
24,1,8:51.0,T. Graham misses 3-pt jump shot from 26 ft,,9,5
25,1,8:47.0,,Defensive rebound by D. Green,9,5
26,1,8:43.0,,K. Lowry misses 3-pt jump shot from 25 ft,9,5
27,1,8:41.0,Defensive rebound by D. Russell,,9,5
28,1,8:34.0,D. Russell misses 2-pt layup from 6 ft,,9,5
29,1,8:32.0,,Defensive rebound by S. Ibaka,9,5
30,1,8:23.0,,Turnover by D. Green (bad pass),9,5
31,1,8:23.0,,Toronto full timeout,9,5
32,1,8:14.0,Turnover by D. Russell (bad pass; steal by P. Siakam),,9,5
33,1,7:59.0,,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),9,7
34,1,7:50.0,R. Kurucs makes 3-pt jump shot from 26 ft (assist by D. Russell),,12,7
35,1,7:34.0,,P. Siakam makes 2-pt jump shot from 14 ft (assist by K. Leonard),12,9
36,1,7:12.0,T. Graham misses 3-pt jump shot from 23 ft,,12,9
37,1,7:10.0,,Defensive rebound by D. Green,12,9
38,1,7:02.0,,S. Ibaka misses 3-pt jump shot from 25 ft,12,9
39,1,6:57.0,Defensive rebound by J. Harris,,12,9
40,1,6:44.0,J. Allen makes 2-pt layup from 4 ft (assist by T. Graham),,14,9
41,1,6:31.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by P. Siakam),14,11
42,1,6:15.0,D. Russell misses 2-pt layup from 5 ft,,14,11
43,1,6:12.0,,Defensive rebound by S. Ibaka,14,11
44,1,6:04.0,,S. Ibaka makes 2-pt hook shot from 5 ft (assist by K. Leonard),14,13
45,1,6:04.0,Brooklyn full timeout,,14,13
46,1,6:04.0,A. Crabbe enters the game for T. Graham,,14,13
47,1,6:04.0,R. Hollis-Jefferson enters the game for R. Kurucs,,14,13
48,1,5:49.0,A. Crabbe misses 3-pt jump shot from 23 ft,,14,13
49,1,5:46.0,,Defensive rebound by S. Ibaka,14,13
50,1,5:40.0,,K. Leonard misses 3-pt jump shot from 25 ft,14,13
51,1,5:37.0,Defensive rebound by D. Russell,,14,13
52,1,5:22.0,J. Allen misses 3-pt jump shot from 23 ft,,14,13
53,1,5:18.0,Offensive rebound by D. Russell,,14,13
54,1,5:16.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,17,13
55,1,4:55.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by D. Green),17,15
56,1,4:37.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,20,15
57,1,4:25.0,,K. Leonard misses 2-pt layup from 1 ft,20,15
58,1,4:22.0,,Offensive rebound by K. Leonard,20,15
59,1,4:22.0,,K. Leonard misses 2-pt layup from 1 ft,20,15
60,1,4:22.0,,Offensive rebound by Team,20,15
61,1,4:22.0,E. Davis enters the game for J. Allen,,20,15
62,1,4:22.0,C. LeVert enters the game for J. Harris,,20,15
63,1,4:22.0,S. Napier enters the game for D. Russell,,20,15
64,1,4:17.0,,S. Ibaka misses 3-pt jump shot from 26 ft,20,15
