,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,K. Looney misses 2-pt layup from 3 ft,0,0
1,1,11:45.0,,Offensive rebound by K. Looney,0,0
2,1,11:45.0,,K. Looney makes 2-pt layup from 1 ft,0,2
3,1,11:22.0,P. Tucker misses 3-pt jump shot from 22 ft,,0,2
4,1,11:20.0,,Defensive rebound by K. Durant,0,2
5,1,11:06.0,,Turnover by K. Durant (bad pass; steal by C. Capela),0,2
6,1,11:01.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,2,2
7,1,10:42.0,,S. Curry misses 3-pt jump shot from 23 ft,2,2
8,1,10:40.0,,Offensive rebound by D. Green,2,2
9,1,10:38.0,,D. Green makes 2-pt layup from 2 ft,2,4
10,1,10:22.0,Turnover by J. Harden (bad pass; steal by K. Looney),,2,4
11,1,10:17.0,,Turnover by D. Green (bad pass; steal by J. Harden),2,4
12,1,10:10.0,D. House makes 3-pt jump shot from 24 ft (assist by J. Harden),,5,4
13,1,9:51.0,,K. Thompson misses 3-pt jump shot from 29 ft,5,4
14,1,9:49.0,Defensive rebound by C. Capela,,5,4
15,1,9:41.0,J. Harden misses 2-pt layup from 8 ft,,5,4
16,1,9:40.0,,Defensive rebound by D. Green,5,4
17,1,9:36.0,,K. Looney makes 2-pt dunk from 2 ft (assist by D. Green),5,6
18,1,9:36.0,,Shooting foul by P. Tucker (drawn by K. Looney),5,6
19,1,9:36.0,,K. Looney makes free throw 1 of 1,5,7
20,1,9:19.0,C. Capela makes 2-pt jump shot from 5 ft (assist by D. House),,7,7
21,1,9:10.0,,K. Looney makes 2-pt dunk from 2 ft (assist by D. Green),7,9
22,1,9:02.0,Turnover by P. Tucker (bad pass; steal by K. Thompson),,7,9
23,1,8:48.0,,K. Thompson makes 2-pt dunk from 1 ft (assist by K. Looney),7,11
24,1,8:32.0,J. Harden misses 3-pt jump shot from 27 ft (block by K. Thompson),,7,11
25,1,8:30.0,Offensive rebound by C. Capela,,7,11
26,1,8:28.0,C. Capela makes 2-pt layup from 3 ft,,9,11
27,1,8:22.0,,S. Curry misses 3-pt jump shot from 29 ft,9,11
28,1,8:20.0,Defensive rebound by C. Capela,,9,11
29,1,8:03.0,Shooting foul by K. Thompson (drawn by J. Harden),,9,11
30,1,8:03.0,J. Harden misses free throw 1 of 3,,9,11
31,1,8:03.0,Offensive rebound by Team,,9,11
32,1,8:03.0,J. Harden makes free throw 2 of 3,,10,11
33,1,8:03.0,J. Harden makes free throw 3 of 3,,11,11
34,1,7:47.0,,S. Curry misses 3-pt jump shot from 27 ft,11,11
35,1,7:45.0,Defensive rebound by A. Rivers,,11,11
36,1,7:40.0,A. Rivers misses 3-pt jump shot from 28 ft,,11,11
37,1,7:38.0,,Defensive rebound by K. Durant,11,11
38,1,7:30.0,,K. Durant makes 2-pt jump shot from 15 ft,11,13
39,1,7:12.0,J. Harden makes 3-pt jump shot from 27 ft,,14,13
40,1,7:00.0,,K. Durant makes 3-pt jump shot from 28 ft (assist by S. Curry),14,16
41,1,6:39.0,J. Harden misses 2-pt jump shot from 10 ft (block by K. Durant),,14,16
42,1,6:37.0,,Defensive rebound by K. Thompson,14,16
43,1,6:37.0,,Personal take foul by J. Harden (drawn by K. Thompson),14,16
44,1,6:37.0,,Golden State full timeout,14,16
45,1,6:37.0,G. Green enters the game for D. House,,14,16
46,1,6:33.0,,Turnover by S. Curry (bad pass; steal by C. Capela),14,16
47,1,6:25.0,C. Capela misses 2-pt layup from 7 ft,,14,16
48,1,6:24.0,Offensive rebound by G. Green,,14,16
49,1,6:18.0,G. Green misses 3-pt jump shot from 29 ft,,14,16
50,1,6:16.0,,Defensive rebound by S. Curry,14,16
51,1,6:07.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),14,18
52,1,5:43.0,J. Harden misses 3-pt jump shot from 27 ft,,14,18
53,1,5:41.0,,Defensive rebound by K. Thompson,14,18
54,1,5:35.0,,Turnover by S. Curry (bad pass; steal by G. Green),14,18
55,1,5:17.0,C. Capela misses 2-pt layup from 3 ft (block by D. Green),,14,18
56,1,5:16.0,Offensive rebound by Team,,14,18
57,1,5:16.0,,A. Iguodala enters the game for D. Green,14,18
58,1,5:13.0,J. Harden misses 3-pt jump shot from 23 ft,,14,18
59,1,5:11.0,Offensive rebound by J. Harden,,14,18
