,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
367,4,8:38.0,,R. Arcidiacono enters the game for A. Blakeney,99,86
368,4,8:38.0,,Z. LaVine enters the game for C. Felício,99,86
369,4,8:38.0,,R. Lopez enters the game for S. Harrison,99,86
370,4,8:19.0,,R. Lopez misses 2-pt jump shot from 21 ft,99,86
371,4,8:15.0,Defensive rebound by N. Mirotić,,99,86
372,4,7:56.0,K. Middleton makes 2-pt layup from 1 ft,,101,86
373,4,7:45.0,,L. Markkanen misses 3-pt jump shot from 26 ft,101,86
374,4,7:42.0,Defensive rebound by T. Snell,,101,86
375,4,7:35.0,K. Middleton misses 2-pt jump shot from 16 ft,,101,86
376,4,7:32.0,,Defensive rebound by L. Markkanen,101,86
377,4,7:27.0,,Personal foul by K. Middleton (drawn by Z. LaVine),101,86
378,4,7:17.0,,R. Arcidiacono misses 2-pt jump shot from 6 ft,101,86
379,4,7:15.0,Defensive rebound by E. Bledsoe,,101,86
380,4,7:10.0,N. Mirotić misses 3-pt jump shot from 26 ft,,101,86
381,4,7:06.0,,Defensive rebound by W. Selden,101,86
382,4,7:00.0,,W. Selden makes 2-pt jump shot from 13 ft,101,88
383,4,6:40.0,B. Lopez misses 3-pt jump shot from 26 ft,,101,88
384,4,6:36.0,,Defensive rebound by Z. LaVine,101,88
385,4,6:33.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,101,88
386,4,6:29.0,Defensive rebound by B. Lopez,,101,88
387,4,6:20.0,Turnover by K. Middleton (bad pass),,101,88
388,4,6:20.0,P. Connaughton enters the game for T. Snell,,101,88
389,4,6:09.0,,Shooting foul by B. Lopez (drawn by L. Markkanen),101,88
390,4,6:09.0,,L. Markkanen makes free throw 1 of 2,101,89
391,4,6:09.0,,L. Markkanen makes free throw 2 of 2,101,90
392,4,5:53.0,N. Mirotić makes 2-pt layup from 1 ft (assist by K. Middleton),,103,90
393,4,5:37.0,,Turnover by Z. LaVine (bad pass; steal by P. Connaughton),103,90
394,4,5:24.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,103,90
395,4,5:21.0,,Defensive rebound by L. Markkanen,103,90
396,4,5:16.0,,L. Markkanen misses 2-pt jump shot from 6 ft,103,90
397,4,5:14.0,Defensive rebound by P. Connaughton,,103,90
398,4,5:14.0,M. Brogdon enters the game for K. Middleton,,103,90
399,4,4:58.0,N. Mirotić misses 3-pt jump shot from 27 ft,,103,90
400,4,4:54.0,,Defensive rebound by R. Lopez,103,90
401,4,4:47.0,,R. Lopez makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),103,93
402,4,4:29.0,B. Lopez makes 2-pt dunk from 1 ft,,105,93
403,4,4:29.0,Shooting foul by L. Markkanen (drawn by B. Lopez),,105,93
404,4,4:29.0,E. İlyasova enters the game for N. Mirotić,,105,93
405,4,4:29.0,B. Lopez makes free throw 1 of 1,,106,93
406,4,4:13.0,,Turnover by Z. LaVine (bad pass; steal by B. Lopez),106,93
407,4,4:11.0,E. İlyasova makes 2-pt layup from 1 ft (assist by E. Bledsoe),,108,93
408,4,4:11.0,,Violation by Team (def goaltending),108,93
409,4,4:11.0,,Chicago full timeout,108,93
410,4,4:11.0,,S. Harrison enters the game for W. Selden,108,93
411,4,3:57.0,,R. Lopez misses 2-pt hook shot from 2 ft,108,93
412,4,3:55.0,Defensive rebound by M. Brogdon,,108,93
413,4,3:47.0,P. Connaughton misses 2-pt dunk from 1 ft,,108,93
414,4,3:46.0,Offensive rebound by E. Bledsoe,,108,93
415,4,3:41.0,B. Lopez misses 3-pt jump shot from 23 ft,,108,93
416,4,3:40.0,Offensive rebound by Team,,108,93
417,4,3:40.0,,Loose ball foul by L. Markkanen (drawn by E. İlyasova),108,93
418,4,3:31.0,B. Lopez makes 2-pt jump shot from 12 ft,,110,93
419,4,3:20.0,,Z. LaVine misses 2-pt layup from 3 ft,110,93
420,4,3:18.0,Defensive rebound by B. Lopez,,110,93
421,4,3:05.0,M. Brogdon makes 3-pt jump shot from 26 ft (assist by E. İlyasova),,113,93
422,4,3:03.0,,Chicago full timeout,113,93
423,4,3:03.0,I. Canaan enters the game for E. Bledsoe,,113,93
424,4,3:03.0,B. Colson enters the game for M. Brogdon,,113,93
425,4,3:03.0,T. Snell enters the game for P. Connaughton,,113,93
426,4,3:03.0,D. Wilson enters the game for E. İlyasova,,113,93
427,4,3:03.0,C. Wood enters the game for B. Lopez,,113,93
428,4,3:03.0,,A. Blakeney enters the game for R. Arcidiacono,113,93
429,4,3:03.0,,C. Felício enters the game for Z. LaVine,113,93
430,4,3:03.0,,T. Luwawu-Cabarrot enters the game for R. Lopez,113,93
431,4,3:03.0,,W. Selden enters the game for L. Markkanen,113,93
432,4,2:46.0,,C. Felício makes 2-pt layup from 1 ft (assist by W. Selden),113,95
433,4,2:31.0,Turnover by D. Wilson (bad pass; steal by W. Selden),,113,95
434,4,2:26.0,,W. Selden misses 2-pt layup from 2 ft,113,95
435,4,2:22.0,Defensive rebound by C. Wood,,113,95
436,4,2:11.0,T. Snell makes 2-pt jump shot from 2 ft,,115,95
437,4,1:58.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by W. Selden),115,97
438,4,1:50.0,C. Wood makes 2-pt dunk at rim (assist by I. Canaan),,117,97
439,4,1:34.0,,A. Blakeney misses 2-pt jump shot from 18 ft,117,97
440,4,1:29.0,Defensive rebound by D. Wilson,,117,97
441,4,1:22.0,D. Wilson misses 3-pt jump shot from 27 ft,,117,97
442,4,1:18.0,,Defensive rebound by A. Blakeney,117,97
443,4,1:15.0,,A. Blakeney makes 2-pt layup from 2 ft,117,99
444,4,1:15.0,Violation by Team (def goaltending),,117,99
445,4,1:15.0,,Shooting foul by T. Snell (drawn by A. Blakeney),117,99
446,4,1:15.0,,A. Blakeney makes free throw 1 of 1,117,100
447,4,1:02.0,B. Colson misses 3-pt jump shot from 27 ft,,117,100
448,4,1:00.0,,Defensive rebound by T. Luwawu-Cabarrot,117,100
449,4,0:55.0,,A. Blakeney makes 3-pt jump shot from 25 ft (assist by T. Luwawu-Cabarrot),117,103
450,4,0:43.0,Shooting foul by C. Felício (drawn by C. Wood),,117,103
451,4,0:43.0,C. Wood misses free throw 1 of 2,,117,103
452,4,0:43.0,Offensive rebound by Team,,117,103
453,4,0:43.0,C. Wood misses free throw 2 of 2,,117,103
454,4,0:41.0,,Defensive rebound by T. Luwawu-Cabarrot,117,103
455,4,0:34.0,,S. Harrison misses 3-pt jump shot from 26 ft,117,103
456,4,0:32.0,Defensive rebound by Team,,117,103
457,4,0:17.0,Turnover by C. Wood (traveling),,117,103
458,4,0:06.0,,W. Selden makes 2-pt layup from 1 ft,117,105
459,4,0:06.0,,Shooting foul by C. Wood (drawn by W. Selden),117,105
460,4,0:06.0,,W. Selden makes free throw 1 of 1,117,106
