,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,D. Cousins misses 2-pt jump shot from 8 ft,0,0
1,1,11:43.0,Defensive rebound by I. Zubac,,0,0
2,1,11:22.0,K. Kuzma misses 2-pt hook shot from 6 ft,,0,0
3,1,11:20.0,,Defensive rebound by K. Thompson,0,0
4,1,11:14.0,,D. Cousins makes 2-pt dunk from 2 ft (assist by K. Durant),0,2
5,1,11:00.0,Turnover by R. Rondo (bad pass),,0,2
6,1,10:50.0,,K. Thompson makes 2-pt layup from 2 ft,0,4
7,1,10:43.0,Personal foul by S. Curry (drawn by R. Rondo),,0,4
8,1,10:33.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft (block by D. Green),,0,4
9,1,10:32.0,Offensive rebound by K. Caldwell-Pope,,0,4
10,1,10:32.0,Shooting foul by D. Cousins (drawn by K. Caldwell-Pope),,0,4
11,1,10:32.0,K. Caldwell-Pope misses free throw 1 of 2,,0,4
12,1,10:32.0,Offensive rebound by Team,,0,4
13,1,10:32.0,K. Caldwell-Pope misses free throw 2 of 2,,0,4
14,1,10:30.0,,Defensive rebound by D. Cousins,0,4
15,1,10:23.0,,Shooting foul by B. Ingram (drawn by K. Durant),0,4
16,1,10:23.0,,K. Durant makes free throw 1 of 2,0,5
17,1,10:23.0,,Turnover by D. Cousins (lane violation),0,5
18,1,10:11.0,Personal foul by D. Cousins (drawn by K. Caldwell-Pope),,0,5
19,1,10:04.0,Turnover by R. Rondo (bad pass; steal by D. Green),,0,5
20,1,10:00.0,,D. Green makes 2-pt layup from 2 ft,0,7
21,1,9:53.0,B. Ingram makes 2-pt layup from 3 ft,,2,7
22,1,9:45.0,,K. Thompson makes 2-pt layup from 7 ft (assist by D. Green),2,9
23,1,9:34.0,R. Rondo misses 2-pt layup from 4 ft (block by D. Cousins),,2,9
24,1,9:33.0,Offensive rebound by I. Zubac,,2,9
25,1,9:30.0,I. Zubac misses 2-pt hook shot from 3 ft,,2,9
26,1,9:29.0,,Defensive rebound by D. Cousins,2,9
27,1,9:23.0,,S. Curry misses 2-pt layup from 11 ft,2,9
28,1,9:22.0,Defensive rebound by K. Caldwell-Pope,,2,9
29,1,9:17.0,B. Ingram misses 3-pt jump shot from 23 ft,,2,9
30,1,9:16.0,Offensive rebound by K. Kuzma,,2,9
31,1,9:12.0,I. Zubac makes 2-pt jump shot from 6 ft (assist by B. Ingram),,4,9
32,1,8:46.0,,K. Durant makes 2-pt dunk from 2 ft (assist by D. Cousins),4,11
33,1,8:30.0,K. Kuzma misses 2-pt hook shot from 6 ft,,4,11
34,1,8:29.0,Offensive rebound by I. Zubac,,4,11
35,1,8:23.0,I. Zubac misses 2-pt layup from 3 ft,,4,11
36,1,8:22.0,Offensive rebound by K. Kuzma,,4,11
37,1,8:19.0,K. Kuzma makes 2-pt layup at rim,,6,11
38,1,8:18.0,,K. Thompson makes 2-pt layup from 5 ft (assist by K. Durant),6,13
39,1,8:17.0,LA Lakers full timeout,,6,13
40,1,8:17.0,J. McGee enters the game for I. Zubac,,6,13
41,1,7:58.0,R. Rondo misses 2-pt jump shot from 18 ft,,6,13
42,1,7:56.0,Offensive rebound by Team,,6,13
43,1,7:55.0,Offensive foul by J. McGee (drawn by D. Cousins),,6,13
44,1,7:55.0,Turnover by J. McGee (offensive foul),,6,13
45,1,7:44.0,,K. Durant makes 2-pt dunk from 3 ft (assist by D. Green),6,15
46,1,7:37.0,Turnover by B. Ingram (bad pass),,6,15
47,1,7:32.0,,Turnover by K. Thompson (lost ball; steal by K. Caldwell-Pope),6,15
48,1,7:26.0,K. Kuzma misses 3-pt jump shot from 26 ft,,6,15
49,1,7:24.0,,Defensive rebound by K. Durant,6,15
50,1,7:12.0,,D. Cousins makes 2-pt layup from 3 ft (assist by K. Durant),6,17
51,1,6:54.0,B. Ingram misses 2-pt jump shot from 11 ft,,6,17
52,1,6:53.0,,Defensive rebound by S. Curry,6,17
53,1,6:48.0,,Shooting foul by J. McGee (drawn by S. Curry),6,17
54,1,6:48.0,,S. Curry makes free throw 1 of 2,6,18
55,1,6:48.0,,S. Curry makes free throw 2 of 2,6,19
56,1,6:34.0,J. McGee makes 2-pt hook shot from 12 ft (assist by B. Ingram),,8,19
57,1,6:18.0,,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Green),8,22
58,1,6:07.0,J. McGee makes 2-pt jump shot from 12 ft (assist by K. Kuzma),,10,22
59,1,5:56.0,,Turnover by S. Curry (out of bounds lost ball),10,22
60,1,5:56.0,,A. Iguodala enters the game for D. Cousins,10,22
61,1,5:56.0,,K. Looney enters the game for D. Green,10,22
62,1,5:45.0,R. Rondo makes 2-pt layup from 3 ft,,12,22
63,1,5:29.0,,K. Durant misses 3-pt jump shot from 25 ft,12,22
64,1,5:28.0,Defensive rebound by J. McGee,,12,22
65,1,5:16.0,J. McGee makes 2-pt dunk at rim (assist by R. Rondo),,14,22
66,1,5:15.0,,Golden State full timeout,14,22
67,1,4:59.0,,S. Curry misses 3-pt jump shot from 23 ft,14,22
68,1,4:57.0,,Offensive rebound by A. Iguodala,14,22
69,1,4:50.0,,S. Curry misses 3-pt jump shot from 26 ft,14,22
70,1,4:48.0,Defensive rebound by R. Rondo,,14,22
71,1,4:28.0,B. Ingram misses 2-pt jump shot from 14 ft (block by A. Iguodala),,14,22
72,1,4:27.0,Offensive rebound by Team,,14,22
73,1,4:25.0,J. McGee misses 3-pt jump shot from 26 ft,,14,22
74,1,4:23.0,,Defensive rebound by S. Curry,14,22
75,1,4:18.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),14,25
76,1,3:56.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,14,25
77,1,3:53.0,,Defensive rebound by K. Looney,14,25
78,1,3:41.0,,K. Durant makes 2-pt jump shot from 12 ft,14,27
79,1,3:22.0,R. Rondo makes 2-pt layup from 3 ft,,16,27
80,1,3:10.0,,K. Thompson misses 2-pt jump shot from 20 ft,16,27
81,1,3:07.0,Defensive rebound by R. Rondo,,16,27
82,1,2:51.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,16,27
83,1,2:50.0,Offensive rebound by J. McGee,,16,27
84,1,2:49.0,K. Kuzma misses 2-pt jump shot from 22 ft,,16,27
85,1,2:47.0,Offensive rebound by K. Caldwell-Pope,,16,27
86,1,2:39.0,B. Ingram misses 2-pt jump shot from 10 ft,,16,27
87,1,2:38.0,,Defensive rebound by K. Looney,16,27
88,1,2:29.0,,Turnover by K. Durant (bad pass),16,27
89,1,2:29.0,J. Hart enters the game for K. Caldwell-Pope,,16,27
90,1,2:29.0,L. Stephenson enters the game for K. Kuzma,,16,27
91,1,2:29.0,I. Zubac enters the game for J. McGee,,16,27
92,1,2:29.0,,A. McKinnie enters the game for K. Thompson,16,27
93,1,2:15.0,I. Zubac misses 2-pt layup from 3 ft (block by A. McKinnie),,16,27
94,1,2:14.0,,Defensive rebound by S. Curry,16,27
95,1,2:04.0,,Turnover by S. Curry (lost ball; steal by R. Rondo),16,27
96,1,2:01.0,R. Rondo makes 2-pt dunk from 2 ft,,18,27
97,1,1:46.0,,S. Curry misses 3-pt jump shot from 30 ft,18,27
98,1,1:44.0,Defensive rebound by I. Zubac,,18,27
99,1,1:33.0,B. Ingram misses 2-pt jump shot from 11 ft,,18,27
100,1,1:32.0,,Defensive rebound by K. Durant,18,27
101,1,1:25.0,,K. Durant makes 2-pt layup from 8 ft,18,29
102,1,1:15.0,L. Stephenson misses 2-pt jump shot from 16 ft,,18,29
103,1,1:14.0,,Defensive rebound by K. Looney,18,29
104,1,1:04.0,,A. McKinnie makes 2-pt layup from 3 ft,18,31
105,1,0:47.0,L. Stephenson makes 3-pt jump shot from 27 ft (assist by R. Rondo),,21,31
106,1,0:38.0,,A. McKinnie makes 2-pt layup from 1 ft (assist by K. Looney),21,33
107,1,0:23.0,R. Rondo misses 3-pt jump shot from 27 ft,,21,33
108,1,0:22.0,Offensive rebound by J. Hart,,21,33
109,1,0:07.0,R. Rondo makes 3-pt jump shot from 22 ft,,24,33
110,1,0:00.0,,K. Durant misses 2-pt jump shot from 19 ft,24,33
111,1,0:00.0,,Offensive rebound by Team,24,33
112,2,12:00.0,Violation by Team (delay of game),,24,33
113,2,11:46.0,M. Beasley makes 2-pt jump shot from 7 ft,,26,33
114,2,11:25.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by A. Iguodala),26,36
115,2,11:13.0,M. Wagner makes 2-pt layup from 1 ft (assist by L. Stephenson),,28,36
116,2,11:03.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by D. Green),28,39
117,2,10:49.0,L. Stephenson misses 3-pt jump shot from 26 ft,,28,39
118,2,10:47.0,,Defensive rebound by K. Thompson,28,39
119,2,10:30.0,,A. Iguodala misses 2-pt jump shot from 17 ft,28,39
120,2,10:29.0,Defensive rebound by L. Stephenson,,28,39
121,2,10:14.0,M. Beasley makes 2-pt jump shot from 14 ft (assist by L. Stephenson),,30,39
122,2,10:07.0,,K. Thompson misses 3-pt jump shot from 29 ft,30,39
123,2,10:05.0,Defensive rebound by M. Wagner,,30,39
124,2,9:52.0,Shooting foul by D. Green (drawn by B. Ingram),,30,39
125,2,9:52.0,B. Ingram makes free throw 1 of 2,,31,39
126,2,9:52.0,B. Ingram makes free throw 2 of 2,,32,39
127,2,9:33.0,,Shooting foul by M. Beasley (drawn by K. Thompson),32,39
128,2,9:33.0,,A. McKinnie enters the game for A. Iguodala,32,39
129,2,9:33.0,,K. Thompson makes free throw 1 of 2,32,40
130,2,9:33.0,,K. Thompson makes free throw 2 of 2,32,41
131,2,9:12.0,B. Ingram makes 2-pt jump shot from 11 ft,,34,41
132,2,8:58.0,,D. Cousins misses 2-pt jump shot from 9 ft,34,41
133,2,8:57.0,Defensive rebound by L. Stephenson,,34,41
134,2,8:54.0,M. Wagner makes 2-pt layup from 2 ft (assist by L. Stephenson),,36,41
135,2,8:54.0,Shooting foul by D. Green (drawn by M. Wagner),,36,41
136,2,8:54.0,M. Wagner misses free throw 1 of 1,,36,41
137,2,8:53.0,,Defensive rebound by D. Cousins,36,41
138,2,8:37.0,,D. Cousins makes 2-pt hook shot from 8 ft,36,43
139,2,8:16.0,L. Stephenson makes 3-pt jump shot from 27 ft,,39,43
