,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:39.0,Shooting foul by J. Murray (drawn by B. Hield),,0,0
2,1,11:39.0,B. Hield makes free throw 1 of 2,,1,0
3,1,11:39.0,B. Hield makes free throw 2 of 2,,2,0
4,1,11:24.0,,P. Millsap makes 2-pt layup from 1 ft (assist by N. Jokić),2,2
5,1,11:13.0,H. Barnes makes 2-pt jump shot from 15 ft (assist by N. Bjelica),,4,2
6,1,10:48.0,,N. Jokić makes 2-pt layup from 1 ft,4,4
7,1,10:36.0,B. Hield misses 2-pt layup from 1 ft,,4,4
8,1,10:32.0,Offensive rebound by W. Cauley-Stein,,4,4
9,1,10:32.0,W. Cauley-Stein makes 2-pt layup at rim,,6,4
10,1,10:19.0,,M. Beasley makes 2-pt layup from 1 ft (assist by N. Jokić),6,6
11,1,9:58.0,H. Barnes misses 3-pt jump shot from 23 ft,,6,6
12,1,9:56.0,,Defensive rebound by J. Murray,6,6
13,1,9:51.0,,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),6,8
14,1,9:51.0,,Shooting foul by W. Cauley-Stein (drawn by W. Barton),6,8
15,1,9:51.0,,W. Barton misses free throw 1 of 1,6,8
16,1,9:49.0,Defensive rebound by H. Barnes,,6,8
17,1,9:38.0,D. Fox makes 2-pt jump shot from 17 ft (assist by N. Bjelica),,8,8
18,1,9:22.0,,Turnover by J. Murray (lost ball; steal by W. Cauley-Stein),8,8
19,1,9:09.0,D. Fox makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,11,8
20,1,8:50.0,,Personal foul by D. Fox (drawn by N. Jokić),11,8
21,1,8:47.0,,M. Beasley makes 2-pt jump shot from 18 ft (assist by W. Barton),11,10
22,1,8:34.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,13,10
23,1,8:22.0,,Turnover by W. Barton (lost ball; steal by N. Bjelica),13,10
24,1,8:16.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,16,10
25,1,8:14.0,,Denver full timeout,16,10
26,1,7:53.0,,M. Beasley makes 2-pt layup from 2 ft (assist by J. Murray),16,12
27,1,7:33.0,H. Barnes misses 3-pt jump shot from 25 ft,,16,12
28,1,7:28.0,Offensive rebound by N. Bjelica,,16,12
29,1,7:27.0,Turnover by N. Bjelica (bad pass; steal by N. Jokić),,16,12
30,1,7:23.0,,N. Jokić misses 2-pt layup from 2 ft,16,12
31,1,7:21.0,Defensive rebound by H. Barnes,,16,12
32,1,7:15.0,B. Hield makes 2-pt jump shot from 6 ft (assist by H. Barnes),,18,12
33,1,6:49.0,,J. Murray makes 2-pt jump shot from 7 ft,18,14
34,1,6:39.0,W. Cauley-Stein misses 2-pt hook shot from 4 ft,,18,14
35,1,6:37.0,,Defensive rebound by P. Millsap,18,14
36,1,6:30.0,,P. Millsap makes 2-pt layup from 2 ft,18,16
37,1,6:18.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),,21,16
38,1,6:02.0,,J. Murray misses 2-pt jump shot from 5 ft,21,16
39,1,6:00.0,Defensive rebound by B. Hield,,21,16
40,1,5:55.0,B. Hield makes 2-pt jump shot from 20 ft,,23,16
41,1,5:42.0,,M. Beasley misses 2-pt dunk from 1 ft,23,16
42,1,5:40.0,Defensive rebound by W. Cauley-Stein,,23,16
43,1,5:36.0,D. Fox makes 2-pt dunk from 1 ft,,25,16
44,1,5:35.0,,Denver full timeout,25,16
45,1,5:35.0,M. Bagley enters the game for N. Bjelica,,25,16
46,1,5:35.0,,T. Craig enters the game for W. Barton,25,16
47,1,5:35.0,,M. Plumlee enters the game for P. Millsap,25,16
48,1,5:23.0,,T. Craig misses 3-pt jump shot from 24 ft,25,16
49,1,5:20.0,Defensive rebound by D. Fox,,25,16
50,1,5:05.0,B. Hield makes 3-pt jump shot from 24 ft (assist by H. Barnes),,28,16
51,1,4:49.0,,N. Jokić misses 3-pt jump shot from 25 ft,28,16
52,1,4:47.0,Defensive rebound by M. Bagley,,28,16
53,1,4:40.0,H. Barnes misses 3-pt jump shot from 23 ft,,28,16
54,1,4:36.0,,Defensive rebound by T. Craig,28,16
55,1,4:26.0,,M. Plumlee makes 2-pt hook shot from 3 ft (assist by N. Jokić),28,18
56,1,4:01.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,31,18
57,1,3:51.0,,M. Beasley misses 3-pt jump shot from 24 ft,31,18
58,1,3:48.0,Defensive rebound by D. Fox,,31,18
59,1,3:41.0,B. Hield makes 2-pt jump shot from 15 ft,,33,18
60,1,3:23.0,,Turnover by N. Jokić (bad pass; steal by W. Cauley-Stein),33,18
61,1,3:12.0,Sacramento full timeout,,33,18
62,1,3:12.0,B. Bogdanović enters the game for H. Barnes,,33,18
63,1,3:12.0,H. Giles enters the game for W. Cauley-Stein,,33,18
64,1,3:12.0,,P. Millsap enters the game for M. Beasley,33,18
65,1,3:12.0,,M. Morris enters the game for N. Jokić,33,18
66,1,3:12.0,,I. Thomas enters the game for J. Murray,33,18
67,1,3:10.0,B. Hield misses 3-pt jump shot from 25 ft,,33,18
68,1,3:06.0,,Defensive rebound by P. Millsap,33,18
69,1,2:53.0,,M. Morris misses 2-pt layup from 1 ft,33,18
70,1,2:52.0,,Offensive rebound by M. Plumlee,33,18
71,1,2:48.0,,Personal foul by H. Giles (drawn by M. Plumlee),33,18
72,1,2:40.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by I. Thomas),33,20
73,1,2:40.0,,Shooting foul by M. Bagley (drawn by P. Millsap),33,20
74,1,2:40.0,,P. Millsap makes free throw 1 of 1,33,21
75,1,2:25.0,Turnover by B. Hield (lost ball; steal by T. Craig),,33,21
76,1,2:19.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),33,24
77,1,2:08.0,Shooting foul by P. Millsap (drawn by H. Giles),,33,24
78,1,2:08.0,H. Giles makes free throw 1 of 2,,34,24
79,1,2:08.0,Y. Ferrell enters the game for D. Fox,,34,24
80,1,2:08.0,H. Giles makes free throw 2 of 2,,35,24
