,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
374,4,11:31.0,,L. Williams misses 2-pt layup from 4 ft,86,102
375,4,11:29.0,Defensive rebound by C. Felício,,86,102
376,4,11:25.0,W. Selden misses 3-pt jump shot from 28 ft,,86,102
377,4,11:24.0,Offensive rebound by Team,,86,102
378,4,11:24.0,,Loose ball foul by M. Harrell (drawn by C. Felício),86,102
379,4,11:19.0,A. Blakeney misses 2-pt jump shot from 8 ft (block by M. Harrell),,86,102
380,4,11:15.0,,Defensive rebound by L. Williams,86,102
381,4,11:12.0,,Personal foul by A. Blakeney (drawn by L. Williams),86,102
382,4,11:07.0,,Shooting foul by A. Blakeney (drawn by M. Harrell),86,102
383,4,11:07.0,,M. Harrell makes free throw 1 of 2,86,103
384,4,11:07.0,,M. Harrell makes free throw 2 of 2,86,104
385,4,10:52.0,C. Felício misses 2-pt layup from 2 ft (block by M. Harrell),,86,104
386,4,10:49.0,,Defensive rebound by M. Harrell,86,104
387,4,10:43.0,,Turnover by M. Harrell (lost ball; steal by S. Harrison),86,104
388,4,10:43.0,Personal take foul by M. Harrell (drawn by S. Harrison),,86,104
389,4,10:28.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by W. Selden),,89,104
390,4,10:12.0,,J. Green misses 2-pt jump shot from 21 ft,89,104
391,4,10:08.0,Defensive rebound by A. Blakeney,,89,104
392,4,9:59.0,C. Felício makes 2-pt layup from 2 ft (assist by A. Blakeney),,91,104
393,4,9:59.0,Shooting foul by W. Chandler (drawn by C. Felício),,91,104
394,4,9:59.0,C. Felício makes free throw 1 of 1,,92,104
395,4,9:39.0,,M. Harrell makes 2-pt layup from 2 ft (assist by W. Chandler),92,106
396,4,9:39.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by M. Harrell),92,106
397,4,9:39.0,,M. Harrell makes free throw 1 of 1,92,107
398,4,9:27.0,Turnover by C. Felício (bad pass; steal by M. Harrell),,92,107
399,4,9:22.0,,M. Harrell misses 2-pt jump shot from 5 ft,92,107
400,4,9:22.0,,Offensive rebound by Team,92,107
401,4,9:22.0,,LA Clippers full timeout,92,107
402,4,9:17.0,,L. Williams misses 3-pt jump shot from 23 ft,92,107
403,4,9:15.0,Defensive rebound by A. Blakeney,,92,107
404,4,9:00.0,Turnover by C. Felício (off goaltending),,92,107
405,4,9:00.0,K. Dunn enters the game for S. Harrison,,92,107
406,4,8:44.0,,M. Harrell misses 2-pt jump shot from 10 ft,92,107
407,4,8:39.0,Defensive rebound by A. Blakeney,,92,107
408,4,8:27.0,K. Dunn makes 3-pt jump shot from 26 ft,,95,107
409,4,8:11.0,,L. Williams makes 2-pt jump shot from 4 ft,95,109
410,4,7:56.0,K. Dunn misses 2-pt jump shot from 13 ft,,95,109
411,4,7:52.0,,Defensive rebound by L. Williams,95,109
412,4,7:47.0,,W. Chandler misses 3-pt jump shot from 27 ft,95,109
413,4,7:43.0,Defensive rebound by A. Blakeney,,95,109
414,4,7:31.0,W. Selden makes 2-pt jump shot from 13 ft (assist by C. Felício),,97,109
415,4,7:08.0,,M. Harrell makes 2-pt jump shot from 5 ft (assist by J. Green),97,111
416,4,6:53.0,A. Blakeney makes 2-pt jump shot from 8 ft,,99,111
417,4,6:41.0,,G. Temple misses 2-pt layup from 5 ft,99,111
418,4,6:39.0,Defensive rebound by W. Selden,,99,111
419,4,6:34.0,Turnover by A. Blakeney (traveling),,99,111
420,4,6:34.0,Z. LaVine enters the game for A. Blakeney,,99,111
421,4,6:34.0,O. Porter enters the game for T. Luwawu-Cabarrot,,99,111
422,4,6:34.0,,P. Beverley enters the game for W. Chandler,99,111
423,4,6:34.0,,D. Gallinari enters the game for J. Green,99,111
424,4,6:13.0,,D. Gallinari misses 2-pt jump shot from 8 ft,99,111
425,4,6:11.0,Defensive rebound by C. Felício,,99,111
426,4,6:06.0,K. Dunn misses 2-pt jump shot from 5 ft,,99,111
427,4,6:04.0,,Defensive rebound by P. Beverley,99,111
428,4,5:53.0,,Personal foul by W. Selden (drawn by D. Gallinari),99,111
429,4,5:53.0,R. Lopez enters the game for C. Felício,,99,111
430,4,5:53.0,L. Markkanen enters the game for W. Selden,,99,111
431,4,5:53.0,,S. Gilgeous-Alexander enters the game for G. Temple,99,111
432,4,5:47.0,,M. Harrell misses 2-pt jump shot from 11 ft,99,111
433,4,5:44.0,Defensive rebound by O. Porter,,99,111
434,4,5:30.0,L. Markkanen misses 2-pt jump shot from 18 ft,,99,111
435,4,5:26.0,,Defensive rebound by P. Beverley,99,111
436,4,5:19.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),99,113
437,4,5:02.0,R. Lopez makes 2-pt layup at rim (assist by Z. LaVine),,101,113
438,4,4:47.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by D. Gallinari),101,115
439,4,4:35.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),,104,115
440,4,4:14.0,,M. Harrell misses 2-pt hook shot from 11 ft,104,115
441,4,4:11.0,Defensive rebound by L. Markkanen,,104,115
442,4,4:04.0,Shooting foul by M. Harrell (drawn by L. Markkanen),,104,115
443,4,4:04.0,L. Markkanen misses free throw 1 of 2,,104,115
444,4,4:04.0,Offensive rebound by Team,,104,115
445,4,4:04.0,,I. Zubac enters the game for M. Harrell,104,115
446,4,4:04.0,L. Markkanen makes free throw 2 of 2,,105,115
447,4,3:45.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),105,118
448,4,3:31.0,Shooting foul by D. Gallinari (drawn by Z. LaVine),,105,118
449,4,3:31.0,Z. LaVine makes free throw 1 of 2,,106,118
450,4,3:31.0,Z. LaVine makes free throw 2 of 2,,107,118
451,4,3:25.0,,LA Clippers full timeout,107,118
452,4,3:10.0,,L. Williams misses 2-pt jump shot from 4 ft,107,118
453,4,3:05.0,,Offensive rebound by I. Zubac,107,118
454,4,3:05.0,,I. Zubac misses 2-pt layup from 1 ft,107,118
455,4,3:04.0,,Offensive rebound by I. Zubac,107,118
456,4,3:04.0,,I. Zubac makes 2-pt layup from 1 ft,107,120
457,4,2:51.0,Z. LaVine misses 2-pt layup from 3 ft,,107,120
458,4,2:48.0,,Defensive rebound by I. Zubac,107,120
459,4,2:32.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by L. Williams),107,123
460,4,2:16.0,O. Porter makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,110,123
461,4,2:01.0,,P. Beverley misses 3-pt jump shot from 27 ft,110,123
462,4,1:55.0,Defensive rebound by Z. LaVine,,110,123
463,4,1:54.0,Personal foul by S. Gilgeous-Alexander (drawn by Z. LaVine),,110,123
464,4,1:54.0,Z. LaVine makes free throw 1 of 2,,111,123
465,4,1:54.0,Z. LaVine makes free throw 2 of 2,,112,123
466,4,1:30.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,112,123
467,4,1:26.0,,Offensive rebound by P. Beverley,112,123
468,4,1:17.0,,L. Williams misses 2-pt jump shot from 19 ft,112,123
469,4,1:14.0,Defensive rebound by L. Markkanen,,112,123
470,4,1:08.0,Personal foul by P. Beverley (drawn by Z. LaVine),,112,123
471,4,1:08.0,Z. LaVine makes free throw 1 of 2,,113,123
472,4,1:08.0,W. Selden enters the game for R. Lopez,,113,123
473,4,1:08.0,Z. LaVine makes free throw 2 of 2,,114,123
474,4,0:43.0,,Turnover by Team (shot clock),114,123
475,4,0:34.0,K. Dunn misses 2-pt layup from 3 ft,,114,123
476,4,0:32.0,,Defensive rebound by D. Gallinari,114,123
477,4,0:25.0,,Personal foul by W. Selden (drawn by L. Williams),114,123
478,4,0:25.0,,L. Williams makes free throw 1 of 2,114,124
479,4,0:25.0,,L. Williams misses free throw 2 of 2,114,124
480,4,0:23.0,Defensive rebound by W. Selden,,114,124
481,4,0:17.0,O. Porter makes 3-pt jump shot from 27 ft (assist by W. Selden),,117,124
482,4,0:14.0,,Personal take foul by K. Dunn (drawn by L. Williams),117,124
483,4,0:14.0,A. Blakeney enters the game for K. Dunn,,117,124
484,4,0:14.0,,L. Williams makes free throw 1 of 2,117,125
485,4,0:14.0,,L. Williams makes free throw 2 of 2,117,126
486,4,0:10.0,Z. LaVine makes 2-pt dunk from 1 ft,,119,126
487,4,0:07.0,,Personal foul by O. Porter (drawn by P. Beverley),119,126
488,4,0:07.0,,P. Beverley makes free throw 1 of 2,119,127
489,4,0:07.0,,P. Beverley makes free throw 2 of 2,119,128
490,4,0:02.0,Shooting foul by I. Zubac (drawn by W. Selden),,119,128
491,4,0:02.0,W. Selden makes free throw 1 of 2,,120,128
492,4,0:02.0,W. Selden makes free throw 2 of 2,,121,128
