,QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,,L. Aldridge misses 2-pt jump shot from 14 ft,0,0
1,1,11:37.0,Defensive rebound by G. Harris,,0,0
2,1,11:21.0,P. Millsap misses 2-pt jump shot from 13 ft,,0,0
3,1,11:17.0,,Defensive rebound by J. Poeltl,0,0
4,1,11:05.0,,Turnover by D. White (bad pass; steal by G. Harris),0,0
5,1,10:59.0,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),,3,0
6,1,10:47.0,,D. DeRozan makes 2-pt jump shot from 9 ft,3,2
7,1,10:32.0,J. Murray misses 2-pt jump shot from 18 ft,,3,2
8,1,10:29.0,,Defensive rebound by L. Aldridge,3,2
9,1,10:23.0,,Turnover by D. White (bad pass),3,2
10,1,10:05.0,G. Harris misses 2-pt layup from 6 ft (block by B. Forbes),,3,2
11,1,10:00.0,Offensive rebound by G. Harris,,3,2
12,1,10:00.0,P. Millsap misses 2-pt layup from 4 ft (block by J. Poeltl),,3,2
13,1,10:00.0,,Defensive rebound by Team,3,2
14,1,10:00.0,Loose ball foul by T. Craig (drawn by D. White),,3,2
15,1,9:49.0,,D. DeRozan makes 2-pt jump shot from 16 ft,3,4
16,1,9:35.0,N. Jokić misses 2-pt layup from 6 ft,,3,4
17,1,9:28.0,Offensive rebound by N. Jokić,,3,4
18,1,9:28.0,N. Jokić makes 2-pt layup at rim,,5,4
19,1,9:14.0,,Personal foul by P. Millsap (drawn by D. DeRozan),5,4
20,1,9:05.0,,D. White misses 3-pt jump shot from 25 ft,5,4
21,1,9:02.0,,Offensive rebound by J. Poeltl,5,4
22,1,8:56.0,,L. Aldridge misses 2-pt jump shot from 9 ft,5,4
23,1,8:52.0,Defensive rebound by N. Jokić,,5,4
24,1,8:43.0,J. Murray misses 2-pt jump shot from 15 ft,,5,4
25,1,8:40.0,,Defensive rebound by L. Aldridge,5,4
26,1,8:40.0,,Turnover by D. DeRozan (out of bounds lost ball),5,4
27,1,8:34.0,N. Jokić misses 2-pt jump shot from 10 ft,,5,4
28,1,8:32.0,,Defensive rebound by J. Poeltl,5,4
29,1,8:21.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by L. Aldridge),5,7
30,1,8:10.0,N. Jokić makes 2-pt jump shot from 4 ft,,7,7
31,1,7:51.0,,D. White makes 2-pt layup from 1 ft,7,9
32,1,7:40.0,G. Harris misses 3-pt jump shot from 25 ft,,7,9
33,1,7:38.0,,Defensive rebound by L. Aldridge,7,9
34,1,7:33.0,,Personal foul by N. Jokić (drawn by D. White),7,9
35,1,7:26.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),7,11
36,1,7:04.0,N. Jokić makes 2-pt hook shot from 5 ft,,9,11
37,1,6:47.0,,L. Aldridge makes 3-pt jump shot from 23 ft (assist by D. DeRozan),9,14
38,1,6:29.0,Personal foul by J. Poeltl (drawn by N. Jokić),,9,14
39,1,6:29.0,,San Antonio full timeout,9,14
40,1,6:17.0,T. Craig misses 3-pt jump shot from 24 ft,,9,14
41,1,6:13.0,Offensive rebound by N. Jokić,,9,14
42,1,6:13.0,N. Jokić makes 2-pt layup from 2 ft,,11,14
