,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,Turnover by J. McGee (traveling),,0,0
1,1,11:31.0,,B. Forbes misses 3-pt jump shot from 23 ft,0,0
2,1,11:28.0,Defensive rebound by J. McGee,,0,0
3,1,11:18.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,3,0
4,1,10:58.0,,L. Aldridge makes 2-pt hook shot from 1 ft,3,2
5,1,10:49.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by J. McGee),,6,2
6,1,10:29.0,,L. Aldridge misses 2-pt jump shot from 17 ft,6,2
7,1,10:26.0,Defensive rebound by L. James,,6,2
8,1,10:21.0,L. James makes 2-pt jump shot from 10 ft,,8,2
9,1,10:01.0,,Shooting foul by L. Ball (drawn by B. Forbes),8,2
10,1,10:01.0,,B. Forbes makes free throw 1 of 2,8,3
11,1,10:01.0,,B. Forbes makes free throw 2 of 2,8,4
12,1,9:53.0,K. Kuzma misses 3-pt jump shot from 26 ft,,8,4
13,1,9:49.0,,Defensive rebound by D. DeRozan,8,4
14,1,9:36.0,,D. DeRozan makes 2-pt jump shot from 14 ft,8,6
15,1,9:15.0,L. James makes 2-pt jump shot from 17 ft,,10,6
16,1,9:02.0,,Personal foul by K. Kuzma (drawn by L. Aldridge),10,6
17,1,9:01.0,,Turnover by B. Forbes (bad pass; steal by J. Hart),10,6
18,1,8:57.0,J. Hart makes 2-pt dunk from 2 ft,,12,6
19,1,8:33.0,,L. Aldridge misses 2-pt jump shot from 12 ft,12,6
20,1,8:28.0,Defensive rebound by L. Ball,,12,6
21,1,8:25.0,J. McGee misses 2-pt layup at rim,,12,6
22,1,8:23.0,,Defensive rebound by L. Aldridge,12,6
23,1,8:10.0,,L. Aldridge makes 2-pt jump shot from 7 ft,12,8
24,1,8:01.0,Turnover by L. James (bad pass; steal by D. Bertāns),,12,8
25,1,7:49.0,,B. Forbes makes 2-pt jump shot from 6 ft (assist by L. Aldridge),12,10
26,1,7:41.0,L. Ball misses 2-pt jump shot from 20 ft,,12,10
27,1,7:41.0,,Defensive rebound by D. Bertāns,12,10
28,1,7:26.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Bertāns),12,12
29,1,7:17.0,LA Lakers full timeout,,12,12
30,1,7:04.0,L. James makes 2-pt layup at rim,,14,12
31,1,6:46.0,,L. Aldridge misses 2-pt hook shot from 8 ft (block by J. McGee),14,12
32,1,6:43.0,Defensive rebound by L. James,,14,12
33,1,6:40.0,J. McGee makes 2-pt hook shot from 2 ft (assist by L. James),,16,12
34,1,6:22.0,,D. Bertāns misses 3-pt jump shot from 26 ft,16,12
35,1,6:19.0,,Offensive rebound by D. Cunningham,16,12
36,1,6:17.0,,Turnover by D. DeRozan (step out of bounds),16,12
37,1,6:17.0,R. Rondo enters the game for J. Hart,,16,12
38,1,6:17.0,J. Williams enters the game for J. McGee,,16,12
39,1,6:17.0,,R. Gay enters the game for D. Bertāns,16,12
40,1,6:17.0,,P. Mills enters the game for B. Forbes,16,12
41,1,6:06.0,K. Kuzma misses 3-pt jump shot from 26 ft,,16,12
42,1,6:01.0,,Defensive rebound by D. DeRozan,16,12
43,1,5:49.0,,D. DeRozan makes 2-pt layup from 1 ft,16,14
44,1,5:32.0,Shooting foul by R. Gay (drawn by L. James),,16,14
45,1,5:32.0,L. James misses free throw 1 of 2,,16,14
46,1,5:32.0,Offensive rebound by Team,,16,14
47,1,5:32.0,L. Stephenson enters the game for L. Ball,,16,14
48,1,5:32.0,,M. Belinelli enters the game for D. Cunningham,16,14
49,1,5:32.0,L. James makes free throw 2 of 2,,17,14
50,1,5:18.0,,D. DeRozan misses 2-pt jump shot from 15 ft,17,14
51,1,5:14.0,,Offensive rebound by R. Gay,17,14
52,1,5:04.0,,L. Aldridge misses 2-pt jump shot from 18 ft,17,14
53,1,5:03.0,,Offensive rebound by Team,17,14
