,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
102,1,0:31.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,24,20
103,1,0:11.0,,Personal foul by J. Bolden (drawn by R. Arcidiacono),24,20
104,1,0:00.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 14 ft,24,20
105,1,0:00.0,Defensive rebound by J. Embiid,,24,20
106,2,11:47.0,,B. Sampson makes 3-pt jump shot from 26 ft (assist by C. Felício),24,23
107,2,11:21.0,Turnover by J. Embiid (3 sec),,24,23
108,2,11:06.0,,J. Sampson misses 3-pt jump shot from 23 ft,24,23
109,2,11:04.0,Defensive rebound by J. Embiid,,24,23
110,2,10:59.0,J. Embiid misses 3-pt jump shot from 26 ft,,24,23
111,2,10:55.0,Offensive rebound by B. Simmons,,24,23
112,2,10:52.0,B. Simmons misses 2-pt layup from 1 ft (block by J. Sampson),,24,23
113,2,10:52.0,Offensive rebound by B. Simmons,,24,23
114,2,10:51.0,B. Simmons makes 2-pt layup from 1 ft,,26,23
115,2,10:38.0,,R. Arcidiacono misses 2-pt jump shot from 8 ft (block by B. Simmons),26,23
116,2,10:35.0,,Offensive rebound by B. Sampson,26,23
117,2,10:24.0,,J. Sampson makes 2-pt jump shot from 21 ft (assist by R. Arcidiacono),26,25
118,2,10:06.0,T. Harris makes 2-pt jump shot from 9 ft,,28,25
119,2,9:52.0,,J. Sampson misses 3-pt jump shot from 27 ft,28,25
120,2,9:52.0,Defensive rebound by J. Embiid,,28,25
121,2,9:39.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Embiid),,31,25
122,2,9:35.0,,Chicago full timeout,31,25
123,2,9:35.0,,R. Lopez enters the game for C. Felício,31,25
124,2,9:17.0,,J. Sampson makes 2-pt layup from 1 ft,31,27
125,2,8:57.0,J. Embiid makes 2-pt jump shot from 19 ft (assist by T. Harris),,33,27
126,2,8:41.0,,J. Sampson makes 2-pt jump shot from 14 ft (assist by R. Arcidiacono),33,29
127,2,8:41.0,,Shooting foul by J. Bolden (drawn by J. Sampson),33,29
128,2,8:41.0,T. McConnell enters the game for J. Embiid,,33,29
129,2,8:41.0,G. Monroe enters the game for B. Simmons,,33,29
130,2,8:41.0,,J. Sampson makes free throw 1 of 1,33,30
131,2,8:28.0,T. Harris makes 2-pt jump shot from 17 ft (assist by G. Monroe),,35,30
132,2,8:09.0,,J. Sampson makes 2-pt hook shot from 9 ft,35,32
133,2,7:57.0,J. Bolden makes 3-pt jump shot from 27 ft (assist by T. Harris),,38,32
134,2,7:36.0,,J. Sampson makes 3-pt jump shot from 27 ft (assist by R. Lopez),38,35
135,2,7:18.0,Turnover by T. Harris (lost ball; steal by T. Luwawu-Cabarrot),,38,35
136,2,7:15.0,,Shooting foul by S. Milton (drawn by T. Luwawu-Cabarrot),38,35
137,2,7:15.0,,T. Luwawu-Cabarrot misses free throw 1 of 2,38,35
138,2,7:15.0,,Offensive rebound by Team,38,35
139,2,7:15.0,,W. Lemon enters the game for R. Arcidiacono,38,35
140,2,7:15.0,,W. Selden enters the game for J. Sampson,38,35
141,2,7:15.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,38,36
142,2,7:00.0,Turnover by T. Harris (bad pass),,38,36
143,2,6:49.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by W. Selden),38,39
144,2,6:47.0,Philadelphia full timeout,,38,39
145,2,6:27.0,T. Harris makes 2-pt jump shot from 7 ft,,40,39
146,2,6:16.0,,Personal foul by G. Monroe (drawn by R. Lopez),40,39
147,2,6:16.0,J. Redick enters the game for J. Bolden,,40,39
148,2,6:16.0,M. Scott enters the game for S. Milton,,40,39
149,2,6:05.0,,W. Selden makes 2-pt layup from 2 ft (assist by W. Lemon),40,41
150,2,5:45.0,G. Monroe misses 2-pt jump shot from 15 ft,,40,41
151,2,5:42.0,,Defensive rebound by W. Lemon,40,41
152,2,5:37.0,,W. Lemon misses 2-pt layup from 2 ft,40,41
153,2,5:35.0,Defensive rebound by G. Monroe,,40,41
154,2,5:31.0,Personal foul by W. Selden (drawn by M. Scott),,40,41
155,2,5:31.0,,J. Sampson enters the game for W. Selden,40,41
156,2,5:25.0,J. Redick makes 2-pt jump shot from 13 ft (assist by G. Monroe),,42,41
157,2,5:17.0,,Shooting foul by M. Scott (drawn by J. Sampson),42,41
158,2,5:17.0,,J. Sampson makes free throw 1 of 2,42,42
159,2,5:17.0,J. Embiid enters the game for T. Harris,,42,42
160,2,5:17.0,B. Simmons enters the game for T. McConnell,,42,42
161,2,5:17.0,Z. Smith enters the game for G. Monroe,,42,42
162,2,5:17.0,,J. Sampson makes free throw 2 of 2,42,43
163,2,5:03.0,J. Redick misses 2-pt layup from 1 ft,,42,43
164,2,5:01.0,,Defensive rebound by T. Luwawu-Cabarrot,42,43
165,2,4:57.0,,W. Lemon misses 2-pt layup from 2 ft (block by J. Embiid),42,43
166,2,4:50.0,Defensive rebound by Z. Smith,,42,43
167,2,4:47.0,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Redick),,45,43
168,2,4:28.0,,B. Sampson misses 2-pt jump shot from 5 ft,45,43
169,2,4:26.0,Defensive rebound by J. Embiid,,45,43
170,2,4:26.0,,S. Harrison enters the game for B. Sampson,45,43
171,2,4:08.0,J. Embiid makes 2-pt layup from 3 ft,,47,43
172,2,3:51.0,,W. Lemon misses 3-pt jump shot from 25 ft,47,43
173,2,3:50.0,Defensive rebound by M. Scott,,47,43
174,2,3:26.0,B. Simmons misses 2-pt jump shot from 10 ft,,47,43
175,2,3:23.0,,Defensive rebound by W. Lemon,47,43
176,2,3:21.0,,Shooting foul by J. Embiid (drawn by J. Sampson),47,43
177,2,3:21.0,,J. Sampson misses free throw 1 of 2,47,43
178,2,3:21.0,,Offensive rebound by Team,47,43
179,2,3:21.0,,J. Sampson makes free throw 2 of 2,47,44
180,2,3:00.0,J. Embiid makes 2-pt hook shot from 5 ft,,49,44
181,2,2:48.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,49,44
182,2,2:45.0,Defensive rebound by M. Scott,,49,44
183,2,2:34.0,Z. Smith misses 3-pt jump shot from 26 ft,,49,44
184,2,2:30.0,Offensive rebound by M. Scott,,49,44
185,2,2:27.0,M. Scott misses 3-pt jump shot from 26 ft,,49,44
186,2,2:25.0,,Defensive rebound by W. Lemon,49,44
187,2,2:12.0,,W. Lemon makes 2-pt jump shot from 19 ft,49,46
188,2,1:56.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Simmons),,49,46
189,2,1:56.0,B. Simmons misses free throw 1 of 2,,49,46
190,2,1:56.0,Offensive rebound by Team,,49,46
191,2,1:56.0,,R. Alkins enters the game for R. Lopez,49,46
192,2,1:56.0,,C. Felício enters the game for T. Luwawu-Cabarrot,49,46
193,2,1:56.0,B. Simmons misses free throw 2 of 2,,49,46
194,2,1:53.0,Offensive rebound by J. Embiid,,49,46
195,2,1:44.0,J. Embiid makes 2-pt layup at rim,,51,46
196,2,1:27.0,,S. Harrison misses 2-pt layup from 2 ft,51,46
197,2,1:27.0,,Offensive rebound by C. Felício,51,46
198,2,1:27.0,,Shooting foul by J. Redick (drawn by C. Felício),51,46
199,2,1:27.0,,C. Felício makes free throw 1 of 2,51,47
200,2,1:27.0,,C. Felício misses free throw 2 of 2,51,47
201,2,1:24.0,Defensive rebound by J. Embiid,,51,47
202,2,1:15.0,J. Embiid makes 2-pt dunk at rim (assist by B. Simmons),,53,47
203,2,1:00.0,,W. Lemon misses 3-pt jump shot from 25 ft,53,47
204,2,0:57.0,Defensive rebound by J. Embiid,,53,47
205,2,0:52.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),,56,47
206,2,0:52.0,Shooting foul by W. Lemon (drawn by J. Redick),,56,47
207,2,0:52.0,J. Redick makes free throw 1 of 1,,57,47
208,2,0:41.0,,Turnover by W. Lemon (bad pass),57,47
209,2,0:28.0,Turnover by Z. Smith (step out of bounds),,57,47
210,2,0:09.0,,W. Lemon makes 2-pt layup from 2 ft,57,49
211,2,0:00.0,Z. Smith misses 3-pt jump shot from 23 ft,,57,49
212,2,0:00.0,,Defensive rebound by W. Lemon,57,49
213,3,11:37.0,,S. Harrison misses 2-pt jump shot from 6 ft,57,49
214,3,11:33.0,,Offensive rebound by R. Lopez,57,49
215,3,11:33.0,,R. Lopez makes 2-pt layup from 1 ft,57,51
216,3,11:24.0,Personal foul by W. Lemon (drawn by B. Simmons),,57,51
217,3,11:22.0,Turnover by J. Redick (traveling),,57,51
218,3,11:01.0,,W. Selden makes 2-pt jump shot from 21 ft (assist by S. Harrison),57,53
219,3,10:48.0,Personal foul by S. Harrison (drawn by T. Harris),,57,53
220,3,10:43.0,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),,59,53
221,3,10:22.0,,W. Lemon misses 2-pt jump shot from 18 ft,59,53
222,3,10:20.0,Defensive rebound by M. Scott,,59,53
223,3,10:15.0,Shooting foul by S. Harrison (drawn by T. Harris),,59,53
224,3,10:15.0,T. Harris makes free throw 1 of 2,,60,53
225,3,10:15.0,T. Harris makes free throw 2 of 2,,61,53
226,3,10:06.0,,W. Selden misses 2-pt jump shot from 21 ft,61,53
227,3,10:02.0,Defensive rebound by J. Redick,,61,53
228,3,9:55.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),,64,53
229,3,9:54.0,,Chicago full timeout,64,53
230,3,9:34.0,,W. Lemon makes 2-pt jump shot from 10 ft (assist by W. Selden),64,55
231,3,9:18.0,J. Embiid makes 2-pt jump shot from 13 ft,,66,55
232,3,9:02.0,,Turnover by S. Harrison (lost ball; steal by J. Redick),66,55
233,3,8:58.0,Turnover by T. Harris (lost ball; steal by S. Harrison),,66,55
234,3,8:51.0,,R. Alkins misses 3-pt jump shot from 23 ft,66,55
235,3,8:48.0,Defensive rebound by M. Scott,,66,55
236,3,8:40.0,T. Harris misses 2-pt jump shot from 15 ft,,66,55
237,3,8:37.0,,Defensive rebound by W. Selden,66,55
238,3,8:23.0,,R. Alkins misses 2-pt layup from 3 ft,66,55
239,3,8:21.0,Defensive rebound by J. Embiid,,66,55
240,3,8:11.0,Shooting foul by R. Alkins (drawn by J. Embiid),,66,55
241,3,8:11.0,J. Embiid misses free throw 1 of 2,,66,55
242,3,8:11.0,Offensive rebound by Team,,66,55
243,3,8:11.0,J. Embiid makes free throw 2 of 2,,67,55
244,3,7:52.0,,W. Lemon misses 2-pt layup from 2 ft,67,55
245,3,7:50.0,Defensive rebound by J. Embiid,,67,55
246,3,7:45.0,J. Embiid misses 3-pt jump shot from 26 ft,,67,55
247,3,7:41.0,,Defensive rebound by R. Alkins,67,55
248,3,7:30.0,,R. Alkins misses 2-pt layup from 3 ft (block by J. Embiid),67,55
249,3,7:27.0,,Offensive rebound by R. Alkins,67,55
250,3,7:25.0,,Turnover by R. Alkins (lost ball; steal by B. Simmons),67,55
251,3,7:20.0,B. Simmons makes 2-pt layup from 6 ft (assist by M. Scott),,69,55
252,3,7:09.0,,W. Selden misses 3-pt jump shot from 25 ft,69,55
253,3,7:06.0,Defensive rebound by M. Scott,,69,55
254,3,6:58.0,B. Simmons misses 2-pt jump shot from 10 ft,,69,55
255,3,6:58.0,Offensive rebound by Team,,69,55
256,3,6:58.0,,Loose ball foul by R. Alkins (drawn by J. Embiid),69,55
257,3,6:58.0,J. Embiid makes free throw 1 of 2,,70,55
258,3,6:58.0,T. McConnell enters the game for J. Redick,,70,55
259,3,6:58.0,S. Milton enters the game for B. Simmons,,70,55
260,3,6:58.0,J. Embiid misses free throw 2 of 2,,70,55
261,3,6:54.0,,Defensive rebound by W. Lemon,70,55
262,3,6:45.0,,S. Harrison makes 3-pt jump shot from 25 ft (assist by R. Lopez),70,58
263,3,6:20.0,J. Embiid makes 2-pt layup from 7 ft (assist by S. Milton),,72,58
264,3,6:08.0,,W. Lemon misses 2-pt layup from 3 ft (block by J. Embiid),72,58
265,3,6:05.0,Defensive rebound by T. McConnell,,72,58
266,3,6:04.0,T. McConnell makes 2-pt layup from 2 ft,,74,58
267,3,5:48.0,,W. Selden misses 2-pt jump shot from 6 ft,74,58
268,3,5:47.0,Defensive rebound by T. Harris,,74,58
269,3,5:47.0,Philadelphia full timeout,,74,58
270,3,5:47.0,J. Bolden enters the game for J. Embiid,,74,58
271,3,5:47.0,B. Marjanović enters the game for M. Scott,,74,58
272,3,5:47.0,,J. Sampson enters the game for W. Selden,74,58
273,3,5:22.0,T. Harris misses 2-pt jump shot from 3 ft,,74,58
274,3,5:18.0,Offensive rebound by T. Harris,,74,58
275,3,5:18.0,T. Harris misses 2-pt layup at rim,,74,58
276,3,5:18.0,,Defensive rebound by W. Lemon,74,58
277,3,5:06.0,,J. Sampson misses 2-pt jump shot from 7 ft,74,58
278,3,5:04.0,Defensive rebound by B. Marjanović,,74,58
279,3,4:51.0,T. Harris misses 2-pt layup from 4 ft,,74,58
280,3,4:51.0,,Defensive rebound by Team,74,58
281,3,4:51.0,Loose ball foul by B. Marjanović (drawn by R. Lopez),,74,58
282,3,4:35.0,,R. Alkins misses 2-pt jump shot from 4 ft,74,58
283,3,4:33.0,Defensive rebound by B. Marjanović,,74,58
284,3,4:24.0,T. McConnell misses 2-pt jump shot from 15 ft,,74,58
285,3,4:21.0,,Defensive rebound by W. Lemon,74,58
286,3,4:19.0,,Shooting foul by J. Bolden (drawn by R. Alkins),74,58
287,3,4:19.0,,R. Alkins makes free throw 1 of 2,74,59
288,3,4:19.0,,R. Arcidiacono enters the game for W. Lemon,74,59
289,3,4:19.0,,C. Felício enters the game for R. Lopez,74,59
290,3,4:19.0,,R. Alkins makes free throw 2 of 2,74,60
291,3,4:05.0,T. Harris makes 2-pt layup from 2 ft (assist by B. Marjanović),,76,60
292,3,3:49.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,76,60
293,3,3:46.0,Defensive rebound by B. Marjanović,,76,60
294,3,3:31.0,B. Marjanović makes 2-pt jump shot from 9 ft,,78,60
295,3,3:10.0,,Turnover by S. Harrison (out of bounds lost ball),78,60
296,3,2:54.0,T. Harris makes 2-pt layup from 2 ft,,80,60
297,3,2:31.0,,R. Arcidiacono makes 2-pt layup from 5 ft (assist by C. Felício),80,62
298,3,2:08.0,S. Milton misses 2-pt layup from 3 ft,,80,62
299,3,2:08.0,Offensive rebound by B. Marjanović,,80,62
300,3,2:08.0,B. Marjanović makes 2-pt layup at rim,,82,62
301,3,2:08.0,Shooting foul by C. Felício (drawn by B. Marjanović),,82,62
302,3,2:08.0,Z. Smith enters the game for T. Harris,,82,62
303,3,2:08.0,,T. Luwawu-Cabarrot enters the game for R. Alkins,82,62
304,3,2:08.0,,B. Sampson enters the game for S. Harrison,82,62
305,3,2:08.0,B. Marjanović makes free throw 1 of 1,,83,62
306,3,1:58.0,,Shooting foul by J. Bolden (drawn by J. Sampson),83,62
307,3,1:58.0,,J. Sampson makes free throw 1 of 2,83,63
308,3,1:58.0,,J. Sampson makes free throw 2 of 2,83,64
309,3,1:45.0,T. McConnell makes 2-pt jump shot from 17 ft,,85,64
310,3,1:34.0,,R. Arcidiacono misses 2-pt jump shot from 22 ft,85,64
311,3,1:34.0,Defensive rebound by B. Marjanović,,85,64
312,3,1:24.0,Z. Smith misses 3-pt jump shot from 23 ft,,85,64
313,3,1:21.0,,Defensive rebound by J. Sampson,85,64
314,3,1:17.0,Violation by Team (def goaltending),,85,64
315,3,1:17.0,,J. Sampson makes 2-pt layup from 2 ft,85,66
316,3,1:06.0,B. Marjanović misses 3-pt jump shot from 25 ft,,85,66
317,3,1:03.0,,Defensive rebound by T. Luwawu-Cabarrot,85,66
318,3,0:53.0,,J. Sampson misses 3-pt jump shot from 25 ft,85,66
319,3,0:51.0,Defensive rebound by S. Milton,,85,66
320,3,0:33.0,Personal foul by T. Luwawu-Cabarrot (drawn by B. Marjanović),,85,66
321,3,0:33.0,B. Marjanović misses free throw 1 of 2,,85,66
322,3,0:33.0,Offensive rebound by Team,,85,66
323,3,0:33.0,B. Marjanović makes free throw 2 of 2,,86,66
324,3,0:13.0,,R. Arcidiacono makes 2-pt jump shot from 7 ft,86,68
325,3,0:00.0,T. McConnell misses 2-pt jump shot from 9 ft,,86,68
326,3,0:00.0,Offensive rebound by Team,,86,68
327,4,11:51.0,Personal foul by C. Felício (drawn by J. Embiid),,86,68
328,4,11:45.0,J. Redick makes 2-pt jump shot from 15 ft (assist by J. Embiid),,88,68
329,4,11:30.0,,B. Sampson makes 3-pt jump shot from 27 ft,88,71
330,4,11:05.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Embiid),,91,71
331,4,10:52.0,,C. Felício misses 2-pt hook shot from 2 ft,91,71
332,4,10:48.0,Defensive rebound by M. Scott,,91,71
333,4,10:37.0,J. Redick misses 3-pt jump shot from 25 ft,,91,71
334,4,10:31.0,,Defensive rebound by T. Luwawu-Cabarrot,91,71
335,4,10:27.0,,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft,91,73
336,4,10:08.0,J. Embiid misses 2-pt dunk from 2 ft (block by T. Luwawu-Cabarrot),,91,73
337,4,10:08.0,,Defensive rebound by T. Luwawu-Cabarrot,91,73
338,4,10:00.0,,Turnover by C. Felício (bad pass; steal by B. Simmons),91,73
339,4,9:53.0,B. Simmons makes 2-pt dunk from 1 ft,,93,73
340,4,9:53.0,,Chicago full timeout,93,73
341,4,9:37.0,,C. Felício misses 2-pt jump shot from 20 ft,93,73
342,4,9:35.0,Defensive rebound by J. Redick,,93,73
343,4,9:20.0,Offensive foul by J. Embiid (drawn by T. Luwawu-Cabarrot),,93,73
344,4,9:20.0,Turnover by J. Embiid (offensive foul),,93,73
345,4,9:09.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by B. Sampson),93,76
346,4,8:52.0,M. Scott misses 3-pt jump shot from 26 ft,,93,76
347,4,8:52.0,Offensive rebound by Team,,93,76
348,4,8:52.0,,Loose ball foul by B. Sampson (drawn by T. Harris),93,76
349,4,8:50.0,Shooting foul by R. Arcidiacono (drawn by J. Redick),,93,76
350,4,8:50.0,J. Redick makes free throw 1 of 2,,94,76
351,4,8:50.0,J. Redick makes free throw 2 of 2,,95,76
352,4,8:33.0,,J. Sampson makes 2-pt layup from 4 ft (assist by B. Sampson),95,78
353,4,8:19.0,J. Embiid misses 2-pt layup from 2 ft (block by J. Sampson),,95,78
354,4,8:19.0,,Defensive rebound by Team,95,78
355,4,8:04.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,95,78
356,4,8:02.0,Defensive rebound by B. Simmons,,95,78
357,4,7:56.0,Shooting foul by B. Sampson (drawn by B. Simmons),,95,78
358,4,7:56.0,B. Simmons makes free throw 1 of 2,,96,78
359,4,7:56.0,B. Simmons makes free throw 2 of 2,,97,78
360,4,7:56.0,,Chicago full timeout,97,78
361,4,7:44.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 12 ft,97,78
362,4,7:42.0,,Offensive rebound by C. Felício,97,78
363,4,7:33.0,,J. Sampson makes 2-pt jump shot from 7 ft,97,80
364,4,7:17.0,T. Harris misses 3-pt jump shot from 25 ft,,97,80
365,4,7:15.0,,Defensive rebound by R. Arcidiacono,97,80
366,4,7:01.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,97,80
367,4,7:00.0,Defensive rebound by T. Harris,,97,80
368,4,6:51.0,B. Simmons misses 2-pt jump shot from 7 ft,,97,80
369,4,6:49.0,,Defensive rebound by R. Arcidiacono,97,80
370,4,6:45.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,97,80
371,4,6:42.0,,Offensive rebound by J. Sampson,97,80
372,4,6:40.0,,J. Sampson makes 2-pt jump shot from 8 ft,97,82
373,4,6:40.0,Philadelphia full timeout,,97,82
374,4,6:40.0,J. Bolden enters the game for J. Embiid,,97,82
375,4,6:40.0,S. Milton enters the game for J. Redick,,97,82
376,4,6:40.0,G. Monroe enters the game for M. Scott,,97,82
377,4,6:40.0,,W. Lemon enters the game for R. Arcidiacono,97,82
378,4,6:23.0,Shooting foul by B. Sampson (drawn by T. Harris),,97,82
379,4,6:23.0,T. Harris makes free throw 1 of 2,,98,82
