,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
0,1,11:37.0,B. Lopez makes 2-pt layup from 1 ft,,2,0
1,1,11:19.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by J. Nurkić),2,3
2,1,11:07.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by M. Brogdon),,5,3
3,1,11:01.0,,Personal foul by M. Brogdon (drawn by C. McCollum),5,3
4,1,10:55.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by J. Nurkić),5,6
5,1,10:47.0,Offensive foul by K. Middleton (drawn by J. Layman),,5,6
6,1,10:47.0,Turnover by K. Middleton (offensive foul),,5,6
7,1,10:38.0,,Offensive foul by J. Nurkić (drawn by E. Bledsoe),5,6
8,1,10:38.0,,Turnover by J. Nurkić (offensive foul),5,6
9,1,10:22.0,M. Brogdon misses 3-pt jump shot from 25 ft,,5,6
10,1,10:20.0,,Defensive rebound by J. Nurkić,5,6
11,1,10:13.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),5,9
12,1,9:56.0,Turnover by G. Antetokounmpo (traveling),,5,9
13,1,9:44.0,,C. McCollum misses 2-pt jump shot from 5 ft,5,9
14,1,9:42.0,,Offensive rebound by C. McCollum,5,9
15,1,9:34.0,,J. Layman makes 2-pt layup from 2 ft (assist by D. Lillard),5,11
16,1,9:20.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,8,11
17,1,9:08.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,11
18,1,9:07.0,Defensive rebound by K. Middleton,,8,11
19,1,8:56.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Layman),,8,11
20,1,8:53.0,,Personal foul by K. Middleton (drawn by C. McCollum),8,11
21,1,8:42.0,,J. Layman makes 3-pt jump shot from 24 ft (assist by J. Nurkić),8,14
22,1,8:23.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft (assist by B. Lopez),,10,14
23,1,8:12.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by D. Lillard),10,16
24,1,8:12.0,E. İlyasova enters the game for K. Middleton,,10,16
25,1,7:55.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,13,16
26,1,7:39.0,,J. Layman misses 3-pt jump shot from 25 ft,13,16
27,1,7:37.0,Defensive rebound by B. Lopez,,13,16
28,1,7:27.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,13,16
29,1,7:24.0,,Defensive rebound by J. Nurkić,13,16
30,1,7:19.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by C. McCollum),13,19
31,1,7:11.0,Milwaukee full timeout,,13,19
32,1,7:04.0,Personal foul by J. Nurkić (drawn by B. Lopez),,13,19
33,1,7:04.0,,M. Leonard enters the game for J. Nurkić,13,19
34,1,6:55.0,B. Lopez makes 2-pt layup at rim (assist by E. Bledsoe),,15,19
35,1,6:36.0,,C. McCollum makes 2-pt jump shot from 13 ft,15,21
36,1,6:21.0,B. Lopez misses 3-pt jump shot from 25 ft,,15,21
37,1,6:18.0,,Defensive rebound by D. Lillard,15,21
38,1,6:10.0,,J. Layman misses 3-pt jump shot from 24 ft,15,21
39,1,6:07.0,Defensive rebound by G. Antetokounmpo,,15,21
40,1,5:57.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,15,21
41,1,5:55.0,,Defensive rebound by M. Leonard,15,21
42,1,5:44.0,,Turnover by M. Leonard (out of bounds lost ball),15,21
43,1,5:44.0,D. DiVincenzo enters the game for M. Brogdon,,15,21
44,1,5:29.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,18,21
45,1,5:19.0,,C. McCollum misses 2-pt jump shot from 18 ft,18,21
46,1,5:18.0,Defensive rebound by Team,,18,21
47,1,5:18.0,,Loose ball foul by A. Aminu (drawn by E. İlyasova),18,21
48,1,5:18.0,,E. Turner enters the game for J. Layman,18,21
49,1,5:07.0,B. Lopez misses 3-pt jump shot from 23 ft,,18,21
50,1,5:06.0,,Defensive rebound by E. Turner,18,21
51,1,4:56.0,,C. McCollum misses 2-pt jump shot from 14 ft,18,21
52,1,4:53.0,Defensive rebound by E. İlyasova,,18,21
53,1,4:47.0,Personal foul by C. McCollum (drawn by D. DiVincenzo),,18,21
54,1,4:47.0,J. Henson enters the game for B. Lopez,,18,21
55,1,4:44.0,E. Bledsoe misses 3-pt jump shot from 28 ft,,18,21
56,1,4:41.0,,Defensive rebound by C. McCollum,18,21
57,1,4:30.0,,D. Lillard misses 2-pt layup from 2 ft,18,21
58,1,4:28.0,Defensive rebound by G. Antetokounmpo,,18,21
59,1,4:25.0,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,21,21
60,1,4:05.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by E. Turner),21,24
61,1,3:58.0,Personal foul by D. Lillard (drawn by E. Bledsoe),,21,24
62,1,3:58.0,M. Brogdon enters the game for E. Bledsoe,,21,24
63,1,3:51.0,M. Brogdon misses 2-pt layup from 2 ft,,21,24
64,1,3:46.0,Offensive rebound by G. Antetokounmpo,,21,24
65,1,3:46.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,23,24
66,1,3:35.0,,D. Lillard misses 3-pt jump shot from 27 ft,23,24
67,1,3:33.0,Defensive rebound by Team,,23,24
68,1,3:23.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,26,24
69,1,3:05.0,,E. Turner misses 3-pt jump shot from 24 ft,26,24
70,1,3:03.0,Defensive rebound by E. İlyasova,,26,24
71,1,2:51.0,E. İlyasova misses 2-pt jump shot from 8 ft,,26,24
72,1,2:48.0,,Defensive rebound by A. Aminu,26,24
73,1,2:40.0,,M. Leonard misses 3-pt jump shot from 26 ft,26,24
74,1,2:38.0,Defensive rebound by M. Brogdon,,26,24
75,1,2:29.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,26,24
76,1,2:26.0,Offensive rebound by E. İlyasova,,26,24
77,1,2:26.0,E. İlyasova misses 2-pt layup from 1 ft,,26,24
78,1,2:25.0,,Defensive rebound by A. Aminu,26,24
79,1,2:22.0,,D. Lillard makes 2-pt layup from 1 ft (assist by E. Turner),26,26
80,1,2:08.0,Turnover by M. Brogdon (bad pass; steal by C. McCollum),,26,26
81,1,2:06.0,,C. McCollum makes 2-pt dunk from 2 ft,26,28
82,1,1:50.0,M. Brogdon makes 2-pt layup from 2 ft (assist by J. Henson),,28,28
83,1,1:50.0,,Portland full timeout,28,28
84,1,1:50.0,,Z. Collins enters the game for M. Leonard,28,28
85,1,1:50.0,,S. Curry enters the game for D. Lillard,28,28
86,1,1:50.0,,N. Stauskas enters the game for C. McCollum,28,28
87,1,1:31.0,,E. Turner misses 2-pt jump shot from 12 ft,28,28
88,1,1:28.0,Defensive rebound by G. Antetokounmpo,,28,28
89,1,1:18.0,J. Henson misses 3-pt jump shot from 24 ft,,28,28
90,1,1:15.0,,Defensive rebound by A. Aminu,28,28
91,1,1:08.0,,N. Stauskas misses 3-pt jump shot from 25 ft,28,28
92,1,1:06.0,Defensive rebound by E. İlyasova,,28,28
