,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,UTAH_ACTION,CLEVELAND_SCORE,UTAH_SCORE
0,1,11:48.0,,D. Favors misses 3-pt jump shot from 23 ft,0,0
1,1,11:45.0,Defensive rebound by R. Hood,,0,0
2,1,11:30.0,R. Hood misses 3-pt jump shot from 26 ft,,0,0
3,1,11:27.0,,Defensive rebound by R. Gobert,0,0
4,1,11:17.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),0,2
5,1,10:56.0,A. Burks makes 2-pt jump shot from 16 ft,,2,2
6,1,10:40.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),2,4
7,1,10:22.0,Offensive foul by R. Hood (drawn by J. Ingles),,2,4
8,1,10:22.0,Turnover by R. Hood (offensive foul),,2,4
9,1,9:59.0,,R. O'Neale misses 2-pt jump shot from 12 ft,2,4
10,1,9:55.0,,Offensive rebound by D. Favors,2,4
11,1,9:55.0,,D. Favors misses 2-pt layup from 1 ft,2,4
12,1,9:55.0,Defensive rebound by A. Žižić,,2,4
13,1,9:51.0,C. Sexton misses 2-pt jump shot from 16 ft,,2,4
14,1,9:47.0,,Defensive rebound by D. Favors,2,4
15,1,9:39.0,,Turnover by J. Ingles (out of bounds lost ball),2,4
16,1,9:27.0,Turnover by R. Hood (bad pass),,2,4
17,1,9:09.0,,Offensive foul by D. Favors (drawn by C. Osman),2,4
18,1,9:09.0,,Turnover by D. Favors (offensive foul),2,4
19,1,8:55.0,A. Burks makes 2-pt jump shot from 11 ft,,4,4
20,1,8:43.0,,D. Mitchell misses 3-pt jump shot from 25 ft,4,4
21,1,8:40.0,Defensive rebound by C. Osman,,4,4
22,1,8:32.0,C. Osman misses 3-pt jump shot from 25 ft,,4,4
23,1,8:30.0,,Defensive rebound by R. Gobert,4,4
24,1,8:18.0,,J. Ingles makes 2-pt layup from 2 ft (assist by R. Gobert),4,6
25,1,8:05.0,Turnover by C. Sexton (bad pass; steal by D. Mitchell),,4,6
26,1,8:04.0,,Personal take foul by C. Osman (drawn by D. Mitchell),4,6
27,1,7:51.0,,D. Favors misses 3-pt jump shot from 24 ft,4,6
28,1,7:46.0,Defensive rebound by A. Burks,,4,6
29,1,7:39.0,R. Hood misses 3-pt jump shot from 24 ft,,4,6
