,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,D. Mitchell misses 2-pt layup from 4 ft,,0,0
1,1,11:45.0,,Defensive rebound by W. Cauley-Stein,0,0
2,1,11:27.0,,B. Hield makes 2-pt jump shot from 21 ft (assist by W. Cauley-Stein),0,2
3,1,11:06.0,Shooting foul by B. Hield (drawn by D. Favors),,0,2
4,1,11:06.0,D. Favors misses free throw 1 of 2,,0,2
5,1,11:06.0,Offensive rebound by Team,,0,2
6,1,11:06.0,D. Favors misses free throw 2 of 2,,0,2
7,1,11:03.0,,Defensive rebound by N. Bjelica,0,2
8,1,10:56.0,,Turnover by B. Hield (bad pass; steal by R. Rubio),0,2
9,1,10:52.0,R. Rubio misses 2-pt layup from 3 ft,,0,2
10,1,10:50.0,,Defensive rebound by W. Cauley-Stein,0,2
11,1,10:43.0,,Y. Ferrell misses 2-pt layup from 4 ft (block by R. Gobert),0,2
12,1,10:38.0,,Offensive rebound by W. Cauley-Stein,0,2
13,1,10:37.0,,W. Cauley-Stein makes 2-pt layup from 3 ft,0,4
14,1,10:30.0,Turnover by J. Ingles (step out of bounds),,0,4
15,1,10:18.0,,D. Fox misses 2-pt layup from 4 ft,0,4
16,1,10:18.0,Defensive rebound by R. Gobert,,0,4
17,1,10:14.0,Offensive foul by D. Favors (drawn by N. Bjelica),,0,4
18,1,10:14.0,Turnover by D. Favors (offensive foul),,0,4
19,1,9:56.0,,N. Bjelica makes 3-pt jump shot from 26 ft,0,7
20,1,9:31.0,R. Rubio misses 2-pt jump shot from 14 ft,,0,7
21,1,9:27.0,,Defensive rebound by N. Bjelica,0,7
22,1,9:23.0,,N. Bjelica makes 2-pt layup from 3 ft,0,9
23,1,9:23.0,Utah full timeout,,0,9
24,1,9:07.0,Turnover by D. Mitchell (out of bounds lost ball),,0,9
25,1,8:59.0,,Turnover by B. Hield (lost ball; steal by J. Ingles),0,9
26,1,8:55.0,J. Ingles makes 2-pt dunk from 3 ft,,2,9
27,1,8:37.0,,B. Hield makes 2-pt layup from 5 ft,2,11
28,1,8:20.0,D. Mitchell misses 2-pt jump shot from 15 ft,,2,11
29,1,8:16.0,,Defensive rebound by N. Bjelica,2,11
30,1,8:11.0,,Shooting foul by R. Rubio (drawn by D. Fox),2,11
31,1,8:11.0,,D. Fox makes free throw 1 of 3,2,12
32,1,8:11.0,,D. Fox misses free throw 2 of 3,2,12
33,1,8:11.0,,Offensive rebound by Team,2,12
34,1,8:11.0,,D. Fox misses free throw 3 of 3,2,12
35,1,8:07.0,Defensive rebound by R. Gobert,,2,12
36,1,8:07.0,J. Crowder enters the game for D. Favors,,2,12
37,1,8:07.0,,J. Jackson enters the game for N. Bjelica,2,12
38,1,7:49.0,R. Rubio misses 2-pt jump shot from 17 ft,,2,12
39,1,7:47.0,,Defensive rebound by D. Fox,2,12
40,1,7:44.0,,Personal foul by D. Mitchell (drawn by D. Fox),2,12
41,1,7:36.0,,B. Hield makes 2-pt jump shot from 14 ft,2,14
42,1,7:21.0,J. Ingles misses 2-pt layup from 4 ft,,2,14
43,1,7:15.0,Offensive rebound by R. Gobert,,2,14
44,1,7:14.0,R. Gobert makes 2-pt dunk from 2 ft,,4,14
45,1,7:09.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),4,16
46,1,6:59.0,D. Mitchell misses 3-pt jump shot from 25 ft,,4,16
47,1,6:55.0,,Defensive rebound by B. Hield,4,16
48,1,6:47.0,,W. Cauley-Stein misses 2-pt jump shot from 13 ft,4,16
49,1,6:43.0,Defensive rebound by R. Gobert,,4,16
50,1,6:34.0,Turnover by R. Rubio (bad pass; steal by J. Jackson),,4,16
51,1,6:28.0,,J. Jackson makes 2-pt layup from 8 ft (assist by D. Fox),4,18
52,1,6:07.0,J. Ingles makes 2-pt jump shot from 13 ft,,6,18
53,1,6:02.0,Violation by Team (kicked ball),,6,18
54,1,6:02.0,A. Burks enters the game for J. Ingles,,6,18
55,1,6:02.0,,I. Shumpert enters the game for Y. Ferrell,6,18
56,1,5:48.0,,I. Shumpert misses 2-pt jump shot from 20 ft,6,18
57,1,5:44.0,Defensive rebound by J. Crowder,,6,18
58,1,5:34.0,A. Burks makes 3-pt jump shot from 25 ft,,9,18
