,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
368,4,7:57.0,Shooting foul by E. İlyasova (drawn by B. Beal),,115,133
369,4,7:57.0,B. Beal makes free throw 1 of 1,,116,133
370,4,7:42.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),116,135
371,4,7:32.0,Personal foul by E. Bledsoe (drawn by B. Beal),,116,135
372,4,7:32.0,T. Bryant enters the game for J. McRae,,116,135
373,4,7:32.0,,G. Hill enters the game for M. Brogdon,116,135
374,4,7:17.0,J. Green makes 2-pt jump shot from 18 ft,,118,135
375,4,7:07.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,118,138
376,4,7:05.0,Washington full timeout,,118,138
377,4,6:49.0,Offensive foul by B. Beal (drawn by E. İlyasova),,118,138
378,4,6:49.0,Turnover by B. Beal (offensive foul),,118,138
379,4,6:39.0,,Shooting foul by T. Ariza (drawn by G. Antetokounmpo),118,138
380,4,6:39.0,,G. Antetokounmpo makes free throw 1 of 2,118,139
381,4,6:39.0,,G. Antetokounmpo misses free throw 2 of 2,118,139
382,4,6:36.0,Defensive rebound by T. Bryant,,118,139
383,4,6:25.0,Turnover by T. Satoranský (lost ball; steal by G. Antetokounmpo),,118,139
384,4,6:23.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,118,141
385,4,6:23.0,,Shooting foul by J. Green (drawn by G. Antetokounmpo),118,141
386,4,6:23.0,,D. Wilson enters the game for E. İlyasova,118,141
387,4,6:23.0,,G. Antetokounmpo misses free throw 1 of 1,118,141
388,4,6:20.0,Defensive rebound by T. Bryant,,118,141
389,4,6:11.0,Personal foul by G. Antetokounmpo (drawn by T. Bryant),,118,141
390,4,6:03.0,T. Bryant makes 2-pt layup from 1 ft (assist by T. Satoranský),,120,141
391,4,6:03.0,Shooting foul by D. Wilson (drawn by T. Bryant),,120,141
392,4,6:03.0,T. Bryant makes free throw 1 of 1,,121,141
393,4,5:52.0,,Personal foul by T. Satoranský (drawn by G. Antetokounmpo),121,141
394,4,5:52.0,,G. Antetokounmpo makes free throw 1 of 2,121,142
395,4,5:52.0,,G. Antetokounmpo misses free throw 2 of 2,121,142
396,4,5:48.0,Defensive rebound by T. Ariza,,121,142
397,4,5:45.0,Turnover by J. Green (out of bounds lost ball),,121,142
398,4,5:24.0,,E. Bledsoe misses 2-pt jump shot from 21 ft,121,142
399,4,5:21.0,Defensive rebound by B. Beal,,121,142
400,4,5:11.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by T. Bryant),,124,142
401,4,4:59.0,,E. Bledsoe misses 2-pt layup from 1 ft,124,142
402,4,4:56.0,Defensive rebound by J. Green,,124,142
403,4,4:55.0,Turnover by J. Green (bad pass; steal by G. Hill),,124,142
404,4,4:50.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,124,142
405,4,4:49.0,Defensive rebound by T. Satoranský,,124,142
406,4,4:44.0,T. Satoranský misses 2-pt layup from 2 ft,,124,142
407,4,4:44.0,Offensive rebound by Team,,124,142
408,4,4:44.0,,Loose ball foul by G. Hill (drawn by T. Satoranský),124,142
409,4,4:44.0,T. Satoranský misses free throw 1 of 2,,124,142
410,4,4:44.0,Offensive rebound by Team,,124,142
411,4,4:44.0,,S. Brown enters the game for T. Snell,124,142
412,4,4:44.0,T. Satoranský makes free throw 2 of 2,,125,142
413,4,4:25.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by J. Green),125,142
414,4,4:20.0,Defensive rebound by T. Satoranský,,125,142
415,4,4:19.0,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Ariza),,127,142
416,4,4:19.0,,Milwaukee full timeout,127,142
417,4,4:19.0,,M. Brogdon enters the game for G. Antetokounmpo,127,142
418,4,4:19.0,,B. Lopez enters the game for E. Bledsoe,127,142
419,4,4:10.0,,Personal foul by B. Beal (drawn by M. Brogdon),127,142
420,4,4:10.0,,M. Brogdon makes free throw 1 of 2,127,143
421,4,4:10.0,,M. Brogdon misses free throw 2 of 2,127,143
422,4,4:07.0,Defensive rebound by T. Bryant,,127,143
423,4,3:52.0,T. Ariza misses 2-pt layup from 13 ft,,127,143
424,4,3:50.0,Offensive rebound by T. Bryant,,127,143
425,4,3:48.0,B. Beal misses 3-pt jump shot from 27 ft,,127,143
426,4,3:48.0,Offensive rebound by T. Ariza,,127,143
427,4,3:45.0,Turnover by T. Ariza (bad pass; steal by B. Lopez),,127,143
428,4,3:30.0,,G. Hill makes 3-pt jump shot from 27 ft (assist by B. Lopez),127,146
429,4,3:15.0,T. Bryant misses 3-pt jump shot from 28 ft,,127,146
430,4,3:12.0,,Defensive rebound by S. Brown,127,146
431,4,2:57.0,,Turnover by M. Brogdon (bad pass; steal by T. Satoranský),127,146
432,4,2:48.0,B. Beal misses 2-pt layup from 5 ft (block by G. Hill),,127,146
433,4,2:48.0,Offensive rebound by Team,,127,146
434,4,2:48.0,S. Dekker enters the game for T. Ariza,,127,146
435,4,2:48.0,J. Jenkins enters the game for B. Beal,,127,146
436,4,2:48.0,J. McRae enters the game for J. Green,,127,146
437,4,2:48.0,C. Randle enters the game for T. Satoranský,,127,146
438,4,2:48.0,,P. Connaughton enters the game for M. Brogdon,127,146
439,4,2:48.0,,C. Wood enters the game for B. Lopez,127,146
440,4,2:42.0,T. Bryant misses 2-pt jump shot from 17 ft,,127,146
441,4,2:40.0,,Defensive rebound by D. Wilson,127,146
442,4,2:21.0,,C. Wood misses 2-pt layup from 2 ft,127,146
443,4,2:20.0,Defensive rebound by Team,,127,146
444,4,2:10.0,J. McRae makes 2-pt jump shot from 13 ft (assist by S. Dekker),,129,146
445,4,1:52.0,,Shooting foul by S. Dekker (drawn by S. Brown),129,146
446,4,1:52.0,,S. Brown makes free throw 1 of 2,129,147
447,4,1:52.0,,S. Brown misses free throw 2 of 2,129,147
448,4,1:49.0,Defensive rebound by T. Bryant,,129,147
449,4,1:43.0,C. Randle misses 2-pt layup from 2 ft,,129,147
450,4,1:43.0,Offensive rebound by Team,,129,147
451,4,1:33.0,J. McRae misses 3-pt jump shot from 27 ft,,129,147
452,4,1:33.0,,Defensive rebound by S. Brown,129,147
453,4,1:18.0,,G. Hill misses 3-pt jump shot from 27 ft,129,147
454,4,1:15.0,Defensive rebound by T. Bryant,,129,147
455,4,1:12.0,Turnover by J. McRae (bad pass),,129,147
456,4,0:57.0,,Shooting foul by C. Randle (drawn by P. Connaughton),129,147
457,4,0:57.0,,P. Connaughton makes free throw 1 of 2,129,148
458,4,0:57.0,,P. Connaughton misses free throw 2 of 2,129,148
459,4,0:53.0,Defensive rebound by S. Dekker,,129,148
460,4,0:50.0,Turnover by J. McRae (bad pass; steal by S. Brown),,129,148
461,4,0:46.0,,C. Wood misses 2-pt layup from 5 ft,129,148
462,4,0:46.0,,Offensive rebound by Team,129,148
463,4,0:39.0,,D. Wilson misses 3-pt jump shot from 24 ft,129,148
464,4,0:35.0,Defensive rebound by T. Bryant,,129,148
465,4,0:25.0,S. Dekker misses 2-pt jump shot from 21 ft,,129,148
466,4,0:21.0,,Defensive rebound by S. Brown,129,148
