,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
108,1,1:24.0,L. Thomas misses 2-pt jump shot from 19 ft,,15,18
109,1,1:21.0,,Defensive rebound by D. Howard,15,18
110,1,1:10.0,,J. Wall makes 2-pt layup from 1 ft,15,20
111,1,0:57.0,Offensive foul by A. Trier (drawn by J. Wall),,15,20
112,1,0:57.0,Turnover by A. Trier (offensive foul),,15,20
113,1,0:57.0,T. Burke enters the game for L. Thomas,,15,20
114,1,0:45.0,,J. Green makes 2-pt layup from 1 ft (assist by A. Rivers),15,22
115,1,0:32.0,E. Mudiay misses 2-pt jump shot from 13 ft,,15,22
116,1,0:30.0,,Defensive rebound by Team,15,22
117,1,0:06.0,,J. Green makes 2-pt jump shot from 19 ft (assist by J. Wall),15,24
118,1,0:00.0,A. Trier makes 2-pt layup from 2 ft,,17,24
119,2,11:40.0,,Shooting foul by E. Freedom (drawn by J. Green),17,24
120,2,11:40.0,,J. Green makes free throw 1 of 2,17,25
121,2,11:40.0,,J. Green makes free throw 2 of 2,17,26
122,2,11:35.0,Personal foul by K. Oubre (drawn by T. Burke),,17,26
123,2,11:27.0,Offensive foul by A. Trier (drawn by A. Rivers),,17,26
124,2,11:27.0,Turnover by A. Trier (offensive foul),,17,26
125,2,11:17.0,,Turnover by A. Rivers (out of bounds lost ball),17,26
126,2,11:14.0,Offensive foul by E. Mudiay (drawn by K. Oubre),,17,26
127,2,11:14.0,Turnover by E. Mudiay (offensive foul),,17,26
128,2,11:14.0,D. Dotson enters the game for A. Trier,,17,26
129,2,11:05.0,,K. Oubre misses 2-pt hook shot from 4 ft,17,26
130,2,11:04.0,Defensive rebound by E. Freedom,,17,26
131,2,10:54.0,T. Burke misses 2-pt layup from 4 ft,,17,26
132,2,10:53.0,Offensive rebound by E. Freedom,,17,26
133,2,10:53.0,E. Freedom misses 2-pt layup at rim,,17,26
134,2,10:53.0,Offensive rebound by T. Burke,,17,26
135,2,10:53.0,Turnover by T. Burke (step out of bounds),,17,26
136,2,10:41.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by T. Satoranský),17,29
137,2,10:35.0,New York full timeout,,17,29
138,2,10:24.0,M. Hezonja misses 3-pt jump shot from 26 ft (block by K. Oubre),,17,29
139,2,10:23.0,Offensive rebound by E. Freedom,,17,29
140,2,10:23.0,T. Burke makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,20,29
141,2,9:56.0,,Shooting foul by M. Hezonja (drawn by M. Morris),20,29
142,2,9:56.0,,M. Morris makes free throw 1 of 2,20,30
143,2,9:56.0,,M. Morris makes free throw 2 of 2,20,31
144,2,9:45.0,T. Burke misses 3-pt jump shot from 27 ft,,20,31
145,2,9:45.0,Offensive rebound by E. Freedom,,20,31
146,2,9:43.0,E. Freedom misses 2-pt layup from 2 ft,,20,31
147,2,9:43.0,,Defensive rebound by J. Green,20,31
148,2,9:34.0,,J. Green misses 2-pt layup from 2 ft,20,31
149,2,9:32.0,,Offensive rebound by J. Green,20,31
150,2,9:31.0,,J. Green misses 2-pt layup from 2 ft,20,31
151,2,9:30.0,Defensive rebound by E. Freedom,,20,31
152,2,9:26.0,M. Hezonja makes 2-pt layup from 6 ft (assist by T. Burke),,22,31
153,2,9:20.0,,Shooting foul by D. Dotson (drawn by A. Rivers),22,31
154,2,9:20.0,,A. Rivers misses free throw 1 of 2,22,31
155,2,9:20.0,,Offensive rebound by Team,22,31
156,2,9:20.0,,A. Rivers makes free throw 2 of 2,22,32
157,2,9:02.0,Turnover by D. Dotson (bad pass; steal by A. Rivers),,22,32
158,2,8:58.0,,K. Oubre makes 2-pt dunk from 2 ft (assist by A. Rivers),22,34
159,2,8:42.0,E. Freedom makes 2-pt layup from 2 ft (assist by T. Burke),,24,34
160,2,8:25.0,,Turnover by J. Green (bad pass; steal by M. Hezonja),24,34
161,2,8:16.0,E. Freedom makes 2-pt layup from 3 ft (assist by M. Hezonja),,26,34
162,2,7:57.0,,K. Oubre misses 2-pt jump shot from 12 ft,26,34
163,2,7:55.0,Defensive rebound by M. Hezonja,,26,34
164,2,7:53.0,E. Freedom makes 2-pt dunk from 1 ft (assist by M. Hezonja),,28,34
165,2,7:53.0,,Washington full timeout,28,34
166,2,7:53.0,T. Hardaway enters the game for E. Mudiay,,28,34
167,2,7:53.0,,B. Beal enters the game for J. Green,28,34
168,2,7:53.0,,D. Howard enters the game for K. Oubre,28,34
169,2,7:34.0,,T. Satoranský makes 2-pt jump shot from 10 ft (assist by M. Morris),28,36
170,2,7:21.0,Flagrant foul type 1 by D. Howard (drawn by E. Freedom),,28,36
171,2,7:21.0,E. Freedom makes flagrant free throw 1 of 2,,29,36
172,2,7:21.0,F. Ntilikina enters the game for D. Dotson,,29,36
173,2,7:21.0,,J. Wall enters the game for T. Satoranský,29,36
174,2,7:21.0,E. Freedom makes flagrant free throw 2 of 2,,30,36
175,2,7:15.0,T. Burke misses 2-pt jump shot from 19 ft,,30,36
176,2,7:11.0,,Defensive rebound by J. Wall,30,36
177,2,7:03.0,,D. Howard makes 2-pt dunk from 2 ft (assist by M. Morris),30,38
178,2,6:51.0,T. Hardaway misses 2-pt layup from 2 ft,,30,38
179,2,6:48.0,,Defensive rebound by B. Beal,30,38
180,2,6:39.0,,M. Morris misses 3-pt jump shot from 25 ft,30,38
181,2,6:35.0,Defensive rebound by M. Hezonja,,30,38
182,2,6:25.0,T. Hardaway misses 3-pt jump shot from 29 ft,,30,38
183,2,6:23.0,,Defensive rebound by D. Howard,30,38
184,2,6:07.0,,Personal foul by F. Ntilikina (drawn by J. Wall),30,38
185,2,6:07.0,M. Robinson enters the game for M. Hezonja,,30,38
186,2,5:54.0,,A. Rivers misses 3-pt jump shot from 23 ft,30,38
187,2,5:52.0,,Offensive rebound by M. Morris,30,38
188,2,5:52.0,,Shooting foul by T. Hardaway (drawn by M. Morris),30,38
189,2,5:52.0,,M. Morris makes free throw 1 of 2,30,39
190,2,5:52.0,,M. Morris makes free throw 2 of 2,30,40
191,2,5:42.0,Turnover by F. Ntilikina (bad pass; steal by A. Rivers),,30,40
192,2,5:38.0,,Turnover by J. Wall (bad pass; steal by T. Burke),30,40
193,2,5:32.0,T. Burke makes 2-pt layup from 1 ft,,32,40
194,2,5:16.0,,M. Morris makes 2-pt layup from 4 ft (assist by J. Wall),32,42
195,2,5:16.0,N. Vonleh enters the game for E. Freedom,,32,42
196,2,4:59.0,T. Burke misses 2-pt jump shot from 19 ft,,32,42
197,2,4:56.0,Offensive rebound by M. Robinson,,32,42
198,2,4:55.0,M. Robinson misses 2-pt layup from 4 ft,,32,42
199,2,4:53.0,,Defensive rebound by D. Howard,32,42
200,2,4:44.0,,Shooting foul by M. Robinson (drawn by J. Wall),32,42
201,2,4:44.0,,J. Wall makes free throw 1 of 2,32,43
202,2,4:44.0,,J. Wall makes free throw 2 of 2,32,44
203,2,4:29.0,T. Burke makes 2-pt jump shot from 11 ft,,34,44
204,2,4:17.0,,M. Morris makes 2-pt dunk from 2 ft (assist by J. Wall),34,46
205,2,4:10.0,Shooting foul by D. Howard (drawn by T. Hardaway),,34,46
206,2,4:10.0,D. Dotson enters the game for T. Burke,,34,46
207,2,4:10.0,,J. Green enters the game for D. Howard,34,46
208,2,4:10.0,T. Hardaway misses free throw 1 of 2,,34,46
209,2,4:10.0,Offensive rebound by Team,,34,46
210,2,4:10.0,T. Hardaway makes free throw 2 of 2,,35,46
211,2,3:57.0,,Personal foul by N. Vonleh (drawn by B. Beal),35,46
212,2,3:57.0,,B. Beal makes free throw 1 of 2,35,47
213,2,3:57.0,M. Hezonja enters the game for N. Vonleh,,35,47
214,2,3:57.0,,B. Beal makes free throw 2 of 2,35,48
215,2,3:44.0,F. Ntilikina makes 2-pt jump shot from 11 ft,,37,48
216,2,3:23.0,,B. Beal misses 3-pt jump shot from 26 ft,37,48
217,2,3:17.0,,Offensive rebound by J. Green,37,48
218,2,3:17.0,,J. Green misses 2-pt layup from 3 ft,37,48
219,2,3:13.0,,Offensive rebound by J. Green,37,48
220,2,3:13.0,,J. Green makes 2-pt layup from 1 ft,37,50
221,2,3:03.0,T. Hardaway misses 2-pt jump shot from 15 ft,,37,50
222,2,3:02.0,Offensive rebound by Team,,37,50
223,2,3:00.0,D. Dotson makes 2-pt jump shot from 17 ft (assist by T. Hardaway),,39,50
224,2,2:40.0,,Shooting foul by F. Ntilikina (drawn by M. Morris),39,50
225,2,2:40.0,,M. Morris makes free throw 1 of 2,39,51
226,2,2:40.0,,K. Oubre enters the game for A. Rivers,39,51
227,2,2:40.0,,M. Morris makes free throw 2 of 2,39,52
228,2,2:18.0,D. Dotson makes 2-pt jump shot from 16 ft,,41,52
229,2,1:59.0,,Turnover by J. Wall (bad pass; steal by M. Hezonja),41,52
230,2,1:59.0,Personal foul by J. Green (drawn by F. Ntilikina),,41,52
231,2,1:44.0,D. Dotson makes 2-pt layup from 2 ft (assist by T. Hardaway),,43,52
232,2,1:44.0,Shooting foul by M. Morris (drawn by D. Dotson),,43,52
233,2,1:44.0,D. Dotson makes free throw 1 of 1,,44,52
234,2,1:28.0,,J. Wall misses 2-pt jump shot from 14 ft,44,52
235,2,1:25.0,,Offensive rebound by M. Morris,44,52
236,2,1:24.0,,M. Morris makes 2-pt layup from 5 ft,44,54
237,2,1:15.0,Turnover by F. Ntilikina (bad pass; steal by M. Morris),,44,54
238,2,1:10.0,,J. Green misses 2-pt layup from 7 ft (block by F. Ntilikina),44,54
239,2,1:06.0,,Offensive rebound by J. Green,44,54
240,2,1:05.0,,J. Green makes 2-pt layup from 2 ft,44,56
241,2,0:57.0,M. Robinson makes 2-pt dunk from 3 ft (assist by F. Ntilikina),,46,56
242,2,0:35.0,,B. Beal makes 2-pt jump shot from 11 ft,46,58
243,2,0:28.0,M. Robinson makes 2-pt layup from 6 ft (assist by F. Ntilikina),,48,58
244,2,0:07.0,,M. Morris misses 2-pt jump shot from 13 ft,48,58
245,2,0:03.0,Defensive rebound by M. Hezonja,,48,58
246,2,0:01.0,D. Dotson makes 2-pt layup from 3 ft (assist by M. Hezonja),,50,58
247,3,11:47.0,,D. Howard misses 2-pt hook shot from 10 ft,50,58
248,3,11:43.0,Defensive rebound by N. Vonleh,,50,58
249,3,11:23.0,N. Vonleh makes 2-pt jump shot from 14 ft,,52,58
250,3,11:02.0,,K. Oubre makes 3-pt jump shot from 24 ft (assist by B. Beal),52,61
251,3,10:48.0,D. Dotson misses 2-pt jump shot from 11 ft,,52,61
252,3,10:46.0,,Defensive rebound by D. Howard,52,61
253,3,10:39.0,,Personal foul by F. Ntilikina (drawn by D. Howard),52,61
254,3,10:32.0,,M. Morris misses 2-pt jump shot from 18 ft,52,61
255,3,10:31.0,Defensive rebound by Team,,52,61
256,3,10:31.0,,Loose ball foul by K. Oubre (drawn by M. Robinson),52,61
257,3,10:18.0,N. Vonleh misses 3-pt jump shot from 26 ft,,52,61
258,3,10:13.0,,Defensive rebound by D. Howard,52,61
259,3,10:08.0,,Shooting foul by M. Robinson (drawn by K. Oubre),52,61
260,3,10:08.0,,K. Oubre makes free throw 1 of 2,52,62
261,3,10:08.0,,K. Oubre misses free throw 2 of 2,52,62
262,3,10:06.0,Defensive rebound by N. Vonleh,,52,62
263,3,9:55.0,T. Hardaway misses 2-pt layup from 1 ft,,52,62
264,3,9:52.0,Offensive rebound by M. Robinson,,52,62
265,3,9:51.0,M. Robinson makes 2-pt dunk from 2 ft,,54,62
266,3,9:35.0,,D. Howard makes 2-pt dunk from 2 ft (assist by B. Beal),54,64
267,3,9:17.0,F. Ntilikina makes 2-pt jump shot from 14 ft (assist by T. Hardaway),,56,64
268,3,8:59.0,,Offensive foul by M. Morris (drawn by T. Hardaway),56,64
269,3,8:59.0,,Turnover by M. Morris (offensive foul),56,64
270,3,8:44.0,T. Hardaway makes 2-pt jump shot from 12 ft,,58,64
271,3,8:28.0,,Personal foul by N. Vonleh (drawn by D. Howard),58,64
272,3,8:23.0,,B. Beal misses 3-pt jump shot from 27 ft,58,64
273,3,8:19.0,,Offensive rebound by D. Howard,58,64
274,3,8:19.0,,D. Howard misses 2-pt layup from 3 ft,58,64
275,3,8:19.0,Defensive rebound by N. Vonleh,,58,64
276,3,7:57.0,F. Ntilikina makes 2-pt jump shot from 12 ft,,60,64
277,3,7:43.0,,Shooting foul by F. Ntilikina (drawn by J. Wall),60,64
278,3,7:43.0,,J. Wall makes free throw 1 of 2,60,65
279,3,7:43.0,E. Mudiay enters the game for F. Ntilikina,,60,65
280,3,7:43.0,,J. Wall makes free throw 2 of 2,60,66
281,3,7:19.0,E. Mudiay misses 3-pt jump shot from 24 ft (block by M. Morris),,60,66
282,3,7:18.0,Offensive rebound by Team,,60,66
283,3,7:18.0,Turnover by Team (shot clock),,60,66
284,3,7:06.0,,M. Morris misses 2-pt jump shot from 9 ft (block by E. Mudiay),60,66
285,3,7:06.0,Defensive rebound by Team,,60,66
286,3,6:42.0,Turnover by Team (shot clock),,60,66
287,3,6:42.0,,Washington full timeout,60,66
288,3,6:29.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),60,69
289,3,6:11.0,Personal foul by M. Morris (drawn by T. Hardaway),,60,69
290,3,6:06.0,Turnover by D. Dotson (bad pass; steal by J. Wall),,60,69
291,3,6:02.0,,J. Wall makes 3-pt jump shot from 23 ft,60,72
292,3,6:01.0,New York full timeout,,60,72
293,3,6:01.0,E. Freedom enters the game for T. Hardaway,,60,72
294,3,6:01.0,A. Trier enters the game for N. Vonleh,,60,72
295,3,5:38.0,E. Freedom makes 2-pt hook shot from 7 ft (assist by D. Dotson),,62,72
296,3,5:23.0,,M. Morris misses 3-pt jump shot from 23 ft,62,72
297,3,5:23.0,Defensive rebound by D. Dotson,,62,72
298,3,5:17.0,Turnover by E. Mudiay (bad pass; steal by J. Wall),,62,72
299,3,5:13.0,,J. Wall makes 2-pt layup from 3 ft,62,74
300,3,5:13.0,,Shooting foul by E. Mudiay (drawn by J. Wall),62,74
301,3,5:13.0,,J. Wall misses free throw 1 of 1,62,74
302,3,5:13.0,Defensive rebound by A. Trier,,62,74
303,3,4:54.0,Turnover by E. Freedom (lost ball; steal by D. Howard),,62,74
304,3,4:48.0,,K. Oubre misses 3-pt jump shot from 26 ft,62,74
305,3,4:44.0,Defensive rebound by D. Dotson,,62,74
306,3,4:36.0,D. Dotson misses 2-pt jump shot from 19 ft,,62,74
307,3,4:34.0,,Defensive rebound by K. Oubre,62,74
308,3,4:29.0,,Turnover by K. Oubre (bad pass; steal by E. Mudiay),62,74
309,3,4:26.0,E. Mudiay makes 2-pt dunk from 1 ft,,64,74
310,3,4:01.0,,J. Wall makes 3-pt jump shot from 27 ft (assist by M. Morris),64,77
311,3,3:44.0,Shooting foul by D. Howard (drawn by A. Trier),,64,77
312,3,3:44.0,,Technical foul by J. Wall,64,77
313,3,3:44.0,Technical foul by A. Trier,,64,77
314,3,3:44.0,A. Trier makes free throw 1 of 2,,65,77
315,3,3:44.0,M. Hezonja enters the game for D. Dotson,,65,77
316,3,3:44.0,,J. Green enters the game for D. Howard,65,77
317,3,3:44.0,A. Trier misses free throw 2 of 2,,65,77
318,3,3:41.0,Offensive rebound by M. Robinson,,65,77
319,3,3:35.0,A. Trier makes 2-pt layup from 3 ft,,67,77
320,3,3:08.0,,K. Oubre misses 3-pt jump shot from 26 ft,67,77
321,3,3:06.0,,Offensive rebound by J. Green,67,77
322,3,3:05.0,,J. Wall misses 3-pt jump shot from 27 ft,67,77
323,3,3:01.0,Defensive rebound by A. Trier,,67,77
324,3,2:58.0,A. Trier misses 2-pt layup from 1 ft (block by B. Beal),,67,77
325,3,2:58.0,Offensive rebound by Team,,67,77
326,3,2:53.0,M. Hezonja misses 3-pt jump shot from 25 ft,,67,77
327,3,2:50.0,Offensive rebound by E. Freedom,,67,77
328,3,2:39.0,M. Hezonja misses 2-pt jump shot from 10 ft (block by M. Morris),,67,77
329,3,2:35.0,,Defensive rebound by K. Oubre,67,77
330,3,2:21.0,,Turnover by J. Wall (out of bounds lost ball),67,77
331,3,2:21.0,,Washington full timeout,67,77
332,3,2:21.0,T. Burke enters the game for M. Robinson,,67,77
333,3,2:21.0,,A. Rivers enters the game for K. Oubre,67,77
334,3,2:21.0,,T. Satoranský enters the game for J. Wall,67,77
335,3,2:11.0,Personal foul by A. Rivers (drawn by A. Trier),,67,77
336,3,2:03.0,A. Trier misses 2-pt jump shot from 20 ft,,67,77
337,3,1:58.0,Offensive rebound by E. Freedom,,67,77
338,3,1:58.0,E. Freedom makes 2-pt layup from 1 ft,,69,77
339,3,1:49.0,,T. Satoranský misses 2-pt jump shot from 4 ft,69,77
340,3,1:48.0,,Offensive rebound by M. Morris,69,77
341,3,1:48.0,,M. Morris misses 2-pt layup at rim,69,77
342,3,1:48.0,,Offensive rebound by T. Satoranský,69,77
343,3,1:48.0,,Personal foul by E. Freedom (drawn by T. Satoranský),69,77
344,3,1:48.0,,T. Satoranský makes free throw 1 of 2,69,78
345,3,1:48.0,,T. Satoranský makes free throw 2 of 2,69,79
346,3,1:34.0,M. Hezonja makes 2-pt jump shot from 12 ft,,71,79
347,3,1:18.0,,J. Green misses 2-pt jump shot from 14 ft,71,79
348,3,1:17.0,Defensive rebound by E. Freedom,,71,79
349,3,0:59.0,M. Hezonja makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,74,79
350,3,0:39.0,,M. Morris makes 2-pt jump shot from 10 ft (assist by A. Rivers),74,81
351,3,0:33.0,Shooting foul by J. Green (drawn by E. Mudiay),,74,81
352,3,0:33.0,E. Mudiay makes free throw 1 of 3,,75,81
353,3,0:33.0,E. Mudiay misses free throw 2 of 3,,75,81
354,3,0:33.0,Offensive rebound by Team,,75,81
355,3,0:33.0,E. Mudiay makes free throw 3 of 3,,76,81
356,3,0:30.0,,B. Beal misses 3-pt jump shot from 27 ft,76,81
357,3,0:24.0,Defensive rebound by M. Hezonja,,76,81
358,3,0:09.0,A. Trier makes 2-pt layup from 1 ft,,78,81
359,4,11:45.0,Turnover by A. Trier (lost ball; steal by A. Rivers),,78,81
360,4,11:43.0,,Shooting foul by E. Mudiay (drawn by A. Rivers),78,81
361,4,11:43.0,,A. Rivers makes free throw 1 of 2,78,82
362,4,11:43.0,,A. Rivers misses free throw 2 of 2,78,82
363,4,11:41.0,Defensive rebound by M. Hezonja,,78,82
364,4,11:22.0,E. Freedom makes 2-pt layup from 1 ft,,80,82
365,4,11:14.0,,Turnover by T. Satoranský (bad pass),80,82
366,4,11:14.0,,Loose ball foul by J. Green (drawn by E. Mudiay),80,82
367,4,10:56.0,T. Burke makes 2-pt layup from 6 ft,,82,82
368,4,10:48.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),82,84
369,4,10:30.0,M. Hezonja misses 2-pt layup from 8 ft (block by J. Green),,82,84
370,4,10:28.0,,Defensive rebound by T. Satoranský,82,84
371,4,10:25.0,,B. Beal misses 3-pt jump shot from 25 ft,82,84
372,4,10:20.0,,Offensive rebound by J. Smith,82,84
373,4,10:20.0,,J. Smith misses 2-pt layup at rim,82,84
374,4,10:20.0,Defensive rebound by E. Mudiay,,82,84
375,4,10:20.0,Personal foul by T. Satoranský (drawn by E. Mudiay),,82,84
376,4,10:20.0,,J. Wall enters the game for T. Satoranský,82,84
377,4,10:09.0,,Violation by Team (kicked ball),82,84
378,4,10:00.0,Turnover by T. Burke (traveling),,82,84
379,4,9:52.0,,Offensive foul by B. Beal (drawn by A. Trier),82,84
380,4,9:52.0,,Turnover by B. Beal (offensive foul),82,84
381,4,9:41.0,M. Hezonja misses 3-pt jump shot from 26 ft,,82,84
382,4,9:38.0,Offensive rebound by E. Freedom,,82,84
383,4,9:38.0,E. Freedom makes 2-pt layup from 1 ft,,84,84
384,4,9:24.0,,J. Wall makes 2-pt jump shot from 14 ft,84,86
