,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
382,4,8:56.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by D. Graham),,75,87
383,4,8:43.0,,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by D. Mitchell),75,90
384,4,8:25.0,M. Monk makes 3-pt jump shot from 26 ft (assist by W. Hernangómez),,78,90
385,4,8:01.0,,R. Neto misses 2-pt jump shot from 8 ft,78,90
386,4,7:58.0,Defensive rebound by M. Monk,,78,90
387,4,7:51.0,Turnover by M. Monk (bad pass; steal by D. Mitchell),,78,90
388,4,7:45.0,,R. Neto misses 2-pt layup from 3 ft,78,90
389,4,7:43.0,,Offensive rebound by R. Neto,78,90
390,4,7:41.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Neto),78,92
391,4,7:24.0,Personal foul by R. Neto (drawn by D. Graham),,78,92
392,4,7:24.0,K. Walker enters the game for M. Monk,,78,92
393,4,7:24.0,,R. Rubio enters the game for R. Neto,78,92
394,4,7:18.0,W. Hernangómez misses 3-pt jump shot from 25 ft,,78,92
395,4,7:15.0,,Defensive rebound by R. Gobert,78,92
396,4,7:11.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Mitchell),78,95
397,4,7:09.0,Charlotte full timeout,,78,95
398,4,7:09.0,M. Monk enters the game for J. Lamb,,78,95
399,4,6:52.0,W. Hernangómez misses 2-pt hook shot from 9 ft,,78,95
400,4,6:49.0,,Defensive rebound by R. Gobert,78,95
401,4,6:39.0,,Turnover by R. Rubio (bad pass; steal by W. Hernangómez),78,95
402,4,6:36.0,W. Hernangómez makes 2-pt dunk from 2 ft,,80,95
403,4,6:21.0,,D. Mitchell misses 2-pt jump shot from 9 ft,80,95
404,4,6:19.0,,Offensive rebound by R. Gobert,80,95
405,4,6:19.0,,Personal foul by W. Hernangómez (drawn by R. Gobert),80,95
406,4,6:03.0,,D. Mitchell makes 2-pt jump shot from 7 ft,80,97
407,4,5:51.0,K. Walker misses 2-pt jump shot from 19 ft,,80,97
408,4,5:48.0,,Defensive rebound by T. Sefolosha,80,97
409,4,5:40.0,,Turnover by R. Rubio (lost ball; steal by M. Kidd-Gilchrist),80,97
410,4,5:33.0,M. Kidd-Gilchrist misses 2-pt jump shot from 11 ft,,80,97
411,4,5:30.0,,Defensive rebound by T. Sefolosha,80,97
412,4,5:25.0,,Turnover by T. Sefolosha (bad pass),80,97
413,4,5:04.0,Shooting foul by R. Rubio (drawn by K. Walker),,80,97
414,4,5:04.0,K. Walker makes free throw 1 of 3,,81,97
415,4,5:04.0,M. Williams enters the game for M. Kidd-Gilchrist,,81,97
416,4,5:04.0,,J. Ingles enters the game for R. Gobert,81,97
417,4,5:04.0,,E. Udoh enters the game for R. O'Neale,81,97
418,4,5:04.0,K. Walker makes free throw 2 of 3,,82,97
419,4,5:04.0,K. Walker makes free throw 3 of 3,,83,97
420,4,4:50.0,,Turnover by R. Rubio (bad pass; steal by M. Monk),83,97
421,4,4:42.0,Turnover by W. Hernangómez (bad pass; steal by E. Udoh),,83,97
422,4,4:36.0,,R. Rubio misses 2-pt layup from 4 ft,83,97
423,4,4:34.0,,Offensive rebound by R. Rubio,83,97
424,4,4:33.0,,R. Rubio misses 2-pt jump shot from 2 ft,83,97
425,4,4:30.0,Defensive rebound by K. Walker,,83,97
426,4,4:17.0,K. Walker makes 3-pt jump shot from 25 ft,,86,97
427,4,4:10.0,,Personal take foul by D. Graham (drawn by R. Rubio),86,97
428,4,4:10.0,M. Bridges enters the game for M. Williams,,86,97
429,4,4:10.0,,R. Gobert enters the game for E. Udoh,86,97
430,4,4:00.0,,D. Mitchell makes 2-pt layup from 3 ft,86,99
431,4,3:47.0,D. Graham misses 2-pt jump shot from 12 ft,,86,99
432,4,3:42.0,,Defensive rebound by J. Ingles,86,99
433,4,3:34.0,,Personal foul by M. Monk (drawn by R. Gobert),86,99
434,4,3:26.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by R. Rubio),86,102
435,4,3:14.0,K. Walker makes 2-pt layup from 2 ft,,88,102
436,4,3:14.0,Shooting foul by R. Gobert (drawn by K. Walker),,88,102
437,4,3:14.0,M. Kidd-Gilchrist enters the game for W. Hernangómez,,88,102
438,4,3:14.0,K. Walker makes free throw 1 of 1,,89,102
439,4,3:14.0,,Utah full timeout,89,102
440,4,2:56.0,,R. Rubio misses 2-pt jump shot from 8 ft,89,102
441,4,2:54.0,Defensive rebound by M. Monk,,89,102
442,4,2:36.0,K. Walker makes 2-pt jump shot from 22 ft,,91,102
443,4,2:09.0,,Turnover by D. Mitchell (lost ball; steal by M. Kidd-Gilchrist),91,102
444,4,1:56.0,M. Monk misses 3-pt jump shot from 25 ft,,91,102
445,4,1:53.0,,Defensive rebound by R. Gobert,91,102
446,4,1:40.0,,Shooting foul by M. Monk (drawn by R. Gobert),91,102
447,4,1:40.0,,R. Gobert misses free throw 1 of 2,91,102
448,4,1:40.0,,Offensive rebound by Team,91,102
449,4,1:40.0,,R. Gobert misses free throw 2 of 2,91,102
450,4,1:38.0,Defensive rebound by M. Bridges,,91,102
451,4,1:27.0,K. Walker makes 2-pt layup from 2 ft,,93,102
452,4,1:15.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. Rubio),93,105
453,4,1:10.0,K. Walker makes 3-pt jump shot from 25 ft,,96,105
454,4,0:51.0,,D. Mitchell misses 2-pt layup from 7 ft,96,105
455,4,0:48.0,Defensive rebound by K. Walker,,96,105
456,4,0:46.0,D. Graham misses 3-pt jump shot from 23 ft,,96,105
457,4,0:42.0,,Defensive rebound by D. Mitchell,96,105
458,4,0:33.0,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Rubio),96,105
459,4,0:33.0,,R. Rubio makes free throw 1 of 2,96,106
460,4,0:33.0,,R. Rubio makes free throw 2 of 2,96,107
461,4,0:27.0,K. Walker makes 3-pt jump shot from 25 ft,,99,107
462,4,0:21.0,,Personal take foul by M. Monk (drawn by R. Rubio),99,107
463,4,0:21.0,,R. Rubio makes free throw 1 of 2,99,108
464,4,0:21.0,,R. Rubio makes free throw 2 of 2,99,109
465,4,0:13.0,K. Walker makes 3-pt jump shot from 25 ft,,102,109
466,4,0:10.0,,Personal take foul by D. Graham (drawn by D. Mitchell),102,109
467,4,0:10.0,,D. Mitchell makes free throw 1 of 2,102,110
468,4,0:10.0,,D. Mitchell makes free throw 2 of 2,102,111
469,4,0:05.0,Turnover by K. Walker (lost ball; steal by T. Sefolosha),,102,111
