,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
387,3,1:34.0,Shooting foul by V. Carter (drawn by M. Harrell),,81,94
388,3,1:34.0,M. Harrell makes free throw 1 of 2,,82,94
389,3,1:34.0,M. Harrell makes free throw 2 of 2,,83,94
390,3,1:26.0,,V. Carter misses 3-pt jump shot from 25 ft,83,94
391,3,1:22.0,Defensive rebound by L. Williams,,83,94
392,3,1:11.0,Shooting foul by J. Lin (drawn by M. Harrell),,83,94
393,3,1:11.0,M. Harrell makes free throw 1 of 2,,84,94
394,3,1:11.0,M. Harrell misses free throw 2 of 2,,84,94
395,3,1:08.0,,Defensive rebound by V. Carter,84,94
396,3,1:03.0,,V. Carter misses 3-pt jump shot from 26 ft,84,94
397,3,0:57.0,,Offensive rebound by D. Dedmon,84,94
398,3,0:56.0,,Turnover by D. Dedmon (bad pass; steal by M. Scott),84,94
399,3,0:53.0,M. Scott misses 3-pt jump shot from 26 ft,,84,94
400,3,0:50.0,Offensive rebound by M. Scott,,84,94
401,3,0:46.0,B. Marjanović makes 2-pt layup from 2 ft (assist by M. Teodosić),,86,94
402,3,0:46.0,Shooting foul by V. Carter (drawn by B. Marjanović),,86,94
403,3,0:46.0,B. Marjanović makes free throw 1 of 1,,87,94
404,3,0:32.0,,J. Lin makes 2-pt jump shot from 9 ft,87,96
405,3,0:14.0,B. Marjanović makes 2-pt layup from 1 ft (assist by L. Williams),,89,96
406,3,0:03.0,,J. Lin misses 3-pt jump shot from 26 ft,89,96
407,3,0:00.0,Defensive rebound by M. Scott,,89,96
408,3,0:00.0,M. Scott misses 3-pt jump shot from 67 ft,,89,96
409,3,0:00.0,Offensive rebound by Team,,89,96
410,4,11:46.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by L. Williams),,91,96
411,4,11:26.0,,T. Young misses 2-pt jump shot from 13 ft,91,96
412,4,11:24.0,Defensive rebound by L. Williams,,91,96
413,4,11:20.0,L. Williams misses 2-pt jump shot from 1 ft,,91,96
414,4,11:17.0,,Defensive rebound by A. Len,91,96
415,4,11:14.0,,K. Huerter misses 2-pt layup from 2 ft (block by M. Harrell),91,96
416,4,11:10.0,Defensive rebound by L. Williams,,91,96
417,4,11:03.0,M. Harrell misses 2-pt hook shot from 9 ft,,91,96
418,4,11:01.0,,Defensive rebound by J. Collins,91,96
419,4,10:41.0,,J. Collins misses 3-pt jump shot from 23 ft,91,96
420,4,10:39.0,,Offensive rebound by Team,91,96
421,4,10:39.0,Loose ball foul by M. Scott (drawn by A. Len),,91,96
422,4,10:30.0,,K. Huerter misses 3-pt jump shot from 26 ft,91,96
423,4,10:26.0,Defensive rebound by M. Scott,,91,96
424,4,10:18.0,Turnover by M. Teodosić (bad pass),,91,96
425,4,10:08.0,,T. Young misses 3-pt jump shot from 25 ft,91,96
426,4,10:06.0,Defensive rebound by M. Harrell,,91,96
427,4,9:54.0,Personal foul by T. Prince (drawn by B. Marjanović),,91,96
428,4,9:52.0,Shooting foul by K. Huerter (drawn by L. Williams),,91,96
429,4,9:52.0,L. Williams makes free throw 1 of 3,,92,96
430,4,9:52.0,L. Williams makes free throw 2 of 3,,93,96
431,4,9:52.0,,D. Bembry enters the game for K. Huerter,93,96
432,4,9:52.0,L. Williams makes free throw 3 of 3,,94,96
433,4,9:39.0,,Turnover by T. Young (lost ball; steal by M. Harrell),94,96
434,4,9:27.0,M. Scott makes 3-pt jump shot from 23 ft (assist by L. Williams),,97,96
435,4,9:25.0,,Atlanta full timeout,97,96
436,4,9:11.0,,T. Prince makes 2-pt dunk from 1 ft (assist by J. Collins),97,98
437,4,8:56.0,M. Teodosić misses 3-pt jump shot from 25 ft,,97,98
438,4,8:54.0,,Defensive rebound by D. Bembry,97,98
439,4,8:52.0,,Personal foul by B. Marjanović (drawn by D. Bembry),97,98
440,4,8:37.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by J. Collins),97,101
441,4,8:22.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by L. Williams),,99,101
442,4,8:00.0,,T. Prince misses 3-pt jump shot from 25 ft,99,101
443,4,7:58.0,,Offensive rebound by T. Prince,99,101
444,4,7:52.0,,D. Bembry misses 3-pt jump shot from 25 ft,99,101
445,4,7:47.0,Defensive rebound by M. Teodosić,,99,101
446,4,7:45.0,Personal foul by D. Bembry (drawn by B. Marjanović),,99,101
447,4,7:45.0,S. Gilgeous-Alexander enters the game for M. Scott,,99,101
448,4,7:45.0,T. Harris enters the game for M. Teodosić,,99,101
449,4,7:42.0,Personal foul by D. Bembry (drawn by L. Williams),,99,101
450,4,7:33.0,M. Harrell misses 2-pt layup from 4 ft (block by A. Len),,99,101
451,4,7:29.0,Offensive rebound by B. Marjanović,,99,101
452,4,7:27.0,B. Marjanović misses 2-pt layup from 2 ft,,99,101
453,4,7:27.0,,Defensive rebound by A. Len,99,101
454,4,7:14.0,,A. Len makes 3-pt jump shot from 23 ft (assist by T. Young),99,104
455,4,7:13.0,LA Clippers full timeout,,99,104
456,4,7:13.0,,K. Bazemore enters the game for D. Bembry,99,104
457,4,7:13.0,,D. Dedmon enters the game for J. Collins,99,104
458,4,7:05.0,Personal foul by A. Len (drawn by B. Marjanović),,99,104
459,4,7:05.0,B. Marjanović makes free throw 1 of 2,,100,104
460,4,7:05.0,B. Marjanović misses free throw 2 of 2,,100,104
461,4,7:03.0,,Defensive rebound by D. Dedmon,100,104
462,4,6:42.0,,A. Len misses 2-pt layup from 3 ft,100,104
463,4,6:39.0,,Offensive rebound by T. Prince,100,104
464,4,6:39.0,,Turnover by Team (shot clock),100,104
465,4,6:24.0,B. Marjanović makes 2-pt layup from 3 ft (assist by L. Williams),,102,104
466,4,6:07.0,,T. Young misses 2-pt jump shot from 16 ft,102,104
467,4,6:04.0,Defensive rebound by T. Harris,,102,104
468,4,6:00.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,102,104
469,4,5:55.0,,Defensive rebound by K. Bazemore,102,104
470,4,5:48.0,,T. Prince makes 2-pt jump shot from 8 ft,102,106
471,4,5:30.0,L. Williams misses 2-pt jump shot from 14 ft (block by K. Bazemore),,102,106
472,4,5:25.0,Offensive rebound by M. Harrell,,102,106
473,4,5:22.0,M. Harrell makes 2-pt hook shot from 9 ft,,104,106
474,4,5:13.0,,T. Young misses 3-pt jump shot from 26 ft,104,106
475,4,5:09.0,,Offensive rebound by A. Len,104,106
476,4,5:00.0,,T. Young misses 2-pt layup from 1 ft (block by B. Marjanović),104,106
477,4,4:57.0,Defensive rebound by T. Harris,,104,106
478,4,4:54.0,L. Williams misses 3-pt jump shot from 26 ft,,104,106
479,4,4:54.0,Offensive rebound by M. Harrell,,104,106
480,4,4:54.0,Turnover by M. Harrell (bad pass; steal by T. Prince),,104,106
481,4,4:43.0,,A. Len makes 2-pt dunk from 2 ft (assist by T. Young),104,108
482,4,4:43.0,LA Clippers full timeout,,104,108
483,4,4:43.0,M. Scott enters the game for B. Marjanović,,104,108
484,4,4:33.0,T. Harris makes 2-pt jump shot from 9 ft,,106,108
485,4,4:18.0,,T. Young misses 2-pt layup from 2 ft,106,108
486,4,4:13.0,Defensive rebound by L. Williams,,106,108
487,4,4:08.0,M. Scott makes 3-pt jump shot from 25 ft (assist by L. Williams),,109,108
488,4,3:53.0,,K. Bazemore misses 3-pt jump shot from 25 ft,109,108
489,4,3:48.0,,Offensive rebound by A. Len,109,108
490,4,3:48.0,,A. Len misses 2-pt dunk at rim,109,108
491,4,3:48.0,Defensive rebound by T. Harris,,109,108
492,4,3:47.0,Shooting foul by D. Dedmon (drawn by M. Harrell),,109,108
493,4,3:47.0,M. Harrell makes free throw 1 of 2,,110,108
494,4,3:47.0,,J. Collins enters the game for A. Len,110,108
495,4,3:47.0,M. Harrell makes free throw 2 of 2,,111,108
496,4,3:34.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by T. Young),111,110
497,4,3:12.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,113,110
498,4,3:12.0,Shooting foul by D. Dedmon (drawn by M. Harrell),,113,110
499,4,3:12.0,M. Harrell makes free throw 1 of 1,,114,110
500,4,3:00.0,,Turnover by T. Young (bad pass; steal by M. Harrell),114,110
501,4,2:55.0,M. Scott makes 3-pt jump shot from 23 ft (assist by T. Harris),,117,110
502,4,2:54.0,,Atlanta full timeout,117,110
503,4,2:39.0,,T. Prince misses 2-pt layup from 4 ft (block by S. Gilgeous-Alexander),117,110
504,4,2:33.0,Defensive rebound by M. Harrell,,117,110
505,4,2:21.0,M. Harrell misses 2-pt dunk from 1 ft,,117,110
506,4,2:19.0,Offensive rebound by S. Gilgeous-Alexander,,117,110
507,4,2:19.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,,119,110
508,4,2:19.0,Shooting foul by K. Bazemore (drawn by S. Gilgeous-Alexander),,119,110
509,4,2:19.0,S. Gilgeous-Alexander misses free throw 1 of 1,,119,110
510,4,2:19.0,,Defensive rebound by K. Bazemore,119,110
511,4,2:10.0,,Shooting foul by S. Gilgeous-Alexander (drawn by T. Young),119,110
512,4,2:10.0,,T. Young makes free throw 1 of 2,119,111
513,4,2:10.0,,T. Young makes free throw 2 of 2,119,112
514,4,1:54.0,Turnover by M. Scott (traveling),,119,112
515,4,1:45.0,,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),119,114
516,4,1:29.0,M. Scott makes 3-pt jump shot from 25 ft (assist by L. Williams),,122,114
517,4,1:19.0,,Turnover by D. Dedmon (bad pass; steal by M. Harrell),122,114
518,4,0:59.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,124,114
519,4,0:50.0,,J. Collins makes 2-pt hook shot from 5 ft (assist by T. Young),124,116
520,4,0:42.0,Personal take foul by J. Collins (drawn by L. Williams),,124,116
521,4,0:42.0,L. Williams misses free throw 1 of 2,,124,116
522,4,0:42.0,Offensive rebound by Team,,124,116
523,4,0:42.0,L. Williams makes free throw 2 of 2,,125,116
524,4,0:37.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),125,119
525,4,0:35.0,Personal take foul by K. Bazemore (drawn by S. Gilgeous-Alexander),,125,119
526,4,0:35.0,S. Gilgeous-Alexander makes free throw 1 of 2,,126,119
527,4,0:35.0,S. Gilgeous-Alexander makes free throw 2 of 2,,127,119
528,4,0:25.0,,D. Dedmon misses 2-pt jump shot from 17 ft,127,119
529,4,0:21.0,Defensive rebound by T. Harris,,127,119
