,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,Turnover by B. Lopez (bad pass; steal by J. Holiday),0,0
1,1,11:44.0,Z. LaVine misses 2-pt layup from 2 ft (block by B. Lopez),,0,0
2,1,11:44.0,Offensive rebound by Team,,0,0
3,1,11:35.0,J. Parker makes 2-pt jump shot from 21 ft (assist by R. Arcidiacono),,2,0
4,1,11:24.0,,G. Antetokounmpo makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),2,3
5,1,11:04.0,W. Carter misses 2-pt jump shot from 13 ft,,2,3
6,1,11:01.0,,Defensive rebound by G. Antetokounmpo,2,3
7,1,10:59.0,,G. Antetokounmpo misses 2-pt layup from 5 ft (block by W. Carter),2,3
8,1,10:51.0,,Offensive rebound by Team,2,3
9,1,10:49.0,,B. Lopez misses 2-pt hook shot from 9 ft,2,3
10,1,10:47.0,Defensive rebound by R. Arcidiacono,,2,3
11,1,10:41.0,W. Carter makes 2-pt layup from 1 ft (assist by J. Parker),,4,3
12,1,10:24.0,,E. Bledsoe misses 2-pt jump shot from 8 ft,4,3
13,1,10:22.0,,Offensive rebound by E. Bledsoe,4,3
14,1,10:17.0,,K. Middleton misses 3-pt jump shot from 24 ft,4,3
15,1,10:14.0,Defensive rebound by Z. LaVine,,4,3
16,1,10:08.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,4,3
17,1,10:05.0,,Defensive rebound by G. Antetokounmpo,4,3
18,1,10:01.0,,Offensive foul by G. Antetokounmpo (drawn by R. Arcidiacono),4,3
19,1,10:01.0,,Turnover by G. Antetokounmpo (offensive foul),4,3
20,1,9:41.0,Z. LaVine misses 3-pt jump shot from 27 ft (block by E. Bledsoe),,4,3
21,1,9:35.0,Offensive rebound by Z. LaVine,,4,3
22,1,9:33.0,Z. LaVine makes 2-pt layup from 1 ft,,6,3
23,1,9:22.0,,K. Middleton misses 2-pt jump shot from 16 ft,6,3
24,1,9:19.0,Defensive rebound by J. Parker,,6,3
25,1,9:15.0,J. Parker makes 2-pt layup from 2 ft,,8,3
26,1,9:08.0,,Turnover by B. Lopez (bad pass; steal by Z. LaVine),8,3
27,1,9:03.0,W. Carter makes 2-pt jump shot from 16 ft (assist by Z. LaVine),,10,3
28,1,9:03.0,,Milwaukee full timeout,10,3
29,1,8:49.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),10,6
30,1,8:37.0,J. Parker makes 3-pt jump shot from 28 ft (assist by W. Carter),,13,6
31,1,8:23.0,,M. Brogdon misses 2-pt layup from 7 ft (block by Z. LaVine),13,6
32,1,8:17.0,Defensive rebound by W. Carter,,13,6
33,1,8:12.0,J. Parker makes 3-pt jump shot from 29 ft (assist by J. Holiday),,16,6
34,1,8:03.0,,Personal foul by W. Carter (drawn by E. Bledsoe),16,6
35,1,7:52.0,,Turnover by G. Antetokounmpo (lost ball; steal by W. Carter),16,6
36,1,7:31.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by R. Arcidiacono),,19,6
37,1,7:18.0,,M. Brogdon makes 2-pt layup from 2 ft,19,8
38,1,7:02.0,Turnover by J. Parker (bad pass; steal by K. Middleton),,19,8
39,1,6:57.0,,M. Brogdon misses 2-pt layup from 4 ft,19,8
40,1,6:56.0,,Offensive rebound by G. Antetokounmpo,19,8
41,1,6:56.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,19,10
42,1,6:56.0,,Shooting foul by W. Carter (drawn by G. Antetokounmpo),19,10
43,1,6:56.0,,G. Antetokounmpo misses free throw 1 of 1,19,10
44,1,6:56.0,Defensive rebound by J. Parker,,19,10
45,1,6:56.0,R. Lopez enters the game for W. Carter,,19,10
46,1,6:56.0,,E. İlyasova enters the game for M. Brogdon,19,10
47,1,6:37.0,Z. LaVine makes 2-pt layup from 3 ft,,21,10
48,1,6:24.0,,Turnover by E. Bledsoe (bad pass),21,10
49,1,6:11.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Parker),,24,10
50,1,6:02.0,,Personal foul by J. Holiday (drawn by E. İlyasova),24,10
51,1,6:02.0,,P. Connaughton enters the game for G. Antetokounmpo,24,10
52,1,5:50.0,,E. Bledsoe makes 2-pt layup from 1 ft,24,12
