,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
51,1,5:51.0,,A. Len misses 3-pt jump shot from 23 ft,22,18
52,1,5:47.0,Defensive rebound by K. Walker,,22,18
53,1,5:41.0,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Lamb),,25,18
54,1,5:20.0,,Turnover by J. Lin (bad pass; steal by C. Zeller),25,18
55,1,5:09.0,K. Walker misses 3-pt jump shot from 26 ft,,25,18
56,1,5:07.0,,Defensive rebound by Team,25,18
57,1,5:07.0,D. Bacon enters the game for N. Batum,,25,18
58,1,5:07.0,F. Kaminsky enters the game for C. Zeller,,25,18
59,1,4:54.0,,D. Bembry makes 2-pt jump shot from 10 ft,25,20
60,1,4:38.0,K. Walker makes 2-pt jump shot from 15 ft,,27,20
61,1,4:29.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by O. Spellman),27,23
62,1,4:14.0,F. Kaminsky makes 2-pt jump shot from 7 ft (assist by K. Walker),,29,23
63,1,4:14.0,Shooting foul by D. Bembry (drawn by F. Kaminsky),,29,23
64,1,4:14.0,F. Kaminsky makes free throw 1 of 1,,30,23
65,1,4:03.0,,K. Bazemore misses 2-pt jump shot from 20 ft,30,23
66,1,4:00.0,Defensive rebound by M. Williams,,30,23
67,1,3:51.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),,33,23
68,1,3:49.0,,Atlanta full timeout,33,23
69,1,3:49.0,M. Bridges enters the game for M. Williams,,33,23
70,1,3:49.0,,T. Prince enters the game for A. Len,33,23
71,1,3:39.0,,Personal foul by D. Bacon (drawn by K. Bazemore),33,23
72,1,3:26.0,,J. Lin misses 2-pt jump shot from 20 ft,33,23
73,1,3:23.0,,Offensive rebound by O. Spellman,33,23
74,1,3:21.0,,O. Spellman misses 2-pt layup from 3 ft (block by K. Walker),33,23
75,1,3:17.0,Defensive rebound by K. Walker,,33,23
76,1,3:13.0,K. Walker misses 2-pt jump shot from 11 ft (block by J. Lin),,33,23
77,1,3:11.0,,Defensive rebound by D. Bembry,33,23
78,1,3:09.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Bembry),33,25
79,1,2:53.0,J. Lamb makes 2-pt jump shot from 20 ft,,35,25
80,1,2:33.0,,T. Prince misses 2-pt jump shot from 12 ft,35,25
81,1,2:30.0,Defensive rebound by J. Lamb,,35,25
82,1,2:24.0,J. Lamb misses 2-pt layup at rim (block by D. Bembry),,35,25
83,1,2:21.0,,Defensive rebound by J. Lin,35,25
84,1,2:19.0,,Turnover by J. Lin (out of bounds lost ball),35,25
85,1,2:19.0,,T. Young enters the game for J. Lin,35,25
86,1,1:55.0,K. Walker misses 3-pt jump shot from 25 ft,,35,25
87,1,1:47.0,,Defensive rebound by K. Bazemore,35,25
88,1,1:46.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by K. Bazemore),35,28
89,1,1:43.0,Charlotte full timeout,,35,28
90,1,1:43.0,M. Monk enters the game for J. Lamb,,35,28
91,1,1:43.0,,D. Dedmon enters the game for O. Spellman,35,28
92,1,1:20.0,D. Bacon misses 2-pt jump shot from 22 ft,,35,28
93,1,1:19.0,Offensive rebound by Team,,35,28
94,1,1:19.0,,Loose ball foul by T. Prince (drawn by M. Bridges),35,28
95,1,1:19.0,M. Bridges makes free throw 1 of 2,,36,28
96,1,1:19.0,M. Bridges makes free throw 2 of 2,,37,28
97,1,1:11.0,,Shooting foul by M. Bridges (drawn by T. Prince),37,28
98,1,1:11.0,,T. Prince makes free throw 1 of 2,37,29
99,1,1:11.0,,T. Prince makes free throw 2 of 2,37,30
100,1,0:58.0,M. Monk makes 2-pt jump shot from 13 ft (assist by K. Walker),,39,30
101,1,0:58.0,Shooting foul by D. Bembry (drawn by M. Monk),,39,30
102,1,0:58.0,M. Monk makes free throw 1 of 1,,40,30
103,1,0:42.0,,K. Bazemore makes 2-pt jump shot from 19 ft (assist by D. Dedmon),40,32
104,1,0:25.0,M. Monk makes 3-pt jump shot from 26 ft (assist by K. Walker),,43,32
105,1,0:04.0,,T. Young misses 2-pt jump shot from 13 ft,43,32
106,1,0:01.0,Defensive rebound by F. Kaminsky,,43,32
107,1,0:00.0,M. Bridges misses 2-pt jump shot from 9 ft,,43,32
108,1,0:00.0,Offensive rebound by Team,,43,32
109,2,11:49.0,M. Bridges makes 2-pt layup from 1 ft (assist by D. Graham),,45,32
110,2,11:32.0,,J. Collins makes 2-pt hook shot from 8 ft (assist by K. Bazemore),45,34
111,2,11:20.0,Turnover by M. Monk (bad pass; steal by K. Huerter),,45,34
112,2,11:17.0,,Shooting foul by M. Monk (drawn by T. Young),45,34
113,2,11:17.0,,T. Young makes free throw 1 of 2,45,35
114,2,11:17.0,,T. Young makes free throw 2 of 2,45,36
115,2,11:00.0,Turnover by D. Bacon (lost ball; steal by D. Dedmon),,45,36
116,2,10:56.0,,Turnover by K. Huerter (bad pass; steal by D. Bacon),45,36
117,2,10:51.0,Shooting foul by K. Huerter (drawn by F. Kaminsky),,45,36
118,2,10:51.0,Offensive rebound by Team,,45,36
119,2,10:51.0,F. Kaminsky misses free throw 1 of 2,,45,36
120,2,10:51.0,F. Kaminsky makes free throw 2 of 2,,46,36
121,2,10:36.0,,J. Collins misses 2-pt hook shot from 2 ft (block by M. Bridges),46,36
122,2,10:36.0,,Offensive rebound by Team,46,36
123,2,10:26.0,,T. Young misses 3-pt jump shot from 27 ft,46,36
124,2,10:24.0,Defensive rebound by D. Bacon,,46,36
125,2,10:08.0,Shooting foul by K. Bazemore (drawn by F. Kaminsky),,46,36
126,2,10:08.0,F. Kaminsky makes free throw 1 of 2,,47,36
127,2,10:08.0,F. Kaminsky makes free throw 2 of 2,,48,36
128,2,9:51.0,,K. Bazemore makes 2-pt layup from 2 ft,48,38
129,2,9:33.0,D. Graham misses 3-pt jump shot from 26 ft,,48,38
130,2,9:31.0,,Defensive rebound by J. Collins,48,38
131,2,9:24.0,,Turnover by T. Young (bad pass),48,38
132,2,9:24.0,,J. Lin enters the game for K. Huerter,48,38
133,2,9:10.0,M. Monk misses 3-pt jump shot from 25 ft,,48,38
134,2,9:07.0,,Defensive rebound by J. Collins,48,38
135,2,9:00.0,,K. Bazemore makes 2-pt jump shot from 22 ft (assist by J. Collins),48,40
136,2,8:58.0,Charlotte full timeout,,48,40
137,2,8:58.0,N. Batum enters the game for D. Bacon,,48,40
138,2,8:58.0,C. Zeller enters the game for F. Kaminsky,,48,40
139,2,8:58.0,,A. Len enters the game for D. Dedmon,48,40
140,2,8:38.0,M. Bridges misses 2-pt layup from 1 ft,,48,40
141,2,8:35.0,,Defensive rebound by A. Len,48,40
142,2,8:26.0,,A. Len makes 3-pt jump shot from 23 ft (assist by J. Collins),48,43
143,2,8:17.0,Personal foul by A. Len (drawn by C. Zeller),,48,43
144,2,8:04.0,Personal foul by K. Bazemore (drawn by N. Batum),,48,43
145,2,8:04.0,,T. Prince enters the game for K. Bazemore,48,43
146,2,7:57.0,M. Bridges misses 3-pt jump shot from 25 ft,,48,43
147,2,7:54.0,,Defensive rebound by J. Lin,48,43
148,2,7:48.0,,J. Collins makes 2-pt layup from 1 ft (assist by J. Lin),48,45
149,2,7:35.0,Turnover by N. Batum (traveling),,48,45
150,2,7:35.0,K. Walker enters the game for M. Bridges,,48,45
151,2,7:35.0,M. Williams enters the game for D. Graham,,48,45
152,2,7:16.0,,A. Len misses 2-pt jump shot from 17 ft,48,45
153,2,7:13.0,,Offensive rebound by Team,48,45
154,2,7:04.0,,J. Lin makes 2-pt layup from 2 ft,48,47
155,2,6:49.0,K. Walker misses 2-pt jump shot from 13 ft,,48,47
156,2,6:46.0,,Defensive rebound by J. Collins,48,47
157,2,6:41.0,,J. Lin misses 3-pt jump shot from 26 ft,48,47
158,2,6:37.0,Defensive rebound by C. Zeller,,48,47
159,2,6:28.0,M. Monk makes 2-pt jump shot from 20 ft,,50,47
160,2,6:20.0,,Turnover by T. Young (bad pass; steal by M. Monk),50,47
161,2,6:15.0,M. Monk makes 3-pt jump shot from 25 ft (assist by N. Batum),,53,47
162,2,6:12.0,,Atlanta full timeout,53,47
163,2,6:12.0,,D. Bembry enters the game for T. Young,53,47
164,2,6:02.0,,T. Prince misses 3-pt jump shot from 24 ft,53,47
165,2,5:58.0,Defensive rebound by M. Williams,,53,47
166,2,5:49.0,M. Monk makes 3-pt jump shot from 26 ft (assist by K. Walker),,56,47
167,2,5:33.0,,A. Len misses 3-pt jump shot from 24 ft,56,47
168,2,5:31.0,Defensive rebound by K. Walker,,56,47
169,2,5:28.0,M. Monk misses 3-pt jump shot from 25 ft,,56,47
170,2,5:24.0,,Defensive rebound by A. Len,56,47
171,2,5:14.0,,J. Lin makes 2-pt jump shot from 17 ft (assist by A. Len),56,49
172,2,4:57.0,M. Williams misses 2-pt layup from 12 ft (block by A. Len),,56,49
173,2,4:53.0,,Defensive rebound by J. Lin,56,49
174,2,4:52.0,,D. Bembry makes 2-pt dunk from 2 ft (assist by J. Lin),56,51
175,2,4:30.0,N. Batum makes 2-pt dunk from 1 ft (assist by C. Zeller),,58,51
176,2,4:14.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by J. Lin),58,54
177,2,3:55.0,C. Zeller misses 2-pt jump shot from 12 ft,,58,54
178,2,3:49.0,Offensive rebound by N. Batum,,58,54
179,2,3:49.0,N. Batum misses 2-pt layup at rim,,58,54
180,2,3:49.0,,Defensive rebound by J. Collins,58,54
181,2,3:49.0,,Offensive foul by J. Collins (drawn by M. Williams),58,54
182,2,3:49.0,,Turnover by J. Collins (offensive foul),58,54
183,2,3:49.0,J. Lamb enters the game for M. Monk,,58,54
184,2,3:49.0,,O. Spellman enters the game for J. Collins,58,54
185,2,3:36.0,K. Walker misses 2-pt layup from 2 ft (block by O. Spellman),,58,54
186,2,3:33.0,Offensive rebound by N. Batum,,58,54
187,2,3:25.0,K. Walker misses 2-pt jump shot from 11 ft,,58,54
188,2,3:25.0,Offensive rebound by Team,,58,54
189,2,3:25.0,Turnover by Team (shot clock),,58,54
190,2,3:13.0,,O. Spellman misses 3-pt jump shot from 26 ft,58,54
191,2,3:10.0,Defensive rebound by M. Williams,,58,54
192,2,3:04.0,K. Walker misses 3-pt jump shot from 25 ft,,58,54
193,2,3:02.0,,Defensive rebound by O. Spellman,58,54
194,2,2:52.0,,A. Len makes 2-pt jump shot from 16 ft (assist by D. Bembry),58,56
195,2,2:37.0,K. Walker misses 2-pt layup from 2 ft,,58,56
196,2,2:33.0,,Defensive rebound by D. Bembry,58,56
197,2,2:31.0,,J. Lin misses 3-pt jump shot from 25 ft,58,56
198,2,2:28.0,,Offensive rebound by O. Spellman,58,56
199,2,2:27.0,,Shooting foul by M. Williams (drawn by A. Len),58,56
200,2,2:27.0,,A. Len misses free throw 1 of 2,58,56
201,2,2:27.0,,Offensive rebound by Team,58,56
202,2,2:27.0,,A. Len makes free throw 2 of 2,58,57
203,2,2:13.0,N. Batum makes 2-pt layup from 1 ft (assist by C. Zeller),,60,57
204,2,2:00.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by D. Bembry),60,60
205,2,1:45.0,Personal foul by T. Prince (drawn by N. Batum),,60,60
206,2,1:45.0,N. Batum makes free throw 1 of 2,,61,60
207,2,1:45.0,,K. Bazemore enters the game for A. Len,61,60
208,2,1:45.0,,T. Young enters the game for J. Lin,61,60
209,2,1:45.0,N. Batum makes free throw 2 of 2,,62,60
210,2,1:33.0,,Turnover by T. Young (bad pass; steal by K. Walker),62,60
211,2,1:29.0,K. Walker misses 2-pt layup from 1 ft (block by O. Spellman),,62,60
212,2,1:25.0,Offensive rebound by M. Williams,,62,60
213,2,1:24.0,M. Williams makes 2-pt layup from 2 ft,,64,60
214,2,1:10.0,,T. Prince makes 2-pt layup from 1 ft (assist by K. Bazemore),64,62
215,2,1:10.0,,Shooting foul by J. Lamb (drawn by T. Prince),64,62
216,2,1:10.0,,T. Prince makes free throw 1 of 1,64,63
217,2,0:59.0,J. Lamb makes 2-pt layup from 2 ft (assist by N. Batum),,66,63
218,2,0:51.0,,T. Prince misses 3-pt jump shot from 25 ft,66,63
219,2,0:48.0,Defensive rebound by J. Lamb,,66,63
220,2,0:34.0,K. Walker misses 2-pt jump shot from 20 ft,,66,63
221,2,0:31.0,,Defensive rebound by D. Bembry,66,63
222,2,0:28.0,,O. Spellman makes 2-pt layup from 1 ft (assist by D. Bembry),66,65
223,2,0:13.0,K. Walker misses 2-pt layup from 2 ft (block by O. Spellman),,66,65
224,2,0:11.0,Offensive rebound by Team,,66,65
225,2,0:07.0,J. Lamb misses 3-pt jump shot from 27 ft,,66,65
226,2,0:04.0,,Defensive rebound by T. Prince,66,65
227,2,0:00.0,,T. Prince misses 3-pt jump shot from 34 ft,66,65
228,2,0:00.0,,Offensive rebound by Team,66,65
229,3,11:42.0,N. Batum makes 2-pt jump shot from 15 ft (assist by C. Zeller),,68,65
230,3,11:23.0,,J. Collins misses 2-pt jump shot from 11 ft,68,65
231,3,11:20.0,Defensive rebound by J. Lamb,,68,65
232,3,11:01.0,Turnover by N. Batum (bad pass; steal by T. Young),,68,65
233,3,10:58.0,,Shooting foul by C. Zeller (drawn by J. Collins),68,65
234,3,10:58.0,,J. Collins makes free throw 1 of 2,68,66
235,3,10:58.0,,J. Collins misses free throw 2 of 2,68,66
236,3,10:55.0,Defensive rebound by M. Williams,,68,66
237,3,10:39.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by M. Williams),,71,66
238,3,10:28.0,,Personal foul by N. Batum (drawn by D. Dedmon),71,66
239,3,10:21.0,,T. Young makes 3-pt jump shot from 26 ft,71,69
240,3,10:04.0,J. Lamb misses 3-pt jump shot from 23 ft,,71,69
241,3,10:01.0,,Defensive rebound by T. Young,71,69
242,3,9:52.0,,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),71,71
243,3,9:23.0,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),,74,71
244,3,9:13.0,,T. Young misses 3-pt jump shot from 28 ft,74,71
245,3,9:10.0,Defensive rebound by J. Lamb,,74,71
246,3,9:04.0,M. Williams misses 2-pt layup from 9 ft,,74,71
247,3,9:00.0,Offensive rebound by C. Zeller,,74,71
248,3,9:00.0,C. Zeller makes 2-pt layup from 1 ft,,76,71
249,3,8:47.0,,Turnover by T. Young (lost ball; steal by C. Zeller),76,71
250,3,8:35.0,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Lamb),,79,71
251,3,8:33.0,,Atlanta full timeout,79,71
252,3,8:24.0,,K. Huerter misses 2-pt layup from 2 ft (block by C. Zeller),79,71
253,3,8:19.0,,Offensive rebound by J. Collins,79,71
254,3,8:19.0,,J. Collins makes 2-pt dunk at rim,79,73
255,3,8:12.0,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),,82,73
256,3,7:57.0,,D. Dedmon misses 3-pt jump shot from 23 ft,82,73
257,3,7:54.0,,Offensive rebound by K. Huerter,82,73
258,3,7:51.0,,T. Young makes 3-pt jump shot from 27 ft,82,76
259,3,7:37.0,,Violation by Team (kicked ball),82,76
260,3,7:30.0,J. Lamb misses 3-pt jump shot from 26 ft,,82,76
261,3,7:27.0,,Defensive rebound by J. Collins,82,76
262,3,7:18.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),82,79
263,3,7:05.0,Shooting foul by D. Dedmon (drawn by C. Zeller),,82,79
264,3,7:05.0,C. Zeller misses free throw 1 of 2,,82,79
265,3,7:05.0,Offensive rebound by Team,,82,79
266,3,7:05.0,,A. Len enters the game for D. Dedmon,82,79
267,3,7:05.0,C. Zeller makes free throw 2 of 2,,83,79
268,3,6:52.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),83,82
269,3,6:29.0,J. Lamb misses 2-pt jump shot from 13 ft,,83,82
270,3,6:28.0,Offensive rebound by J. Lamb,,83,82
271,3,6:28.0,Shooting foul by K. Huerter (drawn by J. Lamb),,83,82
272,3,6:28.0,J. Lamb misses free throw 1 of 2,,83,82
273,3,6:28.0,Offensive rebound by Team,,83,82
274,3,6:28.0,D. Bacon enters the game for N. Batum,,83,82
275,3,6:28.0,,K. Bazemore enters the game for K. Huerter,83,82
276,3,6:28.0,J. Lamb makes free throw 2 of 2,,84,82
277,3,6:15.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),84,84
278,3,6:09.0,Charlotte full timeout,,84,84
279,3,6:01.0,Personal foul by K. Bazemore (drawn by C. Zeller),,84,84
280,3,6:01.0,,D. Bembry enters the game for T. Prince,84,84
281,3,6:01.0,,J. Lin enters the game for T. Young,84,84
282,3,5:56.0,K. Walker misses 3-pt jump shot from 25 ft,,84,84
283,3,5:53.0,,Defensive rebound by K. Bazemore,84,84
284,3,5:45.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Collins),84,86
285,3,5:31.0,M. Williams makes 2-pt jump shot from 11 ft (assist by K. Walker),,86,86
286,3,5:13.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by D. Bembry),86,89
287,3,4:50.0,M. Williams misses 3-pt jump shot from 29 ft,,86,89
288,3,4:47.0,,Defensive rebound by D. Bembry,86,89
289,3,4:42.0,,D. Bembry misses 2-pt jump shot from 7 ft,86,89
290,3,4:38.0,,Offensive rebound by J. Collins,86,89
291,3,4:38.0,,J. Collins makes 2-pt layup at rim,86,91
292,3,4:27.0,D. Bacon misses 3-pt jump shot from 23 ft,,86,91
293,3,4:24.0,Offensive rebound by C. Zeller,,86,91
294,3,4:24.0,C. Zeller misses 2-pt layup from 1 ft,,86,91
295,3,4:23.0,,Defensive rebound by A. Len,86,91
296,3,4:20.0,,Turnover by J. Lin (bad pass),86,91
297,3,4:20.0,M. Bridges enters the game for K. Walker,,86,91
298,3,4:20.0,D. Graham enters the game for M. Williams,,86,91
299,3,4:20.0,F. Kaminsky enters the game for C. Zeller,,86,91
300,3,4:20.0,,O. Spellman enters the game for J. Collins,86,91
301,3,4:08.0,Shooting foul by A. Len (drawn by F. Kaminsky),,86,91
302,3,4:08.0,F. Kaminsky makes free throw 1 of 2,,87,91
303,3,4:08.0,F. Kaminsky misses free throw 2 of 2,,87,91
304,3,4:06.0,,Defensive rebound by K. Bazemore,87,91
305,3,3:55.0,,Turnover by J. Lin (lost ball; steal by J. Lamb),87,91
306,3,3:46.0,M. Bridges misses 3-pt jump shot from 25 ft,,87,91
307,3,3:43.0,,Defensive rebound by O. Spellman,87,91
308,3,3:31.0,,A. Len misses 3-pt jump shot from 23 ft,87,91
309,3,3:28.0,Defensive rebound by J. Lamb,,87,91
310,3,3:11.0,J. Lamb makes 2-pt jump shot from 12 ft,,89,91
311,3,2:54.0,,A. Len makes 2-pt hook shot from 9 ft (assist by K. Bazemore),89,93
312,3,2:37.0,D. Bacon misses 3-pt jump shot from 22 ft,,89,93
313,3,2:35.0,,Defensive rebound by A. Len,89,93
314,3,2:24.0,,J. Lin makes 3-pt jump shot from 25 ft,89,96
315,3,2:06.0,Shooting foul by A. Len (drawn by F. Kaminsky),,89,96
316,3,2:06.0,F. Kaminsky misses free throw 1 of 2,,89,96
317,3,2:06.0,Offensive rebound by Team,,89,96
318,3,2:06.0,M. Monk enters the game for J. Lamb,,89,96
319,3,2:06.0,,T. Prince enters the game for A. Len,89,96
320,3,2:06.0,F. Kaminsky makes free throw 2 of 2,,90,96
321,3,1:53.0,,K. Bazemore misses 3-pt jump shot from 27 ft,90,96
322,3,1:51.0,Defensive rebound by Team,,90,96
323,3,1:42.0,D. Bacon makes 2-pt layup from 3 ft (assist by F. Kaminsky),,92,96
324,3,1:29.0,,J. Lin makes 2-pt layup from 4 ft,92,98
325,3,1:23.0,Turnover by D. Bacon (traveling),,92,98
326,3,1:13.0,,D. Bembry makes 2-pt layup from 3 ft (assist by O. Spellman),92,100
327,3,1:00.0,D. Bacon makes 2-pt jump shot from 13 ft (assist by F. Kaminsky),,94,100
328,3,0:53.0,,Turnover by J. Lin (bad pass),94,100
329,3,0:40.0,Offensive foul by D. Bacon (drawn by K. Bazemore),,94,100
330,3,0:40.0,Turnover by D. Bacon (offensive foul),,94,100
331,3,0:30.0,,D. Bembry misses 2-pt layup from 2 ft,94,100
332,3,0:28.0,Defensive rebound by F. Kaminsky,,94,100
333,3,0:18.0,M. Monk makes 3-pt jump shot from 25 ft (assist by D. Graham),,97,100
334,3,0:09.0,,Personal take foul by D. Graham (drawn by J. Lin),97,100
335,3,0:09.0,M. Williams enters the game for F. Kaminsky,,97,100
336,3,0:03.0,,J. Lin misses 3-pt jump shot from 32 ft,97,100
337,3,0:00.0,Defensive rebound by M. Monk,,97,100
338,3,0:00.0,M. Monk misses 3-pt jump shot from 63 ft,,97,100
339,3,0:00.0,Offensive rebound by Team,,97,100
340,4,11:42.0,,J. Collins misses 3-pt jump shot from 25 ft,97,100
341,4,11:39.0,Defensive rebound by M. Williams,,97,100
342,4,11:33.0,M. Williams misses 3-pt jump shot from 26 ft,,97,100
343,4,11:30.0,,Defensive rebound by D. Bembry,97,100
344,4,11:23.0,,D. Bembry makes 2-pt layup from 1 ft,97,102
345,4,11:05.0,N. Batum misses 3-pt jump shot from 25 ft,,97,102
346,4,11:02.0,,Defensive rebound by J. Collins,97,102
347,4,10:51.0,,J. Collins misses 2-pt hook shot from 2 ft,97,102
348,4,10:49.0,Defensive rebound by M. Williams,,97,102
349,4,10:40.0,Shooting foul by D. Dedmon (drawn by N. Batum),,97,102
350,4,10:40.0,N. Batum makes free throw 1 of 2,,98,102
351,4,10:40.0,N. Batum makes free throw 2 of 2,,99,102
352,4,10:28.0,,J. Collins makes 2-pt dunk from 2 ft (assist by D. Bembry),99,104
353,4,10:12.0,D. Graham makes 2-pt jump shot from 18 ft,,101,104
354,4,9:58.0,,J. Collins misses 2-pt layup from 4 ft,101,104
355,4,9:56.0,Defensive rebound by M. Williams,,101,104
356,4,9:42.0,M. Monk misses 2-pt layup from 2 ft,,101,104
357,4,9:39.0,,Defensive rebound by D. Dedmon,101,104
358,4,9:28.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by K. Huerter),101,106
359,4,9:08.0,N. Batum makes 2-pt jump shot from 9 ft (assist by M. Bridges),,103,106
360,4,8:54.0,,T. Young misses 2-pt jump shot from 19 ft,103,106
361,4,8:53.0,Defensive rebound by Team,,103,106
362,4,8:41.0,M. Williams misses 3-pt jump shot from 25 ft,,103,106
363,4,8:36.0,,Defensive rebound by D. Dedmon,103,106
364,4,8:31.0,,T. Young misses 2-pt layup from 1 ft (block by M. Bridges),103,106
365,4,8:27.0,Defensive rebound by D. Graham,,103,106
366,4,8:25.0,M. Monk makes 3-pt jump shot from 26 ft (assist by D. Graham),,106,106
367,4,8:22.0,,Atlanta full timeout,106,106
368,4,8:22.0,,K. Bazemore enters the game for D. Bembry,106,106
369,4,8:22.0,,T. Prince enters the game for D. Dedmon,106,106
370,4,8:11.0,,T. Young makes 2-pt jump shot from 23 ft,106,108
371,4,7:59.0,M. Monk makes 3-pt jump shot from 26 ft (assist by M. Bridges),,109,108
372,4,7:34.0,,Turnover by J. Collins (bad pass; steal by M. Bridges),109,108
373,4,7:23.0,M. Bridges misses 3-pt jump shot from 26 ft,,109,108
374,4,7:22.0,,Defensive rebound by Team,109,108
375,4,7:22.0,Loose ball foul by M. Williams (drawn by T. Young),,109,108
376,4,7:11.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by K. Huerter),109,111
377,4,6:54.0,M. Monk misses 3-pt jump shot from 26 ft,,109,111
378,4,6:51.0,,Defensive rebound by T. Young,109,111
379,4,6:50.0,,T. Young misses 3-pt jump shot from 33 ft,109,111
380,4,6:46.0,,Offensive rebound by J. Collins,109,111
381,4,6:46.0,K. Walker enters the game for M. Bridges,,109,111
382,4,6:36.0,,Shooting foul by M. Monk (drawn by K. Huerter),109,111
383,4,6:36.0,,K. Huerter makes free throw 1 of 2,109,112
