,QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Morris misses 2-pt jump shot from 11 ft,0,0
1,1,11:35.0,Defensive rebound by J. Layman,,0,0
2,1,11:17.0,C. McCollum misses 2-pt layup from 2 ft,,0,0
3,1,11:14.0,,Defensive rebound by M. Morris,0,0
4,1,11:05.0,,Personal foul by C. McCollum (drawn by B. Beal),0,0
5,1,10:59.0,,O. Porter misses 2-pt jump shot from 22 ft,0,0
6,1,10:55.0,Defensive rebound by A. Aminu,,0,0
7,1,10:51.0,D. Lillard makes 2-pt dunk from 1 ft,,2,0
8,1,10:27.0,,J. Wall misses 2-pt layup from 3 ft,2,0
9,1,10:25.0,Defensive rebound by C. McCollum,,2,0
10,1,10:20.0,D. Lillard misses 3-pt jump shot from 26 ft,,2,0
11,1,10:16.0,,Defensive rebound by D. Howard,2,0
12,1,10:12.0,,B. Beal misses 2-pt jump shot from 19 ft,2,0
13,1,10:09.0,Defensive rebound by J. Layman,,2,0
14,1,9:58.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by J. Nurkić),,5,0
15,1,9:38.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),5,3
16,1,9:16.0,J. Nurkić misses 2-pt layup from 4 ft,,5,3
17,1,9:15.0,Offensive rebound by J. Nurkić,,5,3
18,1,9:15.0,J. Nurkić makes 2-pt layup from 1 ft,,7,3
19,1,9:15.0,Shooting foul by M. Morris (drawn by J. Nurkić),,7,3
20,1,9:15.0,J. Nurkić makes free throw 1 of 1,,8,3
21,1,9:05.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),8,6
22,1,8:46.0,J. Nurkić makes 2-pt hook shot from 8 ft (assist by D. Lillard),,10,6
23,1,8:34.0,,Shooting foul by J. Nurkić (drawn by D. Howard),10,6
24,1,8:34.0,,D. Howard misses free throw 1 of 2,10,6
25,1,8:34.0,,Offensive rebound by Team,10,6
26,1,8:34.0,,D. Howard misses free throw 2 of 2,10,6
27,1,8:32.0,Defensive rebound by J. Nurkić,,10,6
28,1,8:21.0,Turnover by J. Nurkić (traveling),,10,6
29,1,8:08.0,,Turnover by O. Porter (bad pass; steal by J. Layman),10,6
30,1,8:04.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by J. Layman),,13,6
31,1,7:49.0,,D. Howard makes 2-pt jump shot from 21 ft (assist by M. Morris),13,8
32,1,7:38.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,16,8
33,1,7:19.0,,B. Beal misses 2-pt jump shot from 22 ft,16,8
34,1,7:17.0,Defensive rebound by J. Nurkić,,16,8
35,1,7:12.0,D. Lillard makes 3-pt jump shot from 28 ft,,19,8
36,1,7:10.0,,Washington full timeout,19,8
37,1,7:00.0,,M. Morris misses 2-pt jump shot from 12 ft,19,8
38,1,6:56.0,Defensive rebound by J. Nurkić,,19,8
39,1,6:52.0,D. Lillard misses 3-pt jump shot from 30 ft,,19,8
40,1,6:48.0,,Defensive rebound by D. Howard,19,8
41,1,6:41.0,,D. Howard misses 2-pt jump shot from 15 ft,19,8
42,1,6:41.0,Defensive rebound by J. Nurkić,,19,8
43,1,6:24.0,Personal foul by D. Howard (drawn by C. McCollum),,19,8
44,1,6:21.0,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),,21,8
45,1,6:08.0,,Offensive foul by D. Howard (drawn by J. Layman),21,8
46,1,6:08.0,,Turnover by D. Howard (offensive foul),21,8
47,1,6:08.0,,J. Green enters the game for D. Howard,21,8
48,1,5:53.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,24,8
49,1,5:31.0,,J. Wall misses 3-pt jump shot from 26 ft,24,8
50,1,5:27.0,,Offensive rebound by J. Wall,24,8
51,1,5:26.0,,O. Porter makes 2-pt jump shot from 21 ft (assist by J. Wall),24,10
52,1,5:05.0,A. Aminu makes 2-pt jump shot from 8 ft (assist by J. Layman),,26,10
53,1,4:52.0,,O. Porter makes 2-pt jump shot from 18 ft,26,12
54,1,4:26.0,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),,29,12
55,1,4:06.0,,B. Beal misses 3-pt jump shot from 27 ft,29,12
56,1,4:01.0,Defensive rebound by D. Lillard,,29,12
57,1,3:54.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,32,12
58,1,3:53.0,,Washington full timeout,32,12
59,1,3:53.0,Z. Collins enters the game for J. Layman,,32,12
60,1,3:53.0,E. Turner enters the game for J. Nurkić,,32,12
61,1,3:53.0,,K. Oubre enters the game for M. Morris,32,12
62,1,3:41.0,,B. Beal makes 2-pt jump shot from 15 ft,32,14
63,1,3:18.0,E. Turner misses 2-pt jump shot from 11 ft,,32,14
64,1,3:15.0,,Defensive rebound by O. Porter,32,14
65,1,3:05.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by K. Oubre),32,17
66,1,3:05.0,N. Stauskas enters the game for C. McCollum,,32,17
67,1,3:05.0,,A. Rivers enters the game for O. Porter,32,17
68,1,2:38.0,A. Aminu misses 3-pt jump shot from 27 ft,,32,17
69,1,2:34.0,,Defensive rebound by J. Green,32,17
70,1,2:29.0,,J. Green misses 2-pt jump shot from 3 ft,32,17
71,1,2:26.0,Defensive rebound by A. Aminu,,32,17
72,1,2:19.0,Z. Collins misses 3-pt jump shot from 26 ft,,32,17
73,1,2:16.0,,Defensive rebound by J. Wall,32,17
74,1,2:12.0,,J. Wall misses 2-pt layup from 3 ft (block by Z. Collins),32,17
75,1,2:12.0,,Offensive rebound by Team,32,17
76,1,2:12.0,J. Layman enters the game for A. Aminu,,32,17
77,1,2:05.0,,J. Wall makes 2-pt layup from 2 ft,32,19
78,1,2:05.0,,Shooting foul by D. Lillard (drawn by J. Wall),32,19
79,1,2:05.0,A. Simons enters the game for D. Lillard,,32,19
80,1,2:05.0,,T. Satoranský enters the game for B. Beal,32,19
81,1,2:05.0,,J. Wall misses free throw 1 of 1,32,19
82,1,2:05.0,Defensive rebound by Z. Collins,,32,19
83,1,1:54.0,A. Simons misses 3-pt jump shot from 26 ft,,32,19
84,1,1:52.0,,Defensive rebound by T. Satoranský,32,19
85,1,1:44.0,,A. Rivers misses 2-pt layup from 3 ft,32,19
86,1,1:42.0,Defensive rebound by A. Simons,,32,19
87,1,1:38.0,N. Stauskas misses 3-pt jump shot from 27 ft,,32,19
88,1,1:34.0,,Defensive rebound by J. Green,32,19
89,1,1:20.0,,T. Satoranský misses 2-pt layup from 2 ft,32,19
90,1,1:17.0,Defensive rebound by N. Stauskas,,32,19
91,1,1:14.0,Offensive foul by Z. Collins (drawn by K. Oubre),,32,19
92,1,1:14.0,Turnover by Z. Collins (offensive foul),,32,19
93,1,1:02.0,,K. Oubre makes 2-pt dunk from 2 ft (assist by J. Wall),32,21
94,1,1:01.0,Portland full timeout,,32,21
95,1,0:43.0,Turnover by N. Stauskas (step out of bounds),,32,21
96,1,0:35.0,,J. Wall misses 2-pt jump shot from 16 ft,32,21
97,1,0:32.0,Defensive rebound by E. Turner,,32,21
98,1,0:21.0,Turnover by A. Simons (lost ball; steal by J. Green),,32,21
99,1,0:19.0,,J. Wall makes 2-pt layup from 2 ft (assist by J. Green),32,23
100,1,0:10.0,Personal foul by T. Satoranský (drawn by E. Turner),,32,23
101,1,0:10.0,D. Lillard enters the game for A. Simons,,32,23
102,1,0:05.0,Offensive foul by Z. Collins (drawn by J. Green),,32,23
103,1,0:05.0,Turnover by Z. Collins (offensive foul),,32,23
104,1,0:05.0,,B. Beal enters the game for T. Satoranský,32,23
105,1,0:00.0,,J. Wall makes 2-pt jump shot from 14 ft,32,25
106,2,11:41.0,Turnover by N. Stauskas (bad pass; steal by B. Beal),,32,25
107,2,11:35.0,,K. Oubre misses 2-pt layup from 4 ft (block by J. Layman),32,25
108,2,11:31.0,Defensive rebound by A. Simons,,32,25
