,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
137,2,7:10.0,M. Leonard misses 2-pt jump shot from 10 ft (block by M. Robinson),,45,46
138,2,7:06.0,,Defensive rebound by T. Burke,45,46
139,2,7:05.0,,K. Knox makes 2-pt layup from 1 ft (assist by T. Burke),45,48
140,2,7:04.0,Portland full timeout,,45,48
141,2,7:04.0,D. Lillard enters the game for W. Baldwin,,45,48
142,2,7:04.0,C. McCollum enters the game for M. Leonard,,45,48
143,2,7:04.0,J. Nurkić enters the game for E. Turner,,45,48
144,2,7:04.0,,N. Vonleh enters the game for M. Robinson,45,48
145,2,6:39.0,Turnover by Team (shot clock),,45,48
146,2,6:26.0,,T. Burke misses 2-pt jump shot from 16 ft,45,48
147,2,6:22.0,Defensive rebound by D. Lillard,,45,48
148,2,6:12.0,D. Lillard misses 2-pt layup from 6 ft,,45,48
149,2,6:09.0,Offensive rebound by J. Layman,,45,48
150,2,6:08.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by J. Layman),,48,48
151,2,5:50.0,,A. Trier misses 2-pt layup from 1 ft (block by J. Nurkić),48,48
152,2,5:49.0,Defensive rebound by D. Lillard,,48,48
153,2,5:40.0,C. McCollum misses 2-pt jump shot from 21 ft,,48,48
154,2,5:40.0,,Defensive rebound by N. Vonleh,48,48
155,2,5:28.0,,T. Burke misses 2-pt layup from 2 ft,48,48
156,2,5:22.0,Defensive rebound by J. Layman,,48,48
157,2,5:20.0,N. Stauskas misses 3-pt jump shot from 23 ft,,48,48
158,2,5:18.0,Offensive rebound by J. Nurkić,,48,48
159,2,5:18.0,Shooting foul by F. Ntilikina (drawn by J. Nurkić),,48,48
160,2,5:18.0,J. Nurkić misses free throw 1 of 2,,48,48
161,2,5:18.0,Offensive rebound by Team,,48,48
162,2,5:18.0,A. Aminu enters the game for J. Layman,,48,48
163,2,5:18.0,,T. Hardaway enters the game for T. Burke,48,48
164,2,5:18.0,,E. Freedom enters the game for K. Knox,48,48
165,2,5:18.0,,E. Mudiay enters the game for A. Trier,48,48
166,2,5:18.0,J. Nurkić misses free throw 2 of 2,,48,48
167,2,5:15.0,,Defensive rebound by E. Freedom,48,48
168,2,5:07.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Hardaway),48,51
169,2,4:52.0,D. Lillard misses 2-pt jump shot from 11 ft,,48,51
170,2,4:48.0,,Defensive rebound by F. Ntilikina,48,51
171,2,4:37.0,,T. Hardaway makes 2-pt jump shot from 8 ft,48,53
172,2,4:21.0,C. McCollum misses 3-pt jump shot from 25 ft,,48,53
173,2,4:15.0,Offensive rebound by N. Stauskas,,48,53
174,2,4:15.0,N. Stauskas misses 2-pt layup from 1 ft,,48,53
175,2,4:15.0,,Defensive rebound by N. Vonleh,48,53
176,2,4:02.0,,Turnover by E. Freedom (bad pass; steal by A. Aminu),48,53
177,2,4:01.0,Personal foul by F. Ntilikina (drawn by D. Lillard),,48,53
178,2,4:01.0,E. Turner enters the game for N. Stauskas,,48,53
179,2,4:01.0,,M. Hezonja enters the game for F. Ntilikina,48,53
180,2,3:51.0,Shooting foul by M. Hezonja (drawn by D. Lillard),,48,53
181,2,3:51.0,D. Lillard makes free throw 1 of 2,,49,53
182,2,3:51.0,D. Lillard makes free throw 2 of 2,,50,53
183,2,3:36.0,,M. Hezonja misses 2-pt jump shot from 4 ft,50,53
184,2,3:33.0,Defensive rebound by E. Turner,,50,53
185,2,3:20.0,J. Nurkić makes 2-pt layup at rim,,52,53
186,2,3:05.0,,E. Freedom misses 2-pt jump shot from 8 ft,52,53
187,2,3:02.0,,Offensive rebound by N. Vonleh,52,53
188,2,3:01.0,,Shooting foul by A. Aminu (drawn by N. Vonleh),52,53
189,2,3:01.0,,N. Vonleh makes free throw 1 of 2,52,54
190,2,3:01.0,,N. Vonleh makes free throw 2 of 2,52,55
191,2,2:51.0,Turnover by E. Turner (lost ball; steal by T. Hardaway),,52,55
192,2,2:43.0,,N. Vonleh misses 3-pt jump shot from 23 ft,52,55
193,2,2:42.0,Defensive rebound by Team,,52,55
194,2,2:42.0,,Loose ball foul by E. Freedom (drawn by J. Nurkić),52,55
195,2,2:42.0,,New York full timeout,52,55
196,2,2:25.0,C. McCollum makes 2-pt jump shot from 13 ft,,54,55
197,2,2:10.0,,T. Hardaway makes 2-pt jump shot from 15 ft (assist by E. Freedom),54,57
198,2,2:10.0,,Shooting foul by E. Turner (drawn by T. Hardaway),54,57
199,2,2:10.0,,T. Hardaway makes free throw 1 of 1,54,58
200,2,1:58.0,D. Lillard makes 2-pt jump shot from 5 ft,,56,58
201,2,1:41.0,,M. Hezonja misses 2-pt layup from 3 ft,56,58
202,2,1:40.0,Defensive rebound by J. Nurkić,,56,58
203,2,1:36.0,E. Turner misses 2-pt jump shot from 18 ft,,56,58
204,2,1:33.0,Offensive rebound by A. Aminu,,56,58
205,2,1:30.0,Turnover by A. Aminu (bad pass; steal by N. Vonleh),,56,58
206,2,1:23.0,,E. Mudiay makes 2-pt layup from 2 ft,56,60
207,2,1:10.0,D. Lillard misses 3-pt jump shot from 28 ft,,56,60
208,2,1:07.0,,Defensive rebound by N. Vonleh,56,60
209,2,0:59.0,,T. Hardaway misses 2-pt jump shot from 3 ft,56,60
210,2,0:58.0,,Offensive rebound by N. Vonleh,56,60
211,2,0:54.0,,E. Mudiay misses 3-pt jump shot from 27 ft,56,60
212,2,0:51.0,Defensive rebound by E. Turner,,56,60
213,2,0:45.0,Turnover by J. Nurkić (traveling),,56,60
214,2,0:32.0,,E. Mudiay misses 3-pt jump shot from 25 ft,56,60
215,2,0:29.0,Defensive rebound by J. Nurkić,,56,60
216,2,0:17.0,Turnover by D. Lillard (out of bounds lost ball),,56,60
217,2,0:17.0,,T. Burke enters the game for N. Vonleh,56,60
218,2,0:04.0,,Turnover by T. Burke (lost ball; steal by D. Lillard),56,60
219,2,0:02.0,D. Lillard makes 2-pt dunk from 1 ft,,58,60
220,2,0:00.0,,T. Burke misses 3-pt jump shot from 71 ft,58,60
221,2,0:00.0,,Offensive rebound by Team,58,60
222,3,11:41.0,,N. Vonleh misses 2-pt layup from 1 ft (block by J. Layman),58,60
223,3,11:38.0,Defensive rebound by J. Nurkić,,58,60
224,3,11:31.0,J. Nurkić misses 2-pt layup from 2 ft,,58,60
225,3,11:29.0,Offensive rebound by J. Nurkić,,58,60
226,3,11:28.0,J. Nurkić makes 2-pt layup from 2 ft,,60,60
227,3,11:15.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by T. Hardaway),60,63
228,3,10:57.0,J. Nurkić misses 2-pt jump shot from 14 ft,,60,63
229,3,10:54.0,,Defensive rebound by T. Hardaway,60,63
230,3,10:43.0,,E. Freedom misses 2-pt jump shot from 12 ft,60,63
231,3,10:35.0,,Offensive rebound by T. Hardaway,60,63
232,3,10:35.0,,T. Hardaway misses 2-pt layup from 4 ft,60,63
233,3,10:34.0,Defensive rebound by A. Aminu,,60,63
234,3,10:30.0,D. Lillard makes 2-pt jump shot from 12 ft,,62,63
235,3,10:11.0,,E. Mudiay makes 2-pt jump shot from 21 ft (assist by E. Freedom),62,65
236,3,9:52.0,C. McCollum misses 3-pt jump shot from 25 ft,,62,65
237,3,9:49.0,,Defensive rebound by E. Mudiay,62,65
238,3,9:45.0,,Personal foul by C. McCollum (drawn by T. Hardaway),62,65
239,3,9:39.0,,T. Hardaway makes 2-pt jump shot from 11 ft (assist by E. Freedom),62,67
240,3,9:24.0,D. Lillard misses 3-pt jump shot from 25 ft,,62,67
241,3,9:20.0,,Defensive rebound by N. Vonleh,62,67
242,3,9:13.0,,E. Freedom makes 3-pt jump shot from 26 ft (assist by E. Mudiay),62,70
243,3,8:54.0,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),,65,70
244,3,8:31.0,,N. Vonleh makes 2-pt dunk at rim (assist by E. Freedom),65,72
245,3,8:17.0,Personal foul by M. Hezonja (drawn by J. Nurkić),,65,72
246,3,8:10.0,Turnover by D. Lillard (lost ball; steal by M. Hezonja),,65,72
247,3,8:09.0,,Turnover by M. Hezonja (out of bounds lost ball),65,72
248,3,7:49.0,D. Lillard misses 2-pt layup from 1 ft,,65,72
249,3,7:49.0,,Defensive rebound by E. Freedom,65,72
250,3,7:42.0,,T. Hardaway misses 2-pt layup at rim,65,72
251,3,7:42.0,,Offensive rebound by T. Hardaway,65,72
252,3,7:38.0,,T. Hardaway misses 3-pt jump shot from 25 ft,65,72
253,3,7:38.0,Defensive rebound by A. Aminu,,65,72
254,3,7:25.0,A. Aminu misses 3-pt jump shot from 23 ft,,65,72
255,3,7:21.0,,Defensive rebound by M. Hezonja,65,72
256,3,7:15.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by T. Hardaway),65,75
257,3,7:15.0,Portland full timeout,,65,75
258,3,7:15.0,E. Turner enters the game for J. Layman,,65,75
259,3,6:55.0,C. McCollum makes 2-pt jump shot from 15 ft (assist by J. Nurkić),,67,75
260,3,6:38.0,,Turnover by T. Hardaway (lost ball; steal by J. Nurkić),67,75
261,3,6:33.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by E. Turner),,70,75
262,3,6:19.0,,E. Mudiay makes 2-pt jump shot from 9 ft,70,77
263,3,6:07.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),,73,77
264,3,6:06.0,,New York full timeout,73,77
265,3,5:52.0,,E. Mudiay misses 2-pt layup from 1 ft,73,77
266,3,5:50.0,Defensive rebound by A. Aminu,,73,77
267,3,5:45.0,D. Lillard misses 3-pt jump shot from 26 ft,,73,77
268,3,5:39.0,,Defensive rebound by N. Vonleh,73,77
269,3,5:30.0,,Turnover by E. Mudiay (bad pass; steal by E. Turner),73,77
270,3,5:22.0,Turnover by C. McCollum (bad pass; steal by N. Vonleh),,73,77
271,3,5:20.0,,Turnover by E. Freedom (bad pass),73,77
272,3,5:20.0,,F. Ntilikina enters the game for M. Hezonja,73,77
273,3,5:06.0,D. Lillard misses 3-pt jump shot from 25 ft,,73,77
274,3,5:04.0,,Defensive rebound by E. Mudiay,73,77
275,3,4:50.0,,T. Hardaway makes 2-pt jump shot from 22 ft (assist by N. Vonleh),73,79
276,3,4:31.0,Personal foul by F. Ntilikina (drawn by D. Lillard),,73,79
277,3,4:31.0,,T. Burke enters the game for E. Freedom,73,79
278,3,4:31.0,,M. Robinson enters the game for E. Mudiay,73,79
279,3,4:19.0,C. McCollum makes 2-pt jump shot from 19 ft,,75,79
280,3,4:06.0,,T. Hardaway misses 3-pt jump shot from 28 ft,75,79
281,3,4:02.0,Defensive rebound by C. McCollum,,75,79
282,3,3:54.0,J. Nurkić makes 2-pt layup from 2 ft (assist by C. McCollum),,77,79
283,3,3:33.0,,F. Ntilikina makes 2-pt layup from 2 ft,77,81
284,3,3:19.0,Turnover by D. Lillard (bad pass; steal by N. Vonleh),,77,81
285,3,3:13.0,,T. Hardaway misses 3-pt jump shot from 27 ft,77,81
286,3,3:11.0,,Offensive rebound by M. Robinson,77,81
287,3,3:07.0,,F. Ntilikina misses 3-pt jump shot from 28 ft,77,81
288,3,3:04.0,Defensive rebound by C. McCollum,,77,81
289,3,2:50.0,Shooting foul by M. Robinson (drawn by D. Lillard),,77,81
290,3,2:50.0,D. Lillard makes free throw 1 of 2,,78,81
291,3,2:50.0,Z. Collins enters the game for A. Aminu,,78,81
292,3,2:50.0,M. Leonard enters the game for C. McCollum,,78,81
293,3,2:50.0,N. Stauskas enters the game for J. Nurkić,,78,81
294,3,2:50.0,,A. Trier enters the game for T. Hardaway,78,81
295,3,2:50.0,D. Lillard misses free throw 2 of 2,,78,81
296,3,2:47.0,,Defensive rebound by N. Vonleh,78,81
297,3,2:30.0,,F. Ntilikina makes 2-pt jump shot from 14 ft,78,83
298,3,2:00.0,Z. Collins makes 2-pt jump shot from 9 ft (assist by E. Turner),,80,83
299,3,1:38.0,,Turnover by A. Trier (bad pass; steal by N. Stauskas),80,83
300,3,1:34.0,E. Turner makes 2-pt layup from 1 ft (assist by D. Lillard),,82,83
301,3,1:34.0,,Violation by Team (def goaltending),82,83
302,3,1:28.0,,N. Vonleh misses 3-pt jump shot from 24 ft,82,83
303,3,1:26.0,Defensive rebound by D. Lillard,,82,83
304,3,1:13.0,M. Leonard makes 3-pt jump shot from 22 ft (assist by D. Lillard),,85,83
305,3,0:54.0,,Shooting foul by Z. Collins (drawn by N. Vonleh),85,83
306,3,0:54.0,,N. Vonleh makes free throw 1 of 2,85,84
307,3,0:54.0,,N. Vonleh makes free throw 2 of 2,85,85
308,3,0:31.0,E. Turner makes 2-pt jump shot from 9 ft,,87,85
309,3,0:08.0,,Turnover by F. Ntilikina (bad pass; steal by D. Lillard),87,85
310,3,0:02.0,M. Leonard makes 2-pt dunk from 1 ft (assist by D. Lillard),,89,85
311,3,0:00.0,,F. Ntilikina misses 3-pt jump shot from 42 ft,89,85
312,3,0:00.0,,Offensive rebound by Team,89,85
313,4,11:43.0,Shooting foul by M. Robinson (drawn by M. Leonard),,89,85
314,4,11:43.0,M. Leonard makes free throw 1 of 2,,90,85
315,4,11:43.0,M. Leonard makes free throw 2 of 2,,91,85
316,4,11:28.0,,A. Trier makes 2-pt jump shot from 21 ft (assist by T. Burke),91,87
317,4,11:11.0,C. McCollum makes 2-pt jump shot from 22 ft (assist by Z. Collins),,93,87
318,4,10:48.0,,A. Trier misses 2-pt layup from 2 ft,93,87
319,4,10:46.0,Defensive rebound by M. Leonard,,93,87
320,4,10:37.0,C. McCollum misses 2-pt jump shot from 4 ft,,93,87
321,4,10:36.0,Offensive rebound by M. Leonard,,93,87
322,4,10:32.0,N. Stauskas makes 3-pt jump shot from 25 ft,,96,87
323,4,10:16.0,,Personal foul by E. Turner (drawn by T. Burke),96,87
324,4,10:16.0,,T. Hardaway enters the game for F. Ntilikina,96,87
325,4,10:06.0,,T. Burke makes 2-pt layup from 1 ft (assist by M. Robinson),96,89
326,4,9:50.0,Z. Collins misses 2-pt layup at rim,,96,89
327,4,9:47.0,,Defensive rebound by K. Knox,96,89
328,4,9:41.0,,T. Burke makes 2-pt jump shot from 16 ft,96,91
329,4,9:21.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by M. Leonard),,99,91
330,4,9:08.0,,K. Knox misses 3-pt jump shot from 27 ft,99,91
331,4,9:06.0,Defensive rebound by Z. Collins,,99,91
332,4,8:55.0,Z. Collins misses 2-pt layup from 3 ft (block by M. Robinson),,99,91
333,4,8:55.0,Offensive rebound by Team,,99,91
334,4,8:51.0,Turnover by E. Turner (bad pass; steal by M. Robinson),,99,91
335,4,8:51.0,,Personal foul by Z. Collins (drawn by K. Knox),99,91
336,4,8:31.0,,A. Trier makes 2-pt jump shot from 10 ft,99,93
337,4,8:10.0,C. McCollum makes 3-pt jump shot from 25 ft,,102,93
338,4,7:55.0,,T. Hardaway misses 2-pt jump shot from 11 ft (block by C. McCollum),102,93
339,4,7:53.0,Defensive rebound by Team,,102,93
340,4,7:53.0,,N. Vonleh enters the game for K. Knox,102,93
341,4,7:45.0,C. McCollum makes 2-pt layup from 1 ft,,104,93
342,4,7:30.0,,T. Burke makes 3-pt jump shot from 26 ft (assist by N. Vonleh),104,96
343,4,7:09.0,C. McCollum misses 3-pt jump shot from 25 ft,,104,96
344,4,7:07.0,,Defensive rebound by T. Burke,104,96
345,4,6:54.0,,T. Burke misses 2-pt layup from 1 ft,104,96
346,4,6:54.0,,Offensive rebound by M. Robinson,104,96
347,4,6:54.0,,M. Robinson makes 2-pt layup from 1 ft,104,98
348,4,6:54.0,,Shooting foul by E. Turner (drawn by M. Robinson),104,98
349,4,6:54.0,Portland full timeout,,104,98
350,4,6:54.0,A. Aminu enters the game for Z. Collins,,104,98
351,4,6:54.0,D. Lillard enters the game for M. Leonard,,104,98
352,4,6:54.0,J. Nurkić enters the game for N. Stauskas,,104,98
353,4,6:54.0,,F. Ntilikina enters the game for A. Trier,104,98
354,4,6:54.0,,M. Robinson misses free throw 1 of 1,104,98
355,4,6:54.0,Defensive rebound by E. Turner,,104,98
356,4,6:31.0,J. Nurkić misses 2-pt jump shot from 11 ft,,104,98
357,4,6:29.0,,Defensive rebound by N. Vonleh,104,98
358,4,6:23.0,,Personal foul by C. McCollum (drawn by T. Hardaway),104,98
359,4,6:23.0,,E. Freedom enters the game for M. Robinson,104,98
360,4,6:20.0,,T. Burke makes 3-pt jump shot from 26 ft,104,101
361,4,5:54.0,D. Lillard misses 2-pt jump shot from 8 ft,,104,101
362,4,5:52.0,Offensive rebound by Team,,104,101
363,4,5:52.0,,Loose ball foul by T. Hardaway (drawn by J. Nurkić),104,101
364,4,5:41.0,Turnover by D. Lillard (bad pass; steal by E. Freedom),,104,101
365,4,5:35.0,,Personal foul by D. Lillard (drawn by N. Vonleh),104,101
366,4,5:35.0,,N. Vonleh misses free throw 1 of 2,104,101
367,4,5:35.0,,Offensive rebound by Team,104,101
368,4,5:35.0,,N. Vonleh misses free throw 2 of 2,104,101
369,4,5:35.0,Defensive rebound by Team,,104,101
370,4,5:28.0,E. Turner makes 2-pt jump shot from 5 ft,,106,101
371,4,5:13.0,,T. Hardaway misses 2-pt jump shot from 15 ft,106,101
372,4,5:10.0,Defensive rebound by J. Nurkić,,106,101
373,4,5:00.0,D. Lillard misses 2-pt jump shot from 22 ft,,106,101
374,4,4:58.0,,Defensive rebound by N. Vonleh,106,101
375,4,4:48.0,,T. Burke makes 2-pt layup from 1 ft,106,103
