,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA CLIPPERS_ACTION,NEW YORK_SCORE,LA CLIPPERS_SCORE
378,4,10:07.0,Shooting foul by M. Harrell (drawn by M. Robinson),,80,103
379,4,10:07.0,,Technical foul by M. Harrell,80,103
380,4,10:07.0,J. Jenkins misses technical free throw,,80,103
381,4,10:07.0,Offensive rebound by Team,,80,103
382,4,10:07.0,M. Robinson makes free throw 1 of 2,,81,103
383,4,10:07.0,M. Robinson makes free throw 2 of 2,,82,103
384,4,9:52.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),82,105
385,4,9:52.0,,Shooting foul by H. Ellenson (drawn by M. Harrell),82,105
386,4,9:52.0,,S. Gilgeous-Alexander enters the game for T. Wallace,82,105
387,4,9:52.0,,M. Harrell misses free throw 1 of 1,82,105
388,4,9:48.0,Defensive rebound by M. Robinson,,82,105
389,4,9:40.0,A. Trier makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,85,105
390,4,9:23.0,,M. Harrell makes 2-pt hook shot from 5 ft (assist by G. Temple),85,107
391,4,9:04.0,E. Mudiay misses 2-pt layup from 1 ft,,85,107
392,4,9:02.0,,Defensive rebound by M. Harrell,85,107
393,4,8:56.0,,M. Harrell misses 2-pt dunk from 4 ft (block by M. Robinson),85,107
394,4,8:53.0,Defensive rebound by H. Ellenson,,85,107
395,4,8:53.0,Shooting foul by G. Temple (drawn by A. Trier),,85,107
396,4,8:53.0,A. Trier makes free throw 1 of 2,,86,107
397,4,8:53.0,A. Trier misses free throw 2 of 2,,86,107
398,4,8:48.0,,Defensive rebound by L. Williams,86,107
399,4,8:41.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),86,109
400,4,8:35.0,New York full timeout,,86,109
401,4,8:35.0,N. Vonleh enters the game for J. Jenkins,,86,109
402,4,8:19.0,N. Vonleh makes 2-pt dunk from 1 ft,,88,109
403,4,7:52.0,,G. Temple makes 2-pt jump shot from 20 ft,88,111
404,4,7:33.0,H. Ellenson misses 3-pt jump shot from 24 ft,,88,111
405,4,7:30.0,Offensive rebound by M. Robinson,,88,111
406,4,7:28.0,M. Robinson makes 2-pt layup from 2 ft,,90,111
407,4,7:08.0,,M. Harrell makes 2-pt hook shot from 9 ft,90,113
408,4,6:45.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by A. Trier),,93,113
409,4,6:37.0,,J. Green makes 3-pt jump shot from 26 ft (assist by L. Williams),93,116
410,4,6:18.0,A. Trier makes 2-pt jump shot from 18 ft (assist by N. Vonleh),,95,116
411,4,5:56.0,,L. Williams makes 2-pt layup from 2 ft,95,118
412,4,5:34.0,H. Ellenson misses 2-pt layup from 2 ft,,95,118
413,4,5:32.0,,Defensive rebound by G. Temple,95,118
414,4,5:28.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,95,118
415,4,5:24.0,,Offensive rebound by J. Green,95,118
416,4,5:23.0,,J. Green misses 2-pt layup from 3 ft,95,118
417,4,5:21.0,Defensive rebound by M. Robinson,,95,118
418,4,5:10.0,H. Ellenson misses 2-pt jump shot from 9 ft,,95,118
419,4,5:06.0,Offensive rebound by N. Vonleh,,95,118
420,4,5:05.0,M. Robinson makes 2-pt dunk from 1 ft (assist by N. Vonleh),,97,118
421,4,4:50.0,,L. Williams misses 3-pt jump shot from 27 ft,97,118
422,4,4:47.0,,Offensive rebound by M. Harrell,97,118
423,4,4:41.0,,M. Harrell misses 2-pt layup from 2 ft,97,118
424,4,4:40.0,Defensive rebound by M. Robinson,,97,118
425,4,4:40.0,Personal take foul by L. Williams (drawn by A. Trier),,97,118
426,4,4:40.0,D. Smith enters the game for H. Ellenson,,97,118
427,4,4:40.0,,J. Robinson enters the game for J. Green,97,118
428,4,4:40.0,,L. Shamet enters the game for M. Harrell,97,118
429,4,4:40.0,,S. Thornwell enters the game for G. Temple,97,118
430,4,4:40.0,,I. Zubac enters the game for L. Williams,97,118
431,4,4:22.0,E. Mudiay misses 3-pt jump shot from 26 ft,,97,118
432,4,4:19.0,,Defensive rebound by I. Zubac,97,118
433,4,4:10.0,,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,97,120
434,4,3:46.0,E. Mudiay misses 2-pt jump shot from 5 ft,,97,120
435,4,3:44.0,Offensive rebound by N. Vonleh,,97,120
436,4,3:43.0,N. Vonleh misses 2-pt hook shot from 2 ft (block by I. Zubac),,97,120
437,4,3:40.0,,Defensive rebound by S. Gilgeous-Alexander,97,120
438,4,3:36.0,,J. Robinson misses 3-pt jump shot from 28 ft,97,120
439,4,3:34.0,Defensive rebound by E. Mudiay,,97,120
440,4,3:28.0,M. Robinson makes 2-pt dunk at rim (assist by D. Smith),,99,120
441,4,3:28.0,,LA Clippers full timeout,99,120
442,4,3:28.0,J. Jenkins enters the game for E. Mudiay,,99,120
443,4,3:28.0,L. Kornet enters the game for M. Robinson,,99,120
444,4,3:28.0,,J. Motley enters the game for S. Gilgeous-Alexander,99,120
445,4,3:28.0,,T. Wallace enters the game for L. Shamet,99,120
446,4,3:13.0,,J. Robinson misses 2-pt jump shot from 12 ft,99,120
447,4,3:10.0,Defensive rebound by N. Vonleh,,99,120
448,4,2:55.0,J. Jenkins misses 2-pt jump shot from 14 ft (block by S. Thornwell),,99,120
449,4,2:50.0,Offensive rebound by L. Kornet,,99,120
450,4,2:50.0,L. Kornet misses 3-pt jump shot from 27 ft,,99,120
451,4,2:49.0,,Defensive rebound by I. Zubac,99,120
452,4,2:47.0,,Offensive foul by J. Motley (drawn by L. Kornet),99,120
453,4,2:47.0,,Turnover by J. Motley (offensive foul),99,120
454,4,2:47.0,H. Ellenson enters the game for N. Vonleh,,99,120
455,4,2:37.0,J. Jenkins misses 3-pt jump shot from 27 ft,,99,120
456,4,2:33.0,,Defensive rebound by J. Robinson,99,120
457,4,2:27.0,,Turnover by T. Wallace (out of bounds lost ball),99,120
458,4,2:14.0,H. Ellenson makes 2-pt layup from 2 ft (assist by L. Kornet),,101,120
459,4,2:01.0,,I. Zubac makes 2-pt dunk from 3 ft (assist by J. Robinson),101,122
460,4,1:50.0,L. Kornet makes 3-pt jump shot from 24 ft (assist by A. Trier),,104,122
461,4,1:37.0,,T. Wallace makes 3-pt jump shot from 24 ft (assist by S. Thornwell),104,125
462,4,1:25.0,L. Kornet misses 3-pt jump shot from 25 ft,,104,125
463,4,1:22.0,,Defensive rebound by S. Thornwell,104,125
464,4,1:13.0,,T. Wallace misses 2-pt hook shot from 4 ft,104,125
465,4,1:10.0,Defensive rebound by H. Ellenson,,104,125
466,4,1:07.0,Personal foul by J. Robinson (drawn by H. Ellenson),,104,125
467,4,1:07.0,H. Ellenson makes free throw 1 of 2,,105,125
468,4,1:07.0,H. Ellenson misses free throw 2 of 2,,105,125
469,4,1:03.0,,Defensive rebound by I. Zubac,105,125
470,4,0:55.0,,J. Motley makes 2-pt dunk from 3 ft (assist by I. Zubac),105,127
471,4,0:55.0,,Shooting foul by J. Jenkins (drawn by J. Motley),105,127
472,4,0:55.0,,J. Motley makes free throw 1 of 1,105,128
473,4,0:47.0,D. Smith misses 2-pt layup from 2 ft,,105,128
474,4,0:44.0,,Defensive rebound by J. Motley,105,128
475,4,0:42.0,,J. Motley misses 2-pt layup from 4 ft (block by L. Kornet),105,128
476,4,0:38.0,Defensive rebound by L. Kornet,,105,128
477,4,0:35.0,A. Trier makes 2-pt layup at rim,,107,128
478,4,0:22.0,,Turnover by T. Wallace (lost ball; steal by L. Kornet),107,128
479,4,0:15.0,J. Jenkins misses 3-pt jump shot from 27 ft,,107,128
480,4,0:13.0,,Defensive rebound by I. Zubac,107,128
