,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DETROIT_ACTION,LA CLIPPERS_SCORE,DETROIT_SCORE
0,1,11:47.0,T. Harris misses 3-pt jump shot from 26 ft,,0,0
1,1,11:44.0,,Defensive rebound by B. Griffin,0,0
2,1,11:36.0,,Turnover by B. Griffin (traveling),0,0
3,1,11:24.0,Shooting foul by B. Brown (drawn by S. Gilgeous-Alexander),,0,0
4,1,11:24.0,S. Gilgeous-Alexander misses free throw 1 of 2,,0,0
5,1,11:24.0,Offensive rebound by Team,,0,0
6,1,11:24.0,S. Gilgeous-Alexander makes free throw 2 of 2,,1,0
7,1,11:02.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by B. Griffin),1,3
8,1,10:52.0,T. Harris misses 3-pt jump shot from 28 ft,,1,3
9,1,10:48.0,,Defensive rebound by B. Griffin,1,3
10,1,10:39.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),1,6
11,1,10:30.0,LA Clippers full timeout,,1,6
12,1,10:23.0,M. Gortat misses 2-pt layup from 3 ft (block by A. Drummond),,1,6
13,1,10:21.0,,Defensive rebound by B. Brown,1,6
14,1,10:15.0,,B. Griffin makes 2-pt dunk at rim (assist by B. Brown),1,8
15,1,10:03.0,M. Gortat misses 2-pt hook shot from 5 ft,,1,8
16,1,10:01.0,,Defensive rebound by A. Drummond,1,8
17,1,9:48.0,,Personal foul by S. Gilgeous-Alexander (drawn by A. Drummond),1,8
18,1,9:41.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by R. Jackson),1,11
19,1,9:23.0,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by P. Beverley),,4,11
20,1,9:13.0,,R. Jackson misses 2-pt layup from 5 ft,4,11
21,1,9:11.0,Defensive rebound by P. Beverley,,4,11
22,1,9:04.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,4,11
23,1,9:00.0,,Defensive rebound by A. Drummond,4,11
24,1,8:52.0,,Shooting foul by S. Gilgeous-Alexander (drawn by R. Bullock),4,11
25,1,8:52.0,,R. Bullock makes free throw 1 of 2,4,12
26,1,8:52.0,,R. Bullock makes free throw 2 of 2,4,13
27,1,8:38.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by A. Drummond),,4,13
28,1,8:33.0,,R. Bullock misses 2-pt layup from 4 ft,4,13
29,1,8:32.0,,Offensive rebound by A. Drummond,4,13
30,1,8:31.0,,A. Drummond makes 2-pt layup from 1 ft,4,15
31,1,8:18.0,Offensive foul by M. Gortat (drawn by B. Brown),,4,15
32,1,8:18.0,Turnover by M. Gortat (offensive foul),,4,15
33,1,8:18.0,M. Harrell enters the game for S. Gilgeous-Alexander,,4,15
34,1,8:18.0,M. Scott enters the game for M. Gortat,,4,15
35,1,8:06.0,,R. Jackson makes 2-pt jump shot from 6 ft,4,17
36,1,8:05.0,LA Clippers full timeout,,4,17
37,1,7:51.0,M. Scott makes 3-pt jump shot from 23 ft (assist by T. Harris),,7,17
38,1,7:32.0,,B. Brown misses 2-pt layup from 3 ft,7,17
39,1,7:29.0,Defensive rebound by P. Beverley,,7,17
40,1,7:21.0,A. Bradley misses 2-pt jump shot from 18 ft,,7,17
41,1,7:18.0,,Defensive rebound by R. Jackson,7,17
42,1,7:09.0,,A. Drummond makes 2-pt jump shot from 7 ft (assist by R. Jackson),7,19
43,1,6:51.0,A. Bradley misses 3-pt jump shot from 26 ft,,7,19
44,1,6:49.0,,Defensive rebound by B. Griffin,7,19
45,1,6:38.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by R. Jackson),7,22
46,1,6:35.0,LA Clippers full timeout,,7,22
47,1,6:13.0,M. Harrell misses 2-pt jump shot from 17 ft,,7,22
48,1,6:10.0,Offensive rebound by A. Bradley,,7,22
49,1,6:10.0,Shooting foul by B. Brown (drawn by M. Scott),,7,22
50,1,6:10.0,M. Scott makes free throw 1 of 2,,8,22
51,1,6:10.0,M. Scott makes free throw 2 of 2,,9,22
52,1,5:48.0,,B. Brown misses 3-pt jump shot from 23 ft (block by P. Beverley),9,22
53,1,5:46.0,Defensive rebound by Team,,9,22
54,1,5:46.0,J. Robinson enters the game for A. Bradley,,9,22
55,1,5:46.0,L. Williams enters the game for T. Harris,,9,22
56,1,5:46.0,,L. Galloway enters the game for B. Brown,9,22
57,1,5:32.0,M. Scott misses 2-pt jump shot from 11 ft,,9,22
58,1,5:29.0,,Defensive rebound by A. Drummond,9,22
59,1,5:25.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),9,25
60,1,5:11.0,Turnover by M. Harrell (back court),,9,25
61,1,4:59.0,,Personal foul by M. Scott (drawn by B. Griffin),9,25
62,1,4:45.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,25
63,1,4:43.0,,Offensive rebound by A. Drummond,9,25
64,1,4:42.0,,Shooting foul by M. Scott (drawn by A. Drummond),9,25
65,1,4:42.0,,A. Drummond makes free throw 1 of 2,9,26
66,1,4:42.0,,L. Kennard enters the game for R. Bullock,9,26
67,1,4:42.0,,A. Drummond misses free throw 2 of 2,9,26
68,1,4:40.0,Defensive rebound by M. Scott,,9,26
69,1,4:33.0,Personal foul by R. Jackson (drawn by L. Williams),,9,26
70,1,4:33.0,T. Harris enters the game for P. Beverley,,9,26
71,1,4:27.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,11,26
72,1,4:02.0,,B. Griffin makes 2-pt jump shot from 9 ft,11,28
73,1,3:54.0,Turnover by L. Williams (lost ball; steal by A. Drummond),,11,28
74,1,3:52.0,,Shooting foul by M. Scott (drawn by A. Drummond),11,28
75,1,3:52.0,,A. Drummond makes free throw 1 of 2,11,29
76,1,3:52.0,,A. Drummond misses free throw 2 of 2,11,29
77,1,3:48.0,Defensive rebound by T. Harris,,11,29
78,1,3:33.0,M. Harrell makes 2-pt hook shot from 5 ft (assist by T. Harris),,13,29
79,1,3:22.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),13,32
80,1,2:58.0,L. Williams misses 2-pt jump shot from 14 ft,,13,32
81,1,2:55.0,,Defensive rebound by A. Drummond,13,32
82,1,2:43.0,,B. Griffin misses 2-pt jump shot from 14 ft,13,32
83,1,2:43.0,Defensive rebound by Team,,13,32
84,1,2:43.0,B. Marjanović enters the game for M. Scott,,13,32
85,1,2:43.0,,I. Smith enters the game for R. Jackson,13,32
86,1,2:31.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,15,32
87,1,2:10.0,,B. Griffin misses 3-pt jump shot from 26 ft,15,32
88,1,2:07.0,Defensive rebound by B. Marjanović,,15,32
89,1,2:00.0,T. Harris misses 2-pt jump shot from 18 ft,,15,32
90,1,1:55.0,,Defensive rebound by A. Drummond,15,32
91,1,1:55.0,,Detroit full timeout,15,32
92,1,1:55.0,,S. Johnson enters the game for B. Griffin,15,32
93,1,1:45.0,,Turnover by A. Drummond (3 sec),15,32
94,1,1:38.0,Personal foul by L. Kennard (drawn by T. Harris),,15,32
95,1,1:31.0,L. Williams misses 2-pt jump shot from 8 ft,,15,32
96,1,1:26.0,Offensive rebound by M. Harrell,,15,32
97,1,1:26.0,M. Harrell misses 2-pt layup at rim,,15,32
98,1,1:25.0,Offensive rebound by B. Marjanović,,15,32
99,1,1:25.0,B. Marjanović makes 2-pt layup at rim,,17,32
100,1,1:12.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by S. Johnson),17,34
101,1,1:05.0,L. Williams makes 2-pt layup from 7 ft,,19,34
102,1,1:05.0,Shooting foul by L. Galloway (drawn by L. Williams),,19,34
103,1,1:05.0,L. Williams makes free throw 1 of 1,,20,34
104,1,0:46.0,,I. Smith makes 3-pt jump shot from 26 ft,20,37
105,1,0:33.0,B. Marjanović makes 2-pt layup from 3 ft (assist by L. Williams),,22,37
106,1,0:28.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by I. Smith),22,40
107,1,0:05.0,L. Williams misses 2-pt layup from 2 ft,,22,40
108,1,0:03.0,Offensive rebound by B. Marjanović,,22,40
109,1,0:02.0,B. Marjanović misses 2-pt layup from 1 ft,,22,40
110,1,0:00.0,,Defensive rebound by A. Drummond,22,40
111,1,0:00.0,,A. Drummond misses 3-pt jump shot from 60 ft,22,40
112,1,0:00.0,,Offensive rebound by Team,22,40
