,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,M. Brogdon misses 2-pt jump shot from 12 ft,,0,0
1,1,11:37.0,,Defensive rebound by L. Aldridge,0,0
2,1,11:21.0,,L. Aldridge misses 3-pt jump shot from 26 ft,0,0
3,1,11:18.0,Defensive rebound by G. Antetokounmpo,,0,0
4,1,11:02.0,M. Brogdon misses 3-pt jump shot from 25 ft,,0,0
5,1,10:59.0,,Defensive rebound by L. Aldridge,0,0
6,1,10:45.0,,D. White misses 2-pt jump shot from 15 ft,0,0
7,1,10:43.0,Defensive rebound by B. Lopez,,0,0
8,1,10:34.0,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by K. Middleton),,3,0
9,1,10:14.0,,Personal foul by B. Lopez (drawn by L. Aldridge),3,0
10,1,10:07.0,,D. DeRozan misses 2-pt jump shot from 19 ft,3,0
11,1,10:06.0,,Offensive rebound by Team,3,0
12,1,10:04.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by J. Poeltl),3,2
13,1,9:53.0,G. Antetokounmpo makes 2-pt layup from 4 ft,,5,2
14,1,9:45.0,,D. DeRozan misses 2-pt jump shot from 20 ft,5,2
15,1,9:43.0,Defensive rebound by B. Lopez,,5,2
16,1,9:35.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,5,2
17,1,9:31.0,,Defensive rebound by J. Poeltl,5,2
18,1,9:21.0,,B. Forbes misses 3-pt jump shot from 26 ft,5,2
19,1,9:19.0,Defensive rebound by G. Antetokounmpo,,5,2
20,1,9:13.0,M. Brogdon misses 2-pt layup from 2 ft,,5,2
21,1,9:10.0,,Defensive rebound by L. Aldridge,5,2
22,1,9:06.0,,D. White makes 2-pt dunk from 1 ft,5,4
23,1,8:50.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by M. Brogdon),,7,4
24,1,8:37.0,,Turnover by D. White (bad pass; steal by K. Middleton),7,4
25,1,8:32.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by K. Middleton),,9,4
26,1,8:07.0,,L. Aldridge misses 2-pt jump shot from 10 ft,9,4
27,1,8:05.0,Defensive rebound by G. Antetokounmpo,,9,4
28,1,7:58.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,11,4
29,1,7:58.0,,San Antonio full timeout,11,4
30,1,7:58.0,N. Mirotić enters the game for M. Brogdon,,11,4
31,1,7:50.0,,D. DeRozan misses 2-pt jump shot from 13 ft,11,4
32,1,7:47.0,Defensive rebound by B. Lopez,,11,4
33,1,7:42.0,Personal foul by D. DeRozan (drawn by K. Middleton),,11,4
34,1,7:35.0,K. Middleton makes 2-pt jump shot from 17 ft,,13,4
35,1,7:16.0,,Personal foul by G. Antetokounmpo (drawn by L. Aldridge),13,4
36,1,7:05.0,,L. Aldridge misses 2-pt jump shot from 16 ft,13,4
37,1,7:05.0,Defensive rebound by K. Middleton,,13,4
38,1,6:55.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,16,4
39,1,6:30.0,,D. White misses 3-pt jump shot from 26 ft,16,4
40,1,6:29.0,Defensive rebound by Team,,16,4
41,1,6:29.0,,M. Belinelli enters the game for B. Forbes,16,4
42,1,6:29.0,,D. Bertāns enters the game for J. Poeltl,16,4
43,1,6:16.0,Turnover by K. Middleton (bad pass; steal by L. Aldridge),,16,4
44,1,6:11.0,,D. DeRozan makes 2-pt layup from 5 ft (assist by D. Bertāns),16,6
45,1,5:52.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),,18,6
46,1,5:33.0,,D. White misses 2-pt layup from 2 ft,18,6
47,1,5:32.0,Defensive rebound by G. Antetokounmpo,,18,6
48,1,5:29.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by D. DeRozan),,18,6
49,1,5:29.0,Offensive rebound by Team,,18,6
50,1,5:29.0,P. Connaughton enters the game for E. Bledsoe,,18,6
51,1,5:20.0,K. Middleton makes 3-pt jump shot from 25 ft,,21,6
52,1,5:06.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),21,9
53,1,4:48.0,N. Mirotić makes 2-pt hook shot from 7 ft (assist by K. Middleton),,23,9
54,1,4:38.0,,Shooting foul by P. Connaughton (drawn by D. DeRozan),23,9
55,1,4:38.0,,D. DeRozan makes free throw 1 of 2,23,10
56,1,4:38.0,M. Brogdon enters the game for G. Antetokounmpo,,23,10
57,1,4:38.0,,P. Mills enters the game for D. White,23,10
58,1,4:38.0,,D. DeRozan makes free throw 2 of 2,23,11
59,1,4:21.0,Shooting foul by P. Mills (drawn by K. Middleton),,23,11
60,1,4:21.0,K. Middleton makes free throw 1 of 2,,24,11
61,1,4:21.0,K. Middleton makes free throw 2 of 2,,25,11
62,1,3:57.0,,L. Aldridge misses 2-pt hook shot from 6 ft,25,11
63,1,3:55.0,,Offensive rebound by L. Aldridge,25,11
64,1,3:53.0,,L. Aldridge makes 2-pt layup from 1 ft,25,13
65,1,3:39.0,B. Lopez makes 2-pt layup from 1 ft,,27,13
66,1,3:32.0,,D. Bertāns misses 3-pt jump shot from 26 ft,27,13
67,1,3:29.0,Defensive rebound by K. Middleton,,27,13
68,1,3:29.0,Turnover by K. Middleton (bad pass),,27,13
69,1,3:29.0,P. Gasol enters the game for B. Lopez,,27,13
70,1,3:29.0,T. Snell enters the game for K. Middleton,,27,13
71,1,3:29.0,,B. Forbes enters the game for D. DeRozan,27,13
72,1,3:15.0,,L. Aldridge makes 2-pt jump shot from 9 ft (assist by D. Bertāns),27,15
73,1,3:11.0,Milwaukee full timeout,,27,15
74,1,3:00.0,P. Gasol misses 2-pt jump shot from 17 ft,,27,15
75,1,2:58.0,,Defensive rebound by L. Aldridge,27,15
76,1,2:50.0,,M. Belinelli misses 2-pt jump shot from 20 ft,27,15
77,1,2:49.0,Defensive rebound by P. Gasol,,27,15
78,1,2:41.0,M. Brogdon makes 2-pt layup from 2 ft,,29,15
79,1,2:26.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by P. Mills),29,17
80,1,2:12.0,N. Mirotić misses 3-pt jump shot from 26 ft,,29,17
81,1,2:09.0,,Defensive rebound by D. Bertāns,29,17
82,1,1:58.0,,P. Mills misses 3-pt jump shot from 23 ft,29,17
83,1,1:53.0,,Offensive rebound by L. Aldridge,29,17
84,1,1:53.0,,L. Aldridge misses 2-pt layup at rim,29,17
85,1,1:52.0,Defensive rebound by P. Gasol,,29,17
86,1,1:48.0,P. Gasol makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,32,17
87,1,1:35.0,,P. Mills makes 2-pt jump shot from 19 ft,32,19
88,1,1:17.0,T. Snell misses 2-pt hook shot from 6 ft,,32,19
89,1,1:16.0,Offensive rebound by P. Connaughton,,32,19
90,1,1:14.0,Turnover by P. Connaughton (bad pass; steal by M. Belinelli),,32,19
91,1,1:11.0,,M. Belinelli makes 2-pt layup from 2 ft,32,21
92,1,0:50.0,M. Brogdon misses 3-pt jump shot from 26 ft,,32,21
93,1,0:46.0,,Defensive rebound by M. Belinelli,32,21
94,1,0:33.0,,L. Aldridge makes 2-pt jump shot from 11 ft,32,23
95,1,0:27.0,M. Brogdon misses 2-pt jump shot from 18 ft,,32,23
96,1,0:24.0,,Defensive rebound by B. Forbes,32,23
97,1,0:10.0,,B. Forbes makes 2-pt layup from 1 ft,32,25
98,2,11:47.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by M. Belinelli),32,28
99,2,11:35.0,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,35,28
