,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
0,1,11:47.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by B. Beal),0,3
1,1,11:27.0,J. Randle misses 2-pt jump shot from 14 ft,,0,3
2,1,11:24.0,,Defensive rebound by T. Bryant,0,3
3,1,11:14.0,,K. Oubre makes 2-pt layup from 2 ft (assist by J. Wall),0,5
4,1,11:03.0,E. Moore makes 2-pt layup from 1 ft (assist by N. Mirotić),,2,5
5,1,10:53.0,,O. Porter misses 2-pt jump shot from 18 ft,2,5
6,1,10:49.0,Defensive rebound by J. Randle,,2,5
7,1,10:29.0,E. Moore makes 2-pt jump shot from 20 ft,,4,5
8,1,10:11.0,,Turnover by J. Wall (lost ball; steal by J. Holiday),4,5
9,1,10:06.0,E. Moore makes 2-pt jump shot from 21 ft,,6,5
10,1,9:50.0,,B. Beal makes 2-pt jump shot from 21 ft,6,7
11,1,9:39.0,N. Mirotić misses 3-pt jump shot from 25 ft,,6,7
12,1,9:34.0,,Defensive rebound by K. Oubre,6,7
13,1,9:25.0,,J. Wall misses 3-pt jump shot from 27 ft,6,7
14,1,9:22.0,Defensive rebound by W. Johnson,,6,7
15,1,9:14.0,J. Holiday misses 2-pt layup from 4 ft,,6,7
16,1,9:11.0,Offensive rebound by J. Randle,,6,7
17,1,9:11.0,J. Randle makes 2-pt layup from 2 ft,,8,7
18,1,9:05.0,,O. Porter makes 2-pt jump shot from 6 ft,8,9
19,1,9:05.0,,Shooting foul by E. Moore (drawn by O. Porter),8,9
20,1,9:05.0,,O. Porter makes free throw 1 of 1,8,10
21,1,8:49.0,W. Johnson misses 2-pt jump shot from 13 ft,,8,10
22,1,8:46.0,,Defensive rebound by K. Oubre,8,10
23,1,8:42.0,,K. Oubre misses 3-pt jump shot from 27 ft,8,10
24,1,8:41.0,Defensive rebound by Team,,8,10
25,1,8:30.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),,10,10
26,1,8:21.0,,Personal foul by W. Johnson (drawn by B. Beal),10,10
27,1,8:13.0,,K. Oubre makes 2-pt dunk at rim (assist by B. Beal),10,12
28,1,7:56.0,J. Holiday makes 2-pt jump shot from 10 ft,,12,12
29,1,7:51.0,,Turnover by J. Wall (lost ball; steal by E. Moore),12,12
30,1,7:51.0,Turnover by E. Moore (back court),,12,12
31,1,7:45.0,,Personal foul by J. Holiday (drawn by K. Oubre),12,12
32,1,7:32.0,,Turnover by J. Wall (bad pass; steal by E. Moore),12,12
33,1,7:25.0,Shooting foul by T. Bryant (drawn by J. Randle),,12,12
34,1,7:25.0,J. Randle makes free throw 1 of 2,,13,12
35,1,7:25.0,J. Randle makes free throw 2 of 2,,14,12
36,1,7:12.0,,O. Porter makes 2-pt jump shot from 12 ft (assist by J. Wall),14,14
37,1,6:57.0,J. Randle makes 2-pt hook shot from 2 ft,,16,14
38,1,6:44.0,,O. Porter makes 2-pt jump shot from 9 ft (assist by T. Bryant),16,16
39,1,6:26.0,J. Holiday makes 2-pt jump shot from 3 ft (assist by J. Randle),,18,16
40,1,6:07.0,,B. Beal makes 2-pt layup from 2 ft,18,18
41,1,5:56.0,Turnover by J. Holiday (bad pass; steal by O. Porter),,18,18
42,1,5:52.0,,J. Wall makes 2-pt dunk from 1 ft (assist by T. Bryant),18,20
43,1,5:47.0,New Orleans full timeout,,18,20
44,1,5:47.0,C. Diallo enters the game for W. Johnson,,18,20
45,1,5:47.0,F. Jackson enters the game for J. Randle,,18,20
46,1,5:37.0,E. Moore makes 2-pt jump shot from 11 ft,,20,20
47,1,5:25.0,,O. Porter makes 3-pt jump shot from 26 ft,20,23
48,1,5:04.0,F. Jackson misses 3-pt jump shot from 23 ft,,20,23
49,1,5:02.0,,Defensive rebound by J. Wall,20,23
50,1,4:47.0,,K. Oubre misses 2-pt layup from 12 ft,20,23
51,1,4:40.0,,Offensive rebound by B. Beal,20,23
52,1,4:40.0,,B. Beal makes 2-pt layup at rim,20,25
53,1,4:35.0,Turnover by J. Holiday (lost ball; steal by B. Beal),,20,25
54,1,4:30.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Wall),20,27
