,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
385,4,10:05.0,,Defensive rebound by Team,77,112
386,4,9:47.0,,M. Beasley makes 2-pt jump shot from 14 ft (assist by M. Plumlee),77,114
387,4,9:40.0,Atlanta full timeout,,77,114
388,4,9:40.0,,T. Craig enters the game for J. Hernangómez,77,114
389,4,9:40.0,,M. Morris enters the game for J. Murray,77,114
390,4,9:20.0,O. Spellman misses 2-pt layup from 1 ft,,77,114
391,4,9:14.0,,Defensive rebound by M. Plumlee,77,114
392,4,9:12.0,,Personal foul by O. Spellman (drawn by M. Plumlee),77,114
393,4,9:09.0,,Turnover by M. Plumlee (lost ball; steal by A. Poythress),77,114
394,4,9:06.0,A. Poythress makes 2-pt dunk from 1 ft,,79,114
395,4,8:47.0,,M. Beasley misses 2-pt jump shot from 7 ft,79,114
396,4,8:44.0,Defensive rebound by O. Spellman,,79,114
397,4,8:35.0,A. Poythress misses 3-pt jump shot from 23 ft,,79,114
398,4,8:31.0,,Defensive rebound by M. Beasley,79,114
399,4,8:18.0,,T. Lyles misses 2-pt hook shot from 3 ft,79,114
400,4,8:16.0,Defensive rebound by O. Spellman,,79,114
401,4,8:11.0,K. Huerter misses 3-pt jump shot from 26 ft,,79,114
402,4,8:07.0,,Defensive rebound by T. Lyles,79,114
403,4,8:01.0,,M. Morris misses 2-pt jump shot from 8 ft,79,114
404,4,7:59.0,Defensive rebound by T. Dorsey,,79,114
405,4,7:54.0,Shooting foul by T. Craig (drawn by A. Poythress),,79,114
406,4,7:54.0,A. Poythress makes free throw 1 of 2,,80,114
407,4,7:54.0,D. Hamilton enters the game for K. Huerter,,80,114
408,4,7:54.0,A. Poythress misses free throw 2 of 2,,80,114
409,4,7:51.0,,Defensive rebound by M. Plumlee,80,114
410,4,7:41.0,,Turnover by M. Plumlee (lost ball; steal by O. Spellman),80,114
411,4,7:36.0,Turnover by T. Young (bad pass),,80,114
412,4,7:36.0,J. Lin enters the game for O. Spellman,,80,114
413,4,7:36.0,M. Plumlee enters the game for T. Young,,80,114
414,4,7:19.0,,Turnover by T. Lyles (bad pass; steal by T. Dorsey),80,114
415,4,7:13.0,T. Dorsey misses 3-pt jump shot from 25 ft,,80,114
416,4,7:12.0,,Defensive rebound by T. Craig,80,114
417,4,7:12.0,,Denver full timeout,80,114
418,4,7:12.0,O. Spellman enters the game for A. Poythress,,80,114
419,4,6:54.0,,M. Morris misses 3-pt jump shot from 25 ft,80,114
420,4,6:51.0,,Offensive rebound by M. Plumlee,80,114
421,4,6:49.0,,M. Plumlee makes 2-pt dunk from 1 ft,80,116
422,4,6:38.0,T. Dorsey makes 2-pt layup from 2 ft,,82,116
423,4,6:38.0,Shooting foul by T. Craig (drawn by T. Dorsey),,82,116
424,4,6:38.0,,T. Lydon enters the game for M. Plumlee,82,116
425,4,6:38.0,T. Dorsey makes free throw 1 of 1,,83,116
426,4,6:25.0,,M. Morris misses 2-pt jump shot from 14 ft,83,116
427,4,6:21.0,Defensive rebound by T. Dorsey,,83,116
428,4,6:09.0,M. Plumlee misses 2-pt hook shot from 8 ft,,83,116
429,4,6:06.0,,Defensive rebound by M. Beasley,83,116
430,4,6:03.0,,M. Beasley misses 3-pt jump shot from 26 ft,83,116
431,4,5:58.0,Defensive rebound by M. Plumlee,,83,116
432,4,5:56.0,Personal take foul by M. Morris (drawn by T. Dorsey),,83,116
433,4,5:56.0,,D. Akoon-Purcell enters the game for T. Craig,83,116
434,4,5:50.0,J. Lin misses 2-pt jump shot from 10 ft,,83,116
435,4,5:47.0,,Defensive rebound by D. Akoon-Purcell,83,116
436,4,5:43.0,,T. Lydon makes 3-pt jump shot from 24 ft (assist by M. Beasley),83,119
437,4,5:28.0,Shooting foul by M. Beasley (drawn by D. Hamilton),,83,119
438,4,5:28.0,D. Hamilton misses free throw 1 of 2,,83,119
439,4,5:28.0,Offensive rebound by Team,,83,119
440,4,5:28.0,D. Hamilton makes free throw 2 of 2,,84,119
441,4,5:15.0,,T. Lyles makes 2-pt dunk from 2 ft (assist by M. Beasley),84,121
442,4,5:04.0,O. Spellman misses 2-pt layup from 2 ft,,84,121
443,4,5:02.0,,Defensive rebound by M. Morris,84,121
444,4,4:59.0,,M. Beasley misses 2-pt dunk from 2 ft (block by M. Plumlee),84,121
445,4,4:59.0,Defensive rebound by T. Dorsey,,84,121
446,4,4:49.0,D. Hamilton misses 2-pt jump shot from 8 ft,,84,121
447,4,4:45.0,,Defensive rebound by T. Lyles,84,121
448,4,4:33.0,,M. Beasley makes 2-pt jump shot from 17 ft,84,123
449,4,4:30.0,Atlanta full timeout,,84,123
450,4,4:30.0,K. Huerter enters the game for T. Dorsey,,84,123
451,4,4:30.0,A. Poythress enters the game for M. Plumlee,,84,123
452,4,4:30.0,,J. Hernangómez enters the game for M. Morris,84,123
453,4,4:15.0,O. Spellman misses 3-pt jump shot from 23 ft,,84,123
454,4,4:15.0,,Defensive rebound by T. Lyles,84,123
455,4,4:02.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by T. Lyles),84,126
456,4,3:50.0,Personal foul by D. Akoon-Purcell (drawn by J. Lin),,84,126
457,4,3:50.0,Offensive rebound by Team,,84,126
458,4,3:50.0,J. Lin misses free throw 1 of 2,,84,126
459,4,3:50.0,J. Lin makes free throw 2 of 2,,85,126
460,4,3:41.0,,Turnover by T. Lyles (bad pass),85,126
461,4,3:37.0,Turnover by J. Lin (bad pass),,85,126
462,4,3:29.0,,Shooting foul by J. Lin (drawn by J. Hernangómez),85,126
463,4,3:29.0,,J. Hernangómez misses free throw 1 of 2,85,126
464,4,3:29.0,,Offensive rebound by Team,85,126
465,4,3:29.0,,J. Hernangómez makes free throw 2 of 2,85,127
466,4,3:19.0,A. Poythress misses 3-pt jump shot from 23 ft,,85,127
467,4,3:16.0,Offensive rebound by O. Spellman,,85,127
468,4,3:15.0,O. Spellman misses 2-pt hook shot from 3 ft,,85,127
469,4,3:13.0,Offensive rebound by A. Poythress,,85,127
470,4,3:12.0,A. Poythress makes 2-pt layup from 2 ft,,87,127
471,4,2:55.0,,T. Lydon makes 3-pt jump shot from 27 ft (assist by D. Akoon-Purcell),87,130
472,4,2:47.0,A. Poythress makes 2-pt dunk from 1 ft (assist by O. Spellman),,89,130
473,4,2:32.0,,D. Akoon-Purcell makes 2-pt dunk from 1 ft (assist by T. Lyles),89,132
474,4,2:19.0,Personal foul by D. Akoon-Purcell (drawn by J. Lin),,89,132
475,4,2:19.0,J. Lin misses free throw 1 of 2,,89,132
476,4,2:19.0,Offensive rebound by Team,,89,132
477,4,2:19.0,J. Lin makes free throw 2 of 2,,90,132
478,4,2:11.0,,Shooting foul by J. Lin (drawn by M. Beasley),90,132
479,4,2:11.0,,M. Beasley misses free throw 1 of 2,90,132
480,4,2:11.0,,Offensive rebound by Team,90,132
481,4,2:11.0,,M. Beasley makes free throw 2 of 2,90,133
482,4,2:02.0,Turnover by K. Huerter (bad pass; steal by D. Akoon-Purcell),,90,133
483,4,1:59.0,,M. Beasley makes 2-pt layup from 2 ft (assist by D. Akoon-Purcell),90,135
484,4,1:59.0,,Shooting foul by J. Lin (drawn by M. Beasley),90,135
485,4,1:59.0,,M. Beasley makes free throw 1 of 1,90,136
486,4,1:48.0,J. Lin makes 3-pt jump shot from 23 ft (assist by A. Poythress),,93,136
487,4,1:36.0,,T. Lydon misses 3-pt jump shot from 27 ft,93,136
488,4,1:31.0,,Offensive rebound by J. Hernangómez,93,136
489,4,1:31.0,,J. Hernangómez makes 2-pt layup from 1 ft,93,138
490,4,1:22.0,Turnover by D. Hamilton (bad pass),,93,138
491,4,1:10.0,,D. Akoon-Purcell misses 3-pt jump shot from 25 ft,93,138
492,4,1:07.0,Defensive rebound by O. Spellman,,93,138
493,4,1:01.0,O. Spellman misses 3-pt jump shot from 25 ft,,93,138
494,4,0:58.0,,Defensive rebound by D. Akoon-Purcell,93,138
495,4,0:43.0,,M. Beasley misses 3-pt jump shot from 25 ft,93,138
496,4,0:40.0,,Offensive rebound by T. Lyles,93,138
497,4,0:30.0,,D. Akoon-Purcell misses 3-pt jump shot from 27 ft,93,138
498,4,0:26.0,Defensive rebound by K. Huerter,,93,138
499,4,0:16.0,D. Hamilton misses 3-pt jump shot from 23 ft,,93,138
500,4,0:08.0,,Defensive rebound by T. Lydon,93,138
