,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
61,1,6:12.0,,L. James makes 2-pt layup from 2 ft,11,15
62,1,6:12.0,,Shooting foul by J. Johnson (drawn by L. James),11,15
63,1,6:12.0,,T. Chandler enters the game for J. McGee,11,15
64,1,6:12.0,,L. James misses free throw 1 of 1,11,15
65,1,6:12.0,Defensive rebound by B. Adebayo,,11,15
66,1,5:57.0,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Wade),,13,15
67,1,5:43.0,,K. Kuzma makes 2-pt jump shot from 5 ft (assist by L. James),13,17
68,1,5:31.0,D. Wade misses 3-pt jump shot from 24 ft,,13,17
69,1,5:29.0,,Defensive rebound by K. Kuzma,13,17
70,1,5:23.0,,T. Chandler makes 2-pt dunk from 2 ft (assist by L. James),13,19
71,1,5:08.0,Offensive foul by J. Johnson (drawn by T. Chandler),,13,19
72,1,5:08.0,Turnover by J. Johnson (offensive foul),,13,19
73,1,5:08.0,D. Jones enters the game for G. Dragić,,13,19
74,1,5:08.0,J. Winslow enters the game for J. Johnson,,13,19
75,1,4:56.0,,K. Kuzma makes 2-pt hook shot from 10 ft (assist by L. James),13,21
76,1,4:46.0,B. Adebayo makes 2-pt jump shot from 18 ft (assist by D. Wade),,15,21
77,1,4:31.0,,L. James makes 2-pt jump shot from 22 ft,15,23
78,1,4:15.0,B. Adebayo misses 2-pt jump shot from 12 ft,,15,23
79,1,4:13.0,,Defensive rebound by L. Ball,15,23
80,1,4:04.0,,Turnover by K. Kuzma (lost ball; steal by D. Jones),15,23
81,1,4:03.0,Personal take foul by T. Chandler (drawn by D. Wade),,15,23
82,1,4:03.0,,K. Caldwell-Pope enters the game for L. Ball,15,23
83,1,4:03.0,,S. Mykhailiuk enters the game for J. Hart,15,23
84,1,3:51.0,R. McGruder misses 2-pt jump shot from 5 ft,,15,23
85,1,3:47.0,,Defensive rebound by T. Chandler,15,23
86,1,3:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,15,23
87,1,3:39.0,Defensive rebound by B. Adebayo,,15,23
88,1,3:34.0,J. Winslow makes 2-pt jump shot from 16 ft,,17,23
89,1,3:32.0,,LA Lakers full timeout,17,23
90,1,3:32.0,K. Olynyk enters the game for R. McGruder,,17,23
91,1,3:19.0,,L. James makes 2-pt dunk from 2 ft,17,25
92,1,2:53.0,Turnover by K. Olynyk (bad pass; steal by T. Chandler),,17,25
93,1,2:47.0,,L. James misses 2-pt layup from 3 ft (block by B. Adebayo),17,25
94,1,2:44.0,Defensive rebound by D. Wade,,17,25
95,1,2:42.0,D. Wade misses 3-pt jump shot from 25 ft,,17,25
96,1,2:38.0,,Defensive rebound by S. Mykhailiuk,17,25
97,1,2:22.0,,L. James misses 2-pt jump shot from 6 ft,17,25
98,1,2:19.0,Defensive rebound by D. Wade,,17,25
99,1,2:06.0,K. Olynyk makes 2-pt layup from 3 ft (assist by D. Wade),,19,25
100,1,1:45.0,,K. Kuzma makes 2-pt hook shot from 4 ft,19,27
101,1,1:25.0,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Wade),,21,27
102,1,1:05.0,,K. Kuzma misses 3-pt jump shot from 27 ft,21,27
103,1,1:03.0,Defensive rebound by J. Winslow,,21,27
104,1,0:48.0,K. Olynyk misses 2-pt jump shot from 13 ft,,21,27
105,1,0:48.0,Offensive rebound by Team,,21,27
106,1,0:48.0,J. Richardson enters the game for B. Adebayo,,21,27
107,1,0:48.0,,J. Hart enters the game for L. James,21,27
108,1,0:48.0,,L. Stephenson enters the game for K. Kuzma,21,27
109,1,0:45.0,Shooting foul by L. Stephenson (drawn by K. Olynyk),,21,27
110,1,0:45.0,K. Olynyk makes free throw 1 of 2,,22,27
111,1,0:45.0,K. Olynyk makes free throw 2 of 2,,23,27
112,1,0:33.0,,S. Mykhailiuk misses 2-pt jump shot from 22 ft,23,27
113,1,0:29.0,Defensive rebound by K. Olynyk,,23,27
114,1,0:22.0,D. Wade misses 2-pt jump shot from 6 ft,,23,27
115,1,0:19.0,,Defensive rebound by L. Stephenson,23,27
116,1,0:01.0,,J. Hart misses 2-pt layup from 5 ft (block by D. Jones),23,27
117,1,0:01.0,,Offensive rebound by Team,23,27
118,2,11:47.0,J. Winslow makes 2-pt layup from 2 ft,,25,27
119,2,11:28.0,,T. Chandler misses 2-pt layup from 2 ft,25,27
120,2,11:25.0,,Offensive rebound by T. Chandler,25,27
121,2,11:25.0,,T. Chandler makes 2-pt layup from 3 ft,25,29
122,2,11:09.0,K. Olynyk makes 2-pt hook shot from 5 ft,,27,29
123,2,10:56.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,27,29
124,2,10:56.0,Defensive rebound by J. Winslow,,27,29
125,2,10:48.0,Turnover by J. Winslow (bad pass; steal by S. Mykhailiuk),,27,29
126,2,10:38.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,27,29
127,2,10:36.0,,Offensive rebound by T. Chandler,27,29
128,2,10:34.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,27,29
129,2,10:30.0,Defensive rebound by J. Winslow,,27,29
130,2,10:24.0,J. Winslow misses 2-pt jump shot from 2 ft,,27,29
131,2,10:19.0,Offensive rebound by D. Jones,,27,29
132,2,10:19.0,D. Jones misses 2-pt layup at rim,,27,29
133,2,10:18.0,Offensive rebound by D. Jones,,27,29
134,2,10:18.0,D. Jones makes 2-pt layup at rim,,29,29
135,2,10:05.0,,L. Stephenson misses 3-pt jump shot from 24 ft,29,29
136,2,10:02.0,Defensive rebound by D. Jones,,29,29
137,2,9:39.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by D. Wade),,32,29
138,2,9:38.0,,LA Lakers full timeout,32,29
139,2,9:38.0,,L. Ball enters the game for K. Caldwell-Pope,32,29
140,2,9:38.0,,J. McGee enters the game for T. Chandler,32,29
141,2,9:23.0,,J. McGee misses 2-pt jump shot from 4 ft,32,29
142,2,9:20.0,Defensive rebound by D. Jones,,32,29
143,2,9:11.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Richardson),,34,29
144,2,8:50.0,,L. Stephenson misses 2-pt layup from 4 ft (block by D. Jones),34,29
145,2,8:47.0,,Offensive rebound by L. Ball,34,29
146,2,8:46.0,,J. McGee misses 2-pt hook shot from 5 ft (block by D. Jones),34,29
147,2,8:43.0,Defensive rebound by D. Wade,,34,29
148,2,8:38.0,J. Winslow misses 3-pt jump shot from 27 ft,,34,29
149,2,8:35.0,,Defensive rebound by J. McGee,34,29
150,2,8:29.0,,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by L. Stephenson),34,32
151,2,8:17.0,Personal foul by S. Mykhailiuk (drawn by D. Jones),,34,32
152,2,8:06.0,Turnover by D. Wade (bad pass; steal by S. Mykhailiuk),,34,32
153,2,8:01.0,,J. Hart makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),34,34
154,2,7:52.0,J. Winslow makes 2-pt jump shot from 3 ft,,36,34
155,2,7:35.0,,Turnover by J. McGee (bad pass; steal by D. Jones),36,34
156,2,7:27.0,J. Winslow misses 3-pt jump shot from 23 ft,,36,34
157,2,7:23.0,,Defensive rebound by L. Stephenson,36,34
158,2,7:17.0,,J. Hart misses 3-pt jump shot from 26 ft,36,34
159,2,7:13.0,Defensive rebound by D. Jones,,36,34
160,2,7:12.0,Shooting foul by L. Stephenson (drawn by D. Jones),,36,34
161,2,7:12.0,D. Jones makes free throw 1 of 2,,37,34
162,2,7:12.0,G. Dragić enters the game for D. Wade,,37,34
163,2,7:12.0,,L. James enters the game for J. McGee,37,34
164,2,7:12.0,,K. Kuzma enters the game for L. Stephenson,37,34
165,2,7:12.0,D. Jones makes free throw 2 of 2,,38,34
166,2,7:05.0,,Turnover by S. Mykhailiuk (step out of bounds),38,34
167,2,6:54.0,K. Olynyk makes 2-pt layup from 3 ft (assist by J. Winslow),,40,34
168,2,6:54.0,Shooting foul by J. Hart (drawn by K. Olynyk),,40,34
169,2,6:54.0,,K. Caldwell-Pope enters the game for S. Mykhailiuk,40,34
170,2,6:54.0,K. Olynyk makes free throw 1 of 1,,41,34
171,2,6:45.0,,J. Hart makes 3-pt jump shot from 24 ft (assist by L. Ball),41,37
172,2,6:34.0,K. Olynyk misses 3-pt jump shot from 27 ft,,41,37
173,2,6:30.0,Offensive rebound by D. Jones,,41,37
174,2,6:19.0,J. Winslow makes 3-pt jump shot from 24 ft (assist by J. Richardson),,44,37
175,2,5:56.0,,L. Ball misses 3-pt jump shot from 24 ft,44,37
176,2,5:53.0,Defensive rebound by K. Olynyk,,44,37
177,2,5:42.0,Turnover by D. Jones (traveling),,44,37
178,2,5:25.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by L. James),44,40
179,2,5:04.0,J. Winslow makes 2-pt layup from 2 ft (assist by J. Richardson),,46,40
180,2,4:49.0,,Turnover by L. James (bad pass),46,40
181,2,4:37.0,J. Richardson misses 3-pt jump shot from 25 ft,,46,40
182,2,4:33.0,,Defensive rebound by L. James,46,40
183,2,4:16.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. Ball),46,43
184,2,4:11.0,Miami full timeout,,46,43
185,2,4:11.0,B. Adebayo enters the game for D. Jones,,46,43
186,2,4:11.0,,T. Chandler enters the game for J. Hart,46,43
187,2,4:01.0,G. Dragić makes 3-pt jump shot from 27 ft (assist by K. Olynyk),,49,43
188,2,3:39.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by L. James),49,45
189,2,3:24.0,Turnover by G. Dragić (bad pass; steal by L. Ball),,49,45
190,2,3:18.0,,Personal foul by K. Olynyk (drawn by K. Kuzma),49,45
191,2,3:12.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,49,45
192,2,3:12.0,Defensive rebound by Team,,49,45
193,2,2:49.0,K. Olynyk makes 2-pt jump shot from 20 ft,,51,45
194,2,2:37.0,,K. Kuzma makes 2-pt jump shot from 13 ft,51,47
195,2,2:23.0,G. Dragić misses 2-pt jump shot from 15 ft,,51,47
196,2,2:21.0,,Defensive rebound by K. Kuzma,51,47
197,2,2:15.0,,L. James makes 2-pt dunk from 1 ft,51,49
198,2,2:15.0,,Shooting foul by K. Olynyk (drawn by L. James),51,49
199,2,2:15.0,D. Jones enters the game for K. Olynyk,,51,49
200,2,2:15.0,D. Wade enters the game for J. Richardson,,51,49
201,2,2:15.0,,L. James makes free throw 1 of 1,51,50
202,2,2:01.0,J. Winslow makes 3-pt jump shot from 27 ft (assist by G. Dragić),,54,50
203,2,1:51.0,,Shooting foul by D. Wade (drawn by L. Ball),54,50
204,2,1:51.0,,L. Ball makes free throw 1 of 2,54,51
205,2,1:51.0,,L. Ball misses free throw 2 of 2,54,51
206,2,1:48.0,Defensive rebound by G. Dragić,,54,51
207,2,1:29.0,B. Adebayo makes 2-pt jump shot from 18 ft (assist by D. Wade),,56,51
208,2,1:19.0,,K. Kuzma misses 2-pt hook shot from 8 ft,56,51
209,2,1:18.0,Defensive rebound by B. Adebayo,,56,51
210,2,1:15.0,Turnover by B. Adebayo (bad pass; steal by K. Caldwell-Pope),,56,51
211,2,1:10.0,,K. Kuzma makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),56,53
212,2,0:56.0,D. Wade misses 3-pt jump shot from 26 ft,,56,53
213,2,0:53.0,,Defensive rebound by L. Ball,56,53
214,2,0:41.0,,Turnover by K. Kuzma (bad pass; steal by B. Adebayo),56,53
215,2,0:35.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Winslow),,58,53
216,2,0:19.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by K. Kuzma),58,55
217,2,0:00.0,G. Dragić misses 3-pt jump shot from 26 ft (block by L. Ball),,58,55
218,2,0:00.0,Offensive rebound by Team,,58,55
219,3,11:46.0,Shooting foul by J. McGee (drawn by B. Adebayo),,58,55
220,3,11:46.0,B. Adebayo misses free throw 1 of 2,,58,55
221,3,11:46.0,Offensive rebound by Team,,58,55
222,3,11:46.0,B. Adebayo misses free throw 2 of 2,,58,55
223,3,11:44.0,,Defensive rebound by J. McGee,58,55
224,3,11:28.0,,L. James makes 3-pt jump shot from 26 ft,58,58
225,3,11:17.0,Turnover by G. Dragić (bad pass; steal by L. James),,58,58
226,3,11:06.0,,Turnover by L. James (bad pass; steal by B. Adebayo),58,58
227,3,11:01.0,R. McGruder makes 2-pt layup from 3 ft (assist by J. Richardson),,60,58
228,3,10:49.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),60,61
229,3,10:33.0,R. McGruder misses 3-pt jump shot from 27 ft,,60,61
230,3,10:30.0,,Defensive rebound by L. James,60,61
231,3,10:26.0,,J. Hart misses 3-pt jump shot from 26 ft,60,61
232,3,10:26.0,Defensive rebound by Team,,60,61
233,3,10:04.0,J. Richardson misses 2-pt layup from 2 ft (block by J. McGee),,60,61
234,3,10:00.0,Offensive rebound by B. Adebayo,,60,61
235,3,9:59.0,B. Adebayo misses 2-pt jump shot from 11 ft,,60,61
236,3,9:56.0,,Defensive rebound by J. McGee,60,61
237,3,9:42.0,,L. James misses 3-pt jump shot from 28 ft,60,61
238,3,9:39.0,Defensive rebound by J. Richardson,,60,61
239,3,9:38.0,J. Richardson misses 2-pt layup from 3 ft,,60,61
240,3,9:37.0,,Defensive rebound by Team,60,61
241,3,9:37.0,Loose ball foul by B. Adebayo (drawn by J. McGee),,60,61
242,3,9:13.0,,K. Kuzma misses 2-pt jump shot from 18 ft,60,61
243,3,9:11.0,Defensive rebound by B. Adebayo,,60,61
244,3,9:03.0,G. Dragić misses 3-pt jump shot from 22 ft,,60,61
245,3,8:59.0,,Defensive rebound by J. McGee,60,61
246,3,8:41.0,,L. Ball misses 2-pt jump shot from 6 ft,60,61
247,3,8:39.0,Defensive rebound by B. Adebayo,,60,61
248,3,8:30.0,R. McGruder makes 2-pt jump shot from 2 ft (assist by B. Adebayo),,62,61
249,3,8:28.0,,LA Lakers full timeout,62,61
250,3,8:28.0,J. Winslow enters the game for G. Dragić,,62,61
251,3,8:07.0,,L. James makes 2-pt jump shot from 14 ft,62,63
252,3,7:47.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,65,63
253,3,7:42.0,,Personal foul by J. Richardson (drawn by J. Hart),65,63
254,3,7:33.0,,J. McGee misses 2-pt jump shot from 17 ft,65,63
255,3,7:30.0,Defensive rebound by J. Johnson,,65,63
256,3,7:18.0,J. Winslow misses 2-pt jump shot from 17 ft,,65,63
257,3,7:15.0,Offensive rebound by B. Adebayo,,65,63
258,3,7:15.0,B. Adebayo misses 2-pt layup from 1 ft,,65,63
259,3,7:15.0,Offensive rebound by B. Adebayo,,65,63
260,3,7:15.0,B. Adebayo misses 2-pt layup from 1 ft (block by J. McGee),,65,63
261,3,7:14.0,Offensive rebound by Team,,65,63
262,3,7:09.0,J. Richardson misses 3-pt jump shot from 26 ft,,65,63
263,3,7:06.0,,Defensive rebound by J. McGee,65,63
264,3,6:56.0,,Shooting foul by R. McGruder (drawn by K. Kuzma),65,63
265,3,6:56.0,,K. Kuzma makes free throw 1 of 2,65,64
266,3,6:56.0,,K. Kuzma makes free throw 2 of 2,65,65
267,3,6:37.0,R. McGruder misses 3-pt jump shot from 25 ft,,65,65
268,3,6:34.0,,Defensive rebound by K. Kuzma,65,65
269,3,6:29.0,,L. Ball makes 2-pt dunk from 2 ft (assist by L. James),65,67
270,3,6:15.0,J. Richardson misses 2-pt layup from 2 ft,,65,67
271,3,6:14.0,Offensive rebound by B. Adebayo,,65,67
272,3,6:14.0,B. Adebayo makes 2-pt layup from 1 ft,,67,67
273,3,6:06.0,,Personal foul by J. Winslow (drawn by L. Ball),67,67
274,3,5:57.0,,L. James makes 3-pt jump shot from 27 ft,67,70
275,3,5:46.0,J. Winslow misses 2-pt jump shot from 15 ft,,67,70
276,3,5:43.0,,Defensive rebound by L. James,67,70
277,3,5:40.0,,Shooting foul by B. Adebayo (drawn by J. McGee),67,70
278,3,5:40.0,,J. McGee misses free throw 1 of 2,67,70
279,3,5:40.0,,Offensive rebound by Team,67,70
280,3,5:40.0,,J. McGee makes free throw 2 of 2,67,71
281,3,5:38.0,Miami full timeout,,67,71
282,3,5:38.0,D. Wade enters the game for R. McGruder,,67,71
283,3,5:38.0,,K. Caldwell-Pope enters the game for J. Hart,67,71
284,3,5:38.0,,T. Chandler enters the game for J. McGee,67,71
285,3,5:24.0,J. Winslow misses 2-pt jump shot from 8 ft,,67,71
286,3,5:17.0,Offensive rebound by J. Winslow,,67,71
287,3,5:17.0,J. Winslow makes 2-pt layup from 1 ft,,69,71
288,3,5:03.0,,L. James misses 2-pt jump shot from 17 ft,69,71
289,3,4:59.0,Defensive rebound by D. Wade,,69,71
290,3,4:53.0,D. Wade makes 2-pt jump shot from 6 ft,,71,71
291,3,4:31.0,,L. James misses 3-pt jump shot from 28 ft,71,71
292,3,4:29.0,Defensive rebound by J. Richardson,,71,71
293,3,4:15.0,B. Adebayo misses 2-pt jump shot from 18 ft,,71,71
294,3,4:13.0,,Defensive rebound by K. Kuzma,71,71
295,3,4:08.0,,K. Kuzma misses 3-pt jump shot from 27 ft,71,71
296,3,4:03.0,Defensive rebound by B. Adebayo,,71,71
297,3,3:44.0,Turnover by B. Adebayo (lost ball; steal by L. Ball),,71,71
298,3,3:42.0,,L. Ball makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),71,73
299,3,3:18.0,D. Wade makes 2-pt jump shot from 12 ft,,73,73
300,3,3:04.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by L. James),73,76
301,3,2:46.0,D. Wade makes 2-pt layup from 2 ft (assist by J. Richardson),,75,76
302,3,2:29.0,,K. Kuzma makes 2-pt jump shot from 3 ft,75,78
303,3,2:13.0,Turnover by B. Adebayo (bad pass),,75,78
304,3,2:13.0,D. Jones enters the game for B. Adebayo,,75,78
305,3,2:13.0,K. Olynyk enters the game for J. Johnson,,75,78
306,3,2:13.0,,L. Stephenson enters the game for L. James,75,78
307,3,1:59.0,,K. Kuzma misses 2-pt layup from 3 ft,75,78
308,3,1:57.0,Defensive rebound by K. Olynyk,,75,78
309,3,1:51.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,78,78
310,3,1:36.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,78,78
311,3,1:34.0,,Offensive rebound by K. Caldwell-Pope,78,78
312,3,1:31.0,,Turnover by L. Stephenson (bad pass; steal by D. Wade),78,78
313,3,1:25.0,Turnover by J. Winslow (lost ball; steal by L. Ball),,78,78
314,3,1:20.0,,Turnover by L. Ball (bad pass; steal by D. Jones),78,78
315,3,1:14.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,81,78
316,3,0:56.0,,K. Kuzma makes 3-pt jump shot from 24 ft (assist by T. Chandler),81,81
317,3,0:42.0,Shooting foul by T. Chandler (drawn by D. Wade),,81,81
318,3,0:42.0,D. Wade makes free throw 1 of 2,,82,81
319,3,0:42.0,R. McGruder enters the game for J. Richardson,,82,81
320,3,0:42.0,D. Wade makes free throw 2 of 2,,83,81
321,3,0:36.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by K. Caldwell-Pope),83,84
322,3,0:29.0,Turnover by K. Olynyk (out of bounds lost ball),,83,84
323,3,0:12.0,,K. Kuzma misses 3-pt jump shot from 28 ft,83,84
324,3,0:10.0,,Offensive rebound by L. Ball,83,84
325,3,0:10.0,,L. Ball misses 2-pt dunk at rim,83,84
326,3,0:09.0,Defensive rebound by K. Olynyk,,83,84
327,3,0:02.0,D. Wade misses 3-pt jump shot from 24 ft,,83,84
328,3,0:01.0,,Defensive rebound by K. Caldwell-Pope,83,84
329,4,11:47.0,,L. Stephenson makes 2-pt jump shot from 2 ft,83,86
330,4,11:32.0,D. Wade makes 2-pt layup from 2 ft,,85,86
331,4,11:13.0,,K. Caldwell-Pope misses 2-pt layup from 4 ft (block by D. Wade),85,86
332,4,11:10.0,Defensive rebound by J. Winslow,,85,86
333,4,11:03.0,Turnover by D. Wade (lost ball; steal by L. Stephenson),,85,86
334,4,11:03.0,,Personal take foul by J. Winslow (drawn by L. Stephenson),85,86
335,4,10:59.0,,Personal foul by R. McGruder (drawn by S. Mykhailiuk),85,86
336,4,10:49.0,,S. Mykhailiuk misses 2-pt jump shot from 22 ft,85,86
337,4,10:47.0,Defensive rebound by D. Jones,,85,86
338,4,10:41.0,D. Wade makes 2-pt hook shot from 3 ft,,87,86
339,4,10:14.0,,J. Hart misses 2-pt jump shot from 18 ft,87,86
340,4,10:12.0,,Offensive rebound by T. Chandler,87,86
341,4,10:11.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by T. Chandler),87,88
342,4,9:48.0,D. Wade misses 3-pt jump shot from 26 ft,,87,88
343,4,9:44.0,Offensive rebound by D. Jones,,87,88
344,4,9:43.0,J. Winslow misses 3-pt jump shot from 27 ft,,87,88
345,4,9:35.0,Offensive rebound by D. Jones,,87,88
346,4,9:35.0,D. Jones makes 2-pt dunk from 1 ft,,89,88
347,4,9:27.0,,Turnover by L. Stephenson (bad pass; steal by K. Olynyk),89,88
348,4,9:20.0,Shooting foul by L. Stephenson (drawn by D. Wade),,89,88
349,4,9:20.0,D. Wade misses free throw 1 of 2,,89,88
350,4,9:20.0,Offensive rebound by Team,,89,88
351,4,9:20.0,,L. James enters the game for T. Chandler,89,88
352,4,9:20.0,,K. Kuzma enters the game for S. Mykhailiuk,89,88
353,4,9:20.0,D. Wade makes free throw 2 of 2,,90,88
354,4,9:11.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,90,88
355,4,9:07.0,Defensive rebound by D. Jones,,90,88
356,4,8:55.0,D. Wade misses 2-pt jump shot from 2 ft,,90,88
357,4,8:52.0,,Defensive rebound by J. Hart,90,88
358,4,8:35.0,,Shooting foul by D. Wade (drawn by L. James),90,88
359,4,8:35.0,,L. James misses free throw 1 of 2,90,88
360,4,8:35.0,,Offensive rebound by Team,90,88
361,4,8:35.0,,L. James misses free throw 2 of 2,90,88
362,4,8:32.0,Defensive rebound by J. Winslow,,90,88
363,4,8:15.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by D. Wade),,93,88
364,4,8:02.0,,J. Hart misses 3-pt jump shot from 24 ft,93,88
365,4,7:57.0,,Offensive rebound by K. Kuzma,93,88
366,4,7:57.0,,K. Kuzma makes 2-pt layup at rim,93,90
367,4,7:46.0,Turnover by K. Olynyk (out of bounds lost ball),,93,90
368,4,7:36.0,,J. Hart misses 2-pt layup from 3 ft,93,90
369,4,7:33.0,Defensive rebound by D. Jones,,93,90
370,4,7:31.0,Miami full timeout,,93,90
371,4,7:31.0,,L. Ball enters the game for K. Caldwell-Pope,93,90
372,4,7:18.0,J. Winslow makes 3-pt jump shot from 23 ft (assist by D. Wade),,96,90
373,4,6:51.0,,L. James misses 2-pt jump shot from 16 ft,96,90
374,4,6:49.0,Defensive rebound by D. Jones,,96,90
375,4,6:34.0,K. Olynyk misses 3-pt jump shot from 26 ft,,96,90
376,4,6:31.0,,Defensive rebound by J. Hart,96,90
377,4,6:24.0,,L. James makes 3-pt jump shot from 27 ft (assist by L. Ball),96,93
