,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,TORONTO_ACTION,LA LAKERS_SCORE,TORONTO_SCORE
387,4,9:49.0,,N. Powell misses 2-pt jump shot from 20 ft,84,95
388,4,9:47.0,,Offensive rebound by P. Siakam,84,95
389,4,9:42.0,,M. Miller misses 3-pt jump shot from 25 ft,84,95
390,4,9:39.0,Defensive rebound by Team,,84,95
391,4,9:39.0,A. Ingram enters the game for J. Williams,,84,95
392,4,9:18.0,L. James misses 2-pt jump shot from 13 ft,,84,95
393,4,9:14.0,,Defensive rebound by N. Powell,84,95
394,4,9:07.0,,Turnover by O. Anunoby (lost ball; steal by A. Ingram),84,95
395,4,9:01.0,L. James makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,86,95
396,4,8:40.0,,O. Anunoby makes 3-pt jump shot from 24 ft (assist by P. Siakam),86,98
397,4,8:26.0,A. Caruso misses 2-pt layup from 3 ft (block by P. Siakam),,86,98
398,4,8:24.0,,Defensive rebound by N. Powell,86,98
399,4,8:20.0,,M. Miller misses 3-pt jump shot from 25 ft,86,98
400,4,8:17.0,,Offensive rebound by O. Anunoby,86,98
401,4,8:17.0,,O. Anunoby misses 2-pt layup from 4 ft,86,98
402,4,8:14.0,Defensive rebound by A. Caruso,,86,98
403,4,8:12.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by A. Caruso),,88,98
404,4,7:59.0,,N. Powell misses 3-pt jump shot from 24 ft,88,98
405,4,7:59.0,Defensive rebound by J. Hart,,88,98
406,4,7:44.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,88,98
407,4,7:42.0,,Defensive rebound by N. Powell,88,98
408,4,7:35.0,,M. Miller makes 3-pt jump shot from 23 ft (assist by P. Siakam),88,101
409,4,7:34.0,LA Lakers full timeout,,88,101
410,4,7:34.0,K. Kuzma enters the game for K. Caldwell-Pope,,88,101
411,4,7:34.0,,K. Leonard enters the game for P. Siakam,88,101
412,4,7:30.0,Turnover by A. Caruso (lost ball; steal by N. Powell),,88,101
413,4,7:29.0,,Shooting foul by A. Caruso (drawn by N. Powell),88,101
414,4,7:29.0,,N. Powell makes free throw 1 of 2,88,102
415,4,7:29.0,,N. Powell makes free throw 2 of 2,88,103
416,4,7:18.0,A. Ingram misses 2-pt jump shot from 5 ft,,88,103
417,4,7:16.0,,Defensive rebound by K. Leonard,88,103
418,4,7:00.0,,K. Leonard misses 2-pt jump shot from 20 ft,88,103
419,4,6:58.0,Defensive rebound by A. Caruso,,88,103
420,4,6:47.0,K. Kuzma makes 2-pt hook shot from 3 ft (assist by L. James),,90,103
421,4,6:23.0,,K. Leonard misses 3-pt jump shot from 23 ft,90,103
422,4,6:20.0,Defensive rebound by A. Caruso,,90,103
423,4,6:15.0,A. Ingram misses 3-pt jump shot from 23 ft,,90,103
424,4,6:13.0,,Defensive rebound by N. Powell,90,103
425,4,6:06.0,,M. Miller misses 3-pt jump shot from 25 ft,90,103
426,4,6:03.0,Defensive rebound by A. Ingram,,90,103
427,4,5:58.0,A. Ingram misses 3-pt jump shot from 25 ft,,90,103
428,4,5:54.0,Offensive rebound by K. Kuzma,,90,103
429,4,5:54.0,K. Kuzma misses 2-pt layup from 3 ft (block by N. Powell),,90,103
430,4,5:50.0,Offensive rebound by A. Ingram,,90,103
431,4,5:48.0,L. James makes 2-pt dunk from 2 ft (assist by A. Caruso),,92,103
432,4,5:35.0,,N. Powell makes 2-pt hook shot from 5 ft,92,105
433,4,5:20.0,Shooting foul by P. McCaw (drawn by L. James),,92,105
434,4,5:20.0,L. James misses free throw 1 of 2,,92,105
435,4,5:20.0,Offensive rebound by Team,,92,105
436,4,5:20.0,R. Bullock enters the game for A. Caruso,,92,105
437,4,5:20.0,R. Rondo enters the game for A. Ingram,,92,105
438,4,5:20.0,,E. Moreland enters the game for M. Miller,92,105
439,4,5:20.0,,P. Siakam enters the game for N. Powell,92,105
440,4,5:20.0,L. James makes free throw 2 of 2,,93,105
441,4,5:01.0,,Turnover by P. McCaw (bad pass),93,105
442,4,4:54.0,J. Hart makes 3-pt jump shot from 25 ft (assist by R. Rondo),,96,105
443,4,4:32.0,,Turnover by E. Moreland (3 sec),96,105
444,4,4:14.0,L. James misses 2-pt layup from 4 ft (block by P. McCaw),,96,105
445,4,4:14.0,,Defensive rebound by E. Moreland,96,105
446,4,4:06.0,,Toronto full timeout,96,105
447,4,3:56.0,,Turnover by K. Leonard (bad pass),96,105
448,4,3:49.0,Offensive foul by R. Bullock (drawn by P. McCaw),,96,105
449,4,3:49.0,Turnover by R. Bullock (offensive foul),,96,105
450,4,3:31.0,,K. Leonard misses 2-pt jump shot from 9 ft,96,105
451,4,3:28.0,Defensive rebound by R. Bullock,,96,105
452,4,3:25.0,Turnover by L. James (bad pass),,96,105
453,4,3:13.0,,K. Leonard misses 2-pt layup from 1 ft,96,105
454,4,3:06.0,,Offensive rebound by E. Moreland,96,105
455,4,3:06.0,,E. Moreland makes 2-pt layup at rim,96,107
456,4,2:53.0,R. Bullock misses 3-pt jump shot from 26 ft,,96,107
457,4,2:50.0,Offensive rebound by Team,,96,107
458,4,2:35.0,L. James makes 2-pt layup from 3 ft,,98,107
459,4,2:18.0,,Shooting foul by J. Hart (drawn by K. Leonard),98,107
460,4,2:18.0,,K. Leonard makes free throw 1 of 2,98,108
461,4,2:18.0,K. Caldwell-Pope enters the game for L. James,,98,108
462,4,2:18.0,,K. Leonard makes free throw 2 of 2,98,109
463,4,1:58.0,Turnover by R. Rondo (bad pass; steal by K. Leonard),,98,109
464,4,1:55.0,,Turnover by K. Leonard (lost ball; steal by K. Caldwell-Pope),98,109
465,4,1:44.0,R. Bullock misses 3-pt jump shot from 23 ft,,98,109
466,4,1:42.0,,Defensive rebound by E. Moreland,98,109
467,4,1:28.0,,Shooting foul by K. Caldwell-Pope (drawn by P. Siakam),98,109
468,4,1:28.0,,P. Siakam makes free throw 1 of 2,98,110
469,4,1:28.0,,J. Loyd enters the game for O. Anunoby,98,110
470,4,1:28.0,,M. Miller enters the game for K. Leonard,98,110
471,4,1:28.0,,P. Siakam makes free throw 2 of 2,98,111
472,4,1:14.0,K. Kuzma misses 2-pt hook shot from 6 ft,,98,111
473,4,1:12.0,,Defensive rebound by E. Moreland,98,111
474,4,0:58.0,,P. Siakam misses 2-pt layup from 4 ft (block by K. Caldwell-Pope),98,111
475,4,0:58.0,,Offensive rebound by Team,98,111
476,4,0:58.0,A. Caruso enters the game for J. Hart,,98,111
477,4,0:58.0,A. Ingram enters the game for R. Rondo,,98,111
478,4,0:58.0,,C. Boucher enters the game for P. Siakam,98,111
479,4,0:50.0,,Turnover by P. McCaw (lost ball; steal by K. Kuzma),98,111
480,4,0:30.0,A. Ingram misses 3-pt jump shot from 25 ft,,98,111
481,4,0:28.0,,Defensive rebound by C. Boucher,98,111
482,4,0:20.0,,J. Loyd misses 3-pt jump shot from 24 ft,98,111
483,4,0:16.0,,Offensive rebound by E. Moreland,98,111
