,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:46.0,R. Kurucs makes 3-pt jump shot from 24 ft (assist by J. Allen),,3,0
1,1,11:26.0,,M. Morris misses 2-pt layup from 1 ft,3,0
2,1,11:24.0,Defensive rebound by J. Dudley,,3,0
3,1,11:21.0,Turnover by D. Russell (lost ball; steal by K. Irving),,3,0
4,1,11:17.0,,M. Morris makes 2-pt layup from 1 ft (assist by K. Irving),3,2
5,1,11:08.0,D. Russell makes 3-pt jump shot from 27 ft (assist by S. Napier),,6,2
6,1,10:59.0,,K. Irving misses 2-pt layup from 2 ft (block by S. Napier),6,2
7,1,10:58.0,Defensive rebound by D. Russell,,6,2
8,1,10:53.0,S. Napier makes 3-pt jump shot from 26 ft (assist by D. Russell),,9,2
9,1,10:35.0,,J. Tatum makes 2-pt jump shot from 19 ft,9,4
10,1,10:23.0,R. Kurucs makes 3-pt jump shot from 25 ft (assist by D. Russell),,12,4
11,1,10:13.0,,J. Tatum makes 3-pt jump shot from 28 ft (assist by M. Smart),12,7
12,1,9:53.0,R. Kurucs misses 2-pt jump shot from 13 ft,,12,7
13,1,9:51.0,,Defensive rebound by A. Horford,12,7
14,1,9:40.0,,M. Smart misses 3-pt jump shot from 26 ft,12,7
15,1,9:37.0,Defensive rebound by J. Allen,,12,7
16,1,9:32.0,Turnover by D. Russell (bad pass),,12,7
17,1,9:20.0,,M. Smart makes 3-pt jump shot from 26 ft,12,10
18,1,8:57.0,R. Kurucs misses 2-pt layup from 1 ft,,12,10
19,1,8:56.0,,Defensive rebound by J. Tatum,12,10
20,1,8:43.0,,Shooting foul by J. Dudley (drawn by M. Morris),12,10
21,1,8:43.0,,M. Morris misses free throw 1 of 2,12,10
22,1,8:43.0,,Offensive rebound by Team,12,10
23,1,8:43.0,,M. Morris makes free throw 2 of 2,12,11
24,1,8:34.0,D. Russell misses 3-pt jump shot from 26 ft,,12,11
25,1,8:32.0,,Defensive rebound by A. Horford,12,11
26,1,8:28.0,,Personal foul by R. Kurucs (drawn by J. Tatum),12,11
27,1,8:16.0,,A. Horford makes 2-pt layup from 1 ft (assist by M. Smart),12,13
28,1,8:09.0,Personal foul by M. Smart (drawn by R. Kurucs),,12,13
29,1,8:05.0,R. Kurucs makes 3-pt jump shot from 26 ft (assist by D. Russell),,15,13
30,1,7:55.0,,Personal foul by S. Napier (drawn by K. Irving),15,13
31,1,7:50.0,,K. Irving misses 2-pt jump shot from 9 ft,15,13
32,1,7:48.0,Defensive rebound by S. Napier,,15,13
33,1,7:42.0,Turnover by J. Dudley (bad pass; steal by A. Horford),,15,13
34,1,7:31.0,,A. Horford makes 2-pt layup from 2 ft (assist by J. Tatum),15,15
35,1,7:21.0,D. Russell misses 2-pt jump shot from 18 ft,,15,15
36,1,7:18.0,Offensive rebound by J. Allen,,15,15
37,1,7:15.0,S. Napier misses 3-pt jump shot from 26 ft,,15,15
38,1,7:12.0,,Defensive rebound by J. Tatum,15,15
39,1,7:06.0,,J. Tatum misses 3-pt jump shot from 26 ft,15,15
40,1,7:04.0,Defensive rebound by R. Kurucs,,15,15
41,1,6:57.0,Turnover by D. Russell (bad pass),,15,15
42,1,6:57.0,,Boston full timeout,15,15
43,1,6:47.0,,K. Irving makes 2-pt jump shot from 13 ft (assist by M. Morris),15,17
