,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
0,1,11:43.0,K. Middleton misses 2-pt jump shot from 16 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Collins,0,0
2,1,11:22.0,,T. Young makes 2-pt jump shot from 11 ft (assist by J. Collins),0,2
3,1,11:07.0,E. Bledsoe makes 2-pt layup from 1 ft,,2,2
4,1,10:53.0,,O. Spellman makes 3-pt jump shot from 25 ft (assist by T. Young),2,5
5,1,10:37.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by K. Middleton),,5,5
6,1,10:24.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by T. Young),5,8
7,1,10:11.0,K. Middleton makes 2-pt layup from 3 ft,,7,8
8,1,9:55.0,,D. Bembry makes 2-pt layup from 2 ft,7,10
9,1,9:43.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft (block by O. Spellman),,7,10
10,1,9:40.0,,Defensive rebound by J. Collins,7,10
11,1,9:40.0,,J. Collins misses 2-pt dunk from 3 ft,7,10
12,1,9:40.0,Defensive rebound by Team,,7,10
13,1,9:29.0,B. Lopez misses 3-pt jump shot from 25 ft,,7,10
14,1,9:24.0,,Defensive rebound by D. Bembry,7,10
15,1,9:14.0,,J. Collins misses 3-pt jump shot from 22 ft,7,10
16,1,9:11.0,Defensive rebound by K. Middleton,,7,10
17,1,9:03.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft (assist by K. Middleton),,9,10
18,1,8:49.0,,Turnover by T. Young (bad pass; steal by G. Antetokounmpo),9,10
19,1,8:45.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,9,10
20,1,8:40.0,,Defensive rebound by T. Young,9,10
21,1,8:37.0,,T. Young misses 3-pt jump shot from 27 ft,9,10
22,1,8:35.0,,Offensive rebound by Team,9,10
23,1,8:35.0,Loose ball foul by B. Lopez (drawn by J. Collins),,9,10
24,1,8:32.0,,Personal foul by E. Bledsoe (drawn by T. Young),9,10
25,1,8:27.0,,D. Bembry misses 3-pt jump shot from 25 ft,9,10
26,1,8:25.0,,Offensive rebound by Team,9,10
27,1,8:18.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by J. Collins),9,13
28,1,8:04.0,G. Antetokounmpo makes 2-pt jump shot from 21 ft (assist by E. Bledsoe),,11,13
29,1,7:50.0,,T. Young misses 2-pt layup from 2 ft,11,13
30,1,7:44.0,,Offensive rebound by J. Collins,11,13
31,1,7:44.0,,J. Collins makes 2-pt dunk at rim,11,15
32,1,7:38.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,13,15
33,1,7:28.0,,Turnover by K. Huerter (lost ball; steal by M. Brogdon),13,15
34,1,7:27.0,Personal foul by K. Huerter (drawn by M. Brogdon),,13,15
35,1,7:27.0,S. Brown enters the game for M. Brogdon,,13,15
36,1,7:27.0,,J. Lin enters the game for K. Huerter,13,15
37,1,7:25.0,Offensive foul by K. Middleton (drawn by J. Lin),,13,15
38,1,7:25.0,Turnover by K. Middleton (offensive foul),,13,15
39,1,7:10.0,,Turnover by D. Bembry (out of bounds lost ball),13,15
40,1,6:56.0,,Atlanta full timeout,13,15
41,1,6:56.0,,A. Len enters the game for O. Spellman,13,15
42,1,6:48.0,K. Middleton makes 2-pt layup from 2 ft,,15,15
43,1,6:33.0,,A. Len makes 2-pt layup from 1 ft (assist by J. Lin),15,17
44,1,6:18.0,E. Bledsoe makes 2-pt layup from 1 ft,,17,17
45,1,5:59.0,,T. Young makes 2-pt jump shot from 8 ft (assist by J. Lin),17,19
46,1,5:50.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,20,19
47,1,5:36.0,,Shooting foul by E. Bledsoe (drawn by T. Young),20,19
48,1,5:36.0,,T. Young makes free throw 1 of 3,20,20
49,1,5:36.0,,T. Young misses free throw 2 of 3,20,20
50,1,5:36.0,,Offensive rebound by Team,20,20
