,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
0,1,11:36.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by Team,,0,0
2,1,11:35.0,,Loose ball foul by M. Plumlee (drawn by B. Biyombo),0,0
3,1,11:21.0,B. Biyombo misses 2-pt layup from 2 ft (block by M. Plumlee),,0,0
4,1,11:19.0,,Defensive rebound by M. Plumlee,0,0
5,1,11:15.0,,T. Craig makes 3-pt jump shot from 22 ft (assist by M. Plumlee),0,3
6,1,10:59.0,K. Walker makes 3-pt jump shot from 24 ft,,3,3
7,1,10:39.0,,J. Murray misses 2-pt jump shot from 12 ft,3,3
8,1,10:36.0,Defensive rebound by N. Batum,,3,3
9,1,10:21.0,B. Biyombo makes 2-pt layup from 2 ft (assist by D. Graham),,5,3
10,1,10:10.0,,Turnover by J. Murray (bad pass; steal by M. Williams),5,3
11,1,10:08.0,Turnover by M. Williams (out of bounds lost ball),,5,3
12,1,9:55.0,,N. Jokić misses 3-pt jump shot from 25 ft,5,3
13,1,9:52.0,Defensive rebound by B. Biyombo,,5,3
14,1,9:46.0,M. Williams misses 3-pt jump shot from 24 ft,,5,3
15,1,9:43.0,,Defensive rebound by J. Murray,5,3
16,1,9:31.0,,N. Jokić misses 2-pt hook shot from 2 ft,5,3
17,1,9:30.0,,Offensive rebound by N. Jokić,5,3
18,1,9:26.0,,T. Craig makes 2-pt layup from 2 ft (assist by J. Murray),5,5
19,1,9:13.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by D. Graham),,7,5
20,1,8:51.0,,M. Plumlee makes 2-pt dunk at rim (assist by T. Craig),7,7
21,1,8:36.0,M. Williams misses 3-pt jump shot from 23 ft,,7,7
22,1,8:34.0,,Defensive rebound by J. Hernangómez,7,7
23,1,8:25.0,,Personal foul by D. Graham (drawn by N. Jokić),7,7
24,1,8:17.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),7,10
25,1,8:00.0,K. Walker makes 2-pt jump shot from 23 ft,,9,10
26,1,7:46.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),9,13
27,1,7:35.0,Shooting foul by T. Craig (drawn by K. Walker),,9,13
28,1,7:35.0,K. Walker makes free throw 1 of 2,,10,13
29,1,7:35.0,K. Walker makes free throw 2 of 2,,11,13
30,1,7:21.0,,T. Craig misses 3-pt jump shot from 25 ft,11,13
31,1,7:17.0,Defensive rebound by B. Biyombo,,11,13
32,1,7:06.0,M. Williams makes 2-pt layup at rim (assist by D. Graham),,13,13
33,1,7:05.0,,Denver full timeout,13,13
34,1,7:05.0,,P. Millsap enters the game for M. Plumlee,13,13
35,1,6:49.0,,N. Jokić misses 2-pt hook shot from 5 ft (block by B. Biyombo),13,13
36,1,6:46.0,,Offensive rebound by N. Jokić,13,13
37,1,6:45.0,,N. Jokić makes 2-pt layup from 1 ft,13,15
38,1,6:30.0,N. Batum misses 3-pt jump shot from 23 ft,,13,15
39,1,6:28.0,,Defensive rebound by T. Craig,13,15
40,1,6:21.0,,N. Jokić misses 3-pt jump shot from 25 ft,13,15
41,1,6:18.0,Defensive rebound by D. Graham,,13,15
42,1,6:10.0,Turnover by M. Williams (bad pass; steal by N. Jokić),,13,15
43,1,6:06.0,,Personal foul by N. Batum (drawn by P. Millsap),13,15
44,1,5:49.0,,J. Murray misses 2-pt layup from 6 ft,13,15
45,1,5:47.0,,Offensive rebound by N. Jokić,13,15
46,1,5:47.0,,N. Jokić makes 2-pt layup from 1 ft,13,17
47,1,5:34.0,Personal foul by N. Jokić (drawn by K. Walker),,13,17
48,1,5:34.0,M. Kidd-Gilchrist enters the game for D. Graham,,13,17
49,1,5:34.0,M. Monk enters the game for M. Williams,,13,17
50,1,5:28.0,N. Batum makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,16,17
51,1,5:10.0,,Turnover by P. Millsap (bad pass; steal by B. Biyombo),16,17
52,1,5:04.0,Turnover by K. Walker (traveling),,16,17
53,1,4:55.0,,J. Murray misses 2-pt layup from 2 ft,16,17
54,1,4:53.0,Defensive rebound by N. Batum,,16,17
